# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;szeroko uśmiechnięta twarz;roześmiana buźka|szeroko uśmiechnięta twarz
😒;niezadowolona twarz;niezadowolona buźka|niezadowolona twarz
🙄;twarz przewracająca oczami;buźka|przewracam oczami|twarz przewracająca oczami
😬;twarz z grymasem;grymaśna buźka|twarz z grymasem
😮‍💨;twarz wypuszczająca powietrze;gwizd|twarz wypuszczająca powietrze|ulga|westchnienie|wydmuchiwać powietrze|wypuszczać powietrze
🤥;twarz kłamcy;długi nos|kłamać|pinokio|twarz kłamcy
🫨;wstrząśnięta twarz;szok|trzęsienie ziemi|twarz|wibracje|wstrząs|wstrząśnięta twarz
🙂‍↔️;głowa kręcąca się poziomo;głowa kręcąca się poziomo|nie|potrząśnięcie
🙂‍↕️;głowa kiwająca się pionowo;głowa kiwająca się pionowo|przytaknięcie|tak
😌;twarz z wyrazem ulgi;odprężona buźka|twarz z wyrazem ulgi
😔;zamyślona twarz;zamyślona buźka|zamyślona twarz
😪;senna twarz;senna twarz|śpiąca buźka
🤤;śliniąca się twarz;ślina|śliniąca się twarz|ślinka
😴;śpiąca twarz;sen|spanie|śpiąca twarz|twarz|zzz
😷;twarz w masce medycznej;choroba|lekarz|maska|operacja|pielęgniarka|twarz|twarz w masce medycznej
🤒;twarz z termometrem;choroba|gorączka|temperatura|termometr|twarz z termometrem
🤕;twarz z bandażem;bandaż|czoło|głowa|rana|skaleczenie|twarz z bandażem
🤢;twarz z mdłościami;mdłości|twarz z mdłościami|wymiotować
🤮;wymiotująca twarz;chory|wymiotująca twarz|wymioty
🤧;kichająca twarz;katar|kichać|kichająca twarz|na zdrowie|smarkanie
🥵;rozgrzana twarz;czerwona buźka|rozgrzana buźka|rozgrzana twarz|rozpalony|spocony|udar cieplny|upał
🥶;zmarznięta twarz;mróz|niebieska twarz|odmrożenie|sopel lodu|zimno|zmarznięta twarz
🥴;zamroczona twarz;faliste usta|na gazie|nierówne oczy|odurzony|pod wpływem|wstawiony|zamroczona twarz
😵;oszołomiona twarz;oszołomiona twarz|oszołomiony
😵‍💫;twarz ze spiralnymi oczami;spirale|twarz ze spiralnymi oczami|wow|zahipnotyzowana twarz|zawroty głowy
🤯;eksplodująca głowa;eksplodująca głowa|szok
🤠;głowa w kapeluszu kowbojskim;głowa w kapeluszu kowbojskim|kapelusz|kowboj|kowbojka
🥳;świętująca twarz;czapeczka|piszczałka|przyjęcie|świętowanie|świętująca buźka|świętująca twarz|trąbka
🥸;buźka w przebraniu;anonimowy|buźka w przebraniu|incognito|nos|okulary|przebranie|twarz|wąsy
😎;uśmiechnięta twarz w okularach przeciwsłonecznych;luzak|na luzie|okulary|uśmiechnięta twarz w okularach przeciwsłonecznych|zadowolony
🤓;kujon;buźka w okularach|inteligent|kujon
🧐;twarz z monoklem;twarz z monoklem|wyniosły
😕;zdezorientowana twarz;zakłopotana buźka|zdezorientowana twarz
🫤;twarz z ukośnymi ustami;do kitu|niepewna twarz|rozczarowana twarz|sceptyczna twarz|twarz z ukośnymi ustami
😟;zmartwiona twarz;zmartwiona buźka|zmartwiona twarz
🙁;lekko zachmurzona twarz;grymas|lekko zachmurzona twarz|niezadowolenie
☹️;zachmurzona twarz;grymas|niezadowolenie|zachmurzona twarz
😮;twarz z otwartymi ustami;twarz z otwartymi ustami|zaskoczenie|zaskoczona buźka
😯;zdumiona twarz;zaskoczenie|zaskoczona buźka|zdumiona twarz
😲;zadziwiona twarz;zadziwiona twarz|zaskoczenie|zaskoczona buźka
😳;twarz z rumieńcami;twarz z rumieńcami|twarz z wypiekami
🥺;błagająca twarz;błagająca twarz|błaganie|litość|słodkie oczy
🥹;twarz powstrzymująca łzy;duma|opór|płacz|smutna twarz|twarz powstrzymująca łzy|zdenerwowanie
😦;zachmurzona twarz z otwartymi ustami;rozzłoszczona buźka|zachmurzona twarz z otwartymi ustami
😧;udręczona twarz;udręczona twarz|złość
😨;przestraszona twarz;przestraszona twarz|wystraszona buźka
😰;zaniepokojona twarz oblana potem;zaniepokojona twarz oblana potem|zziajana buźka
😥;smutna twarz z wyrazem ulgi;smutna twarz z wyrazem ulgi|smutna ulga
😢;płacząca twarz;buźka ze łzą w oku|płacząca twarz
😭;głośno płacząca twarz;głośno płacząca twarz|zapłakana buźka
😱;twarz krzycząca ze strachu;krzycząca buźka|twarz krzycząca ze strachu
😖;zakłopotana twarz;zakłopotana twarz|zirytowana buźka
😣;uparta twarz;napięcie|uparta twarz|zacięta twarz
😞;rozczarowana twarz;rozczarowana buźka|rozczarowana twarz
😓;twarz ze spuszczonymi oczami oblana potem;kropla potu|spocony|twarz ze spuszczonymi oczami oblana potem
😩;znużona twarz;zmęczenie|zmęczona buźka|znużona twarz
😫;zmęczona twarz;zmęczenie|zmęczona buźka|zmęczona twarz
🥱;ziewająca twarz;nuda|ziewać|ziewająca twarz|zmęczenie|znudzony
😤;prychająca twarz;prychająca twarz|triumf|twarz z parą wylatującą z nosa|wygrana
😡;nadąsana twarz;dąsy|nadąsana twarz|twarz|wściekłość|złość
😠;zagniewana twarz;rozgniewana buźka|zagniewana twarz
🤬;twarz z symbolami na ustach;przekleństwo|twarz z symbolami na ustach
😈;uśmiechnięta twarz z rogami;diabełek|fantasy|rogi|różki|uśmiechnięta twarz z rogami|wesoły
👿;zagniewana twarz z rogami;diabełek|fantasy|rogi|różki|smutny|zagniewana twarz z rogami
💀;czaszka;czaszka|duch|kościotrup|potwór|śmierć|szkielet|trupia czaszka
☠️;czaszka z piszczelami;czaszka z piszczelami|duch|kościotrup|piraci|piszczele|potwór|śmierć|szkielet|trupia czaszka
💩;kupa;gnój|kupa|obornik|odchody|potwór|twarz
🤡;twarz klauna;cyrk|klown|twarz klauna
👹;ogr;maska|ogr|potwór
👺;goblin;diabeł|goblin|maska|stwór
👻;duch;duch|duszek|język|wesoły duch
👽;ufoludek;kosmita|obcy|pozaziemski|twarz|ufo|ufoludek
👾;kosmiczny potwór;kosmiczny potwór|kosmita|obcy|potwór|pozaziemski|twarz|ufo
🤖;głowa robota;głowa robota|monstrum|robot|twarz
😺;uśmiechnięty kot;kot|uśmiech|uśmiechnięty kot|uśmiechnięty kot z otwartym pyszczkiem|zęby
😸;uśmiechnięty kot o wesołych oczach;kot|oczy|roześmiany|uśmiech|uśmiechnięty kot o wesołych oczach|wesoły
😹;kot ze łzami radości;kot|kot ze łzami radości|płaczę ze śmiechu|uśmiech|zęby
😻;uśmiechnięty kot z oczami w kształcie serca;kot|miłość|oczy|serca|uśmiechnięty kot z oczami w kształcie serca|zakochany
😼;kot z drwiącym uśmiechem;ironia|ironiczny|kot|kot z drwiącym uśmiechem|kpiarski|kpina
😽;kot przesyłający całusa;całuję|całuski|kot|kot przesyłający całusa|rumieniec
🙀;przestraszony kot;kot|przestraszony kot|w szoku|zaskoczony|zdumiony|zszokowany
😿;płaczący kot;kot|łza|płaczący kot|płaczę|smutny
😾;nadąsany kot;grymas|kot|nadąsany kot|obrażony
🙈;małpa zasłaniająca oczy;gest|małpa zasłaniająca oczy|nie|nie widzę|nie widzieć|niedobre|zabronione|zakrywam oczy
🙉;małpa zasłaniająca uszy;gest|małpa zasłaniająca uszy|nie|nie słyszę|nie słyszeć|niedobre|zabronione|zakrywam uszy
🙊;małpa zasłaniająca pyszczek;co ja mówię|gest|małpa zasłaniająca pyszczek|nie|nie mówić|nie mówię|niedobre|zabronione|zakrywam usta
💌;list miłosny;liścik|list|list miłosny|miłość|serce|wiadomość
💘;serce przebite strzałą;przebite strzałą|serce przebite strzałą|serce ze strzałą
💝;serce ze wstążką;serce|serce ze wstążką|walentynki|wstążka
💖;migoczące serce;błyszczące serce|migoczące serce
💗;rosnące serce;bicie serca|puls|rosnące serce|serce rośnie|tętno|zdenerwowany
💓;bijące serce;bijące serce|kocham cię
💞;wirujące serca;miłość|para|serca dwa|tańczące serca|wirujące serca
💕;dwa serca;dwa serca|kocham|miłość|serca
💟;dekoracja z sercem;dekoracja|dekoracja z sercem|ozdoba
❣️;wykrzyknik w kształcie serca;czerwony wykrzyknik|serce|wykrzyknik|wykrzyknik w kształcie serca|znak interpunkcyjny
💔;złamane serce;pęknięte|serce|złamane serce
❤️‍🔥;serce w płomieniach;miłość|płomienie|płonąć|serce|serce w płomieniach|święte serce
❤️‍🩹;uleczone serce;dobrze|lepiej|lepsze samopoczucie|uleczone serce|zdrowsze
❤️;czerwone serce;czerwone|kocham|miłość|serce
🩷;różowe serce;lubić|miłość|różowe|serce|urocze
🧡;pomarańczowe serce;pomarańczowe|pomarańczowe serce
💛;żółte serce;serce|żółte
💚;zielone serce;serce|zielone
💙;niebieskie serce;niebieskie|serce
🩵;jasnoniebieskie serce;jasnoniebieskie|serce|turkusowe|zielononiebieskie
💜;purpurowe serce;fioletowe|purpurowe serce|serce
🤎;brązowe serce;brązowe|serce
🖤;czarne serce;czarne serce|czarny|serce|zło
🩶;szare serce;ciemnoszare|serce|srebrne|szare
🤍;białe serce;białe|serce
💋;ślad po pocałunku;odcisk ust|pocałunek|ślad po pocałunku|usta
💯;sto punktów;100|setka|sto punktów|stówa|stówka
💢;symbol gniewu;symbol gniewu|złość
💥;kolizja;kolizja|wybuch|żartobliwy
💫;zawroty głowy;spadająca gwiazda|zawroty głowy
💦;krople potu;krople|krople potu|pot|woda
💨;szybkie poruszanie się;pęd|pędzić|podmuch wiatru|szybkie poruszanie się|szybkość|wiatr
🕳️;otwór;dziura|otwór
💬;dymek;dialog|dymek|rozmowa
👁️‍🗨️;oko w dymku;dymek|oko|oko w dymku|wzrok
🗨️;lewostronny dymek;dialog|dymek|lewostronny dymek|rozmowa
🗯️;prawostronny dymek złości;dymek|prawostronny dymek złości|zdenerwowany|złość
💭;dymek myśli;dymek myśli|myśl|myśleć
💤;chrapanie;chrapanie|zabawny|żartobliwy

[people_body]
👋;machająca dłoń;machająca dłoń
	👋🏻;machająca dłoń: karnacja jasna;karnacja jasna|machająca dłoń|machająca dłoń: karnacja jasna
	👋🏼;machająca dłoń: karnacja średnio jasna;karnacja średnio jasna|machająca dłoń|machająca dłoń: karnacja średnio jasna
	👋🏽;machająca dłoń: karnacja średnia;karnacja średnia|machająca dłoń|machająca dłoń: karnacja średnia
	👋🏾;machająca dłoń: karnacja średnio ciemna;karnacja średnio ciemna|machająca dłoń|machająca dłoń: karnacja średnio ciemna
	👋🏿;machająca dłoń: karnacja ciemna;karnacja ciemna|machająca dłoń|machająca dłoń: karnacja ciemna
🤚;wzniesiony grzbiet dłoni;powitanie|pozdrowienie|pożegnanie|uniesiona dłoń|wzniesiony grzbiet dłoni
	🤚🏻;wzniesiony grzbiet dłoni: karnacja jasna;karnacja jasna|powitanie|pozdrowienie|pożegnanie|uniesiona dłoń|wzniesiony grzbiet dłoni|wzniesiony grzbiet dłoni: karnacja jasna
	🤚🏼;wzniesiony grzbiet dłoni: karnacja średnio jasna;karnacja średnio jasna|powitanie|pozdrowienie|pożegnanie|uniesiona dłoń|wzniesiony grzbiet dłoni|wzniesiony grzbiet dłoni: karnacja średnio jasna
	🤚🏽;wzniesiony grzbiet dłoni: karnacja średnia;karnacja średnia|powitanie|pozdrowienie|pożegnanie|uniesiona dłoń|wzniesiony grzbiet dłoni|wzniesiony grzbiet dłoni: karnacja średnia
	🤚🏾;wzniesiony grzbiet dłoni: karnacja średnio ciemna;karnacja średnio ciemna|powitanie|pozdrowienie|pożegnanie|uniesiona dłoń|wzniesiony grzbiet dłoni|wzniesiony grzbiet dłoni: karnacja średnio ciemna
	🤚🏿;wzniesiony grzbiet dłoni: karnacja ciemna;karnacja ciemna|powitanie|pozdrowienie|pożegnanie|uniesiona dłoń|wzniesiony grzbiet dłoni|wzniesiony grzbiet dłoni: karnacja ciemna
🖐️;uniesiona otwarta dłoń;otwarta dłoń wszystkie palce|palce|rozpostarte palce|uniesiona otwarta dłoń
	🖐🏻;uniesiona otwarta dłoń: karnacja jasna;karnacja jasna|otwarta dłoń wszystkie palce|palce|rozpostarte palce|uniesiona otwarta dłoń|uniesiona otwarta dłoń: karnacja jasna
	🖐🏼;uniesiona otwarta dłoń: karnacja średnio jasna;karnacja średnio jasna|otwarta dłoń wszystkie palce|palce|rozpostarte palce|uniesiona otwarta dłoń|uniesiona otwarta dłoń: karnacja średnio jasna
	🖐🏽;uniesiona otwarta dłoń: karnacja średnia;karnacja średnia|otwarta dłoń wszystkie palce|palce|rozpostarte palce|uniesiona otwarta dłoń|uniesiona otwarta dłoń: karnacja średnia
	🖐🏾;uniesiona otwarta dłoń: karnacja średnio ciemna;karnacja średnio ciemna|otwarta dłoń wszystkie palce|palce|rozpostarte palce|uniesiona otwarta dłoń|uniesiona otwarta dłoń: karnacja średnio ciemna
	🖐🏿;uniesiona otwarta dłoń: karnacja ciemna;karnacja ciemna|otwarta dłoń wszystkie palce|palce|rozpostarte palce|uniesiona otwarta dłoń|uniesiona otwarta dłoń: karnacja ciemna
✋;wzniesiona dłoń;dłoń|stop|uwaga|wzniesiona dłoń
	✋🏻;wzniesiona dłoń: karnacja jasna;dłoń|karnacja jasna|stop|uwaga|wzniesiona dłoń|wzniesiona dłoń: karnacja jasna
	✋🏼;wzniesiona dłoń: karnacja średnio jasna;dłoń|karnacja średnio jasna|stop|uwaga|wzniesiona dłoń|wzniesiona dłoń: karnacja średnio jasna
	✋🏽;wzniesiona dłoń: karnacja średnia;dłoń|karnacja średnia|stop|uwaga|wzniesiona dłoń|wzniesiona dłoń: karnacja średnia
	✋🏾;wzniesiona dłoń: karnacja średnio ciemna;dłoń|karnacja średnio ciemna|stop|uwaga|wzniesiona dłoń|wzniesiona dłoń: karnacja średnio ciemna
	✋🏿;wzniesiona dłoń: karnacja ciemna;dłoń|karnacja ciemna|stop|uwaga|wzniesiona dłoń|wzniesiona dłoń: karnacja ciemna
🖖;salut wolkański;dłoń|palce|salut wolkański|Spock|wolkański
	🖖🏻;salut wolkański: karnacja jasna;dłoń|karnacja jasna|palce|salut wolkański|salut wolkański: karnacja jasna|Spock|wolkański
	🖖🏼;salut wolkański: karnacja średnio jasna;dłoń|karnacja średnio jasna|palce|salut wolkański|salut wolkański: karnacja średnio jasna|Spock|wolkański
	🖖🏽;salut wolkański: karnacja średnia;dłoń|karnacja średnia|palce|salut wolkański|salut wolkański: karnacja średnia|Spock|wolkański
	🖖🏾;salut wolkański: karnacja średnio ciemna;dłoń|karnacja średnio ciemna|palce|salut wolkański|salut wolkański: karnacja średnio ciemna|Spock|wolkański
	🖖🏿;salut wolkański: karnacja ciemna;dłoń|karnacja ciemna|palce|salut wolkański|salut wolkański: karnacja ciemna|Spock|wolkański
🫱;dłoń skierowana w prawo;dłoń|dłoń skierowana w prawo|prawa|w prawo
	🫱🏻;dłoń skierowana w prawo: karnacja jasna;dłoń|dłoń skierowana w prawo|dłoń skierowana w prawo: karnacja jasna|karnacja jasna|prawa|w prawo
	🫱🏼;dłoń skierowana w prawo: karnacja średnio jasna;dłoń|dłoń skierowana w prawo|dłoń skierowana w prawo: karnacja średnio jasna|karnacja średnio jasna|prawa|w prawo
	🫱🏽;dłoń skierowana w prawo: karnacja średnia;dłoń|dłoń skierowana w prawo|dłoń skierowana w prawo: karnacja średnia|karnacja średnia|prawa|w prawo
	🫱🏾;dłoń skierowana w prawo: karnacja średnio ciemna;dłoń|dłoń skierowana w prawo|dłoń skierowana w prawo: karnacja średnio ciemna|karnacja średnio ciemna|prawa|w prawo
	🫱🏿;dłoń skierowana w prawo: karnacja ciemna;dłoń|dłoń skierowana w prawo|dłoń skierowana w prawo: karnacja ciemna|karnacja ciemna|prawa|w prawo
🫲;dłoń skierowana w lewo;dłoń|dłoń skierowana w lewo|lewa|w lewo
	🫲🏻;dłoń skierowana w lewo: karnacja jasna;dłoń|dłoń skierowana w lewo|dłoń skierowana w lewo: karnacja jasna|karnacja jasna|lewa|w lewo
	🫲🏼;dłoń skierowana w lewo: karnacja średnio jasna;dłoń|dłoń skierowana w lewo|dłoń skierowana w lewo: karnacja średnio jasna|karnacja średnio jasna|lewa|w lewo
	🫲🏽;dłoń skierowana w lewo: karnacja średnia;dłoń|dłoń skierowana w lewo|dłoń skierowana w lewo: karnacja średnia|karnacja średnia|lewa|w lewo
	🫲🏾;dłoń skierowana w lewo: karnacja średnio ciemna;dłoń|dłoń skierowana w lewo|dłoń skierowana w lewo: karnacja średnio ciemna|karnacja średnio ciemna|lewa|w lewo
	🫲🏿;dłoń skierowana w lewo: karnacja ciemna;dłoń|dłoń skierowana w lewo|dłoń skierowana w lewo: karnacja ciemna|karnacja ciemna|lewa|w lewo
🫳;dłoń skierowana w dół;dłoń skierowana w dół|odrzucenie|sio|upuszczenie
	🫳🏻;dłoń skierowana w dół: karnacja jasna;dłoń skierowana w dół|dłoń skierowana w dół: karnacja jasna|karnacja jasna|odrzucenie|sio|upuszczenie
	🫳🏼;dłoń skierowana w dół: karnacja średnio jasna;dłoń skierowana w dół|dłoń skierowana w dół: karnacja średnio jasna|karnacja średnio jasna|odrzucenie|sio|upuszczenie
	🫳🏽;dłoń skierowana w dół: karnacja średnia;dłoń skierowana w dół|dłoń skierowana w dół: karnacja średnia|karnacja średnia|odrzucenie|sio|upuszczenie
	🫳🏾;dłoń skierowana w dół: karnacja średnio ciemna;dłoń skierowana w dół|dłoń skierowana w dół: karnacja średnio ciemna|karnacja średnio ciemna|odrzucenie|sio|upuszczenie
	🫳🏿;dłoń skierowana w dół: karnacja ciemna;dłoń skierowana w dół|dłoń skierowana w dół: karnacja ciemna|karnacja ciemna|odrzucenie|sio|upuszczenie
🫴;dłoń skierowana w górę;dłoń skierowana w górę|łapanie|propozycja|przywołanie|skinienie
	🫴🏻;dłoń skierowana w górę: karnacja jasna;dłoń skierowana w górę|dłoń skierowana w górę: karnacja jasna|karnacja jasna|łapanie|propozycja|przywołanie|skinienie
	🫴🏼;dłoń skierowana w górę: karnacja średnio jasna;dłoń skierowana w górę|dłoń skierowana w górę: karnacja średnio jasna|karnacja średnio jasna|łapanie|propozycja|przywołanie|skinienie
	🫴🏽;dłoń skierowana w górę: karnacja średnia;dłoń skierowana w górę|dłoń skierowana w górę: karnacja średnia|karnacja średnia|łapanie|propozycja|przywołanie|skinienie
	🫴🏾;dłoń skierowana w górę: karnacja średnio ciemna;dłoń skierowana w górę|dłoń skierowana w górę: karnacja średnio ciemna|karnacja średnio ciemna|łapanie|propozycja|przywołanie|skinienie
	🫴🏿;dłoń skierowana w górę: karnacja ciemna;dłoń skierowana w górę|dłoń skierowana w górę: karnacja ciemna|karnacja ciemna|łapanie|propozycja|przywołanie|skinienie
🫷;dłoń pchająca w lewo;czekać|dłoń pchająca w lewo|odmawiać|pchać|piątka|stop|w lewo
	🫷🏻;dłoń pchająca w lewo: karnacja jasna;czekać|dłoń pchająca w lewo|dłoń pchająca w lewo: karnacja jasna|karnacja jasna|odmawiać|pchać|piątka|stop|w lewo
	🫷🏼;dłoń pchająca w lewo: karnacja średnio jasna;czekać|dłoń pchająca w lewo|dłoń pchająca w lewo: karnacja średnio jasna|karnacja średnio jasna|odmawiać|pchać|piątka|stop|w lewo
	🫷🏽;dłoń pchająca w lewo: karnacja średnia;czekać|dłoń pchająca w lewo|dłoń pchająca w lewo: karnacja średnia|karnacja średnia|odmawiać|pchać|piątka|stop|w lewo
	🫷🏾;dłoń pchająca w lewo: karnacja średnio ciemna;czekać|dłoń pchająca w lewo|dłoń pchająca w lewo: karnacja średnio ciemna|karnacja średnio ciemna|odmawiać|pchać|piątka|stop|w lewo
	🫷🏿;dłoń pchająca w lewo: karnacja ciemna;czekać|dłoń pchająca w lewo|dłoń pchająca w lewo: karnacja ciemna|karnacja ciemna|odmawiać|pchać|piątka|stop|w lewo
🫸;dłoń pchająca w prawo;czekać|dłoń pchająca w prawo|odmawiać|pchać|piątka|stop|w prawo
	🫸🏻;dłoń pchająca w prawo: karnacja jasna;czekać|dłoń pchająca w prawo|dłoń pchająca w prawo: karnacja jasna|karnacja jasna|odmawiać|pchać|piątka|stop|w prawo
	🫸🏼;dłoń pchająca w prawo: karnacja średnio jasna;czekać|dłoń pchająca w prawo|dłoń pchająca w prawo: karnacja średnio jasna|karnacja średnio jasna|odmawiać|pchać|piątka|stop|w prawo
	🫸🏽;dłoń pchająca w prawo: karnacja średnia;czekać|dłoń pchająca w prawo|dłoń pchająca w prawo: karnacja średnia|karnacja średnia|odmawiać|pchać|piątka|stop|w prawo
	🫸🏾;dłoń pchająca w prawo: karnacja średnio ciemna;czekać|dłoń pchająca w prawo|dłoń pchająca w prawo: karnacja średnio ciemna|karnacja średnio ciemna|odmawiać|pchać|piątka|stop|w prawo
	🫸🏿;dłoń pchająca w prawo: karnacja ciemna;czekać|dłoń pchająca w prawo|dłoń pchająca w prawo: karnacja ciemna|karnacja ciemna|odmawiać|pchać|piątka|stop|w prawo
👌;dłoń z gestem OK;dłoń z gestem OK|znak OK
	👌🏻;dłoń z gestem OK: karnacja jasna;dłoń z gestem OK|dłoń z gestem OK: karnacja jasna|karnacja jasna|znak OK
	👌🏼;dłoń z gestem OK: karnacja średnio jasna;dłoń z gestem OK|dłoń z gestem OK: karnacja średnio jasna|karnacja średnio jasna|znak OK
	👌🏽;dłoń z gestem OK: karnacja średnia;dłoń z gestem OK|dłoń z gestem OK: karnacja średnia|karnacja średnia|znak OK
	👌🏾;dłoń z gestem OK: karnacja średnio ciemna;dłoń z gestem OK|dłoń z gestem OK: karnacja średnio ciemna|karnacja średnio ciemna|znak OK
	👌🏿;dłoń z gestem OK: karnacja ciemna;dłoń z gestem OK|dłoń z gestem OK: karnacja ciemna|karnacja ciemna|znak OK
🤌;złączone palce;gest|palce|przesłuchanie|sarkazm|złączone palce
	🤌🏻;złączone palce: karnacja jasna;gest|karnacja jasna|palce|przesłuchanie|sarkazm|złączone palce|złączone palce: karnacja jasna
	🤌🏼;złączone palce: karnacja średnio jasna;gest|karnacja średnio jasna|palce|przesłuchanie|sarkazm|złączone palce|złączone palce: karnacja średnio jasna
	🤌🏽;złączone palce: karnacja średnia;gest|karnacja średnia|palce|przesłuchanie|sarkazm|złączone palce|złączone palce: karnacja średnia
	🤌🏾;złączone palce: karnacja średnio ciemna;gest|karnacja średnio ciemna|palce|przesłuchanie|sarkazm|złączone palce|złączone palce: karnacja średnio ciemna
	🤌🏿;złączone palce: karnacja ciemna;gest|karnacja ciemna|palce|przesłuchanie|sarkazm|złączone palce|złączone palce: karnacja ciemna
🤏;dłoń z gestem „trochę”;dłoń z gestem „trochę”|mała ilość
	🤏🏻;dłoń z gestem „trochę”: karnacja jasna;dłoń z gestem „trochę”|dłoń z gestem „trochę”: karnacja jasna|karnacja jasna|mała ilość
	🤏🏼;dłoń z gestem „trochę”: karnacja średnio jasna;dłoń z gestem „trochę”|dłoń z gestem „trochę”: karnacja średnio jasna|karnacja średnio jasna|mała ilość
	🤏🏽;dłoń z gestem „trochę”: karnacja średnia;dłoń z gestem „trochę”|dłoń z gestem „trochę”: karnacja średnia|karnacja średnia|mała ilość
