# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
😝;د کږو سترګو مخ سره د ژبې;خوند|د کږو سترګو مخ سره د ژبې|ډاروونکې|ژبه|سترګه|مخ
🤑;د پېسو د خولې مخ;پېسې|خوله|د پېسو د خولې مخ|مخ
🤗;غاړه ورکوونکی مخ;غاړه ورکوونکی مخ|غېږه|غېږه کې نيول|مخ
🤭;لاس په خوله مخ;سوځول|لاس په خوله مخ
🫢;د خلاص سترګو سره مخ او په خولې لاس;حیرانتیا|د خلاص سترګو سره مخ او په خولې لاس|شرم ویره|کفر|ویره
🫣;د راوتلی سترګو سره مخ;د راوتلی سترګو سره مخ|کتل|لیدل|مایل
🤫;کرارونکی مخ;غلی|کرارول|کرارونکی مخ
🤔;فکرمند مخ;فکرمند|مخ
🫡;سلام مخ;سرتیري|سلام کول|سلام مخ|سمه ده|لمر|هو
🤐;د ځنځير د خولې مخ;خوله|ځنځير|د ځنځير د خولې مخ|مخ
🤨;د اوچتو شويو وريځو مخ;بدګماني|د اوچتو شويو وريځو مخ|شکمن
😐;بې پلوه مخ;بې پلوه|بې پلوه مخ|ځای په ځاي|مخ
😑;بې تاثيره مخ;بې اثره|بې تاثيره|بې تاثيره مخ|بې هيجانه|مخ
😶;پرته له خولې مخ;پرته له خولې مخ|په قلاره|خله|غلې|مخ
🫥;نخښه شوی لیکې مخ;پټول|خپګان|د نه لیدو وړ|مخاطب|نخښه شوی لیکې مخ|ورکیدل
😶‍🌫️;په وريځو مخ;په ګند کې مخ|په وريځو کې مخ|په وريځو مخ|سر په ورېځو کې|غیرحاضر
😏;د ملنډو د خندا مخ;د ملنډو خندا|د ملنډو د خندا مخ|مخ
😒;پښيمانه مخ;پښيمانه مخ|غمجن|مخ|ناخوشاله
🙄;د تاوهونکو سترګو مخ;تاووهونکې|د تاوهونکو سترګو مخ|سترګې|مخ
😬;بړوسېدلی مخ;بړوستوب|بړوسېدلی مخ|مخ
😮‍💨;د تنفس مخ;خولې|څاڅکی|د تنفس مخ|راحت|ساه ایستل|سیټي|ګاز
🤥;دروغ مخ;پينوشو|دروغ|مخ
🫨;لړزونکې مخ;زلزله|شاک|لړزونکې مخ|لړزېدل|مخ|وایبریټ
🙂‍↔️;سر په افقی ډول لړزول;سر په افقی ډول لړزول|نه، ولړزول
🙂‍↕️;سر په عمودی توګه لړزول;سر په عمودی توګه لړزول|سر، هو
😌;خوشحاله مخ;خوشحاله|مخ
😔;د فکر مخ;د فکر مخ|غمجن|فکرمند|مخ
😪;خوبيولى مخ;خوب|خوبيولى مخ|مخ
🤤;د خندا وړ مخ;د خندا وړ|د خندا وړ مخ|مخ
😴;د خوب مخ;خوب|د خوب مخ|ززز|مخ
😷;سره د طبي ماسک مخ;ډاکټر|سره د طبي ماسک مخ|سوړ|مخ|ناروغه
🤒;سره ترمامیتر مخ;ترماميټر|رنځور|سره ترمامیتر مخ|مخ|ناروغه
🤕;سره سر-بنداژ مخ;بنداژ|زخمي|ژوبل|سره سر-بنداژ مخ|مخ بنداژ
🤢;زړه بدوالی مخ;زړه بدوالی مخ|قي کول|مخ
🤮;قی کوونکی مخ;قي کول|قی کوونکی مخ|ناروغه
🤧;پرنجېدونکی مخ;پرنجېدل|پرنجېدونکی مخ|ګيسونهيټ|مخ
🥵;تود مخ;تود|تود مخ|د تودوخې|د خولې|سور مخ|ګرم
🥶;سوړ مخ;آسماني رنګ مخ|آيسيکل|سوړ|سوړ مخ|کنګل|کنګل شوې
🥴;خندور مخ;پرکاله|خندور مخ|خوځيدونکې خوله|سرګرځېدونکې|ګډوډي سترګې
😵;سرګرزنی مخ;سرګرزنی|مخ
😵‍💫;مخ سرپل سترګې;چکر|ستونزه|سرپل|مخ سرپل سترګې|هه|هیپنوټائز
🤯;چاودیدلی سر;چاودیدلی سر|حيران
🤠;د چروایي خولۍ مخ;خولۍ|د چروایي خولۍ مخ|غوبنه|غوبه|مخ
🥳;پارټي کوونکی مخ;پارټي|پارټي کوونکی مخ|خولۍ|ښکر|نمانځنه
🥸;اصل ماهيت بدلوونکی مخ;اصل ماهيت بدلوونکی مخ|پوزه|عېنکې|ماهيت بدلول|مخ|نه پېژندونکی
😎;مسکېدونکی مخ د لمر دعينکو سره;پړقېدونکې|د لمر عينکې|کول|لمر|مخ|مسکېدونکی مخ د لمر دعينکو سره
🤓;بېګانه مخ;بيګانه|بېګانه مخ|ګيک|مخ
🧐;د يوې سترګې عينکې مخ;تړبوخته|د يوې سترګې عينکې مخ
😕;وارخطا مخ;مخ|وارخطا
🫤;د مثلث خولې سره مخ;بې باوري|د مثلث خولې سره مخ|شکمن|مایوسه|میه
😟;اندېښمن مخ;اندېښمن|مخ
🙁;د لږ تريو تندي مخ;تريو تندې|د لږ تريو تندي مخ|مخ
☹️;د تريو تندي مخ;تريو تندې|د تريو تندي مخ|مخ
😮;د بېرته خولې مخ;بيرته|خوا خوږي|خوله|د بېرته خولې مخ|مخ
😯;د چپې خولې مخ;چپ|حيران|د چپې خولې مخ|ګنګس|مخ
😲;حيران مخ;بشپړ|پښيمانه|حيران|مخ
😳;سور او تود مخ;سر ګرځيدل|سور او تود|سور او تود مخ|مخ
🥺;وکالت کوونکی مخ;ادعا کول|پپي سترګې|رحم|وکالت کوونکی مخ|وکالت کوونکے مخ
🥹;د اوښکو شاته نیولو مخ;خفه|د اوښکو شاته نیولو مخ|ژړا|غوسه|مقاومت|وياړ
😦;د تريو تندې او خلاصې خولې مخ;د تريو تندې او خلاصې خولې مخ|د خلاصې خولې سره ځړونکی مخ
😧;کړوونکی مخ;کړوونکی|مخ
😨;ډارونکی مخ;ډار|ډارونکی|ډارېدلی|مخ
😰;اندېښمن مخ د خولې سره;آسماني رنګ|اندېښمن مخ د خولې سره|بې مينې|تندي|خوله|مخ
😥;پښيمانه خو دمه مخ;اف|پښيمانه خو دمه مخ|دمه|مايوسه|مخ
😢;ژړېدونکی مخ;اوښکې|پښيمانه|ژړل|ژړېدونکی مخ|مخ
😭;لوړ غږ ژړا مخ;اوښکې|پښيمانه|په لوړ غږ ژړا مخ|ژړل|سلګۍ|لوړ غږ ژړا مخ|مخ
😱;په ډار کې ژړېدونکی مخ;په ډار کې ژړېدونکی مخ|چ|ډار|ډارېدلې|غې مخ
😖;ګډوډ مخ;ګډوډ|مخ
😣;سخت سری مخ;سخت سری|سخت سری مخ|مخ
😞;مايوسه مخ;مايوسه|مخ
😓;غمجن مخ سره د خولې;بې مينې|خوله|غمجن مخ سره د خولې|مخ
😩;بېزاره مخ;بېزاره مخ|ستړې|ستومانه|مخ
😫;ستړي مخ;ستړى|ستړي مخ|مخ
🥱;د ارږمي مخ;ارږمی کول|تنګ شوی|د ارږمي مخ|ستړی
😤;د پوزې د پخار مخ;بريا|د پوزې د پخار مخ|فتح|مخ
😡;د بوڅې شونډې مخ;د بوڅې شونډې مخ|سور|شونډه بوڅول|غصه|قهرجن|لېوني|مخ
😠;قهرجن مخ;قهرجن|ليونې|مخ
🤬;په خوله کې د سمبول مخ;په خوله کې د سمبول مخ|قسم خوړل
😈;مسکېدلی مخ د ښکرو سره;د ښاپېرو کيسه|ښکر|مخ|مسکا|مسکېدلی مخ د ښکرو سره
👿;قهرجن مخ د ښکرو سره;د شيطان بچي|شيطان|قهرجن مخ د ښکرو سره|مخ|وهم
💀;کوپړۍ;د ښاپېرو کيسه بلا|کوپړۍ|مخ|مرګ
☠️;کوپړۍ او اووښتي هډوکي;اووښتي هډوکي|بلا|کوپړۍ او اووښتي هډوکي|کوپړۍ او اووښي هډوکي|مخ|مرګ
💩;پو دا پخی;پو دا پخی
🤡;ټوکي مخ;ټوکي|مخ
👹;ديو;بلا|د ښاپېرو کيسه|ديو|مخ|مخلوق
👺;پېری;بلا|پېری|د ښاپېرو کيسه|مخ|مخلوق
👻;شيشکه;بلا|د ښاپيرو کيسه|شيشکه|مخ|مخلوق
👽;پردیو;اوفو|پرديو|پردیو|توريد|د بلې زمکې|مخ|مخلوق
👾;ناشنا بلا;اوفو|بلا|د بلې زمکې|مخ|مخلوق|ناشنا
🤖;روبوټ;بلا|روبوټ|مخ
😺;د پيشو خندېدونکی مخ;برسېره|پيشو|خندېدونکی|خوله|د پيشو خندېدونکی مخ|مخ|مسکا
😸;خندېدونکی پيشو د مسکېدونکي سترګو ستره;پيشو|خندېدونکی|خندېدونکی پيشو د مسکېدونکي سترګو ستره|سترګه|مخ|مسکا
😹;پيشو د خوشالۍ د اوښکو سره;اوښکې|پيشو|پيشو د خوشالۍ د اوښکو سره|خوشالي|مخ
😻;مسکېدلی پيشو د زړه د سترګو سره;پيشو|زړه|سترګه|مخ|مسکا|مسکېدلی پيشو د زړه د سترګو سره|مينه
😼;پيشو د کږې خندا سره;پيشو|پيشو د کږې خندا سره|د ملنډې مسکا|کوږ|مخ|مسکا
😽;مچوونکی پيشو;پيشو|سترګه|مچول|مچوونکی پيشو|مخ
🙀;ستړی پيشو;او|پيشو|حيران|ستړی|مخ
😿;ژړېدونکی پيشو;اوښکې|پيشو|خپه|ژړل|ژړېدونکی پيشو|مخ
😾;ډېوه خولی پيشو;پيشو|ډېوه خولی|ډېوه خولی پيشو|مخ
🙈;وګورئ بریښنايي بندر;وګورئ بریښنايي بندر
🙉;اوریدل بریښنايي بندر;اوریدل بریښنايي بندر
🙊;غږېدل بریښنايي بندر;غږېدل بریښنايي بندر
💌;د مینې لیک;د مینې لیک|زړه|لیک|مینه
💘;تیر وهلۍ زړه;تیر|تیر وهلی زړه|تیر وهلۍ زړه|کاپي
💝;تړلۍ زړه;تړلۍ|تړلۍ زړه|عاشقانو ورځ
💖;ځلاداره زړه;ځلاداره|ځلاداره زړه|زړه پوری
💗;غټیدونکې زړه;زړه پوری|ضربان|غټیدونکې|غټیدونکې زړه|وارخطا
💓;ضربان زړه;ځړولی|زړه ضربان|ضربان|ضربان زړه
💞;تړلۍ زړونه;تړلۍ|تړلۍ زړونه
💕;دوه زړونه;دوه زړونه|مینه
💟;سینګار زړه;زړه|سینګار زړه
❣️;د زړه ندا;د زړه ندا|ندا|نښه|وقفه
💔;مات زړه;مات|مات زړه|مات شوی
❤️‍🔥;زړه اور;زړه|زړه اور|سپیڅلی زړه|سوځول|شوق|مینه
❤️‍🩹;ښه کول زړه;حي|روغول|ښه|ښه کول|ښه کول زړه|وده کول
❤️;سور زړه;زړه|سور زړه
🩷;ګلابي زړه;زړه|ښکلی|ګلابي|لکه|مینه
🧡;نارنجی زړه;نارنجی|نارنجی زړه
💛;ژیړ زړه;ژیړ|ژیړ زړه
💚;شین زړه;شین|شین زړه
💙;اسماني زړه;اسماني|اسماني زړه
🩵;روښانه ودي زړه;تېل|روښانه ودي زړه|روښانه وودي|زړه|سیان
💜;بنفش زړه;بنفش|بنفش زړه
🤎;نسواري زړه;زړه|نسواري
🖤;تور زړه;بد|تور|تور زړه|شر
🩶;خړ زړه;خړ|زړه|سپين زر|سلیټ
🤍;سپين زړه;زړه|سپين
💋;مچو نښه;شونډي|مچو|مچو نښه
💯;سل ټکي;100|بشپړه|سل|سل ټکي|نمرې
💢;د قهر نښه;د قهر نښه|قهر|لیونۍ|مسخره
💥;تکړ;بوم|تکړ|ټکر|مسخر
💫;سربدال;ستورۍ|سربدال|مسخره
💦;خولو څاڅکی;خوله|خولو څاڅکی|لري کول|مسخره
💨;لري کول;لري|لري کول|مسخره|منډه وهل
🕳️;سورۍ;سورۍ
💬;بیان پوګاڼه;بیان|پوګاڼه|خبري|مسخره
👁️‍🗨️;غږ پوګاڼه کې سترګه;سترګه|شاهد|غږ پوقاڼه|غږ پوقاڼه کې سترګه|غږ پوګاڼه کې سترګه
🗨️;د بیان چپه پوګاڼه;بیان|خبري|د بیان چپه پوګاڼه
🗯️;ښې خوا قهر پوګاڼه;پوګاڼه|ښې خوا قهر پوګاڼه|ښې خوا قهرپوګاڼه|قهر|لیونۍ
💭;د خبرو پوقانه;بالون|بلبل|د خبرو پوقانه|طنز|فکر
💤;ZZZ;ZZZ|خوب|ښه شپه|طنز

[people_body]
👋;لاس خورول;خوځول|خورول|لاس
	👋🏻;لاس خورول: د روڼ پوستکي ټون;خوځول|خورول|د روڼ پوستکي ټون|لاس|لاس خورول: د روڼ پوستکي ټون
	👋🏼;لاس خورول: غنمی-روښانه پوستکۍ;خوځول|خورول|غنمی-روښانه پوستکۍ|لاس|لاس خورول: غنمی-روښانه پوستکۍ
	👋🏽;لاس خورول: غنم رنګه;خوځول|خورول|غنم رنګه|لاس|لاس خورول: غنم رنګه
	👋🏾;لاس خورول: غنمی-تورنګه پوستکۍ;خوځول|خورول|غنمی-تورنګه پوستکۍ|لاس|لاس خورول: غنمی-تورنګه پوستکۍ
	👋🏿;لاس خورول: تور پوستکۍ;تور پوستکۍ|خوځول|خورول|لاس|لاس خورول: تور پوستکۍ
🤚;لاس شاخوا اچوتول;اوچت|لاس شاخوا|لاس شاخوا اچوتول
	🤚🏻;لاس شاخوا اچوتول: د روڼ پوستکي ټون;اوچت|د روڼ پوستکي ټون|لاس شاخوا|لاس شاخوا اچوتول|لاس شاخوا اچوتول: د روڼ پوستکي ټون
	🤚🏼;لاس شاخوا اچوتول: غنمی-روښانه پوستکۍ;اوچت|غنمی-روښانه پوستکۍ|لاس شاخوا|لاس شاخوا اچوتول|لاس شاخوا اچوتول: غنمی-روښانه پوستکۍ
	🤚🏽;لاس شاخوا اچوتول: غنم رنګه;اوچت|غنم رنګه|لاس شاخوا|لاس شاخوا اچوتول|لاس شاخوا اچوتول: غنم رنګه
	🤚🏾;لاس شاخوا اچوتول: غنمی-تورنګه پوستکۍ;اوچت|غنمی-تورنګه پوستکۍ|لاس شاخوا|لاس شاخوا اچوتول|لاس شاخوا اچوتول: غنمی-تورنګه پوستکۍ
	🤚🏿;لاس شاخوا اچوتول: تور پوستکۍ;اوچت|تور پوستکۍ|لاس شاخوا|لاس شاخوا اچوتول|لاس شاخوا اچوتول: تور پوستکۍ
🖐️;پنجه;پنجه|ګوته|لاس
	🖐🏻;پنجه: د روڼ پوستکي ټون;پنجه|پنجه: د روڼ پوستکي ټون|د روڼ پوستکي ټون|ګوته|لاس
	🖐🏼;پنجه: غنمی-روښانه پوستکۍ;پنجه|پنجه: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|ګوته|لاس
	🖐🏽;پنجه: غنم رنګه;پنجه|پنجه: غنم رنګه|غنم رنګه|ګوته|لاس
	🖐🏾;پنجه: غنمی-تورنګه پوستکۍ;پنجه|پنجه: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|ګوته|لاس
	🖐🏿;پنجه: تور پوستکۍ;پنجه|پنجه: تور پوستکۍ|تور پوستکۍ|ګوته|لاس
✋;اوچت لاس;اوچت لاس|لاس
	✋🏻;اوچت لاس: د روڼ پوستکي ټون;اوچت لاس|اوچت لاس: د روڼ پوستکي ټون|د روڼ پوستکي ټون|لاس
	✋🏼;اوچت لاس: غنمی-روښانه پوستکۍ;اوچت لاس|اوچت لاس: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|لاس
	✋🏽;اوچت لاس: غنم رنګه;اوچت لاس|اوچت لاس: غنم رنګه|غنم رنګه|لاس
	✋🏾;اوچت لاس: غنمی-تورنګه پوستکۍ;اوچت لاس|اوچت لاس: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|لاس
	✋🏿;اوچت لاس: تور پوستکۍ;اوچت لاس|اوچت لاس: تور پوستکۍ|تور پوستکۍ|لاس
🖖;ښه راغلاست;ټوپ|ښه|ښه راغلاست|ګوتي|لاس
	🖖🏻;ښه راغلاست: د روڼ پوستکي ټون;ټوپ|د روڼ پوستکي ټون|ښه|ښه راغلاست|ښه راغلاست: د روڼ پوستکي ټون|ګوتي|لاس
	🖖🏼;ښه راغلاست: غنمی-روښانه پوستکۍ;ټوپ|ښه|ښه راغلاست|ښه راغلاست: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|ګوتي|لاس
	🖖🏽;ښه راغلاست: غنم رنګه;ټوپ|ښه|ښه راغلاست|ښه راغلاست: غنم رنګه|غنم رنګه|ګوتي|لاس
	🖖🏾;ښه راغلاست: غنمی-تورنګه پوستکۍ;ټوپ|ښه|ښه راغلاست|ښه راغلاست: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|ګوتي|لاس
	🖖🏿;ښه راغلاست: تور پوستکۍ;تور پوستکۍ|ټوپ|ښه|ښه راغلاست|ښه راغلاست: تور پوستکۍ|ګوتي|لاس
🫱;ښي لاس;ښي|ښي لاس ته|لاس
	🫱🏻;ښي لاس: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ښي|ښي لاس ته|ښي لاس: د روڼ پوستکي ټون|لاس
	🫱🏼;ښي لاس: غنمی-روښانه پوستکۍ;ښي|ښي لاس ته|ښي لاس: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|لاس
	🫱🏽;ښي لاس: غنم رنګه;ښي|ښي لاس ته|ښي لاس: غنم رنګه|غنم رنګه|لاس
	🫱🏾;ښي لاس: غنمی-تورنګه پوستکۍ;ښي|ښي لاس ته|ښي لاس: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|لاس
	🫱🏿;ښي لاس: تور پوستکۍ;تور پوستکۍ|ښي|ښي لاس ته|ښي لاس: تور پوستکۍ|لاس
🫲;کیڼ لاس;کی|کیڼ اړخ ته|کیڼ لاس|لاس
	🫲🏻;کیڼ لاس: د روڼ پوستکي ټون;د روڼ پوستکي ټون|کی|کیڼ اړخ ته|کیڼ لاس|کیڼ لاس: د روڼ پوستکي ټون|لاس
	🫲🏼;کیڼ لاس: غنمی-روښانه پوستکۍ;غنمی-روښانه پوستکۍ|کی|کیڼ اړخ ته|کیڼ لاس|کیڼ لاس: غنمی-روښانه پوستکۍ|لاس
	🫲🏽;کیڼ لاس: غنم رنګه;غنم رنګه|کی|کیڼ اړخ ته|کیڼ لاس|کیڼ لاس: غنم رنګه|لاس
	🫲🏾;کیڼ لاس: غنمی-تورنګه پوستکۍ;غنمی-تورنګه پوستکۍ|کی|کیڼ اړخ ته|کیڼ لاس|کیڼ لاس: غنمی-تورنګه پوستکۍ|لاس
	🫲🏿;کیڼ لاس: تور پوستکۍ;تور پوستکۍ|کی|کیڼ اړخ ته|کیڼ لاس|کیڼ لاس: تور پوستکۍ|لاس
🫳;ورغوې ښکته اړخ لاس;بو|غورځول|ګوښه کول|ورغوې ښکته اړخ لاس
	🫳🏻;ورغوې ښکته اړخ لاس: د روڼ پوستکي ټون;بو|د روڼ پوستکي ټون|غورځول|ګوښه کول|ورغوې ښکته اړخ لاس|ورغوې ښکته اړخ لاس: د روڼ پوستکي ټون
	🫳🏼;ورغوې ښکته اړخ لاس: غنمی-روښانه پوستکۍ;بو|غنمی-روښانه پوستکۍ|غورځول|ګوښه کول|ورغوې ښکته اړخ لاس|ورغوې ښکته اړخ لاس: غنمی-روښانه پوستکۍ
	🫳🏽;ورغوې ښکته اړخ لاس: غنم رنګه;بو|غنم رنګه|غورځول|ګوښه کول|ورغوې ښکته اړخ لاس|ورغوې ښکته اړخ لاس: غنم رنګه
	🫳🏾;ورغوې ښکته اړخ لاس: غنمی-تورنګه پوستکۍ;بو|غنمی-تورنګه پوستکۍ|غورځول|ګوښه کول|ورغوې ښکته اړخ لاس|ورغوې ښکته اړخ لاس: غنمی-تورنګه پوستکۍ
	🫳🏿;ورغوې ښکته اړخ لاس: تور پوستکۍ;بو|تور پوستکۍ|غورځول|ګوښه کول|ورغوې ښکته اړخ لاس|ورغوې ښکته اړخ لاس: تور پوستکۍ
🫴;ورغوس پورته لاس;اشاره|راځئ|نیول|ورغوس پورته لاس|وړاندیز
	🫴🏻;ورغوس پورته لاس: د روڼ پوستکي ټون;اشاره|د روڼ پوستکي ټون|راځئ|نیول|ورغوس پورته لاس|ورغوس پورته لاس: د روڼ پوستکي ټون|وړاندیز
	🫴🏼;ورغوس پورته لاس: غنمی-روښانه پوستکۍ;اشاره|راځئ|غنمی-روښانه پوستکۍ|نیول|ورغوس پورته لاس|ورغوس پورته لاس: غنمی-روښانه پوستکۍ|وړاندیز
	🫴🏽;ورغوس پورته لاس: غنم رنګه;اشاره|راځئ|غنم رنګه|نیول|ورغوس پورته لاس|ورغوس پورته لاس: غنم رنګه|وړاندیز
	🫴🏾;ورغوس پورته لاس: غنمی-تورنګه پوستکۍ;اشاره|راځئ|غنمی-تورنګه پوستکۍ|نیول|ورغوس پورته لاس|ورغوس پورته لاس: غنمی-تورنګه پوستکۍ|وړاندیز
	🫴🏿;ورغوس پورته لاس: تور پوستکۍ;اشاره|تور پوستکۍ|راځئ|نیول|ورغوس پورته لاس|ورغوس پورته لاس: تور پوستکۍ|وړاندیز
🫷;کیڼ اړخ ته لاس وهل;انتظار|انکار|فشار|کیڼ اړخ ته لاس وهل|کیڼ لورته|لوړ پنځه|ودریږي
	🫷🏻;کیڼ اړخ ته لاس وهل: د روڼ پوستکي ټون;انتظار|انکار|د روڼ پوستکي ټون|فشار|کیڼ اړخ ته لاس وهل|کیڼ اړخ ته لاس وهل: د روڼ پوستکي ټون|کیڼ لورته|لوړ پنځه|ودریږي
	🫷🏼;کیڼ اړخ ته لاس وهل: غنمی-روښانه پوستکۍ;انتظار|انکار|غنمی-روښانه پوستکۍ|فشار|کیڼ اړخ ته لاس وهل|کیڼ اړخ ته لاس وهل: غنمی-روښانه پوستکۍ|کیڼ لورته|لوړ پنځه|ودریږي
	🫷🏽;کیڼ اړخ ته لاس وهل: غنم رنګه;انتظار|انکار|غنم رنګه|فشار|کیڼ اړخ ته لاس وهل|کیڼ اړخ ته لاس وهل: غنم رنګه|کیڼ لورته|لوړ پنځه|ودریږي
	🫷🏾;کیڼ اړخ ته لاس وهل: غنمی-تورنګه پوستکۍ;انتظار|انکار|غنمی-تورنګه پوستکۍ|فشار|کیڼ اړخ ته لاس وهل|کیڼ اړخ ته لاس وهل: غنمی-تورنګه پوستکۍ|کیڼ لورته|لوړ پنځه|ودریږي
	🫷🏿;کیڼ اړخ ته لاس وهل: تور پوستکۍ;انتظار|انکار|تور پوستکۍ|فشار|کیڼ اړخ ته لاس وهل|کیڼ اړخ ته لاس وهل: تور پوستکۍ|کیڼ لورته|لوړ پنځه|ودریږي
🫸;ښي خوا ته لاس وهل;انتظار|انکار|ښي خوا ته لاس وهل|ښي خواته|فشار|لوړ پنځه|ودریږي
	🫸🏻;ښي خوا ته لاس وهل: د روڼ پوستکي ټون;انتظار|انکار|د روڼ پوستکي ټون|ښي خوا ته لاس وهل|ښي خوا ته لاس وهل: د روڼ پوستکي ټون|ښي خواته|فشار|لوړ پنځه|ودریږي
	🫸🏼;ښي خوا ته لاس وهل: غنمی-روښانه پوستکۍ;انتظار|انکار|ښي خوا ته لاس وهل|ښي خوا ته لاس وهل: غنمی-روښانه پوستکۍ|ښي خواته|غنمی-روښانه پوستکۍ|فشار|لوړ پنځه|ودریږي
	🫸🏽;ښي خوا ته لاس وهل: غنم رنګه;انتظار|انکار|ښي خوا ته لاس وهل|ښي خوا ته لاس وهل: غنم رنګه|ښي خواته|غنم رنګه|فشار|لوړ پنځه|ودریږي
	🫸🏾;ښي خوا ته لاس وهل: غنمی-تورنګه پوستکۍ;انتظار|انکار|ښي خوا ته لاس وهل|ښي خوا ته لاس وهل: غنمی-تورنګه پوستکۍ|ښي خواته|غنمی-تورنګه پوستکۍ|فشار|لوړ پنځه|ودریږي
	🫸🏿;ښي خوا ته لاس وهل: تور پوستکۍ;انتظار|انکار|تور پوستکۍ|ښي خوا ته لاس وهل|ښي خوا ته لاس وهل: تور پوستکۍ|ښي خواته|فشار|لوړ پنځه|ودریږي
👌;اوکی لاس;اوکی|لاس
	👌🏻;اوکی لاس: د روڼ پوستکي ټون;اوکی|اوکی لاس: د روڼ پوستکي ټون|د روڼ پوستکي ټون|لاس
	👌🏼;اوکی لاس: غنمی-روښانه پوستکۍ;اوکی|اوکی لاس: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|لاس
	👌🏽;اوکی لاس: غنم رنګه;اوکی|اوکی لاس: غنم رنګه|غنم رنګه|لاس
	👌🏾;اوکی لاس: غنمی-تورنګه پوستکۍ;اوکی|اوکی لاس: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|لاس
	👌🏿;اوکی لاس: تور پوستکۍ;اوکی|اوکی لاس: تور پوستکۍ|تور پوستکۍ|لاس
🤌;چونګ ګوتې;تفتيش|تنزيه|چونګ|د لاس اشاره|ګوتې
