# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;nevető arc;arc|nevetés|nevető arc
😛;arc kinyújtott nyelvvel;arc|arc kinyújtott nyelvvel|nyelv
😜;arc kinyújtott nyelvvel és kacsintó szemmel;arc|arc kinyújtott nyelvvel és kacsintó szemmel|kacsintás|mosoly|nyelv|szem|vicc
🤪;őrült fej;kicsi|nagy|őrült fej|szem
😝;arc kilógó nyelvvel és erősen behunyt szemmel;arc|arc kilógó nyelvvel és erősen behunyt szemmel|kiöltött nyelv|lehunyt szem|szörnyű íz
🤑;arc dollárjelekkel;arc|arc dollárjelekkel|dollár|pénz|száj
🤗;ölelés;arc|ölelés
🤭;arc szájra tett kézzel;arc szájra tett kézzel|hoppá
🫢;nyitott szemű, száját takaró arc;ámulat|csodálkozás|hitetlenkedés|ijedt|meglep|nyitott szemű|nyitott szemű, száját takaró arc|száját takaró arc|zavarba hoz
🫣;kémlelő szemű arc;bámul|kémlelő szemű arc|megbabonázott|pillant
🤫;csitító arc;csend|csitító arc|csitt
🤔;gondolkodó arc;arc|elgondolkodó|gondolkodó arc
🫡;tisztelgő arc;derűs|igen|katonák|oké|tisztelgés|tisztelgő arc
🤐;arc összecipzározott szájjal;arc|arc összecipzározott szájjal|cipzár|száj
🤨;felhúzott szemöldökű arc;bizalmatlan|felhúzott szemöldökű arc|kételkedő
😐;semleges arc;arc|pókerarc|semleges
😑;kifejezéstelen arc;arc|érzéketlen|kifejezéstelen|semleges
😶;száj nélküli arc;arc|csendes|néma|nincs szája|száj nélküli arc
🫥;pontozott vonalas arc;elrejtőzik|eltűnik|introvertált|láthatatlan|levert|pontozott vonalas arc
😶‍🌫️;arc a felhőben;arc a felhőben|arc a ködben|elgondolkodó|fej a felhők között
😏;önelégült vigyor;arc|önelégült|vigyor
😒;unott arc;arc|boldogtalan|unott
🙄;szemét forgató arc;arc|forgó szemek|szemét forgató arc
😬;grimaszoló arc;arc|grimasz|grimaszoló arc
😮‍💨;levegőt kifújó arc;fütty|kilégzés|levegőt kifújó arc|megkönnyebbülés|sóhajtás|suttogás|zihálás
🤥;hazudó arc;arc|hazudik|hazudó|hazudós|pinokkió
🫨;rázkódó arc;arc|földrengés|meglepődés|rázkódó|rezeg
🙂‍↔️;;
🙂‍↕️;;
😌;megkönnyebbült arc;arc|megkönnyebbült
😔;elgondolkodó arc;arc|elgondolkodó|tűnődő
😪;álmos arc;álmos|arc|ásít
🤤;nyáladzó fej;fej|nyál|nyáladzó
😴;alvó arc;alvás|alvó arc|arc|zzz
😷;arc egészségügyi maszkkal;arc|arc egészségügyi maszkkal|betegség|egészségügyi maszk|gyógyszer|orvos
🤒;arc lázmérővel;arc|arc lázmérővel|beteg|lázmérő
🤕;arc bekötött fejjel;arc|arc bekötött fejjel|kötés|sérülés
🤢;émelygő arc;arc|émelygő|hányás
🤮;hányó arc;beteg|hány|hányó arc
🤧;tüsszentő arc;fej|hapci|tüsszent|tüsszentő|tüsszentő arc
🥵;forró arc;forró arc|forróság|hőguta|izzadó|lázas|vörös arcú
🥶;fagyos arc;elkékült arc|fagyás|fagyos arc|fagyoskodik|hideg|jégcsapok
🥴;részeges arc;hullámvonalas száj|ittas|kába|keresztbeálló szemek|részeges arc|spicces
😵;szédülő arc;arc|szédülés|szédülő arc
😵‍💫;spirálszemű arc;baj|hipnotizált|húha|spirál|spirálszemű arc|szédülő
🤯;felrobbanó fej;felrobbanó fej|megdöbbent
🤠;cowboykalapos fej;cowboy|cowboykalapos fej|fej|kalap
🥳;bulizó arc;buli|bulizó arc|csákó|duda|ünneplés
🥸;álcázott arc;álca|álcázott arc|arc|inkognító|orr|szemüveg
😎;mosolygó arc napszemüveggel;arc|laza|mosoly|mosolygó arc napszemüveggel|napszemüveg
🤓;kockaarc;arc|gépmániás|kocka|kockaarc
🧐;arc monoklival;arc monoklival|mérges
😕;zavart arc;arc|zavart
🫤;átlós szájú arc;átlós szájú arc|bizonytalan|csalódott|kétkedő|meh
😟;aggódó arc;aggodalmas|aggódó arc|arc
🙁;kissé komor arc;arc|kissé komor arc|rosszallás
☹️;rosszalló arc;arc|rosszallás|rosszalló arc
😮;arc nyitott szájjal;arc|arc nyitott szájjal|csodálkozás|nyitott száj
😯;meglepődött arc;arc|döbbent|meglepett|meglepődött
😲;lenyűgözött arc;arc|csodálkozó|lenyűgözött
😳;elpirult arc;arc|elpirul|elpirult arc|elvörösödik
🥺;esedező arc;bociszemek|esedező arc|kérlelő|könyörgős
🥹;könnyeivel küszködő arc;büszke|dühös|ellenáll|könnyeivel küszködő arc|sír|szomorú
😦;rosszalló arc nyitott szájjal;arc|nyitott száj|rosszallás|rosszalló arc nyitott szájjal
😧;elkínzott arc;arc|elgyötört|elkínzott
😨;félelemmel teli arc;arc|félelem|félelemmel teli arc|rémült
😰;aggódó arc nyitott szájjal és verejtékkel;aggódó arc nyitott szájjal és verejtékkel|arc|hideg verejték|nyitott száj|rohanás
😥;csalódott, de megkönnyebbült arc;arc|csalódott|csalódott, de megkönnyebbült arc|de megkönnyebbült arc|huhh|megkönnyebbült
😢;síró arc;arc|könnycsepp|sírás|síró arc|szomorúság
😭;zokogó arc;arc|könnyek|sírás|szomorúság|zokogás|zokogó arc
😱;félelemtől sikoltó arc;arc|félelem|félelemtől sikoltó arc|munch|rémület|sikoly
😖;összezavarodott arc;arc|összezavarodott
😣;állhatatos arc;állhatatos arc|állhatatosság|arc
😞;csalódott arc;arc|csalódott
😓;lehangolt arc verejtékkel;arc|lehangolt arc verejtékkel|verejték
😩;kimerült arc;arc|fáradt|kimerült|megviselt
😫;fáradt arc;arc|fáradt arc|fáradtság
🥱;ásító arc;arc|ásít|ásítás|ásító|fáradt
😤;orrából gőzt fújtató arc;arc|győzelem|orrából gőzt fújtató arc|siker
😡;duzzogó arc;arc|dühös|duzzog|duzzogó arc|mérges|vörös
😠;mérges arc;arc|dühös|mérges
🤬;arc jelekkel a száján;arc jelekkel a száján|káromkodás
😈;mosolygó arc szarvakkal;arc|fantasy|mese|mosoly|mosolygó arc szarvakkal|ördög|szarvak
👿;ördög;démon|fantasy|mérges arc szarvakkal|mese|ördög
💀;koponya;csont|halál|koponya|szörny
☠️;koponya csontokkal;arc|csont|csontok|halál|koponya|koponya csontokkal
💩;kakihalom;kaka|kaki|kakiarc|kakihalom|képregény
🤡;bohócfej;bohóc|bohócfej|fej
👹;ogre;arc|japán|lény|mese|ogre|óriás|szörny
👺;kobold;arc|fantasy|japán|kobold|lény|mese|szörny
👻;szellem;arc|kísértet|lény|mese|szellem|szörny
👽;földönkívüli;földönkívüli|idegen|ufó|űrlény
👾;földönkívüli szörny;földönkívüli|idegen|szörny|ufó|űrlény
🤖;robot;arc|robot|szörny
😺;nevető macska;arc|macska|mosoly|nevető macska|nyitott|száj
😸;nevető macska mosolygó szemmel;arc|macska|mosolygó|nevetés|nevető macska mosolygó szemmel|szem
😹;macska örömkönnyekkel;arc|könny|macska|macska örömkönnyekkel|mosoly|örömkönny
😻;mosolygó macska szív alakú szemmel;arc|macska|mosoly|mosolygó macska szív alakú szemmel|szerelem|szív
😼;macska fanyar mosollyal;arc|fanyar|irónia|macska|macska fanyar mosollyal|mosoly
😽;csókoló macska;arc|csók|csókoló|macska
🙀;kimerült macska;arc|hűha|kimerült|macska
😿;síró macska;arc|macska|sírás|síró|szomorú
😾;duzzogó macska;arc|duzzogás|duzzogó|macska
🙈;nem láttam semmit;majom|nem|nem lát semmit|nem láttam semmit|tilos
🙉;nem hallottam semmit;majom|nem|nem hall semmit|nem hallottam semmit|tilos
🙊;nem szólok semmit;majom|nem|nem szól semmit|nem szólok semmit|tilos
💌;szerelmes levél;levél|romantika|szerelem|szerelmes levél|szív
💘;nyíllal átlőtt szív;Cupido|nyíl|nyíllal átlőtt szív|romantika|szerelem
💝;szív szalaggal;ajándék|szalag|szív|szív szalaggal|valentin-nap
💖;ragyogó szív;izgatott|ragyogás|ragyogó szív|szív
💗;növekvő szív;idegesség|izgalom|növekvő szív|szív|szívdobogás
💓;dobogó szív;dobogó szív|szív|szívdobogás
💞;forgó szívek;forgás|forgó szívek|szív
💕;két szív;két szív|szerelem|szerelmes szívek|szív|szívek
💟;szív formájú dekoráció;dekoráció|dísz|szív|szív formájú dekoráció
❣️;nagy szív alakú felkiáltójel;írásjel|központozás|nagy szív alakú felkiáltójel|szív
💔;összetört szív;összetört|szív
❤️‍🔥;lángoló szív;égő|lángoló|szerelem|szív|vágy
❤️‍🩹;gyógyuló szív;egészségesebb|felépülő|gyógyuló|gyógyuló szív|javuló|jól van|meggyógyuló
❤️;vörös szív;piros|szív|vörös szív
🩷;rózsaszín szív;cuki|rózsaszín|szerelem|szív|tetszik
🧡;narancssárga szív;narancssárga|narancssárga szív
💛;sárga szív;sárga|szív
💚;zöld szív;szív|zöld
💙;kék szív;kék|szív
🩵;világoskék szív;cián|pávakék|szív|világoskék
💜;lila szív;lila|szív
🤎;barna szív;barna|szív
🖤;fekete szív;fekete|gonosz|szív
🩶;szürke szív;ezüst|pala|szív|szürke
🤍;fehér szív;fehér|szív
💋;csóknyom;ajkak|csók|csóknyom|romantika|szenvedély
💯;száz pont;100|száz|száz pont|teljes pontszám
💢;a düh szimbóluma;a düh szimbóluma|dühös|képregény|mérges
💥;ütközés;bumm|képregény|ütközés
💫;szédülés;csillagokat lát|képregény|szédülés
💦;izzadságcseppek;izzadság|izzadságcseppek|képregény
💨;rohanás;futás|képregény|rohanás
🕳️;lyuk;lyuk
💬;szövegbuborék;beszéd|buborék|képregény|párbeszéd|szövegbuborék
👁️‍🗨️;szem szövegbuborékban;párbeszéd|szem|szem szövegbuborékban|szövegbuborék|tanú
🗨️;balra nyíló szövegbuborék;balra nyíló szövegbuborék|beszéd|buborék|képregény|párbeszéd
🗯️;jobbra nyíló dühös szövegbuborék;buborék|dühös|jobbra nyíló dühös szövegbuborék|képregény|mérges
💭;gondolatbuborék;buborék|gondolat|gondolatbuborék|képregény
💤;alvás;alvás|képregény

[people_body]
👋;integető kéz;integetés|integető kéz|kéz|test
	👋🏻;integető kéz: világos bőrtónus;integetés|integető kéz|integető kéz: világos bőrtónus|kéz|test|világos bőrtónus
	👋🏼;integető kéz: közepesen világos bőrtónus;integetés|integető kéz|integető kéz: közepesen világos bőrtónus|kéz|közepesen világos bőrtónus|test
	👋🏽;integető kéz: közepes bőrtónus;integetés|integető kéz|integető kéz: közepes bőrtónus|kéz|közepes bőrtónus|test
	👋🏾;integető kéz: közepesen sötét bőrtónus;integetés|integető kéz|integető kéz: közepesen sötét bőrtónus|kéz|közepesen sötét bőrtónus|test
	👋🏿;integető kéz: sötét bőrtónus;integetés|integető kéz|integető kéz: sötét bőrtónus|kéz|sötét bőrtónus|test
🤚;kézfej;felemelt|kézfej
	🤚🏻;kézfej: világos bőrtónus;felemelt|kézfej|kézfej: világos bőrtónus|világos bőrtónus
	🤚🏼;kézfej: közepesen világos bőrtónus;felemelt|kézfej|kézfej: közepesen világos bőrtónus|közepesen világos bőrtónus
	🤚🏽;kézfej: közepes bőrtónus;felemelt|kézfej|kézfej: közepes bőrtónus|közepes bőrtónus
	🤚🏾;kézfej: közepesen sötét bőrtónus;felemelt|kézfej|kézfej: közepesen sötét bőrtónus|közepesen sötét bőrtónus
	🤚🏿;kézfej: sötét bőrtónus;felemelt|kézfej|kézfej: sötét bőrtónus|sötét bőrtónus
🖐️;felemelt kéz szétálló ujjakkal;felemelt kéz szétálló ujjakkal|kéz|szétálló|test|ujj
	🖐🏻;felemelt kéz szétálló ujjakkal: világos bőrtónus;felemelt kéz szétálló ujjakkal|felemelt kéz szétálló ujjakkal: világos bőrtónus|kéz|szétálló|test|ujj|világos bőrtónus
	🖐🏼;felemelt kéz szétálló ujjakkal: közepesen világos bőrtónus;felemelt kéz szétálló ujjakkal|felemelt kéz szétálló ujjakkal: közepesen világos bőrtónus|kéz|közepesen világos bőrtónus|szétálló|test|ujj
	🖐🏽;felemelt kéz szétálló ujjakkal: közepes bőrtónus;felemelt kéz szétálló ujjakkal|felemelt kéz szétálló ujjakkal: közepes bőrtónus|kéz|közepes bőrtónus|szétálló|test|ujj
	🖐🏾;felemelt kéz szétálló ujjakkal: közepesen sötét bőrtónus;felemelt kéz szétálló ujjakkal|felemelt kéz szétálló ujjakkal: közepesen sötét bőrtónus|kéz|közepesen sötét bőrtónus|szétálló|test|ujj
	🖐🏿;felemelt kéz szétálló ujjakkal: sötét bőrtónus;felemelt kéz szétálló ujjakkal|felemelt kéz szétálló ujjakkal: sötét bőrtónus|kéz|sötét bőrtónus|szétálló|test|ujj
✋;felemelt kéz;fel|felemelt kéz|kéz|test
	✋🏻;felemelt kéz: világos bőrtónus;fel|felemelt kéz|felemelt kéz: világos bőrtónus|kéz|test|világos bőrtónus
	✋🏼;felemelt kéz: közepesen világos bőrtónus;fel|felemelt kéz|felemelt kéz: közepesen világos bőrtónus|kéz|közepesen világos bőrtónus|test
	✋🏽;felemelt kéz: közepes bőrtónus;fel|felemelt kéz|felemelt kéz: közepes bőrtónus|kéz|közepes bőrtónus|test
	✋🏾;felemelt kéz: közepesen sötét bőrtónus;fel|felemelt kéz|felemelt kéz: közepesen sötét bőrtónus|kéz|közepesen sötét bőrtónus|test
	✋🏿;felemelt kéz: sötét bőrtónus;fel|felemelt kéz|felemelt kéz: sötét bőrtónus|kéz|sötét bőrtónus|test
🖖;star trek-üdvözlet;kéz|spock|star trek|star trek-üdvözlet|test|ujj|vulcan
	🖖🏻;star trek-üdvözlet: világos bőrtónus;kéz|spock|star trek|star trek-üdvözlet|star trek-üdvözlet: világos bőrtónus|test|ujj|világos bőrtónus|vulcan
	🖖🏼;star trek-üdvözlet: közepesen világos bőrtónus;kéz|közepesen világos bőrtónus|spock|star trek|star trek-üdvözlet|star trek-üdvözlet: közepesen világos bőrtónus|test|ujj|vulcan
	🖖🏽;star trek-üdvözlet: közepes bőrtónus;kéz|közepes bőrtónus|spock|star trek|star trek-üdvözlet|star trek-üdvözlet: közepes bőrtónus|test|ujj|vulcan
	🖖🏾;star trek-üdvözlet: közepesen sötét bőrtónus;kéz|közepesen sötét bőrtónus|spock|star trek|star trek-üdvözlet|star trek-üdvözlet: közepesen sötét bőrtónus|test|ujj|vulcan
	🖖🏿;star trek-üdvözlet: sötét bőrtónus;kéz|sötét bőrtónus|spock|star trek|star trek-üdvözlet|star trek-üdvözlet: sötét bőrtónus|test|ujj|vulcan
🫱;jobbra néző kéz;jobb|jobbra néző|jobbra néző kéz|kéz
	🫱🏻;jobbra néző kéz: világos bőrtónus;jobb|jobbra néző|jobbra néző kéz|jobbra néző kéz: világos bőrtónus|kéz|világos bőrtónus
	🫱🏼;jobbra néző kéz: közepesen világos bőrtónus;jobb|jobbra néző|jobbra néző kéz|jobbra néző kéz: közepesen világos bőrtónus|kéz|közepesen világos bőrtónus
	🫱🏽;jobbra néző kéz: közepes bőrtónus;jobb|jobbra néző|jobbra néző kéz|jobbra néző kéz: közepes bőrtónus|kéz|közepes bőrtónus
	🫱🏾;jobbra néző kéz: közepesen sötét bőrtónus;jobb|jobbra néző|jobbra néző kéz|jobbra néző kéz: közepesen sötét bőrtónus|kéz|közepesen sötét bőrtónus
	🫱🏿;jobbra néző kéz: sötét bőrtónus;jobb|jobbra néző|jobbra néző kéz|jobbra néző kéz: sötét bőrtónus|kéz|sötét bőrtónus
🫲;balra néző kéz;bal|balra néző|balra néző kéz|kéz
	🫲🏻;balra néző kéz: világos bőrtónus;bal|balra néző|balra néző kéz|balra néző kéz: világos bőrtónus|kéz|világos bőrtónus
	🫲🏼;balra néző kéz: közepesen világos bőrtónus;bal|balra néző|balra néző kéz|balra néző kéz: közepesen világos bőrtónus|kéz|közepesen világos bőrtónus
	🫲🏽;balra néző kéz: közepes bőrtónus;bal|balra néző|balra néző kéz|balra néző kéz: közepes bőrtónus|kéz|közepes bőrtónus
	🫲🏾;balra néző kéz: közepesen sötét bőrtónus;bal|balra néző|balra néző kéz|balra néző kéz: közepesen sötét bőrtónus|kéz|közepesen sötét bőrtónus
	🫲🏿;balra néző kéz: sötét bőrtónus;bal|balra néző|balra néző kéz|balra néző kéz: sötét bőrtónus|kéz|sötét bőrtónus
🫳;lefelé néző kéz;elejt|hess|lefelé néző kéz|mellőz
	🫳🏻;lefelé néző kéz: világos bőrtónus;elejt|hess|lefelé néző kéz|lefelé néző kéz: világos bőrtónus|mellőz|világos bőrtónus
	🫳🏼;lefelé néző kéz: közepesen világos bőrtónus;elejt|hess|közepesen világos bőrtónus|lefelé néző kéz|lefelé néző kéz: közepesen világos bőrtónus|mellőz
	🫳🏽;lefelé néző kéz: közepes bőrtónus;elejt|hess|közepes bőrtónus|lefelé néző kéz|lefelé néző kéz: közepes bőrtónus|mellőz
	🫳🏾;lefelé néző kéz: közepesen sötét bőrtónus;elejt|hess|közepesen sötét bőrtónus|lefelé néző kéz|lefelé néző kéz: közepesen sötét bőrtónus|mellőz
	🫳🏿;lefelé néző kéz: sötét bőrtónus;elejt|hess|lefelé néző kéz|lefelé néző kéz: sötét bőrtónus|mellőz|sötét bőrtónus
🫴;felfelé néző kéz;elkap|felajánl|felfelé néző kéz|hív|int
	🫴🏻;felfelé néző kéz: világos bőrtónus;elkap|felajánl|felfelé néző kéz|felfelé néző kéz: világos bőrtónus|hív|int|világos bőrtónus
	🫴🏼;felfelé néző kéz: közepesen világos bőrtónus;elkap|felajánl|felfelé néző kéz|felfelé néző kéz: közepesen világos bőrtónus|hív|int|közepesen világos bőrtónus
	🫴🏽;felfelé néző kéz: közepes bőrtónus;elkap|felajánl|felfelé néző kéz|felfelé néző kéz: közepes bőrtónus|hív|int|közepes bőrtónus
	🫴🏾;felfelé néző kéz: közepesen sötét bőrtónus;elkap|felajánl|felfelé néző kéz|felfelé néző kéz: közepesen sötét bőrtónus|hív|int|közepesen sötét bőrtónus
	🫴🏿;felfelé néző kéz: sötét bőrtónus;elkap|felajánl|felfelé néző kéz|felfelé néző kéz: sötét bőrtónus|hív|int|sötét bőrtónus
🫷;balra toló kéz;balra|balra toló kéz|elutasít|pacsi|stop|tol|vár
	🫷🏻;balra toló kéz: világos bőrtónus;balra|balra toló kéz|balra toló kéz: világos bőrtónus|elutasít|pacsi|stop|tol|vár|világos bőrtónus
	🫷🏼;balra toló kéz: közepesen világos bőrtónus;balra|balra toló kéz|balra toló kéz: közepesen világos bőrtónus|elutasít|közepesen világos bőrtónus|pacsi|stop|tol|vár
	🫷🏽;balra toló kéz: közepes bőrtónus;balra|balra toló kéz|balra toló kéz: közepes bőrtónus|elutasít|közepes bőrtónus|pacsi|stop|tol|vár
	🫷🏾;balra toló kéz: közepesen sötét bőrtónus;balra|balra toló kéz|balra toló kéz: közepesen sötét bőrtónus|elutasít|közepesen sötét bőrtónus|pacsi|stop|tol|vár
	🫷🏿;balra toló kéz: sötét bőrtónus;balra|balra toló kéz|balra toló kéz: sötét bőrtónus|elutasít|pacsi|sötét bőrtónus|stop|tol|vár
🫸;jobbra toló kéz;elutasít|jobbra|jobbra toló kéz|pacsi|stop|tol|vár
	🫸🏻;jobbra toló kéz: világos bőrtónus;elutasít|jobbra|jobbra toló kéz|jobbra toló kéz: világos bőrtónus|pacsi|stop|tol|vár|világos bőrtónus
	🫸🏼;jobbra toló kéz: közepesen világos bőrtónus;elutasít|jobbra|jobbra toló kéz|jobbra toló kéz: közepesen világos bőrtónus|közepesen világos bőrtónus|pacsi|stop|tol|vár
	🫸🏽;jobbra toló kéz: közepes bőrtónus;elutasít|jobbra|jobbra toló kéz|jobbra toló kéz: közepes bőrtónus|közepes bőrtónus|pacsi|stop|tol|vár
	🫸🏾;jobbra toló kéz: közepesen sötét bőrtónus;elutasít|jobbra|jobbra toló kéz|jobbra toló kéz: közepesen sötét bőrtónus|közepesen sötét bőrtónus|pacsi|stop|tol|vár
	🫸🏿;jobbra toló kéz: sötét bőrtónus;elutasít|jobbra|jobbra toló kéz|jobbra toló kéz: sötét bőrtónus|pacsi|sötét bőrtónus|stop|tol|vár
👌;ok jel;kéz|ok jel|oké|rendben|test
	👌🏻;ok jel: világos bőrtónus;kéz|ok jel|ok jel: világos bőrtónus|oké|rendben|test|világos bőrtónus
	👌🏼;ok jel: közepesen világos bőrtónus;kéz|közepesen világos bőrtónus|ok jel|ok jel: közepesen világos bőrtónus|oké|rendben|test
	👌🏽;ok jel: közepes bőrtónus;kéz|közepes bőrtónus|ok jel|ok jel: közepes bőrtónus|oké|rendben|test
	👌🏾;ok jel: közepesen sötét bőrtónus;kéz|közepesen sötét bőrtónus|ok jel|ok jel: közepesen sötét bőrtónus|oké|rendben|test
	👌🏿;ok jel: sötét bőrtónus;kéz|ok jel|ok jel: sötét bőrtónus|oké|rendben|sötét bőrtónus|test
🤌;összecsippentett ujjak;gúnyos|kézmozdulat|kihallgatás|összecsippentett|ujjak
	🤌🏻;összecsippentett ujjak: világos bőrtónus;gúnyos|kézmozdulat|kihallgatás|összecsippentett|összecsippentett ujjak: világos bőrtónus|ujjak|világos bőrtónus
	🤌🏼;összecsippentett ujjak: közepesen világos bőrtónus;gúnyos|kézmozdulat|kihallgatás|közepesen világos bőrtónus|összecsippentett|összecsippentett ujjak: közepesen világos bőrtónus|ujjak
	🤌🏽;összecsippentett ujjak: közepes bőrtónus;gúnyos|kézmozdulat|kihallgatás|közepes bőrtónus|összecsippentett|összecsippentett ujjak: közepes bőrtónus|ujjak
	🤌🏾;összecsippentett ujjak: közepesen sötét bőrtónus;gúnyos|kézmozdulat|kihallgatás|közepesen sötét bőrtónus|összecsippentett|összecsippentett ujjak: közepesen sötét bőrtónus|ujjak
	🤌🏿;összecsippentett ujjak: sötét bőrtónus;gúnyos|kézmozdulat|kihallgatás|összecsippentett|összecsippentett ujjak: sötét bőrtónus|sötét bőrtónus|ujjak
🤏;csippentő kéz;csippentő kéz|kis összeg
	🤏🏻;csippentő kéz: világos bőrtónus;csippentő kéz|csippentő kéz: világos bőrtónus|kis összeg|világos bőrtónus
	🤏🏼;csippentő kéz: közepesen világos bőrtónus;csippentő kéz|csippentő kéz: közepesen világos bőrtónus|kis összeg|közepesen világos bőrtónus
	🤏🏽;csippentő kéz: közepes bőrtónus;csippentő kéz|csippentő kéz: közepes bőrtónus|kis összeg|közepes bőrtónus
	🤏🏾;csippentő kéz: közepesen sötét bőrtónus;csippentő kéz|csippentő kéz: közepesen sötét bőrtónus|kis összeg|közepesen sötét bőrtónus
	🤏🏿;csippentő kéz: sötét bőrtónus;csippentő kéz|csippentő kéz: sötét bőrtónus|kis összeg|sötét bőrtónus
✌️;győzelmi jelet mutató kéz;betű|győzelmi jelet mutató kéz|jel|kéz|kézjel|test
	✌🏻;győzelmi jelet mutató kéz: világos bőrtónus;betű|győzelmi jelet mutató kéz|győzelmi jelet mutató kéz: világos bőrtónus|jel|kéz|kézjel|test|világos bőrtónus
	✌🏼;győzelmi jelet mutató kéz: közepesen világos bőrtónus;betű|győzelmi jelet mutató kéz|győzelmi jelet mutató kéz: közepesen világos bőrtónus|jel|kéz|kézjel|közepesen világos bőrtónus|test
	✌🏽;győzelmi jelet mutató kéz: közepes bőrtónus;betű|győzelmi jelet mutató kéz|győzelmi jelet mutató kéz: közepes bőrtónus|jel|kéz|kézjel|közepes bőrtónus|test
	✌🏾;győzelmi jelet mutató kéz: közepesen sötét bőrtónus;betű|győzelmi jelet mutató kéz|győzelmi jelet mutató kéz: közepesen sötét bőrtónus|jel|kéz|kézjel|közepesen sötét bőrtónus|test
	✌🏿;győzelmi jelet mutató kéz: sötét bőrtónus;betű|győzelmi jelet mutató kéz|győzelmi jelet mutató kéz: sötét bőrtónus|jel|kéz|kézjel|sötét bőrtónus|test
🤞;keresztezett ujjak;keresztezett|keresztezett ujjak|szerencse|ujj
	🤞🏻;keresztezett ujjak: világos bőrtónus;keresztezett|keresztezett ujjak|keresztezett ujjak: világos bőrtónus|szerencse|ujj|világos bőrtónus
	🤞🏼;keresztezett ujjak: közepesen világos bőrtónus;keresztezett|keresztezett ujjak|keresztezett ujjak: közepesen világos bőrtónus|közepesen világos bőrtónus|szerencse|ujj
	🤞🏽;keresztezett ujjak: közepes bőrtónus;keresztezett|keresztezett ujjak|keresztezett ujjak: közepes bőrtónus|közepes bőrtónus|szerencse|ujj
	🤞🏾;keresztezett ujjak: közepesen sötét bőrtónus;keresztezett|keresztezett ujjak|keresztezett ujjak: közepesen sötét bőrtónus|közepesen sötét bőrtónus|szerencse|ujj
	🤞🏿;keresztezett ujjak: sötét bőrtónus;keresztezett|keresztezett ujjak|keresztezett ujjak: sötét bőrtónus|sötét bőrtónus|szerencse|ujj
🫰;keresztezett mutató- és hüvelykujjú kéz;csettint|drága|keresztezett mutató- és hüvelykujjú kéz|pénz|szeretet|szív
	🫰🏻;keresztezett mutató- és hüvelykujjú kéz: világos bőrtónus;csettint|drága|keresztezett mutató- és hüvelykujjú kéz|keresztezett mutató- és hüvelykujjú kéz: világos bőrtónus|pénz|szeretet|szív|világos bőrtónus
	🫰🏼;keresztezett mutató- és hüvelykujjú kéz: közepesen világos bőrtónus;csettint|drága|keresztezett mutató- és hüvelykujjú kéz|keresztezett mutató- és hüvelykujjú kéz: közepesen világos bőrtónus|közepesen világos bőrtónus|pénz|szeretet|szív
