# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;کھل کے ہنستا چہرہ;چہرہ|کھل کے ہنستا چہرہ|کھلا|منہ|ہنسی
🫥;نقطے دار لائن والا چہرہ;افسردہ|پوشیدہ|چھپنا|شرمیلا|غائب|نقطے دار لائن والا چہرہ
😶‍🌫️;بادلوں میں چہرہ;بادلوں میں چہرہ|بادلوں میں سر|دھند میں چہرہ|غافل
😏;طنزیہ مسکراہٹ والا چہرہ;چہرہ|طنزیہ|طنزیہ مسکراہٹ والا چہرہ
😒;اداس چہرہ;اداس چہرہ|چہرہ|نا خوش
🙄;گھومتی آنکھوں والا چہرہ;آنکھیں|چہرہ|گھومتی آنکھوں والا چہرہ|گھومنا
😬;مضحکہ خیز چہرہ;چہرہ|مضحکہ خیز چہرہ|ناگواریت
😮‍💨;سانس چھوڑتا چہرہ;راحت|سانس چھوڑتا چہرہ|سانس چھوڑنا|سرگوشی کرنا|سیٹی بجانا|کراہنا|ہانپنا
🤥;جھوٹ بولتا چہرہ;جھوٹ|جھوٹ بولتا چہرہ|چہرہ
🫨;لرزتا ہوا چہرہ;چہرہ|زلزلہ|صدمہ|لرزتا ہوا|لرزتا ہوا چہرہ|وائبریٹ
🙂‍↔️;دائیں بائیں نہ میں سر ہلاتا ہوا;دائیں بائیں نہ میں سر میں ہلاتا ہوا|دائیں بائیں نہ میں سر ہلاتا ہوا|نہیں، سر ہلانا
🙂‍↕️;ہاں میں اوپر نیچے سر ہلاتا ہوا;ہاں بھرنا، ہاں|ہاں میں اوپر نیچے سر ہلاتا ہوا
😌;پُر سکون چہرہ;پُر سکون|پُر سکون چہرہ|چہرہ
😔;سوچ میں ڈوبا چہرہ;چہرہ|سوچ میں ڈوبا چہرہ|غمزدہ
😪;خوابیدہ چہرہ;چہرہ|خوابیدہ چہرہ|غنودگی
🤤;رال ٹپکاتا چہرہ;چہرہ|رال ٹپکاتا چہرہ|رال ٹپکنا
😴;سوتا ہوا چہرہ;چہرہ|سوتا ہوا چہرہ|سونا
😷;طبی ماسک والا چہرہ;ٹھنڈ|چہرہ|ڈاکٹر|طبی ماسک والا چہرہ|ماسک
🤒;تھرمامیٹر لیے چہرہ;بیمار|تھرمامیٹر|تھرمامیٹر لیے چہرہ|چہرہ
🤕;سر پر پٹی باندھے چہرہ;پٹی|چہرہ|زخم|سر پر پٹی باندھے چہرہ
🤢;متلی کی کیفیت والا چہرہ;چہرہ|متلی|متلی کی کیفیت والا چہرہ
🤮;قے کرتا چہرہ;بیمار|قے|قے کرتا چہرہ
🤧;چھینکیں مارتا چہرہ;بیماری|چھینک|چھینکیں مارتا چہرہ|چہرہ
🥵;سرخ چہرہ;بُخار زَدہ|پسینے سے شرابور|حرارت زدگی|سرخ چہرہ|گرم
🥶;سرد چہرہ;برف کے قلمیں|بہت زیادہ سرد|ٹھنڈا|سرد چہرہ|سردی سے ماؤف|نیلگوں چہرہ
🥴;اُلجھن کا شکار شہرہ;اُلجھن کا شکار شہرہ|ٹیڑھی میڑھی آنکھیں|چکرایا ہُوا|مخمُور|مدہوش|ناہموار منہ
😵;چکراتا چہرہ;چکر|چکراتا چہرہ|چہرہ
😵‍💫;مرغولہ آنکھوں والا چہرہ;پریشانی|تنويم کے اثر میں|چکر آنا|رکو|مرغولہ|مرغولہ آنکھوں والا چہرہ
🤯;سر پھٹنا;حیران|سر پھٹنا
🤠;کاؤ بوائے ہیٹ کے ساتھ چہرہ;چہرہ|کاؤ بوائے|کاؤ بوائے ہیٹ کے ساتھ چہرہ|ہیٹ
🥳;پارٹی سے لطف اندوز ہوتا چہرہ;باجا|پارٹی|پارٹی سے لطف اندوز ہوتا چہرہ|ٹوپی|جشن
🥸;بہروپ چہرہ;بہروپ|چشمہ|چہرہ|خفیہ|ناک
😎;دھوپ کا چشمہ لگائے مسکراتا چہرہ;آنکھ|چشمہ|چمکیلا|دھوپ|دھوپ کا چشمہ لگائے مسکراتا چہرہ|سورج|مسکراہٹ
🤓;بیوقوفانہ چہرہ;بیوقوفانہ|چہرہ
🧐;ایک چشمہ پہنا ہوا چہرہ;ایک چشمہ پہنا ہوا چہرہ|بند ناک والا چہرہ
😕;الجھن زدہ چہرہ;الجھن زدہ چہرہ|چہرہ|کنفیوز
🫤;ترچھے منہ والا چہرہ;بیکار|بے یقین|ترچھے منہ والا چہرہ|مایوس|متشکک
😟;پریشان چہرہ;پریشان|چہرہ
🙁;ہلکا سا تیوری زدہ چہرہ;تیوری|چہرہ|ہلکا سا تیوری زدہ چہرہ
☹️;تیوری زدہ چہرہ;تیوری|تیوری زدہ چہرہ|چہرہ
😮;کھلے منہ والا چہرہ;چہرہ|کھلا ہوا|کھلے منہ والا چہرہ|منہ
😯;شدید حیرت زدہ چہرہ;چہرہ|حیرت|شدید حیرت زدہ چہرہ
😲;حیرت زدہ چہرہ;تکلیف|چہرہ|حیرت|حیرت زدہ چہرہ
😳;شرمندگی سے سرخ چہرہ;چہرہ|سرخ|شرمندگی|شرمندگی سے سرخ چہرہ
🥺;ملتجی چہرہ;التجا کرنا|رحم|طفلانہ آنکھیں|ملتجی چہرہ
🥹;آنسو روکے ہوئے چہرہ;آنسو روکے ہوئے چہرہ|اداس|رونا|غصیلا|فخر|مزاحمت
😦;منہ کھولے تیوری چڑھاتا چہرہ;تیوری|چہرہ|کھلا ہوا|منہ|منہ کھولے تیوری چڑھاتا چہرہ
😧;تکلیف زدہ چہرہ;تکلیف|تکلیف زدہ چہرہ|چہرہ
😨;خوفزدہ چہرہ;چہرہ|خوف|خوفزدہ چہرہ
😰;کھلے منہ اور ٹھنڈے پسینے والا چہرہ;پسینہ|ٹھنڈا|کھلے منہ اور ٹھنڈے پسینے والا چہرہ|منہ|نیلا
😥;مایوس لیکن پر سکون چہرہ;پر سکون|چہرہ|مایوس|مایوس لیکن پر سکون چہرہ
😢;روتا ہوا چہرہ;آنسو|چہرہ|روتا ہوا چہرہ|رونا
😭;زار و قطار روتا چہرہ;آنسو|چہرہ|رونا|زار و قطار روتا چہرہ
😱;خوف سے چلاتا چہرہ;چہرہ|چیخ|خوف|خوف سے چلاتا چہرہ
😖;بے ترتیب چہرہ;انتہائی کنفیوز|بے ترتیب چہرہ|چہرہ
😣;پُرعزم چہرہ;پُرعزم چہرہ|پُرعظم|چہرہ
😞;مایوس چہرہ;چہرہ|مایوس
😓;ٹھنڈے پسینے والا چہرہ;پسینہ|ٹھنڈ|ٹھنڈے پسینے والا چہرہ|چہرہ
😩;اکتایا ہوا چہرہ;اکتایا ہوا چہرہ|تھکاوٹ|چہرہ
😫;تھکا ہوا چہرہ;تھکا ہوا چہرہ|تھکان|چہرہ
🥱;جمائی لیتا چہرہ;بوریت کا شکار|تھکا ماندہ|جمائی|جمائی لیتا چہرہ
😤;ناک سے دھواں نکالتا چہرہ;چہرہ|فتح|ناک سے دھواں نکالتا چہرہ
😡;نا شاد چہرہ;چہرہ|نا خوش|نا شاد چہرہ
😠;غصے والا چہرہ;چہرہ|غصہ|غصے والا چہرہ
🤬;منہ پر علامات والا چہرہ;گالیاں دینا|منہ پر علامات والا چہرہ
😈;شیطانی مسکراہٹ والا چہرہ;چہرہ|شیطانی مسکراہٹ|شیطانی مسکراہٹ والا چہرہ
👿;شریر شیطان;چہرہ|شرارتی|شریر شیطان|شیطان
💀;کھوپڑی;افسانوی|جن|چہرہ|کھوپڑی|موت
☠️;کراس شدہ ہڈیوں کے ساتھ کھوپڑی;کراس|کراس شدہ ہڈیوں کے ساتھ کھوپڑی|کھوپڑی|موت|ہڈیاں
💩;گندگی کا ڈھیر;چہرہ|ڈھیر|گندگی|گندگی کا ڈھیر
🤡;جوکر چہرہ;جوکر|چہرہ
👹;شیطانی جن;افسانوی|جاپانی|جن|چہرہ|شیطانی جن
👺;لمبی ناک اور مونچھوں والا دیو;افسانوی|جاپانی|جن|چہرہ|لمبی ناک اور مونچھوں والا دیو
👻;بھوت;افسانوی|بھوت|جن|چہرہ
👽;خلائی مخلوق;چہرہ|خلا|خلائی مخلوق|مخلوق
👾;خلائی دیو;چہرہ|خلا|خلائی دیو|دیو
🤖;روبوٹ;چہرہ|روبوٹ|مونسٹر
😺;کھلے منہ کے ساتھ مسکراتی بلی کا چہرہ;بلی|چہرہ|کھلے منہ کے ساتھ مسکراتی بلی کا چہرہ|مسکراہٹ|منہ
😸;مسکراتی آنکھوں والی کھل کے ہنستی بلی کا چہرہ;بلی|چہرہ|مسکراتی آنکھوں والی کھل کے ہنستی بلی کا چہرہ|مسکراہٹ
😹;خوشی کے آنسو لیے بلی کا چہرہ;آنسو|بلی|چہرہ|خوشی|خوشی کے آنسو لیے بلی کا چہرہ
😻;دل کی شکل والی آنکھوں کے ساتھ مسکراتی بلی کا چہرہ;بلی|پیار|چہرہ|دل|دل کی شکل والی آنکھوں کے ساتھ مسکراتی بلی کا چہرہ
😼;بلی کا طنزیہ مسکراہٹ والا چہرہ;بلی|بلی کا طنزیہ مسکراہٹ والا چہرہ|چہرہ|طنز|مسکراہٹ
😽;بند آنکھوں کے ساتھ بوسہ لیتا بلی کا چہرہ;آنکھ|بلی|بند آنکھوں کے ساتھ بوسہ لیتا بلی کا چہرہ|بوسہ|بوسہ دیتی بلی|چہرہ
🙀;تھکی ہوئی بلی;اوہ|بلی|تھکی ہوئی|تھکی ہوئی بلی|چہرہ|حیران
😿;روتی ہوئی بلی;آنسو|بلی|چہرہ|روتی ہوئی بلی|رونا|غمگین
😾;ناشاد بلی;بلی|چہرہ|نا شاد|ناشاد بلی
🙈;ہاتھ سے آنکھیں چھپائے بندر;بندر|چہرہ|دیکھو|نہیں|ہاتھ سے آنکھیں چھپائے بندر
🙉;کانوں کو ہاتھ سے چھپائے بندر;بندر|چہرہ|سنو|کانوں کو ہاتھ سے چھپائے بندر|نہیں
🙊;منہ کو ہاتھوں سے بند کیے بندر;بندر|بولو|چہرہ|منہ کو ہاتھوں سے بند کیے بندر|نہیں
💌;محبت بھرا خط;پیار|خط|رومانس|محبت بھرا خط
💘;تیر پیوست ہوا دل;تیر|تیر پیوست ہوا دل|دل|زخمی
💝;ربن باندھے دل;دل|ربن|ربن باندھے دل
💖;چمکتا دل;پر جوش|چمکتا دل|دل
💗;بڑھتا ہوا دل;بڑھتا ہوا دل|پر جوش|دل|نروس
💓;دھڑکتا دل;دل|دھڑکتا دل|دھڑکن
💞;گھومتے دل;دل|گھومتے دل|گھومنا
💕;دو دل;پیار|دل|دو دل
💟;دل کی ڈیکوریشن;دل|دل کی ڈیکوریشن|ڈیکوریشن
❣️;دلی اظہار;دلی اظہار|رموزِ اوقاف|علامت|علامتِ ندائیہ
💔;ٹوٹا ہوا دل;ٹوٹا ہوا|ٹوٹا ہوا دل|دل
❤️‍🔥;جلتی آگ میں دل;پاکیزہ دل|پیار|جلتی آگ میں دل|جلنا|دل|ہوس
❤️‍🩹;شفا یاب ہوتا دل;بہتر ہونا|تندرست|شفا یاب ہوتا دل|شفایاب ہوتا دل|شفایاب ہونا|صحت مند|صحت یاب ہونا
❤️;سرخ دل;دل|سرخ
🩷;گلابی دل;پسند|پیارا|دل|گلابی|محبت
🧡;نارنجی دل;نارنجی|نارنجی دل
💛;پیلا دل;پیلا|دل
💚;سبز دل;دل|سبز
💙;نیلا دل;دل|نیلا
🩵;ہلکا نیلا دل;دل|سیان|نیلگوں|ہلکا نیلا|ہلکا نیلا دل
💜;ارغوانی دل;ارغوانی|دل
🤎;بھورا دل;بھورا|دل
🖤;کالا دل;برا|دل|شیطانی|کالا
🩶;خاکستری دل;خاکستری|دل|سلور|سلیٹ
🤍;سفید دل;دل|سفید
💋;بوسے کا نشان;بوسہ|بوسے کا نشان|ہونٹ
💯;سو پوائنٹس;اسکور|پورے|سو|سو پوائنٹس
💢;غصے کی علامت;علامت|غصہ|غصے کی علامت
💥;تصادم;تصادم|ٹکر
💫;سر چکرانا;سر چکرانا|علامت
💦;پسینے کے قطرے;پسینہ|پسینے کے قطرے|قطرے
💨;تیزی سے دوڑنا;تیزی|تیزی سے دوڑنا|دوڑنا
🕳️;سوراخ;چھید|خالی جگہ|سوراخ
💬;گفتگو غبارہ;علامت|غبارہ|گفتگو
👁️‍🗨️;دھمکی روکنے کی مہم;آنکھ|دھمکی|دھمکی روکنے کی مہم|مہم
🗨️;گفتگو غبارہ بائیں;بایاں|علامت|غبارہ|گفتگو غبارہ بائیں
🗯️;غصہ غبارہ دائیں;دایاں|علامت|غبارہ|غصہ غبارہ دائیں
💭;سوچ غبارہ;سوچ|علامت|غبارہ
💤;زززززز;زززززز|لفظی علامت|نیند

[people_body]
👋;ہاتھ لہرانا;جسم|لہرانا|ہاتھ
	👋🏻;ہاتھ لہرانا: جلد کی ہلکی رنگت;جسم|جلد کی ہلکی رنگت|لہرانا|ہاتھ|ہاتھ لہرانا: جلد کی ہلکی رنگت
	👋🏼;ہاتھ لہرانا: جلد کی درمیانی -ہلکی رنگت;جسم|جلد کی درمیانی -ہلکی رنگت|لہرانا|ہاتھ|ہاتھ لہرانا: جلد کی درمیانی -ہلکی رنگت
	👋🏽;ہاتھ لہرانا: جلد کی درمیانی رنگت;جسم|جلد کی درمیانی رنگت|لہرانا|ہاتھ|ہاتھ لہرانا: جلد کی درمیانی رنگت
	👋🏾;ہاتھ لہرانا: جلد کی درمیانی سیاہ رنگت;جسم|جلد کی درمیانی سیاہ رنگت|لہرانا|ہاتھ|ہاتھ لہرانا: جلد کی درمیانی سیاہ رنگت
	👋🏿;ہاتھ لہرانا: جلد کی سیاہ رنگت;جسم|جلد کی سیاہ رنگت|لہرانا|ہاتھ|ہاتھ لہرانا: جلد کی سیاہ رنگت
🤚;کھڑے ہاتھ کی پشت;پشت|کھڑا|کھڑے ہاتھ کی پشت|ہاتھ
	🤚🏻;کھڑے ہاتھ کی پشت: جلد کی ہلکی رنگت;پشت|جلد کی ہلکی رنگت|کھڑا|کھڑے ہاتھ کی پشت|کھڑے ہاتھ کی پشت: جلد کی ہلکی رنگت|ہاتھ
	🤚🏼;کھڑے ہاتھ کی پشت: جلد کی درمیانی -ہلکی رنگت;پشت|جلد کی درمیانی -ہلکی رنگت|کھڑا|کھڑے ہاتھ کی پشت|کھڑے ہاتھ کی پشت: جلد کی درمیانی -ہلکی رنگت|ہاتھ
	🤚🏽;کھڑے ہاتھ کی پشت: جلد کی درمیانی رنگت;پشت|جلد کی درمیانی رنگت|کھڑا|کھڑے ہاتھ کی پشت|کھڑے ہاتھ کی پشت: جلد کی درمیانی رنگت|ہاتھ
	🤚🏾;کھڑے ہاتھ کی پشت: جلد کی درمیانی سیاہ رنگت;پشت|جلد کی درمیانی سیاہ رنگت|کھڑا|کھڑے ہاتھ کی پشت|کھڑے ہاتھ کی پشت: جلد کی درمیانی سیاہ رنگت|ہاتھ
	🤚🏿;کھڑے ہاتھ کی پشت: جلد کی سیاہ رنگت;پشت|جلد کی سیاہ رنگت|کھڑا|کھڑے ہاتھ کی پشت|کھڑے ہاتھ کی پشت: جلد کی سیاہ رنگت|ہاتھ
🖐️;پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ;انگلی|پھیلانا|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ|جسم|ہاتھ
	🖐🏻;پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی ہلکی رنگت;انگلی|پھیلانا|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی ہلکی رنگت|جسم|جلد کی ہلکی رنگت|ہاتھ
	🖐🏼;پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی -ہلکی رنگت;انگلی|پھیلانا|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی -ہلکی رنگت|جسم|جلد کی درمیانی -ہلکی رنگت|ہاتھ
	🖐🏽;پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی رنگت;انگلی|پھیلانا|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی رنگت|جسم|جلد کی درمیانی رنگت|ہاتھ
	🖐🏾;پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی سیاہ رنگت;انگلی|پھیلانا|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی سیاہ رنگت|جسم|جلد کی درمیانی سیاہ رنگت|ہاتھ
	🖐🏿;پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی سیاہ رنگت;انگلی|پھیلانا|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ|پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی سیاہ رنگت|جسم|جلد کی سیاہ رنگت|ہاتھ
✋;بلند ہاتھ;بلند ہاتھ|جسم|ہاتھ
	✋🏻;بلند ہاتھ: جلد کی ہلکی رنگت;بلند ہاتھ|بلند ہاتھ: جلد کی ہلکی رنگت|جسم|جلد کی ہلکی رنگت|ہاتھ
	✋🏼;بلند ہاتھ: جلد کی درمیانی -ہلکی رنگت;بلند ہاتھ|بلند ہاتھ: جلد کی درمیانی -ہلکی رنگت|جسم|جلد کی درمیانی -ہلکی رنگت|ہاتھ
	✋🏽;بلند ہاتھ: جلد کی درمیانی رنگت;بلند ہاتھ|بلند ہاتھ: جلد کی درمیانی رنگت|جسم|جلد کی درمیانی رنگت|ہاتھ
	✋🏾;بلند ہاتھ: جلد کی درمیانی سیاہ رنگت;بلند ہاتھ|بلند ہاتھ: جلد کی درمیانی سیاہ رنگت|جسم|جلد کی درمیانی سیاہ رنگت|ہاتھ
	✋🏿;بلند ہاتھ: جلد کی سیاہ رنگت;بلند ہاتھ|بلند ہاتھ: جلد کی سیاہ رنگت|جسم|جلد کی سیاہ رنگت|ہاتھ
🖖;وولکن سلیوٹ;اَتش فشاں|انگلی|جسم|ہاتھ|وولکن سلیوٹ
	🖖🏻;وولکن سلیوٹ: جلد کی ہلکی رنگت;اَتش فشاں|انگلی|جسم|جلد کی ہلکی رنگت|ہاتھ|وولکن سلیوٹ|وولکن سلیوٹ: جلد کی ہلکی رنگت
	🖖🏼;وولکن سلیوٹ: جلد کی درمیانی -ہلکی رنگت;اَتش فشاں|انگلی|جسم|جلد کی درمیانی -ہلکی رنگت|ہاتھ|وولکن سلیوٹ|وولکن سلیوٹ: جلد کی درمیانی -ہلکی رنگت
	🖖🏽;وولکن سلیوٹ: جلد کی درمیانی رنگت;اَتش فشاں|انگلی|جسم|جلد کی درمیانی رنگت|ہاتھ|وولکن سلیوٹ|وولکن سلیوٹ: جلد کی درمیانی رنگت
	🖖🏾;وولکن سلیوٹ: جلد کی درمیانی سیاہ رنگت;اَتش فشاں|انگلی|جسم|جلد کی درمیانی سیاہ رنگت|ہاتھ|وولکن سلیوٹ|وولکن سلیوٹ: جلد کی درمیانی سیاہ رنگت
	🖖🏿;وولکن سلیوٹ: جلد کی سیاہ رنگت;اَتش فشاں|انگلی|جسم|جلد کی سیاہ رنگت|ہاتھ|وولکن سلیوٹ|وولکن سلیوٹ: جلد کی سیاہ رنگت
🫱;دائیں اشارہ کرتا ہاتھ;دائیں|دائیں اشارہ کرتا ہاتھ|دائیں طرف|ہاتھ
	🫱🏻;دائیں اشارہ کرتا ہاتھ: جلد کی ہلکی رنگت;جلد کی ہلکی رنگت|دائیں|دائیں اشارہ کرتا ہاتھ|دائیں اشارہ کرتا ہاتھ: جلد کی ہلکی رنگت|دائیں طرف|ہاتھ
	🫱🏼;دائیں اشارہ کرتا ہاتھ: جلد کی درمیانی -ہلکی رنگت;جلد کی درمیانی -ہلکی رنگت|دائیں|دائیں اشارہ کرتا ہاتھ|دائیں اشارہ کرتا ہاتھ: جلد کی درمیانی -ہلکی رنگت|دائیں طرف|ہاتھ
	🫱🏽;دائیں اشارہ کرتا ہاتھ: جلد کی درمیانی رنگت;جلد کی درمیانی رنگت|دائیں|دائیں اشارہ کرتا ہاتھ|دائیں اشارہ کرتا ہاتھ: جلد کی درمیانی رنگت|دائیں طرف|ہاتھ
	🫱🏾;دائیں اشارہ کرتا ہاتھ: جلد کی درمیانی سیاہ رنگت;جلد کی درمیانی سیاہ رنگت|دائیں|دائیں اشارہ کرتا ہاتھ|دائیں اشارہ کرتا ہاتھ: جلد کی درمیانی سیاہ رنگت|دائیں طرف|ہاتھ
	🫱🏿;دائیں اشارہ کرتا ہاتھ: جلد کی سیاہ رنگت;جلد کی سیاہ رنگت|دائیں|دائیں اشارہ کرتا ہاتھ|دائیں اشارہ کرتا ہاتھ: جلد کی سیاہ رنگت|دائیں طرف|ہاتھ
🫲;بائیں اشارہ کرتا ہاتھ;بائیں|بائیں اشارہ کرتا ہاتھ|بائیں طرف|ہاتھ
	🫲🏻;بائیں اشارہ کرتا ہاتھ: جلد کی ہلکی رنگت;بائیں|بائیں اشارہ کرتا ہاتھ|بائیں اشارہ کرتا ہاتھ: جلد کی ہلکی رنگت|بائیں طرف|جلد کی ہلکی رنگت|ہاتھ
	🫲🏼;بائیں اشارہ کرتا ہاتھ: جلد کی درمیانی -ہلکی رنگت;بائیں|بائیں اشارہ کرتا ہاتھ|بائیں اشارہ کرتا ہاتھ: جلد کی درمیانی -ہلکی رنگت|بائیں طرف|جلد کی درمیانی -ہلکی رنگت|ہاتھ
	🫲🏽;بائیں اشارہ کرتا ہاتھ: جلد کی درمیانی رنگت;بائیں|بائیں اشارہ کرتا ہاتھ|بائیں اشارہ کرتا ہاتھ: جلد کی درمیانی رنگت|بائیں طرف|جلد کی درمیانی رنگت|ہاتھ
	🫲🏾;بائیں اشارہ کرتا ہاتھ: جلد کی درمیانی سیاہ رنگت;بائیں|بائیں اشارہ کرتا ہاتھ|بائیں اشارہ کرتا ہاتھ: جلد کی درمیانی سیاہ رنگت|بائیں طرف|جلد کی درمیانی سیاہ رنگت|ہاتھ
