# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wyneb yn gwenu â cheg agored;lledwenu|wyneb|wyneb yn gwenu â cheg agored
	🤚🏻;cefn llaw wedi’i chodi: arlliw croen golau;arlliw croen golau|cefn llaw|cefn llaw wedi’i chodi|cefn llaw wedi’i chodi: arlliw croen golau|wedi’i chodi
	🤚🏼;cefn llaw wedi’i chodi: arlliw croen canolig-golau;arlliw croen canolig-golau|cefn llaw|cefn llaw wedi’i chodi|cefn llaw wedi’i chodi: arlliw croen canolig-golau|wedi’i chodi
	🤚🏽;cefn llaw wedi’i chodi: arlliw croen canolog;arlliw croen canolog|cefn llaw|cefn llaw wedi’i chodi|cefn llaw wedi’i chodi: arlliw croen canolog|wedi’i chodi
	🤚🏾;cefn llaw wedi’i chodi: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|cefn llaw|cefn llaw wedi’i chodi|cefn llaw wedi’i chodi: arlliw croen canolig-tywyll|wedi’i chodi
	🤚🏿;cefn llaw wedi’i chodi: arlliw croen tywyll;arlliw croen tywyll|cefn llaw|cefn llaw wedi’i chodi|cefn llaw wedi’i chodi: arlliw croen tywyll|wedi’i chodi
🖐️;llaw wedi ei chodi â bysedd wedi eu lledu;bys|corff|llaw|llaw wedi ei chodi â bysedd wedi eu lledu|wedi lledu
	🖐🏻;llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen golau;arlliw croen golau|bys|corff|llaw|llaw wedi ei chodi â bysedd wedi eu lledu|llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen golau|wedi lledu
	🖐🏼;llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen canolig-golau;arlliw croen canolig-golau|bys|corff|llaw|llaw wedi ei chodi â bysedd wedi eu lledu|llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen canolig-golau|wedi lledu
	🖐🏽;llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen canolog;arlliw croen canolog|bys|corff|llaw|llaw wedi ei chodi â bysedd wedi eu lledu|llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen canolog|wedi lledu
	🖐🏾;llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|bys|corff|llaw|llaw wedi ei chodi â bysedd wedi eu lledu|llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen canolig-tywyll|wedi lledu
	🖐🏿;llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen tywyll;arlliw croen tywyll|bys|corff|llaw|llaw wedi ei chodi â bysedd wedi eu lledu|llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen tywyll|wedi lledu
✋;llaw wedi codi;corff|llaw|llaw wedi codi
	✋🏻;llaw wedi codi: arlliw croen golau;arlliw croen golau|corff|llaw|llaw wedi codi|llaw wedi codi: arlliw croen golau
	✋🏼;llaw wedi codi: arlliw croen canolig-golau;arlliw croen canolig-golau|corff|llaw|llaw wedi codi|llaw wedi codi: arlliw croen canolig-golau
	✋🏽;llaw wedi codi: arlliw croen canolog;arlliw croen canolog|corff|llaw|llaw wedi codi|llaw wedi codi: arlliw croen canolog
	✋🏾;llaw wedi codi: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|corff|llaw|llaw wedi codi|llaw wedi codi: arlliw croen canolig-tywyll
	✋🏿;llaw wedi codi: arlliw croen tywyll;arlliw croen tywyll|corff|llaw|llaw wedi codi|llaw wedi codi: arlliw croen tywyll
🖖;saliwt fulcanaidd;bys|corff|llaw|saliwt fulcanaidd|spock
	🖖🏻;saliwt fulcanaidd: arlliw croen golau;arlliw croen golau|bys|corff|llaw|saliwt fulcanaidd|saliwt fulcanaidd: arlliw croen golau|spock
	🖖🏼;saliwt fulcanaidd: arlliw croen canolig-golau;arlliw croen canolig-golau|bys|corff|llaw|saliwt fulcanaidd|saliwt fulcanaidd: arlliw croen canolig-golau|spock
	🖖🏽;saliwt fulcanaidd: arlliw croen canolog;arlliw croen canolog|bys|corff|llaw|saliwt fulcanaidd|saliwt fulcanaidd: arlliw croen canolog|spock
	🖖🏾;saliwt fulcanaidd: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|bys|corff|llaw|saliwt fulcanaidd|saliwt fulcanaidd: arlliw croen canolig-tywyll|spock
	🖖🏿;saliwt fulcanaidd: arlliw croen tywyll;arlliw croen tywyll|bys|corff|llaw|saliwt fulcanaidd|saliwt fulcanaidd: arlliw croen tywyll|spock
🫱;llaw i’r dde;de|i’r dde|llaw|llaw i’r dde
	🫱🏻;llaw i’r dde: arlliw croen golau;arlliw croen golau|de|i’r dde|llaw|llaw i’r dde|llaw i’r dde: arlliw croen golau
	🫱🏼;llaw i’r dde: arlliw croen canolig-golau;arlliw croen canolig-golau|de|i’r dde|llaw|llaw i’r dde|llaw i’r dde: arlliw croen canolig-golau
	🫱🏽;llaw i’r dde: arlliw croen canolog;arlliw croen canolog|de|i’r dde|llaw|llaw i’r dde|llaw i’r dde: arlliw croen canolog
	🫱🏾;llaw i’r dde: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|de|i’r dde|llaw|llaw i’r dde|llaw i’r dde: arlliw croen canolig-tywyll
	🫱🏿;llaw i’r dde: arlliw croen tywyll;arlliw croen tywyll|de|i’r dde|llaw|llaw i’r dde|llaw i’r dde: arlliw croen tywyll
🫲;llaw i’r chwith;chwith|i’r chwith|llaw|llaw i’r chwith
	🫲🏻;llaw i’r chwith: arlliw croen golau;arlliw croen golau|chwith|i’r chwith|llaw|llaw i’r chwith|llaw i’r chwith: arlliw croen golau
	🫲🏼;llaw i’r chwith: arlliw croen canolig-golau;arlliw croen canolig-golau|chwith|i’r chwith|llaw|llaw i’r chwith|llaw i’r chwith: arlliw croen canolig-golau
	🫲🏽;llaw i’r chwith: arlliw croen canolog;arlliw croen canolog|chwith|i’r chwith|llaw|llaw i’r chwith|llaw i’r chwith: arlliw croen canolog
	🫲🏾;llaw i’r chwith: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|chwith|i’r chwith|llaw|llaw i’r chwith|llaw i’r chwith: arlliw croen canolig-tywyll
	🫲🏿;llaw i’r chwith: arlliw croen tywyll;arlliw croen tywyll|chwith|i’r chwith|llaw|llaw i’r chwith|llaw i’r chwith: arlliw croen tywyll
🫳;llaw palmwydd i lawr;anfon|gollwng|llaw palmwydd i lawr|sîw
	🫳🏻;llaw palmwydd i lawr: arlliw croen golau;anfon|arlliw croen golau|gollwng|llaw palmwydd i lawr|llaw palmwydd i lawr: arlliw croen golau|sîw
	🫳🏼;llaw palmwydd i lawr: arlliw croen canolig-golau;anfon|arlliw croen canolig-golau|gollwng|llaw palmwydd i lawr|llaw palmwydd i lawr: arlliw croen canolig-golau|sîw
	🫳🏽;llaw palmwydd i lawr: arlliw croen canolog;anfon|arlliw croen canolog|gollwng|llaw palmwydd i lawr|llaw palmwydd i lawr: arlliw croen canolog|sîw
	🫳🏾;llaw palmwydd i lawr: arlliw croen canolig-tywyll;anfon|arlliw croen canolig-tywyll|gollwng|llaw palmwydd i lawr|llaw palmwydd i lawr: arlliw croen canolig-tywyll|sîw
	🫳🏿;llaw palmwydd i lawr: arlliw croen tywyll;anfon|arlliw croen tywyll|gollwng|llaw palmwydd i lawr|llaw palmwydd i lawr: arlliw croen tywyll|sîw
🫴;llaw palmwydd i fyny;cynnig|dal|dod|galw|llaw palmwydd i fyny
	🫴🏻;llaw palmwydd i fyny: arlliw croen golau;arlliw croen golau|cynnig|dal|dod|galw|llaw palmwydd i fyny|llaw palmwydd i fyny: arlliw croen golau
	🫴🏼;llaw palmwydd i fyny: arlliw croen canolig-golau;arlliw croen canolig-golau|cynnig|dal|dod|galw|llaw palmwydd i fyny|llaw palmwydd i fyny: arlliw croen canolig-golau
	🫴🏽;llaw palmwydd i fyny: arlliw croen canolog;arlliw croen canolog|cynnig|dal|dod|galw|llaw palmwydd i fyny|llaw palmwydd i fyny: arlliw croen canolog
	🫴🏾;llaw palmwydd i fyny: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|cynnig|dal|dod|galw|llaw palmwydd i fyny|llaw palmwydd i fyny: arlliw croen canolig-tywyll
	🫴🏿;llaw palmwydd i fyny: arlliw croen tywyll;arlliw croen tywyll|cynnig|dal|dod|galw|llaw palmwydd i fyny|llaw palmwydd i fyny: arlliw croen tywyll
🫷;llaw yn gwthio i’r chwith;aros|chwith|gwrthod|gwthio|llaw yn gwthio i’r chwith|pump uchel|stopio
	🫷🏻;llaw yn gwthio i’r chwith: arlliw croen golau;arlliw croen golau|aros|chwith|gwrthod|gwthio|llaw yn gwthio i’r chwith|llaw yn gwthio i’r chwith: arlliw croen golau|pump uchel|stopio
	🫷🏼;llaw yn gwthio i’r chwith: arlliw croen canolig-golau;arlliw croen canolig-golau|aros|chwith|gwrthod|gwthio|llaw yn gwthio i’r chwith|llaw yn gwthio i’r chwith: arlliw croen canolig-golau|pump uchel|stopio
	🫷🏽;llaw yn gwthio i’r chwith: arlliw croen canolog;arlliw croen canolog|aros|chwith|gwrthod|gwthio|llaw yn gwthio i’r chwith|llaw yn gwthio i’r chwith: arlliw croen canolog|pump uchel|stopio
	🫷🏾;llaw yn gwthio i’r chwith: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|aros|chwith|gwrthod|gwthio|llaw yn gwthio i’r chwith|llaw yn gwthio i’r chwith: arlliw croen canolig-tywyll|pump uchel|stopio
	🫷🏿;llaw yn gwthio i’r chwith: arlliw croen tywyll;arlliw croen tywyll|aros|chwith|gwrthod|gwthio|llaw yn gwthio i’r chwith|llaw yn gwthio i’r chwith: arlliw croen tywyll|pump uchel|stopio
🫸;llaw yn gwthio i’r dde;aros|gwrthod|gwthio|i’r dde|llaw yn gwthio i’r dde|pump uchel|stopio
	🫸🏻;llaw yn gwthio i’r dde: arlliw croen golau;arlliw croen golau|aros|gwrthod|gwthio|i’r dde|llaw yn gwthio i’r dde|llaw yn gwthio i’r dde: arlliw croen golau|pump uchel|stopio
	🫸🏼;llaw yn gwthio i’r dde: arlliw croen canolig-golau;arlliw croen canolig-golau|aros|gwrthod|gwthio|i’r dde|llaw yn gwthio i’r dde|llaw yn gwthio i’r dde: arlliw croen canolig-golau|pump uchel|stopio
	🫸🏽;llaw yn gwthio i’r dde: arlliw croen canolog;arlliw croen canolog|aros|gwrthod|gwthio|i’r dde|llaw yn gwthio i’r dde|llaw yn gwthio i’r dde: arlliw croen canolog|pump uchel|stopio
	🫸🏾;llaw yn gwthio i’r dde: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|aros|gwrthod|gwthio|i’r dde|llaw yn gwthio i’r dde|llaw yn gwthio i’r dde: arlliw croen canolig-tywyll|pump uchel|stopio
	🫸🏿;llaw yn gwthio i’r dde: arlliw croen tywyll;arlliw croen tywyll|aros|gwrthod|gwthio|i’r dde|llaw yn gwthio i’r dde|llaw yn gwthio i’r dde: arlliw croen tywyll|pump uchel|stopio
👌;llaw ocê;corff|llaw|llaw ocê|ok
	👌🏻;llaw ocê: arlliw croen golau;arlliw croen golau|corff|llaw|llaw ocê|llaw ocê: arlliw croen golau|ok
	👌🏼;llaw ocê: arlliw croen canolig-golau;arlliw croen canolig-golau|corff|llaw|llaw ocê|llaw ocê: arlliw croen canolig-golau|ok
	👌🏽;llaw ocê: arlliw croen canolog;arlliw croen canolog|corff|llaw|llaw ocê|llaw ocê: arlliw croen canolog|ok
	👌🏾;llaw ocê: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|corff|llaw|llaw ocê|llaw ocê: arlliw croen canolig-tywyll|ok
	👌🏿;llaw ocê: arlliw croen tywyll;arlliw croen tywyll|corff|llaw|llaw ocê|llaw ocê: arlliw croen tywyll|ok
🤌;bysedd wedi’u pinsio;arwydd â llaw|bysedd|bysedd wedi’u pinsio|holi|sarcastig|wedi pinsio
	🤌🏻;bysedd wedi’u pinsio: arlliw croen golau;arlliw croen golau|arwydd â llaw|bysedd|bysedd wedi’u pinsio|bysedd wedi’u pinsio: arlliw croen golau|holi|sarcastig|wedi pinsio
	🤌🏼;bysedd wedi’u pinsio: arlliw croen canolig-golau;arlliw croen canolig-golau|arwydd â llaw|bysedd|bysedd wedi’u pinsio|bysedd wedi’u pinsio: arlliw croen canolig-golau|holi|sarcastig|wedi pinsio
	🤌🏽;bysedd wedi’u pinsio: arlliw croen canolog;arlliw croen canolog|arwydd â llaw|bysedd|bysedd wedi’u pinsio|bysedd wedi’u pinsio: arlliw croen canolog|holi|sarcastig|wedi pinsio
