# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;रमाएको अनुहार;अनुहार|रमाएको अनुहार|हँसिलो
😬;मुख बनाएको अनुहार;अनुहार|मुख बनाएको|मुख बनाएको अनुहार
😮‍💨;मुखबाट सास फाल्ने;कानेखुशी|गहिरो आवाज निकाल्नु|मुखबाट सास फाल्ने|राहत|सास फाल्ने|सीटी|हाँसो
🤥;झुट बोलेको झल्किने अनुहार;अनुहार|झुट|झुट बोलेको झल्किने अनुहार|पिनोच्चियो
🫨;कामिरहेको अनुहार;अनुहार|आघात|कामिरहेको अनुहार|काम्नु|भूकम्प|हल्लिनु
🙂‍↔️;तेर्सो तरिकाले टाउको हल्लाउँदै;तेर्सो तरिकाले टाउको हल्लाउँदै|होइन भनेर टाउको हल्लाउँदै
🙂‍↕️;ठाडो तरिकाले टाउको हल्लाउँदै;ठाडो तरिकाले टाउको हल्लाउँदै|तेर्सो तरिकाले टाउको हल्लाउँदै|निहुरेर हो भन्दै
😌;चिन्तामुक्त अनुहार;अनुहार|चिन्तामुक्त
😔;चिन्ताग्रस्त अनुहार;अनुहार|उदास|चिन्ताग्रस्त
😪;निद्रालु अनुहार;अनुहार|निद्रालु अनुहार|सुतेको
🤤;र्‍याले अनुहार;अनुहार|र्‍याल झरेको|र्‍याले अनुहार
😴;निदाइरहेको अनुहार;अनुहार|निदाइरहेको अनुहार|निदाएको|निद्रा
😷;चिकित्सा मास्क लगाएको अनुहार;अनुहार|औषधि|चिकित्सा मास्क लगाएको अनुहार|चिसो|डाक्टर|बिमारी|मास्क
🤒;थर्मोमिटर राखेको अनुहार;अनुहार|ज्वरो|थर्मोमिटर|थर्मोमिटर राखेको अनुहार|बिमारी
🤕;टाउकोमा पट्टी लगाइएको अनुहार;अनुहार|घाउ|चोट|टाउकोमा पट्टी लगाइएको अनुहार|पट्टी
🤢;बान्ता गरेको अनुहार;अनुुहार|बान्ता|बान्ता गरेको|बान्ता गरेको अनुहार
🤮;बान्ता गर्दै गरेको अनुहार;बान्ता|बान्ता गर्दै गरेको अनुहार|बिरामी
🤧;हाच्छिउँ गरेको अनुहार;अनुहार|जिसुनडिहाइट|हाच्छिउँ|हाच्छिउँ गरेको अनुहार
🥵;हट अनुहार;ज्वरो आए जस्तो|तातो|तापको स्ट्रोक|पसिना आइरहेको|रातो अनुहारवाला|हट अनुहार
🥶;चिसो अनुहार;इसिकल्स|कठ्याङ्ग्रिदो|चिसो|चिसो अनुहार|तुषारोले खाएको|नीलो अनुहारवाला
🥴;रिङ्गटा लागेको अनुहार;असन्तुलित आँखा|टिप्सी|नशामा लागू औषध परेको|रिङ्गटा|रिङ्गटा लागेको अनुहार|वाङ्गेको मुख
😵;रिंगटा लागेको अनुहार;अनुहार|रिंगटा लागेको|रिंगटा लागेको अनुहार
😵‍💫;बटारिएका आँखासहितको अनुहार;ओहो|चक्कर लाग्नु|बटारिएका आँखासहितको अनुहार|बटारिएको|समस्या|सम्मोहित
🤯;बिस्फोट भइरहेको टाउको;बिस्फोट भइरहेको टाउको|स्तब्ध
🤠;काउव्वाइ ह्याट अनुहार;अनुहार|काउगर्ल|काउव्वाइ|ह्याट
🥳;पार्टीमा रमेको अनुहार;उत्सव मनाउने कार्य|टोप|पार्टी|पार्टीमा रमेको अनुहार|हर्न
🥸;भेष बद्लेको अनुहार;अनुहार|गोप्य|चस्मा|नाक|भेष बद्लेको|भेष बद्लेको अनुहार
😎;शीतलु चस्मा लगाएको हँसिलो अनुहार;अनुहार|उज्यालो|राम्रो|शीतलु चस्मा|शीतलु चस्मा लगाएको हँसिलो अनुहार|सूर्य
🤓;पढन्दास अनुहार;अनुहार|किताबको किरा|पढन्दास अनुहार|विज्ञ
🧐;मोनोकलसहितको अनुहार;मोनोकलसहितको अनुहार|रुष्ट
😕;दोधारयुक्त अनुहार;अनुहार|दोधारयुक्त
🫤;छड्के मुख भएको अनुुहार;अनिश्चित|खिन्न|छड्के मुख भएको अनुुहार|निराश|संशयवादी
😟;चिन्तित अनुहार;अनुहार|चिन्तित
🙁;हल्का रिसाएको अनुहार;अनुहार|रिसाएको|हल्का रिसाएको अनुहार
☹️;कुडिएको अनुहार;अनुहार|कुडिएको अनुहार|रिसाएको
😮;खुला मुख भएको अनुहार;अनुहार|खुला|खुला मुख भएको अनुहार|मुख|सहानुभूति
😯;शान्त अनुहार;अनुहार|आश्चर्यचकित भएको|शान्त|हैरान भएको
😲;चकित अनुहार;अनुहार|चकित|दंग भएको|पूरै
😳;रातो भएको अनुहार;अनुहार|रातो भएको|रातो भएको अनुहार|स्तब्ध
🥺;विन्ती गरिरहेको अनुहार;अनुरोध गरिरहेको|छाउराको जस्ता आँखा|दया|विन्ती गरिरहेको अनुहार
🥹;आँँसु रोकिरहेको अनुहार;आँँसु रोकिरहेको अनुहार|गर्व|दुखी|रिसाएको|रुनु|रोक्नु
😦;खुला मुख भएको रिसाएको अनुहार;अनुहार|खुला|खुला मुख भएको रिसाएको अनुहार|तेवर|मुख
😧;दु:खी अनुहार;अनुहार|दु:खी अनुहार|दुखी
😨;डराएको अनुहार;अनुहार|डरलाग्दो|डराएको|भयभीत
😰;असिनपसिन भएको चिन्तित अनुहार;अनुहार|असिनपसिन भएको चिन्तित अनुहार|चिसो|निलो|पसिना|हतारिएको
😥;निराश तर चिन्तामुक्त अनुहार;अनुहार|चिन्तामुक्त भएको|निराश तर चिन्तामुक्त अनुहार|निराश भएको|ह्विउ
😢;रोएको अनुहार;अनुहार|आँशु|दुःखी|रोएको
😭;जोडले रोएको अनुहार;अनुहार|आँशु|जोडले रोएको अनुहार|दुःखी|रोएको|सुक्कसुक्क
😱;डरले चिच्चाएको अनुहार;अनुहार|चपाउने|चिच्याउने|डरलाग्दो|डरले चिच्चाएको अनुहार|डराएको|भयवित
😖;दुविधायुक्त अनुहार;अनुहार|चकित|दुविधायुक्त अनुहार
😣;दृढ अनुहार;अनुहार|दृढ अनुहार|दृध
😞;निराश अनुहार;अनुहार|निराश अनुहार|निराश भएको
😓;असिनपसिन अनुहार;अनुहार|असिनपसिन अनुहार|चिसो|पसिना
😩;विचलित अनुहार;अनुहार|ज्यादै थाकेको|थकित|विचलित अनुहार
😫;थाकेको अनुहार;अनुहार|थाकेको
🥱;हाइ तानेको अनुहार;अल्छी लागेको|थाेकको|हाइ तानेको अनुहार|हाइ तान्नु
😤;नाकबाट वाफ निस्केको अनुहार;अनुहार|नाकबाट वाफ निस्केको अनुहार|विजयी|सफलता
😡;मुख फुलाएको अनुहार;अनुहार|उग्र|पागल|मुख फुलाएको|मुख फुलाएको अनुहार|रातो|रिसाएको
😠;रिसाएको अनुहार;अनुहार|पागल|रिसाएको
🤬;मुखमा बिभिन्न प्रतीक भएको अनुहार;अपशब्द बोलेको अनुहार|मुखमा बिभिन्न प्रतीक भएको अनुहार
😈;सिङसहितको हँसिलो अनुहार;अनुहार|खेस्रा कल्पना|परीको कथा|सिंङ|सिङसहितको हँसिलो अनुहार|हाँसो
👿;सिङसहितको रिसाहा अनुहार;अनुहार|खेस्रा कल्पना|परीको कथा|पिशाच|राक्षष|सिङसहितको रिसाहा अनुहार
💀;खोपडी;अनुहार|खोपडी|परीको कथा|मृत्यु|राक्षस
☠️;खोपडी र खतराको चिन्ह;अनुहार|खप्पर|खोपडी|खोपडी र खतराको चिन्ह|मृत्यु|राक्षस|शरीर
💩;पुको थुप्रो;अंधकुप|अनुहार|पप|पु|पुको थुप्रो|राक्षस|हास्यप्रद
🤡;हसाउँने मान्छेको अनुहार;अनुहार|हसाउँने मान्छे|हसाउँने मान्छेको अनुहार
👹;राक्षस;अनुहार|खेस्रा कल्पना|जीव|परीको कथा|पिशाच|राक्षस
👺;सानो भूत;अनुहार|खेस्रा कल्पना|जीव|परीको कथा|राक्षस|सानो भूत
👻;भूत;अनुहार|खेस्रा कल्पना|जीव|परीको कथा|भूत|राक्षस
👽;परदेशी;अज्ञात उड्ने वस्तु|अंतरिक्ष|अंतरिक्षवासी|अनुहार|खेस्रा कल्पना|जीव|परदेशी|परीको कथा
👾;परदेशी राक्षस;अज्ञात उड्ने वस्तु|अनुहार|अन्तरिक्षवासी|जीव|निराधार कल्पना|परदेशी|परदेशी राक्षस
🤖;रोबोट अनुहार;अनुहार|राक्षस|रोबोट
😺;खुला मुख भएको हँसिलो बिरालोको अनुहार;अनुहार|खुला|खुला मुख भएको हँसिलो बिरालोको अनुहार|बिरालो|मुख|मुस्कान
😸;चम्किला आँखा भएको हँसिलो बिरालोको अनुहार;अनुहार|आँखा|चम्किला आँखा भएको हँसिलो बिरालोको अनुहार|बिरालो|मुस्कान|हँसिलो
😹;खुसीको आँशुसहितको बिरालोको अनुहार;अनुहार|आँशु|खुसीको आँशुसहितको बिरालोको अनुहार|बिरालो|रमाएको
😻;मुटुको-आकारको आँखा भएको हँसिलो बिरालोको अनुहार;अनुहार|आँखा|बिरालो|माया|मुटु|मुटुको-आकारको आँखा भएको हँसिलो बिरालोको अनुहार|मुस्कान
😼;व्यंग्यपूर्ण हाँसोसहितको बिरालोको अनुहार;अनुहार|बिरालो|मुस्कान|व्यंगात्मक|व्यंग्यपूर्ण हाँसो|व्यंग्यपूर्ण हाँसोसहितको बिरालोको अनुहार
😽;अनुहार;अनुहार|आँखा|चुम्बन|बन्द आँखासहितको चुम्बन गरिरहेको बिरालोको अनुहार|बिरालो
🙀;थाकेको बिरालोको अनुहार;अनुहार|अहो|आश्चर्यचकित|थाकेको|थाकेको बिरालोको अनुहार|बिरालो
😿;रोइरहेको बिरालोको अनुहार;अनुहार|आँशु|दुःखी|बिरालो|रोइरहेको|रोइरहेको बिरालोको अनुहार
😾;मुख फुलाइरहेको बिरालोको अनुहार;अनुहार|बिरालो|मुख फुलाइरहेको|मुख फुलाइरहेको बिरालोको अनुहार
🙈;कुनै-नचाहिने कुरा-देख्दैन;अनुहार|कुनै-नचाहिने कुरा-देख्दैन|दुष्ट|निषेधित|बाँदर|हेर्नु
🙉;कुनै-नचाहिने कुरा-सुन्दैन;अनुहार|कुनै नचाहिने कुरा सुन्दैन|कुनै-नचाहिने कुरा-सुन्दैन|दुष्ट|निषेधित|बाँदर|सुन्नु
🙊;कुनै-नचाहिने कुरा-बोल्दैन;अनुहार|कुनै नचाहिने कुरा बोल्दैन|कुनै-नचाहिने कुरा-बोल्दैन|दुष्ट|निषेधित|बाँदर|बोल्नु
💌;प्रेम पत्र;चिठ्ठी|प्रेम पत्र|माया|मुटु|मेल
💘;वाण छेडिएको मुटु;कुपिड|मनोरन्जन|मुटु|वाण|वाण छेडिएको मुटु
💝;रिबनले बेरिएको मुटु;भ्यालेन्टाइन|मुटु|रिबन|रिबनले बेरिएको मुटु
💖;चमकदार मुटु;उत्साहित|चमकदार|मुटु
💗;बढिरहेको मुटु;उत्साहित|चिन्तित|बढिरहेको|बढिरहेको मुटु|हर्टप्लस
💓;धड्किरहेको मुटु;धड्किरहेको|पल्सेटिङ|मुटु|मुटुको धड्कन
💞;घुमिरहेका मुटुहरू;घुमिरहेका मुटुहरू|घुमिरहेको|मुटु
💕;दुईवटा मुटुहरू;दुईवटा मुटुहरू|माया|मुटु
💟;मुटुको सजावट;मुटु|मुटुको सजावट
❣️;गाढा मुटुको विस्मयाधिबोधक चिन्हको सजावट;गाढा मुटुको विस्मयाधिबोधक चिन्हको सजावट|चिन्ह|मुटु|विराम चिन्ह|विस्मयाधिबधक चिन्ह
💔;टुक्रिएको मुटु;टुक्रिएको|टुटेको|मुटु
❤️‍🔥;दिलमा आगो लागेको;काम वासना|जलेको|दिलमा आगो लागेको|पवित्र दिल|माया|मुटु
❤️‍🩹;मुटुको चोट निको पार्दै;निको पार्दै|मुटुको चोट निको पार्दै|राम्रो|सन्चो हुँदै|सुधार गर्दै|स्वस्थ
❤️;रातो मुटु;मुटु|रातो मुटु
🩷;गुलाबी मुटु;गुलाबी|मन पराउनु|माया|मुटु|सुन्दर
🧡;सुन्तला रङको मुटु;सुन्तला|सुन्तला रङको मुटु
💛;पहेँलो मुटु;पहेँलो|मुटु
💚;हरियो मुटु;मुटु|हरियो
💙;नीलो मुटु;नीलो|मुटु
🩵;हल्का नीलो रंगको दिल;टिल|मुटु|स्यान|हल्का नीलो|हल्का नीलो रंगको दिल
💜;प्याजी मुटु;प्याजी|मुटु
🤎;खैरो हृदय;खैरो|हृदय
🖤;अरूको भलो नचिताउने;अरूको भलो नचिताउने|कालो|खराव|दुष्ट|मुटु
🩶;खैरो मुटु;खैरो|चाँदी|मुटु|स्लेट
🤍;सेतो हृदय;सेतो|हृदय
💋;चुम्बन चिन्ह;ओठ|चिन्ह|चुम्बन|मनोरन्जन|मुटु
💯;सयवटा अंकहरू;१००|अंक|पूरा|सय|सयवटा अंकहरू
💢;रिसको संकेत;पागल|रिस|रिसको संकेत|हँसाउने
💥;टक्कर;टक्कर|बुम|हँसाउने
💫;चक्कर;चक्कर|तारा|हँसाउने
💦;पसिनाको थोपा;पसिना|पसिनाको थोपा|स्प्ल्यासिङ्|हँसाउने
💨;जोडले;जोडले|ड्याश|दौडिरहेको|हँसाउने
🕳️;प्वाल;प्वाल
💬;वाक्य बेलुन;फोका|बेलुन|वाक्य|संवाद|हँसाउने
👁️‍🗨️;आँखामा वाक्य बबल;आँखा|आँखामा वाक्य बबल|वाक्य बबल|साक्षी
🗨️;बायाँ वाक्य बबल;बायाँ वाक्य बबल|वाक्य|सम्वाद
🗯️;दायाँ रिसको बबल;दायाँ रिसको बबल|पागल|फोका|बेलुन|रिस
💭;सोच बेलुन;फोका|बेलुन|विचार|सोच बेलुन|हँसाउने
💤;अल्छी लागेको;अल्छी लागेको|हँसाउने

[people_body]
👋;हल्लाइरहेको हात;शरीर|हल्लाइरहेको|हल्लेको|हात
	👋🏻;हल्लाइरहेको हात: छालाको प्रकार-१-२;छालाको प्रकार-१-२|शरीर|हल्लाइरहेको|हल्लाइरहेको हात: छालाको प्रकार-१-२|हल्लेको|हात
	👋🏼;हल्लाइरहेको हात: छालाको प्रकार-३;छालाको प्रकार-३|शरीर|हल्लाइरहेको|हल्लाइरहेको हात: छालाको प्रकार-३|हल्लेको|हात
	👋🏽;हल्लाइरहेको हात: छालाको प्रकार-४;छालाको प्रकार-४|शरीर|हल्लाइरहेको|हल्लाइरहेको हात: छालाको प्रकार-४|हल्लेको|हात
	👋🏾;हल्लाइरहेको हात: छालाको प्रकार-५;छालाको प्रकार-५|शरीर|हल्लाइरहेको|हल्लाइरहेको हात: छालाको प्रकार-५|हल्लेको|हात
	👋🏿;हल्लाइरहेको हात: छालाको प्रकार-६;छालाको प्रकार-६|शरीर|हल्लाइरहेको|हल्लाइरहेको हात: छालाको प्रकार-६|हल्लेको|हात
🤚;पछाडिबाट उठेको हात;उठेको|पछाडिबाट उठेको हात|हातको पछाडि पाटो
	🤚🏻;पछाडिबाट उठेको हात: छालाको प्रकार-१-२;उठेको|छालाको प्रकार-१-२|पछाडिबाट उठेको हात|पछाडिबाट उठेको हात: छालाको प्रकार-१-२|हातको पछाडि पाटो
	🤚🏼;पछाडिबाट उठेको हात: छालाको प्रकार-३;उठेको|छालाको प्रकार-३|पछाडिबाट उठेको हात|पछाडिबाट उठेको हात: छालाको प्रकार-३|हातको पछाडि पाटो
	🤚🏽;पछाडिबाट उठेको हात: छालाको प्रकार-४;उठेको|छालाको प्रकार-४|पछाडिबाट उठेको हात|पछाडिबाट उठेको हात: छालाको प्रकार-४|हातको पछाडि पाटो
	🤚🏾;पछाडिबाट उठेको हात: छालाको प्रकार-५;उठेको|छालाको प्रकार-५|पछाडिबाट उठेको हात|पछाडिबाट उठेको हात: छालाको प्रकार-५|हातको पछाडि पाटो
	🤚🏿;पछाडिबाट उठेको हात: छालाको प्रकार-६;उठेको|छालाको प्रकार-६|पछाडिबाट उठेको हात|पछाडिबाट उठेको हात: छालाको प्रकार-६|हातको पछाडि पाटो
🖐️;फैलाएको औंलाहरूसहित उठाइएका हात;औंला|फैलाएको|फैलाएको औंलाहरूसहित उठाइएका हात|शरीर|हात
	🖐🏻;फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-१-२;औंला|छालाको प्रकार-१-२|फैलाएको|फैलाएको औंलाहरूसहित उठाइएका हात|फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-१-२|शरीर|हात
	🖐🏼;फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-३;औंला|छालाको प्रकार-३|फैलाएको|फैलाएको औंलाहरूसहित उठाइएका हात|फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-३|शरीर|हात
	🖐🏽;फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-४;औंला|छालाको प्रकार-४|फैलाएको|फैलाएको औंलाहरूसहित उठाइएका हात|फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-४|शरीर|हात
	🖐🏾;फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-५;औंला|छालाको प्रकार-५|फैलाएको|फैलाएको औंलाहरूसहित उठाइएका हात|फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-५|शरीर|हात
	🖐🏿;फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-६;औंला|छालाको प्रकार-६|फैलाएको|फैलाएको औंलाहरूसहित उठाइएका हात|फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-६|शरीर|हात
✋;उठाइएको हात;उठाइएको हात|शरीर|हात
	✋🏻;उठाइएको हात: छालाको प्रकार-१-२;उठाइएको हात|उठाइएको हात: छालाको प्रकार-१-२|छालाको प्रकार-१-२|शरीर|हात
	✋🏼;उठाइएको हात: छालाको प्रकार-३;उठाइएको हात|उठाइएको हात: छालाको प्रकार-३|छालाको प्रकार-३|शरीर|हात
	✋🏽;उठाइएको हात: छालाको प्रकार-४;उठाइएको हात|उठाइएको हात: छालाको प्रकार-४|छालाको प्रकार-४|शरीर|हात
	✋🏾;उठाइएको हात: छालाको प्रकार-५;उठाइएको हात|उठाइएको हात: छालाको प्रकार-५|छालाको प्रकार-५|शरीर|हात
	✋🏿;उठाइएको हात: छालाको प्रकार-६;उठाइएको हात|उठाइएको हात: छालाको प्रकार-६|छालाको प्रकार-६|शरीर|हात
🖖;बल्कन सलामी;औंला|बल्कन|शरीर|सलामी|हात
	🖖🏻;बल्कन सलामी: छालाको प्रकार-१-२;औंला|छालाको प्रकार-१-२|बल्कन|बल्कन सलामी: छालाको प्रकार-१-२|शरीर|सलामी|हात
	🖖🏼;बल्कन सलामी: छालाको प्रकार-३;औंला|छालाको प्रकार-३|बल्कन|बल्कन सलामी: छालाको प्रकार-३|शरीर|सलामी|हात
	🖖🏽;बल्कन सलामी: छालाको प्रकार-४;औंला|छालाको प्रकार-४|बल्कन|बल्कन सलामी: छालाको प्रकार-४|शरीर|सलामी|हात
	🖖🏾;बल्कन सलामी: छालाको प्रकार-५;औंला|छालाको प्रकार-५|बल्कन|बल्कन सलामी: छालाको प्रकार-५|शरीर|सलामी|हात
	🖖🏿;बल्कन सलामी: छालाको प्रकार-६;औंला|छालाको प्रकार-६|बल्कन|बल्कन सलामी: छालाको प्रकार-६|शरीर|सलामी|हात
🫱;दायाँँतिर देेखाएको हात;दायाँ|दायाँँतिर|दायाँँतिर देेखाएको हात|हात
	🫱🏻;दायाँँतिर देेखाएको हात: छालाको प्रकार-१-२;छालाको प्रकार-१-२|दायाँ|दायाँँतिर|दायाँँतिर देेखाएको हात|दायाँँतिर देेखाएको हात: छालाको प्रकार-१-२|हात
	🫱🏼;दायाँँतिर देेखाएको हात: छालाको प्रकार-३;छालाको प्रकार-३|दायाँ|दायाँँतिर|दायाँँतिर देेखाएको हात|दायाँँतिर देेखाएको हात: छालाको प्रकार-३|हात
	🫱🏽;दायाँँतिर देेखाएको हात: छालाको प्रकार-४;छालाको प्रकार-४|दायाँ|दायाँँतिर|दायाँँतिर देेखाएको हात|दायाँँतिर देेखाएको हात: छालाको प्रकार-४|हात
	🫱🏾;दायाँँतिर देेखाएको हात: छालाको प्रकार-५;छालाको प्रकार-५|दायाँ|दायाँँतिर|दायाँँतिर देेखाएको हात|दायाँँतिर देेखाएको हात: छालाको प्रकार-५|हात
	🫱🏿;दायाँँतिर देेखाएको हात: छालाको प्रकार-६;छालाको प्रकार-६|दायाँ|दायाँँतिर|दायाँँतिर देेखाएको हात|दायाँँतिर देेखाएको हात: छालाको प्रकार-६|हात
🫲;बायाँँतिर देेखाएको हात;बायाँँ|बायाँँतिर|बायाँँतिर देेखाएको हात|हात
	🫲🏻;बायाँँतिर देेखाएको हात: छालाको प्रकार-१-२;छालाको प्रकार-१-२|बायाँँ|बायाँँतिर|बायाँँतिर देेखाएको हात|बायाँँतिर देेखाएको हात: छालाको प्रकार-१-२|हात
	🫲🏼;बायाँँतिर देेखाएको हात: छालाको प्रकार-३;छालाको प्रकार-३|बायाँँ|बायाँँतिर|बायाँँतिर देेखाएको हात|बायाँँतिर देेखाएको हात: छालाको प्रकार-३|हात
	🫲🏽;बायाँँतिर देेखाएको हात: छालाको प्रकार-४;छालाको प्रकार-४|बायाँँ|बायाँँतिर|बायाँँतिर देेखाएको हात|बायाँँतिर देेखाएको हात: छालाको प्रकार-४|हात
