# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;وجه بابتسامة عريضة;ابتسام|ضحك|وجه بابتسامة عريضة|وجه مبتسم
😋;وجه يتلذذ بالطعام;طعام لذيذ|لذيذ|وجه يتلذذ بالطعام|وجه يستحسن الطعم|وجه يستمتع بالطعم
😛;وجه بلسان متدلٍ;لسان متدلٍ|وجه بلسان متدلٍ
😜;وجه بلسان متدلٍ وعين غامزة;غمزة|لسان متدلي مع غمزة|مجرد تشويق|وجه بلسان بارز وعين غامزة|وجه بلسان متدلٍ وعين غامزة
🤪;وجه غريب الشكل;غريب الأطوار|وجه غريب|وجه غريب الشكل
😝;وجه بعينين مغلقتين ولسان متدلٍ;لسان متدلي وأعين مغلقة|مقزز|وجه بعينين محدقتين ولسان بارز|وجه بعينين مغلقتين ولسان متدلٍ
🤑;وجه بلسان من مال;فم|مال|وجه|وجه بلسان من مال
🤗;وجه يعانق بابتسامة;عناق|وجه|وجه بابتسامة عناق|وجه يعانق بابتسامة
🤭;وجه ضاحك مع يد تغطّي الفم;وجه ضاحك مع يد تغطّي الفم
🫢;وجه بعينين مفتوحتين ويد تغطّي الفم;إحراج|حيرة|خوف|دهشة|ذهول|عدم تصديق|مفاجأة|وجه بعينين مفتوحتين ويد تغطّي الفم
🫣;وجه يختلس النظر;اختلاس النظر|تحديق|مفتون|وجه يختلس النظر
🤫;وجه يطلب الصمت;وجه يطلب الصمت
🤔;وجه يفكر;تأمل|وجه|وجه يفكر
🫡;وجه يلقي التحيّة;تحيّة|حسنًا|عسكر|مشمس|نعم|وجه يلقي التحيّة
🤐;وجه بفم مقفل;فم|قفل|وجه|وجه بفم مقفل
🤨;وجه بحاجب مرفوع;حاجب مرفوع|شاكك|وجه بحاجب مرفوع|يشك
😐;وجه محايد;جمود|حيادية|لا تعليق|وجه محايد
😑;وجه بدون تعبير;لا تعليق|وجه بدون تعبير
😶;وجه بدون فم;بدون فم|وجه بدون فم
🫥;وجه محدّد بنقاط;اختفاء|خفيّ|غير مرئي|مكتئب|منطوي|منعزل|وجه محدّد بنقاط|يختفي
😶‍🌫️;وجه في الغيوم;رأس في الغيوم|شارد الذهن|وجه في الضباب|وجه في الغيوم
😏;وجه بابتسامة متكلفة;تكلف|وجه بابتسامة متكلفة|وجه متكلف
😒;وجه غير مستمتع;غير سعيد|وجه غير مستمتع
🙄;وجه بعينين تدوران;طوافة|عين|وجه|وجه بأعين دوارة|وجه بعينين تدوران
😬;وجه متجهم;عبوس|وجه متجهم
😮‍💨;وجه يزفر الهواء;راحة|زفير|صفير|همس|وجه يزفر الهواء|يتلهث
🤥;وجه كاذب;كذب|وجه|وجه كاذب
🫨;وجه يهتز;اهتزاز|زلزال|صدمة|هزة أرضية|وجه يهتز|يهتز
🙂‍↔️;رأس يهتز أفقياً;رأس يهتز أفقياً|لا، رفض
🙂‍↕️;رأس يهتز عمودياً;رأس يهتز عمودياً|موافقة، نعم
😌;وجه مرتاح;مطمئن|وجه مرتاح
😔;وجه متأمل;حزين|متأمل|مكتئب|وجه متأمل
😪;وجه ناعس;نعس|وجه|وجه ناعس|وجه نعسان
🤤;وجه بلعاب سائل;لعاب|وجه|وجه بلعاب سائل
😴;وجه نائم;نائم|نوم|وجه نائم
😷;وجه بكمامة;برد|كمامة|كمامة طبية|متوعك صحيًا|وجه بكمامة
🤒;وجه مع ميزان للحرارة;ترمومتر|مريض|وجه|وجه بترمومتر|وجه مع ميزان للحرارة
🤕;وجه بعصابة رأس;ألم|جرح|عصابة|وجه|وجه بعصابة رأس|وجه بعصابة على الرأس
🤢;وجه مشمئز;اشمئزاز|غثيان|وجه متقزز|وجه مشمئز
🤮;وجه يتقيّأ;قيء|وجه يتقيأ|وجه يتقيّأ|يتقيأ
🤧;وجه يعطس;عطس|وجه يعطس|يرحمك الله|يرحمكم الله
🥵;وجه حار;حار|ضربة شمس|محموم|وجه بلون أحمر|وجه حار|يعرق
🥶;وجه بارد;بارد|تثليج|رقاقات الثلج|متجمد|وجه بارد|وجه باللون الأزرق
🥴;وجه مصاب بدوار;ثمل|دائخ|عينان غير متساويتين|فم متموج|مسمم|وجه مصاب بدوار
😵;وجه دائخ;وجه دائخ|وجه مصاب بالدوار
😵‍💫;وجه بعينين دائختين;حلزون|دائخ|دوامة|لولبي|منوّم|وجه بعينين دائختين
🤯;وجه برأس منفجر;وجه برأس منفجر
🤠;وجه بقبعة راعي بقر;راعي بقر|قبعة|وجه|وجه بقبعة راعي بقر
🥳;وجه محتفل;احتفال|بوق|حفلة|قبعة|وجه محتفل
🥸;وجع مقنّع;أنف|قناع|متخفي|نظارات|وجع مقنّع|وجه
😎;وجه مبتسم بنظارة شمس;ابتسامة|جذاب|شمس|نظارة|نظارة شمسية|وجه مبتسم بنظارة شمس
🤓;وجه عبقري;عبقري|وجه
🧐;وجه مع نظارة لعين واحدة;وجه مع نظارة لعين واحدة
😕;وجه حائر;حيرة|وجه|وجه حائر
🫤;وجه بفم مائل;خائب الأمل|خيبة أمل|شك|غير متأكّد|وجه بفم مائل
😟;وجه قلق;وجه قلق|وجه منزعج
🙁;وجه عابس قليلاً;عابس|وجه|وجه عابس قليلاً
☹️;وجه عابس;عبوس|وجه|وجه عابس
😮;وجه بفم مفتوح;فم مفتوح|وجه بفم مفتوح
😯;وجه مخفوت الصوت;متفاجئ|مدهوش|مكتوم الصوت|وجه|وجه مخفوت الصوت
😲;وجه مندهش;مصدوم|مندهش|مندهش تمامًا|وجه مندهش
😳;وجه متورد;متورد|مصاب بدوار|وجه متورد
🥺;وجه ملتمس;توسل|رحمة|عيون جرو|وجه ملتمس
🥹;وجه يحبس دموعه;بكاء|حزين|غاضب|فخور|مقاومة|وجه يحبس دموعه
😦;وجه عابس بفم مفتوح;عبوس|عبوس بفم مفتوح|فم مفتوح|وجه عابس بفم مفتوح
😧;وجه مكروب;تألم|وجه مكروب
😨;وجه خائف;مرعوب|وجه خائف
😰;وجه بفم مفتوح وعرق بارد;عرق بارد|فم مفتوح|وجه أزرق يتصبب عرقًا باردًا|وجه بفم مفتوح وعرق بارد
😥;وجه خيبة أمل;احباط|خيبة أمل|وجه خيبة أمل
😢;وجه يبكي;حزين|دموع|وجه باك|وجه يبكي
😭;وجه يبكي بكاءً مرتفعًا;بكاء|دموع|صراخ|وجه يبكي بكاءً مرتفعًا
😱;وجه خائف يصرخ;خوف|مرعوب|وجه خائف يصرخ|وجه يصرخ خوفًا|يصرخ خوفًا
😖;وجه مرتبك;تائه|وجه مرتبك
😣;وجه جاد;جدية|وجه|وجه جاد
😞;وجه محبط;محبط|وجه
😓;وجه بعرق بارد;عرق|وجه بعرق بارد|وجه حزين|وجه حزين متعرق|وجه متعرق
😩;وجه مجهد;متعب|وجه ضجر|وجه مجهد
😫;وجه متعب;وجه متعب|وجه مجهد
🥱;وجه متثائب;تثاؤب|متعب|ملل|وجه متثائب|يتثاءب
😤;وجه بأنف يصدر بخارًا;فوز|نصر|وجه|وجه بأنف يصدر بخارًا
😡;وجه مشتاط غضبًا;غاضب|هائج|وجه أحمر|وجه مشتاط غضبًا|وجه مقطب ومتجهم
😠;وجه غاضب;هائج|وجه غاضب
🤬;وجه مع رموز على الفم;سباب|وجه مع رموز على الفم|وجه يسب|يشتم
😈;وجه مبتسم بقرنين;ابتسام|قرون|وجه مبتسم بقرنين
👿;وجه غاضب بقرنين;شيطان صغير|وجه|وجه غاضب بقرنين
💀;جمجمة;جسم|جمجمة|حدوتة|وجه
☠️;جمجمة بعظمتين متصالبتين;جسد|جمجمة|جمجمة بعظمتين متصالبتين|شبح|كروس|وفاة
💩;فضلات;روث|فضلات|كومة فضلات
🤡;وجه مهرج;مهرج|وجه
👹;غول;جني|حدوتة|غول|غول ياباني|وجه|وحش
👺;عفريت;حدوتة|عفريت|عفريت ياباني|وجه|وحش
👻;شبح;حدوتة|شبح|وجه
👽;كائن فضائي;حدوتة|كائن غريب|كائن فضائي|وجه
👾;وحش غريب;حدوتة|كائن فضائي|وجه|وحش|وحش غريب
🤖;وجه روبوت;إنسان آلي|روبوت|وجه
😺;وجه قطة مبتسم بفم مفتوح;وجه قطة|وجه قطة مبتسم بفم مفتوح
😸;وجه قطة مبتسم بعينين باسمتين;ابتسامة عريضة|وجه قطة|وجه قطة مبتسم بعينين باسمتين|وجه قطة مبتسم وعيون مبتسمة
😹;وجه قطة بدموع فرح;وجه قطة|وجه قطة بدموع فرح
😻;وجه قطة مبتسم بعينين على شكل قلب;حب|وجه قطة مبتسم بعين على شكل قلب|وجه قطة مبتسم بعينين على شكل قلب
😼;وجه قطة بابتسامة ممتعضة;ابتسامة ساخرة|ساخر|وجه قطة|وجه قطة بابتسامة ممتعضة
😽;وجه قطة تقبّل;أعين مغلقة|بوسة|تقبيل|وجه قطة تقبّل
🙀;وجه قطة مجهد;اندهاش شديد|رباه|وجه قطة مجهد
😿;وجه قطة يبكي;بكاء|وجه قطة يبكي
😾;وجه قطة عابس;تكشير|وجه قطة|وجه قطة عابس
🙈;قرد يحجب عينيه;قرد|قرد يحجب عينيه
🙉;قرد يحجب أذنيه;قرد|قرد يحجب أذنيه
🙊;قرد يحجب الكلام;قرد|قرد يحجب الكلام|قرد يحجب كلامه
💌;خطاب حب;خطاب|خطاب حب|رسالة عليها قلب|رومانسية|قلب
💘;قلب وسهم;حب|سهم|قلب|قلب وسهم|مشاعر
💝;قلب عليه شريط;شريطة|فالنتين|قلب|قلب عليه شريط|مشاعر
💖;قلب لامع;إثارة|حب|قلب لامع|مشاعر
💗;قلب ينمو;إثارة|توتر|حب|قلب|قلب ينمو|مشاعر
💓;قلب يخفق;حب|خفقان|قلب|قلب يخفق|مشاعر|نبض
💞;قلوب تدور حول بعضها;جذاب|حب|قلب|قلوب تدور حول بعضها|مثير|مشاعر
💕;قلبان;أحبة|حب|قلبان|مشاعر
💟;زخرفة قلب;زخرفة قلب|قلب
❣️;قلب على شكل علامة تعجب;تعجب|علامة تعجب|قلب|قلب على شكل علامة تعجب
💔;قلب مكسور;انكسار|قلب|قلب مكسور|مشاعر
❤️‍🔥;قلب يحترق;القلب المقدس|حب|حريق|عشق|قلب|قلب يحترق
❤️‍🩹;;
❤️;قلب أحمر;قلب|قلب أحمر
🩷;قلب وردي;إعجاب|حب|زهري|فاتن|قلب|وردي
🧡;قلب برتقالي;برتقالة|قلب برتقالي
💛;قلب أصفر;أصفر|قلب|مشاعر
💚;قلب أخضر;أخضر|قلب|مشاعر
💙;قلب أزرق;أزرق|قلب|مشاعر
🩵;قلب أزرق فاتح;أزرق سماوي|أزرق فاتح|سماوي|شرشيري|قلب|قلب أزرق فاتح
💜;قلب أرجواني;أرجواني|قلب|مشاعر
🤎;قلب بني;بني|قلب
🖤;قلب أسود;أسود|شر|قلب
🩶;قلب رمادي;رمادي|صخري|فضي|قلب
🤍;قلب أبيض;أبيض|بياض|قلب
💋;علامة قبلة;رومانسية|شفاه|علامة قبلة|قبلة
💯;100 درجة;100|100 نقطة|درجة
💢;رمز الغضب;رمز الغضب|علامة غضب|مشاعر
💥;تصادم;تصادم|رمز تصادم|مشاعر|هزل
💫;دوار;تخيل حركة النجوم|دوار|مشاعر|نجوم|هزل
💦;عرق يتصبب;عرق|عرق يتصبب|مبلل عرقًا|مشاعر|هزل
💨;انطلاقة جري;انطلاقة جري|جري|مشاعر|هرب|هزل
🕳️;ثقب;ثقب|حفرة
💬;فقاعة كلام;بالونة|حوار|فقاعة كلام
👁️‍🗨️;عين في فقاعة كلام;شاهد|عين|عين في فقاعة كلام|فقاعة تفسيرية
🗨️;فقاعة كلام يسرى;حديث|حوار|فقاعة كلام يسرى
🗯️;فقاعة غضب يمنى;بالون|جنون|غضب|فقاعة|فقاعة غضب يمنى
💭;فقاعة أفكار;بالونة|فقاعة أفكار|فكرة|هزل
💤;نعسان;شخير|مشاعر|نعسان

[people_body]
👋;تلويح باليد;تلويح|تلويح باليد|يد
	👋🏻;تلويح باليد: بشرة بلون فاتح;بشرة بلون فاتح|تلويح|تلويح باليد|تلويح باليد: بشرة بلون فاتح|يد
	👋🏼;تلويح باليد: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تلويح|تلويح باليد|تلويح باليد: بشرة بلون فاتح ومعتدل|يد
	👋🏽;تلويح باليد: بشرة بلون معتدل;بشرة بلون معتدل|تلويح|تلويح باليد|تلويح باليد: بشرة بلون معتدل|يد
	👋🏾;تلويح باليد: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تلويح|تلويح باليد|تلويح باليد: بشرة بلون معتدل مائل للغامق|يد
	👋🏿;تلويح باليد: بشرة بلون غامق;بشرة بلون غامق|تلويح|تلويح باليد|تلويح باليد: بشرة بلون غامق|يد
🤚;ظهر يد مرفوعة;ظاهر يد|ظهر يد مرفوعة|مرفوع
	🤚🏻;ظهر يد مرفوعة: بشرة بلون فاتح;بشرة بلون فاتح|ظاهر يد|ظهر يد مرفوعة|ظهر يد مرفوعة: بشرة بلون فاتح|مرفوع
	🤚🏼;ظهر يد مرفوعة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|ظاهر يد|ظهر يد مرفوعة|ظهر يد مرفوعة: بشرة بلون فاتح ومعتدل|مرفوع
	🤚🏽;ظهر يد مرفوعة: بشرة بلون معتدل;بشرة بلون معتدل|ظاهر يد|ظهر يد مرفوعة|ظهر يد مرفوعة: بشرة بلون معتدل|مرفوع
	🤚🏾;ظهر يد مرفوعة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|ظاهر يد|ظهر يد مرفوعة|ظهر يد مرفوعة: بشرة بلون معتدل مائل للغامق|مرفوع
	🤚🏿;ظهر يد مرفوعة: بشرة بلون غامق;بشرة بلون غامق|ظاهر يد|ظهر يد مرفوعة|ظهر يد مرفوعة: بشرة بلون غامق|مرفوع
🖐️;يد مرفوعة بأصابع متفرقة;إصبع|تباعد|جسد|يد|يد مرفوعة بأصابع متفرقة
	🖐🏻;يد مرفوعة بأصابع متفرقة: بشرة بلون فاتح;إصبع|بشرة بلون فاتح|تباعد|جسد|يد|يد مرفوعة بأصابع متفرقة|يد مرفوعة بأصابع متفرقة: بشرة بلون فاتح
	🖐🏼;يد مرفوعة بأصابع متفرقة: بشرة بلون فاتح ومعتدل;إصبع|بشرة بلون فاتح ومعتدل|تباعد|جسد|يد|يد مرفوعة بأصابع متفرقة|يد مرفوعة بأصابع متفرقة: بشرة بلون فاتح ومعتدل
	🖐🏽;يد مرفوعة بأصابع متفرقة: بشرة بلون معتدل;إصبع|بشرة بلون معتدل|تباعد|جسد|يد|يد مرفوعة بأصابع متفرقة|يد مرفوعة بأصابع متفرقة: بشرة بلون معتدل
	🖐🏾;يد مرفوعة بأصابع متفرقة: بشرة بلون معتدل مائل للغامق;إصبع|بشرة بلون معتدل مائل للغامق|تباعد|جسد|يد|يد مرفوعة بأصابع متفرقة|يد مرفوعة بأصابع متفرقة: بشرة بلون معتدل مائل للغامق
	🖐🏿;يد مرفوعة بأصابع متفرقة: بشرة بلون غامق;إصبع|بشرة بلون غامق|تباعد|جسد|يد|يد مرفوعة بأصابع متفرقة|يد مرفوعة بأصابع متفرقة: بشرة بلون غامق
✋;يد مرفوعة;جسد|قبضة|يد|يد مرفوعة
	✋🏻;يد مرفوعة: بشرة بلون فاتح;بشرة بلون فاتح|جسد|قبضة|يد|يد مرفوعة|يد مرفوعة: بشرة بلون فاتح
	✋🏼;يد مرفوعة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|جسد|قبضة|يد|يد مرفوعة|يد مرفوعة: بشرة بلون فاتح ومعتدل
	✋🏽;يد مرفوعة: بشرة بلون معتدل;بشرة بلون معتدل|جسد|قبضة|يد|يد مرفوعة|يد مرفوعة: بشرة بلون معتدل
	✋🏾;يد مرفوعة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|جسد|قبضة|يد|يد مرفوعة|يد مرفوعة: بشرة بلون معتدل مائل للغامق
	✋🏿;يد مرفوعة: بشرة بلون غامق;بشرة بلون غامق|جسد|قبضة|يد|يد مرفوعة|يد مرفوعة: بشرة بلون غامق
🖖;تحية فولكان;إصبع|تحية فولكان|جسد|سبوك|فولكان|يد
	🖖🏻;تحية فولكان: بشرة بلون فاتح;إصبع|بشرة بلون فاتح|تحية فولكان|تحية فولكان: بشرة بلون فاتح|جسد|سبوك|فولكان|يد
	🖖🏼;تحية فولكان: بشرة بلون فاتح ومعتدل;إصبع|بشرة بلون فاتح ومعتدل|تحية فولكان|تحية فولكان: بشرة بلون فاتح ومعتدل|جسد|سبوك|فولكان|يد
	🖖🏽;تحية فولكان: بشرة بلون معتدل;إصبع|بشرة بلون معتدل|تحية فولكان|تحية فولكان: بشرة بلون معتدل|جسد|سبوك|فولكان|يد
	🖖🏾;تحية فولكان: بشرة بلون معتدل مائل للغامق;إصبع|بشرة بلون معتدل مائل للغامق|تحية فولكان|تحية فولكان: بشرة بلون معتدل مائل للغامق|جسد|سبوك|فولكان|يد
	🖖🏿;تحية فولكان: بشرة بلون غامق;إصبع|بشرة بلون غامق|تحية فولكان|تحية فولكان: بشرة بلون غامق|جسد|سبوك|فولكان|يد
🫱;يد باتجاه اليمين;باتجاه اليمين|يد|يد باتجاه اليمين|يمين
	🫱🏻;يد باتجاه اليمين: بشرة بلون فاتح;باتجاه اليمين|بشرة بلون فاتح|يد|يد باتجاه اليمين|يد باتجاه اليمين: بشرة بلون فاتح|يمين
	🫱🏼;يد باتجاه اليمين: بشرة بلون فاتح ومعتدل;باتجاه اليمين|بشرة بلون فاتح ومعتدل|يد|يد باتجاه اليمين|يد باتجاه اليمين: بشرة بلون فاتح ومعتدل|يمين
	🫱🏽;يد باتجاه اليمين: بشرة بلون معتدل;باتجاه اليمين|بشرة بلون معتدل|يد|يد باتجاه اليمين|يد باتجاه اليمين: بشرة بلون معتدل|يمين
	🫱🏾;يد باتجاه اليمين: بشرة بلون معتدل مائل للغامق;باتجاه اليمين|بشرة بلون معتدل مائل للغامق|يد|يد باتجاه اليمين|يد باتجاه اليمين: بشرة بلون معتدل مائل للغامق|يمين
	🫱🏿;يد باتجاه اليمين: بشرة بلون غامق;باتجاه اليمين|بشرة بلون غامق|يد|يد باتجاه اليمين|يد باتجاه اليمين: بشرة بلون غامق|يمين
🫲;يد باتجاه اليسار;باتجاه اليسار|يد|يد باتجاه اليسار|يسار
	🫲🏻;يد باتجاه اليسار: بشرة بلون فاتح;باتجاه اليسار|بشرة بلون فاتح|يد|يد باتجاه اليسار|يد باتجاه اليسار: بشرة بلون فاتح|يسار
	🫲🏼;يد باتجاه اليسار: بشرة بلون فاتح ومعتدل;باتجاه اليسار|بشرة بلون فاتح ومعتدل|يد|يد باتجاه اليسار|يد باتجاه اليسار: بشرة بلون فاتح ومعتدل|يسار
	🫲🏽;يد باتجاه اليسار: بشرة بلون معتدل;باتجاه اليسار|بشرة بلون معتدل|يد|يد باتجاه اليسار|يد باتجاه اليسار: بشرة بلون معتدل|يسار
	🫲🏾;يد باتجاه اليسار: بشرة بلون معتدل مائل للغامق;باتجاه اليسار|بشرة بلون معتدل مائل للغامق|يد|يد باتجاه اليسار|يد باتجاه اليسار: بشرة بلون معتدل مائل للغامق|يسار
	🫲🏿;يد باتجاه اليسار: بشرة بلون غامق;باتجاه اليسار|بشرة بلون غامق|يد|يد باتجاه اليسار|يد باتجاه اليسار: بشرة بلون غامق|يسار
🫳;راحة يد للأسفل;إسقاط|تجاهل|راحة يد للأسفل|صرف|طرد
	🫳🏻;راحة يد للأسفل: بشرة بلون فاتح;إسقاط|بشرة بلون فاتح|تجاهل|راحة يد للأسفل|راحة يد للأسفل: بشرة بلون فاتح|صرف|طرد
	🫳🏼;راحة يد للأسفل: بشرة بلون فاتح ومعتدل;إسقاط|بشرة بلون فاتح ومعتدل|تجاهل|راحة يد للأسفل|راحة يد للأسفل: بشرة بلون فاتح ومعتدل|صرف|طرد
	🫳🏽;راحة يد للأسفل: بشرة بلون معتدل;إسقاط|بشرة بلون معتدل|تجاهل|راحة يد للأسفل|راحة يد للأسفل: بشرة بلون معتدل|صرف|طرد
	🫳🏾;راحة يد للأسفل: بشرة بلون معتدل مائل للغامق;إسقاط|بشرة بلون معتدل مائل للغامق|تجاهل|راحة يد للأسفل|راحة يد للأسفل: بشرة بلون معتدل مائل للغامق|صرف|طرد
	🫳🏿;راحة يد للأسفل: بشرة بلون غامق;إسقاط|بشرة بلون غامق|تجاهل|راحة يد للأسفل|راحة يد للأسفل: بشرة بلون غامق|صرف|طرد
🫴;راحة يد للأعلى;إيماءة|التقاط|تعال|راحة يد للأعلى|عرض
	🫴🏻;راحة يد للأعلى: بشرة بلون فاتح;إيماءة|التقاط|بشرة بلون فاتح|تعال|راحة يد للأعلى|راحة يد للأعلى: بشرة بلون فاتح|عرض
	🫴🏼;راحة يد للأعلى: بشرة بلون فاتح ومعتدل;إيماءة|التقاط|بشرة بلون فاتح ومعتدل|تعال|راحة يد للأعلى|راحة يد للأعلى: بشرة بلون فاتح ومعتدل|عرض
	🫴🏽;راحة يد للأعلى: بشرة بلون معتدل;إيماءة|التقاط|بشرة بلون معتدل|تعال|راحة يد للأعلى|راحة يد للأعلى: بشرة بلون معتدل|عرض
	🫴🏾;راحة يد للأعلى: بشرة بلون معتدل مائل للغامق;إيماءة|التقاط|بشرة بلون معتدل مائل للغامق|تعال|راحة يد للأعلى|راحة يد للأعلى: بشرة بلون معتدل مائل للغامق|عرض
	🫴🏿;راحة يد للأعلى: بشرة بلون غامق;إيماءة|التقاط|بشرة بلون غامق|تعال|راحة يد للأعلى|راحة يد للأعلى: بشرة بلون غامق|عرض
🫷;يد تدفع يسارًا;إيقاف|انتظار|دفع|رفض|كفّك|يد تدفع يسارًا|يسار
	🫷🏻;يد تدفع يسارًا: بشرة بلون فاتح;إيقاف|انتظار|بشرة بلون فاتح|دفع|رفض|كفّك|يد تدفع يسارًا|يد تدفع يسارًا: بشرة بلون فاتح|يسار
	🫷🏼;يد تدفع يسارًا: بشرة بلون فاتح ومعتدل;إيقاف|انتظار|بشرة بلون فاتح ومعتدل|دفع|رفض|كفّك|يد تدفع يسارًا|يد تدفع يسارًا: بشرة بلون فاتح ومعتدل|يسار
	🫷🏽;يد تدفع يسارًا: بشرة بلون معتدل;إيقاف|انتظار|بشرة بلون معتدل|دفع|رفض|كفّك|يد تدفع يسارًا|يد تدفع يسارًا: بشرة بلون معتدل|يسار
	🫷🏾;يد تدفع يسارًا: بشرة بلون معتدل مائل للغامق;إيقاف|انتظار|بشرة بلون معتدل مائل للغامق|دفع|رفض|كفّك|يد تدفع يسارًا|يد تدفع يسارًا: بشرة بلون معتدل مائل للغامق|يسار
	🫷🏿;يد تدفع يسارًا: بشرة بلون غامق;إيقاف|انتظار|بشرة بلون غامق|دفع|رفض|كفّك|يد تدفع يسارًا|يد تدفع يسارًا: بشرة بلون غامق|يسار
🫸;يد تدفع يمينًا;إيقاف|انتظار|دفع|رفض|كفّك|يد تدفع يمينًا|يمين
	🫸🏻;يد تدفع يمينًا: بشرة بلون فاتح;إيقاف|انتظار|بشرة بلون فاتح|دفع|رفض|كفّك|يد تدفع يمينًا|يد تدفع يمينًا: بشرة بلون فاتح|يمين
	🫸🏼;يد تدفع يمينًا: بشرة بلون فاتح ومعتدل;إيقاف|انتظار|بشرة بلون فاتح ومعتدل|دفع|رفض|كفّك|يد تدفع يمينًا|يد تدفع يمينًا: بشرة بلون فاتح ومعتدل|يمين
	🫸🏽;يد تدفع يمينًا: بشرة بلون معتدل;إيقاف|انتظار|بشرة بلون معتدل|دفع|رفض|كفّك|يد تدفع يمينًا|يد تدفع يمينًا: بشرة بلون معتدل|يمين
	🫸🏾;يد تدفع يمينًا: بشرة بلون معتدل مائل للغامق;إيقاف|انتظار|بشرة بلون معتدل مائل للغامق|دفع|رفض|كفّك|يد تدفع يمينًا|يد تدفع يمينًا: بشرة بلون معتدل مائل للغامق|يمين
	🫸🏿;يد تدفع يمينًا: بشرة بلون غامق;إيقاف|انتظار|بشرة بلون غامق|دفع|رفض|كفّك|يد تدفع يمينًا|يد تدفع يمينًا: بشرة بلون غامق|يمين
👌;يد تشير للموافقة;علامة|موافقة|يد تشير للموافقة
	👌🏻;يد تشير للموافقة: بشرة بلون فاتح;بشرة بلون فاتح|علامة|موافقة|يد تشير للموافقة|يد تشير للموافقة: بشرة بلون فاتح
	👌🏼;يد تشير للموافقة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|علامة|موافقة|يد تشير للموافقة|يد تشير للموافقة: بشرة بلون فاتح ومعتدل
	👌🏽;يد تشير للموافقة: بشرة بلون معتدل;بشرة بلون معتدل|علامة|موافقة|يد تشير للموافقة|يد تشير للموافقة: بشرة بلون معتدل
	👌🏾;يد تشير للموافقة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|علامة|موافقة|يد تشير للموافقة|يد تشير للموافقة: بشرة بلون معتدل مائل للغامق
