# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;fytyrë e zgërdheshur;fytyrë|fytyrë e zgërdheshur|zgërdheshje|zgërdhihem
😷;fytyrë me maskë mjekësore;doktor|fytyrë|fytyrë me maskë mjekësore|i sëmurë|të ftohur
🤒;fytyrë me termometër;e sëmurë|fytyrë|fytyrë me termometër|i sëmurë|termometër
🤕;fytyrë me fashë në kokë;fashë|fytyrë|fytyrë me fashë në kokë|lëndim|lëndoj
🤢;fytyrë neverie;fytyrë|fytyrë neverie|neveri|të përziera|të vjella
🤮;fytyrë që vjell;fytyrë që vjell|sëmurë|vjellje
🤧;fytyrë me teshtitje;fytyrë|fytyrë me teshtitje|i sëmurë|teshtitje
🥵;fytyrëkuq;fytyrëkuq|i djersitur|i skuqur|me temperaturë
🥶;fytyrë e ngrirë;fytyrë e ngrirë|fytyrëblu|i acartë|i ftohtë
🥴;fytyrë e mjegulluar;e dehur|e mjegulluar|fytyrë e mjegulluar|gojë e valëzuar|xurxull
😵;fytyrë e trullosur;e trullosur|fytyrë|fytyrë e trullosur
😵‍💫;fytyrë me sy spiralë;fytyrë me sy spiralë|hipnotizuar|marramendje|shqetësim|spirale|ua
🤯;kokë që shpërthen;i tronditur|kokë që shpërthen
🤠;fytyrë me kapele lopari;fytyrë|fytyrë me kapele lopari|kapele|lopar|lopare
🥳;fytyrë festive;bori|festë|fytyrë festive|kapelë|mbrëmje festive
🥸;fytyrë e maskuar;fshehtas|fytyrë|fytyrë e maskuar|hundë|maskim|syze
😎;fytyrë e qeshur me syze dielli;diell|fytyrë|fytyrë e qeshur me syze dielli|i ndritshëm|syze dielli
🤓;fytyrë peshkopi;fytyrë|fytyrë peshkopi|peshkop
🧐;fytyrë me monokël;fytyrë me monokël|hundë të bllokuara
😕;fytyrë e hutuar;e hutuar|fytyrë|fytyrë e hutuar
🫤;fytyrë me gojë diagonale;eh|fytyrë me gojë diagonale|i pasigurt|skeptik|zhgënjim
😟;fytyrë e shqetësuar;e shqetësuar|fytyrë|fytyrë e shqetësuar
🙁;fytyrë pak e vrenjtur;e vrenjtur|fytyrë|fytyrë pak e vrenjtur
☹️;fytyrë e vrenjtur;e vrenjtur|fytyrë|fytyrë e vrenjtur
😮;fytyrë me gojën e hapur;e hapur|fytyrë|fytyrë me gojën e hapur|gojë|simpati
😯;fytyrë e heshtur;e çuditur|e habitur|e heshtur|fytyrë|fytyrë e heshtur
😲;fytyrë e çuditur;e çuditur|e tronditur|fytyrë|fytyrë e çuditur|plotësisht
😳;fytyrë e skuqur;e habitur|e skuqur|fytyrë|fytyrë e skuqur
🥺;fytyrë qaramane;fytyrë qaramane|lutje|mëshirë|qaramane
🥹;fytyrë që mezi mban lotët;fytyrë që mezi mban lotët|klithmë|krenari|mëri|mërzi|rezisto
😦;fytyrë e vrenjtur me gojë të hapur;e hapur|e vrenjtur|fytyrë|fytyrë e vrenjtur me gojë të hapur|gojë
😧;fytyrë në ankth;fytyrë|fytyrë në ankth|në ankth
😨;fytyrë e frikësuar;frikë|fytyrë|fytyrë e frikësuar|i frikësuar|i frikshëm
😰;fytyrë me gojën e hapur dhe djersë të ftohta;blu|djersë|e hapur|ftohtë|fytyrë me gojën e hapur dhe djersë të ftohta
😥;fytyrë e zhgënjyer por e lehtësuar;e lehtësuar|e zhgënjyer|fytyrë|fytyrë e zhgënjyer por e lehtësuar|uf
😢;fytyrë që qan;e mërzitur|fytyrë|fytyrë që qan|lot|qaj
😭;fytyrë që qan me zë;dënesë|fytyrë|fytyrë që qan me zë|i mërzitur|lot
😱;fytyrë duke ulëritur nga frika;fytyrë duke ulëritur nga frika|i frikësuar|i frikshëm|mbllaçit|ulërimë|ytyrë duke ulëritur nga frika
😖;fytyrë e turbulluar;e turbulluar|fytyrë|fytyrë e turbulluar
😣;fytyrë këmbëngulëse;fytyrë|këmbëngulëse
😞;fytyrë e zhgënjyer;e zhgënjyer|fytyrë|fytyrë e zhgënjyer
😓;fytyrë me djersë të ftohta;djersë|ftohtë|fytyrë|fytyrë me djersë të ftohta
😩;fytyrë e rraskapitur;e lodhur|e rraskapitur|fytyrë|fytyrë e rraskapitur
😫;fytyrë e lodhur;e lodhur|fytyrë|fytyrë e lodhur
🥱;fytyrë e mërzitur;e lodhur|e mërzitur|fytyrë|fytyrë e mërzitur
😤;fytyrë me tym nga hunda;fitoi|fytyrë|fytyrë me tym nga hunda|triumf
😡;fytyrë me buzë të varura;e inatosur|e kuqe|e zemëruar|fytyrë|fytyrë me buzë të varura
😠;fytyrë e zemëruar;e inatosur|e zemëruar|fytyrë|fytyrë e zemëruar
🤬;fytyrë me simbole në gojë;fytyrë me simbole në gojë|mallkim|sharje
😈;fytyrë e qeshur me brirë;brirë|buzëqeshje|fantazi|fytyrë|fytyrë e qeshur me brirë
👿;djall;demon|djall|dreq|fantazi|fytyrë
💀;kafkë;fytyrë|kafkë|përbindësh|përrallë|vdekje
☠️;kafkë me kocka të kryqëzuara;fytyrë|kafkë|kafkë me kocka të kryqëzuara|kocka të kryqëzuara|përbindësh
💩;kakë;fytyrë|kakë|mut|vizatim komik
🤡;fytyrë gaztori;fytyrë|fytyrë gaztori|gaztor
👹;ogër;fantazi|fytyrë|krijesë|ogër|përbindësh|përrallë
👺;goblin;fantazi|goblin|krijesë|përbindësh
👻;fantazmë;fantazi|fantazmë|fytyrë|krijesë|përbindësh
👽;alien;alien|fantazi|hapësirë|jashtëtokësor|UFO
👾;përbindësh alien;fantazi|fantazmë|fytyrë|krijesë|përbindësh|përbindësh alien
🤖;fytyrë roboti;fytyrë|fytyrë roboti|përbindësh|robot
😺;fytyrë maceje e qeshur me gojën e hapur;buzëqesh|fytyrë maceje e qeshur me gojën e hapur|gojë|mace
😸;fytyrë maceje me sy të qeshur;fytyrë maceje e ngërdheshur me sy të qeshur|fytyrë maceje me sy të qeshur
😹;fytyrë maceje me lot gëzimi;fytyrë|fytyrë maceje me lot gëzimi|gëzim|lot|mace
😻;fytyrë maceje me sy në formë zemre;fytyrë maceje e qeshur me sy në formë zemre|fytyrë maceje me sy në formë zemre
😼;fytyrë maceje me buzëqeshje të sforcuar;buzëqeshje|e sforcuar|fytyrë maceje me buzëqeshje të sforcuar|ironik|mace
😽;fytyrë maceje që puth me sy të mbyllur;fytyrë|fytyrë maceje që puth me sy të mbyllur|mace|puthje|sy
🙀;fytyrë maceje e rraskapitur;e habitur|e rraskapitur|fytyrë maceje e rraskapitur|mace
😿;fytyrë maceje që qan;e mërzitur|fytyrë maceje që qan|lot|mace|qaj
😾;fytyrë maceje me buzë të varura;fytyrë|fytyrë maceje me buzë të varura|mace|me buzë të varura
🙈;mos shiko gjëra të këqija;fytyrë|majmun|mos shiko gjëra të këqija|ndalohet|të këqija
🙉;mos dëgjo fjalët e këqija;fytyrë|majmun|mos dëgjo fjalët e këqija|mos dëgjo gjërat e këqija|ndalohet|të këqija
🙊;mos fol gjëra të këqija;fytyrë|majmun|mos fol gjëra të këqija|ndalohet|të këqija
💌;letër dashurie;dashuri|letër|letër dashurie|romancë|zemër
💘;zemër me shigjetë;eros|romancë|shigjetë|zemër|zemër me shigjetë
💝;zemër me fjongo;e dashur|fjongo|i dashur|zemër|zemër me fjongo
💖;zemër që shkëlqen;i emocionuar|shkëlqej|zemër|zemër që shkëlqen
💗;zemër që rritet;i emocionuar|puls|që rritet|zemër|zemër që rritet
💓;zemër që rreh;pulsim|rrahje|rrahje zemre|zemër|zemër që rreh
💞;zemra që rrotullohen;që rrotullohen|rrotulluese|zemër|zemra që rrotullohen
💕;dy zemra;dashuri|dy zemra|zemër
💟;dekorim me zemër;dekorim me zemër|zemër
❣️;zbukurim i trashë me pikëçuditje me zemër;pikëçuditje|pikësim|shenjë|zbukurim i trashë me pikëçuditje me zemër|zemër
💔;zemër e thyer;e thyer|i thyer|thyej|zemër|zemër e thyer
❤️‍🔥;zemër në flakë;dashuri|djegie|epsh|zemër|zemër e shenjtë|zemër në flakë
❤️‍🩹;zemër në shërim;kurim|më shëndetshëm|mirë|përmirësim|rikuperim|shërim|zemër në shërim
❤️;zemër e kuqe;zemër|zemër e kuqe
🩷;zemër ngjyrë rozë;dashuri|e lezetshme|pëlqej|rozë|zemër|zemër ngjyrë rozë
🧡;zemër ngjyrë portokalli;portokalli|zemër ngjyrë portokalli
💛;zemër e verdhë;e verdhë|zemër|zemër e verdhë
💚;zemër jeshile;jeshile|zemër
💙;zemër blu;blu|zemër
🩵;zemër ngjyrë blu e çelët;bajukë|blu e çelët|e kaltër|zemër|zemër blu e çelët|zemër ngjyrë blu e çelët
💜;zemër ngjyrë vjollcë;vjollcë|zemër ngjyrë vjollcë|zemër vjollcë
🤎;zemër në ngjyrë kafe;ngjyrë kafe|zemër|zemër në ngjyrë kafe
🖤;zemër e zezë;e zezë|i keq|ligësi|zemër|zemër e zezë
🩶;zemër ngjyrë gri;argjend|gri|pllakë guri|rrasë|zemër|zemër ngjyrë gri
🤍;zemër e bardhë;e bardhë|zemër|zemër e bardhë
💋;shenja e puthjes;buzë|puthje|romancë|shenja e puthjes
💯;njëqind pikë;100|njëqind|njëqind pikë|plot|rezultat
💢;simboli i zemërimit;i inatosur|i zemëruar|simboli i zemërimit|vizatim komik
💥;përplasje;bum|përplasje|vizatim komik
💫;i trullosur;i trullosur|vizatim komik|yll
💦;pika djerse;djersë|pika djerse|spërkatje|vizatim komik
💨;i vrullshëm;i vrullshëm|vizatim komik|vrapim
🕳️;vrimë;vrimë
💬;flluskë e të folurit;balonë|dialog|flluskë|flluskë e të folurit|vizatim komik
👁️‍🗨️;sy në flluskën e të folurit;dëshmitar|flluskë e të folurit|sy|sy në flluskën e të folurit
🗨️;flluskë e të folurit majtas;dialog|flluskë e të folurit majtas|të folurit
🗯️;flluskë zemërimi djathtas;balonë|flluskë|flluskë zemërimi djathtas|i inatosur|i zemëruar
💭;flluskë mendimi;balonë|flluskë|flluskë mendimi|mendim|vizatim komik
💤;zzz;fle|gjumë|vizatim komik|zzz

[people_body]
👋;dorë që tundet;dorë|dorë që tundet|që tundet|trup|tund
	👋🏻;dorë që tundet: nuancë lëkure e çelët;dorë|dorë që tundet|dorë që tundet: nuancë lëkure e çelët|nuancë lëkure e çelët|që tundet|trup|tund
	👋🏼;dorë që tundet: nuancë lëkure gjysmë e çelët;dorë|dorë që tundet|dorë që tundet: nuancë lëkure gjysmë e çelët|nuancë lëkure gjysmë e çelët|që tundet|trup|tund
	👋🏽;dorë që tundet: nuancë lëkure zeshkane;dorë|dorë që tundet|dorë që tundet: nuancë lëkure zeshkane|nuancë lëkure zeshkane|që tundet|trup|tund
	👋🏾;dorë që tundet: nuancë lëkure gjysmë e errët;dorë|dorë që tundet|dorë që tundet: nuancë lëkure gjysmë e errët|nuancë lëkure gjysmë e errët|që tundet|trup|tund
	👋🏿;dorë që tundet: nuancë lëkure e errët;dorë|dorë që tundet|dorë që tundet: nuancë lëkure e errët|nuancë lëkure e errët|që tundet|trup|tund
🤚;dorë e ngritur nga ana e kurrizit;dorë e ngritur nga ana e kurrizit|i ngritur|kurriz dore
	🤚🏻;dorë e ngritur nga ana e kurrizit: nuancë lëkure e çelët;dorë e ngritur nga ana e kurrizit|dorë e ngritur nga ana e kurrizit: nuancë lëkure e çelët|i ngritur|kurriz dore|nuancë lëkure e çelët
	🤚🏼;dorë e ngritur nga ana e kurrizit: nuancë lëkure gjysmë e çelët;dorë e ngritur nga ana e kurrizit|dorë e ngritur nga ana e kurrizit: nuancë lëkure gjysmë e çelët|i ngritur|kurriz dore|nuancë lëkure gjysmë e çelët
	🤚🏽;dorë e ngritur nga ana e kurrizit: nuancë lëkure zeshkane;dorë e ngritur nga ana e kurrizit|dorë e ngritur nga ana e kurrizit: nuancë lëkure zeshkane|i ngritur|kurriz dore|nuancë lëkure zeshkane
	🤚🏾;dorë e ngritur nga ana e kurrizit: nuancë lëkure gjysmë e errët;dorë e ngritur nga ana e kurrizit|dorë e ngritur nga ana e kurrizit: nuancë lëkure gjysmë e errët|i ngritur|kurriz dore|nuancë lëkure gjysmë e errët
	🤚🏿;dorë e ngritur nga ana e kurrizit: nuancë lëkure e errët;dorë e ngritur nga ana e kurrizit|dorë e ngritur nga ana e kurrizit: nuancë lëkure e errët|i ngritur|kurriz dore|nuancë lëkure e errët
🖐️;dorë e ngritur me gishtat të hapur;dorë|dorë e ngritur me gishtat të hapur|e hapur|trup
	🖐🏻;dorë e ngritur me gishtat të hapur: nuancë lëkure e çelët;dorë|dorë e ngritur me gishtat të hapur|dorë e ngritur me gishtat të hapur: nuancë lëkure e çelët|e hapur|nuancë lëkure e çelët|trup
	🖐🏼;dorë e ngritur me gishtat të hapur: nuancë lëkure gjysmë e çelët;dorë|dorë e ngritur me gishtat të hapur|dorë e ngritur me gishtat të hapur: nuancë lëkure gjysmë e çelët|e hapur|nuancë lëkure gjysmë e çelët|trup
	🖐🏽;dorë e ngritur me gishtat të hapur: nuancë lëkure zeshkane;dorë|dorë e ngritur me gishtat të hapur|dorë e ngritur me gishtat të hapur: nuancë lëkure zeshkane|e hapur|nuancë lëkure zeshkane|trup
	🖐🏾;dorë e ngritur me gishtat të hapur: nuancë lëkure gjysmë e errët;dorë|dorë e ngritur me gishtat të hapur|dorë e ngritur me gishtat të hapur: nuancë lëkure gjysmë e errët|e hapur|nuancë lëkure gjysmë e errët|trup
	🖐🏿;dorë e ngritur me gishtat të hapur: nuancë lëkure e errët;dorë|dorë e ngritur me gishtat të hapur|dorë e ngritur me gishtat të hapur: nuancë lëkure e errët|e hapur|nuancë lëkure e errët|trup
✋;dorë e ngritur;dorë|dorë e ngritur|trup
	✋🏻;dorë e ngritur: nuancë lëkure e çelët;dorë|dorë e ngritur|dorë e ngritur: nuancë lëkure e çelët|nuancë lëkure e çelët|trup
	✋🏼;dorë e ngritur: nuancë lëkure gjysmë e çelët;dorë|dorë e ngritur|dorë e ngritur: nuancë lëkure gjysmë e çelët|nuancë lëkure gjysmë e çelët|trup
	✋🏽;dorë e ngritur: nuancë lëkure zeshkane;dorë|dorë e ngritur|dorë e ngritur: nuancë lëkure zeshkane|nuancë lëkure zeshkane|trup
	✋🏾;dorë e ngritur: nuancë lëkure gjysmë e errët;dorë|dorë e ngritur|dorë e ngritur: nuancë lëkure gjysmë e errët|nuancë lëkure gjysmë e errët|trup
	✋🏿;dorë e ngritur: nuancë lëkure e errët;dorë|dorë e ngritur|dorë e ngritur: nuancë lëkure e errët|nuancë lëkure e errët|trup
🖖;përshëndetja e vulkanit;dorë|përshëndetja e vulkanit|spock|vulkan
	🖖🏻;përshëndetja e vulkanit: nuancë lëkure e çelët;dorë|nuancë lëkure e çelët|përshëndetja e vulkanit|përshëndetja e vulkanit: nuancë lëkure e çelët|spock|vulkan
	🖖🏼;përshëndetja e vulkanit: nuancë lëkure gjysmë e çelët;dorë|nuancë lëkure gjysmë e çelët|përshëndetja e vulkanit|përshëndetja e vulkanit: nuancë lëkure gjysmë e çelët|spock|vulkan
	🖖🏽;përshëndetja e vulkanit: nuancë lëkure zeshkane;dorë|nuancë lëkure zeshkane|përshëndetja e vulkanit|përshëndetja e vulkanit: nuancë lëkure zeshkane|spock|vulkan
	🖖🏾;përshëndetja e vulkanit: nuancë lëkure gjysmë e errët;dorë|nuancë lëkure gjysmë e errët|përshëndetja e vulkanit|përshëndetja e vulkanit: nuancë lëkure gjysmë e errët|spock|vulkan
	🖖🏿;përshëndetja e vulkanit: nuancë lëkure e errët;dorë|nuancë lëkure e errët|përshëndetja e vulkanit|përshëndetja e vulkanit: nuancë lëkure e errët|spock|vulkan
🫱;dorë djathtas;djathtas|djathtë|dorë
	🫱🏻;dorë djathtas: nuancë lëkure e çelët;djathtas|djathtë|dorë|dorë djathtas: nuancë lëkure e çelët|nuancë lëkure e çelët
	🫱🏼;dorë djathtas: nuancë lëkure gjysmë e çelët;djathtas|djathtë|dorë|dorë djathtas: nuancë lëkure gjysmë e çelët|nuancë lëkure gjysmë e çelët
	🫱🏽;dorë djathtas: nuancë lëkure zeshkane;djathtas|djathtë|dorë|dorë djathtas: nuancë lëkure zeshkane|nuancë lëkure zeshkane
	🫱🏾;dorë djathtas: nuancë lëkure gjysmë e errët;djathtas|djathtë|dorë|dorë djathtas: nuancë lëkure gjysmë e errët|nuancë lëkure gjysmë e errët
	🫱🏿;dorë djathtas: nuancë lëkure e errët;djathtas|djathtë|dorë|dorë djathtas: nuancë lëkure e errët|nuancë lëkure e errët
🫲;dorë majtas;dorë|majtas|majtë
	🫲🏻;dorë majtas: nuancë lëkure e çelët;dorë|dorë majtas: nuancë lëkure e çelët|majtas|majtë|nuancë lëkure e çelët
	🫲🏼;dorë majtas: nuancë lëkure gjysmë e çelët;dorë|dorë majtas: nuancë lëkure gjysmë e çelët|majtas|majtë|nuancë lëkure gjysmë e çelët
	🫲🏽;dorë majtas: nuancë lëkure zeshkane;dorë|dorë majtas: nuancë lëkure zeshkane|majtas|majtë|nuancë lëkure zeshkane
	🫲🏾;dorë majtas: nuancë lëkure gjysmë e errët;dorë|dorë majtas: nuancë lëkure gjysmë e errët|majtas|majtë|nuancë lëkure gjysmë e errët
	🫲🏿;dorë majtas: nuancë lëkure e errët;dorë|dorë majtas: nuancë lëkure e errët|majtas|majtë|nuancë lëkure e errët
🫳;dorë me pëllëmbë poshtë;dorë me pëllëmbë poshtë|hiq|largohu|rrëzo
	🫳🏻;dorë me pëllëmbë poshtë: nuancë lëkure e çelët;dorë me pëllëmbë poshtë|dorë me pëllëmbë poshtë: nuancë lëkure e çelët|hiq|largohu|nuancë lëkure e çelët|rrëzo
	🫳🏼;dorë me pëllëmbë poshtë: nuancë lëkure gjysmë e çelët;dorë me pëllëmbë poshtë|dorë me pëllëmbë poshtë: nuancë lëkure gjysmë e çelët|hiq|largohu|nuancë lëkure gjysmë e çelët|rrëzo
	🫳🏽;dorë me pëllëmbë poshtë: nuancë lëkure zeshkane;dorë me pëllëmbë poshtë|dorë me pëllëmbë poshtë: nuancë lëkure zeshkane|hiq|largohu|nuancë lëkure zeshkane|rrëzo
	🫳🏾;dorë me pëllëmbë poshtë: nuancë lëkure gjysmë e errët;dorë me pëllëmbë poshtë|dorë me pëllëmbë poshtë: nuancë lëkure gjysmë e errët|hiq|largohu|nuancë lëkure gjysmë e errët|rrëzo
	🫳🏿;dorë me pëllëmbë poshtë: nuancë lëkure e errët;dorë me pëllëmbë poshtë|dorë me pëllëmbë poshtë: nuancë lëkure e errët|hiq|largohu|nuancë lëkure e errët|rrëzo
🫴;dorë me pëllëmbë lart;bëj me shenjë që të vij|dorë me pëllëmbë lart|eja|kap|ofrim
	🫴🏻;dorë me pëllëmbë lart: nuancë lëkure e çelët;bëj me shenjë që të vij|dorë me pëllëmbë lart|dorë me pëllëmbë lart: nuancë lëkure e çelët|eja|kap|nuancë lëkure e çelët|ofrim
	🫴🏼;dorë me pëllëmbë lart: nuancë lëkure gjysmë e çelët;bëj me shenjë që të vij|dorë me pëllëmbë lart|dorë me pëllëmbë lart: nuancë lëkure gjysmë e çelët|eja|kap|nuancë lëkure gjysmë e çelët|ofrim
	🫴🏽;dorë me pëllëmbë lart: nuancë lëkure zeshkane;bëj me shenjë që të vij|dorë me pëllëmbë lart|dorë me pëllëmbë lart: nuancë lëkure zeshkane|eja|kap|nuancë lëkure zeshkane|ofrim
	🫴🏾;dorë me pëllëmbë lart: nuancë lëkure gjysmë e errët;bëj me shenjë që të vij|dorë me pëllëmbë lart|dorë me pëllëmbë lart: nuancë lëkure gjysmë e errët|eja|kap|nuancë lëkure gjysmë e errët|ofrim
	🫴🏿;dorë me pëllëmbë lart: nuancë lëkure e errët;bëj me shenjë që të vij|dorë me pëllëmbë lart|dorë me pëllëmbë lart: nuancë lëkure e errët|eja|kap|nuancë lëkure e errët|ofrim
🫷;dorë që shtyn majtas;dorë që shtyn majtas|ndalo|prit|refuzoj|shtytje
	🫷🏻;dorë që shtyn majtas: nuancë lëkure e çelët;dorë që shtyn majtas|dorë që shtyn majtas: nuancë lëkure e çelët|ndalo|nuancë lëkure e çelët|prit|refuzoj|shtytje
	🫷🏼;dorë që shtyn majtas: nuancë lëkure gjysmë e çelët;dorë që shtyn majtas|dorë që shtyn majtas: nuancë lëkure gjysmë e çelët|ndalo|nuancë lëkure gjysmë e çelët|prit|refuzoj|shtytje
	🫷🏽;dorë që shtyn majtas: nuancë lëkure zeshkane;dorë që shtyn majtas|dorë që shtyn majtas: nuancë lëkure zeshkane|ndalo|nuancë lëkure zeshkane|prit|refuzoj|shtytje
	🫷🏾;dorë që shtyn majtas: nuancë lëkure gjysmë e errët;dorë që shtyn majtas|dorë që shtyn majtas: nuancë lëkure gjysmë e errët|ndalo|nuancë lëkure gjysmë e errët|prit|refuzoj|shtytje
	🫷🏿;dorë që shtyn majtas: nuancë lëkure e errët;dorë që shtyn majtas|dorë që shtyn majtas: nuancë lëkure e errët|ndalo|nuancë lëkure e errët|prit|refuzoj|shtytje
🫸;dorë që shtyn djathtas;dorë që shtyn djathtas|ndalo|prit|refuzoj|shtytje
	🫸🏻;dorë që shtyn djathtas: nuancë lëkure e çelët;dorë që shtyn djathtas|dorë që shtyn djathtas: nuancë lëkure e çelët|ndalo|nuancë lëkure e çelët|prit|refuzoj|shtytje
