# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grínandi andlit;andlit|grín|grínandi andlit
	👱🏿‍♀️;ljóshærd kvinna: myrkur húðarlitur;kona|kvinna|ljóshærd|ljóshærd kvinna: myrkur húðarlitur|myrkur húðarlitur
👱‍♂️;ljóshærdur maður;ljóshærdur|maður
	👱🏻‍♂️;ljóshærdur maður: ljósur húðarlitur;ljóshærdur|ljóshærdur maður: ljósur húðarlitur|ljósur húðarlitur|maður
	👱🏼‍♂️;ljóshærdur maður: miðalljósur húðarlitur;ljóshærdur|ljóshærdur maður: miðalljósur húðarlitur|maður|miðalljósur húðarlitur
	👱🏽‍♂️;ljóshærdur maður: miðal húðarlitur;ljóshærdur|ljóshærdur maður: miðal húðarlitur|maður|miðal húðarlitur
	👱🏾‍♂️;ljóshærdur maður: miðalmyrkur húðarlitur;ljóshærdur|ljóshærdur maður: miðalmyrkur húðarlitur|maður|miðalmyrkur húðarlitur
	👱🏿‍♂️;ljóshærdur maður: myrkur húðarlitur;ljóshærdur|ljóshærdur maður: myrkur húðarlitur|maður|myrkur húðarlitur
🧓;tilkomin;eldri|tilkomin
	🧓🏻;tilkomin: ljósur húðarlitur;eldri|ljósur húðarlitur|tilkomin|tilkomin: ljósur húðarlitur
	🧓🏼;tilkomin: miðalljósur húðarlitur;eldri|miðalljósur húðarlitur|tilkomin|tilkomin: miðalljósur húðarlitur
	🧓🏽;tilkomin: miðal húðarlitur;eldri|miðal húðarlitur|tilkomin|tilkomin: miðal húðarlitur
	🧓🏾;tilkomin: miðalmyrkur húðarlitur;eldri|miðalmyrkur húðarlitur|tilkomin|tilkomin: miðalmyrkur húðarlitur
	🧓🏿;tilkomin: myrkur húðarlitur;eldri|myrkur húðarlitur|tilkomin|tilkomin: myrkur húðarlitur
👴;gamal maður;eldri|gamal|maður|mannfólk
	👴🏻;gamal maður: ljósur húðarlitur;eldri|gamal|gamal maður: ljósur húðarlitur|ljósur húðarlitur|maður|mannfólk
	👴🏼;gamal maður: miðalljósur húðarlitur;eldri|gamal|gamal maður: miðalljósur húðarlitur|maður|mannfólk|miðalljósur húðarlitur
	👴🏽;gamal maður: miðal húðarlitur;eldri|gamal|gamal maður: miðal húðarlitur|maður|mannfólk|miðal húðarlitur
	👴🏾;gamal maður: miðalmyrkur húðarlitur;eldri|gamal|gamal maður: miðalmyrkur húðarlitur|maður|mannfólk|miðalmyrkur húðarlitur
	👴🏿;gamal maður: myrkur húðarlitur;eldri|gamal|gamal maður: myrkur húðarlitur|maður|mannfólk|myrkur húðarlitur
👵;gomul kona;eldri|gomul|kona|konufólk|kvinna
	👵🏻;gomul kona: ljósur húðarlitur;eldri|gomul|gomul kona: ljósur húðarlitur|kona|konufólk|kvinna|ljósur húðarlitur
	👵🏼;gomul kona: miðalljósur húðarlitur;eldri|gomul|gomul kona: miðalljósur húðarlitur|kona|konufólk|kvinna|miðalljósur húðarlitur
	👵🏽;gomul kona: miðal húðarlitur;eldri|gomul|gomul kona: miðal húðarlitur|kona|konufólk|kvinna|miðal húðarlitur
	👵🏾;gomul kona: miðalmyrkur húðarlitur;eldri|gomul|gomul kona: miðalmyrkur húðarlitur|kona|konufólk|kvinna|miðalmyrkur húðarlitur
	👵🏿;gomul kona: myrkur húðarlitur;eldri|gomul|gomul kona: myrkur húðarlitur|kona|konufólk|kvinna|myrkur húðarlitur
🙍;illbrýntur persónur;fólk|illbrýnt|illbrýntur persónur|persónur
	🙍🏻;illbrýntur persónur: ljósur húðarlitur;fólk|illbrýnt|illbrýntur persónur|illbrýntur persónur: ljósur húðarlitur|ljósur húðarlitur|persónur
	🙍🏼;illbrýntur persónur: miðalljósur húðarlitur;fólk|illbrýnt|illbrýntur persónur|illbrýntur persónur: miðalljósur húðarlitur|miðalljósur húðarlitur|persónur
	🙍🏽;illbrýntur persónur: miðal húðarlitur;fólk|illbrýnt|illbrýntur persónur|illbrýntur persónur: miðal húðarlitur|miðal húðarlitur|persónur
	🙍🏾;illbrýntur persónur: miðalmyrkur húðarlitur;fólk|illbrýnt|illbrýntur persónur|illbrýntur persónur: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|persónur
	🙍🏿;illbrýntur persónur: myrkur húðarlitur;fólk|illbrýnt|illbrýntur persónur|illbrýntur persónur: myrkur húðarlitur|myrkur húðarlitur|persónur
🙍‍♂️;illbrýntur maður;illbrýntur|maður
	🙍🏻‍♂️;illbrýntur maður: ljósur húðarlitur;illbrýntur|illbrýntur maður: ljósur húðarlitur|ljósur húðarlitur|maður
	🙍🏼‍♂️;illbrýntur maður: miðalljósur húðarlitur;illbrýntur|illbrýntur maður: miðalljósur húðarlitur|maður|miðalljósur húðarlitur
	🙍🏽‍♂️;illbrýntur maður: miðal húðarlitur;illbrýntur|illbrýntur maður: miðal húðarlitur|maður|miðal húðarlitur
	🙍🏾‍♂️;illbrýntur maður: miðalmyrkur húðarlitur;illbrýntur|illbrýntur maður: miðalmyrkur húðarlitur|maður|miðalmyrkur húðarlitur
	🙍🏿‍♂️;illbrýntur maður: myrkur húðarlitur;illbrýntur|illbrýntur maður: myrkur húðarlitur|maður|myrkur húðarlitur
🙍‍♀️;illbrýnt kvinna;illbrýnt|kona|kvinna
	🙍🏻‍♀️;illbrýnt kvinna: ljósur húðarlitur;illbrýnt|illbrýnt kvinna: ljósur húðarlitur|kona|kvinna|ljósur húðarlitur
	🙍🏼‍♀️;illbrýnt kvinna: miðalljósur húðarlitur;illbrýnt|illbrýnt kvinna: miðalljósur húðarlitur|kona|kvinna|miðalljósur húðarlitur
	🙍🏽‍♀️;illbrýnt kvinna: miðal húðarlitur;illbrýnt|illbrýnt kvinna: miðal húðarlitur|kona|kvinna|miðal húðarlitur
	🙍🏾‍♀️;illbrýnt kvinna: miðalmyrkur húðarlitur;illbrýnt|illbrýnt kvinna: miðalmyrkur húðarlitur|kona|kvinna|miðalmyrkur húðarlitur
	🙍🏿‍♀️;illbrýnt kvinna: myrkur húðarlitur;illbrýnt|illbrýnt kvinna: myrkur húðarlitur|kona|kvinna|myrkur húðarlitur
🙎;persónur við gron;fólk|gron|persónur|persónur við gron
	🙎🏻;persónur við gron: ljósur húðarlitur;fólk|gron|ljósur húðarlitur|persónur|persónur við gron|persónur við gron: ljósur húðarlitur
	🙎🏼;persónur við gron: miðalljósur húðarlitur;fólk|gron|miðalljósur húðarlitur|persónur|persónur við gron|persónur við gron: miðalljósur húðarlitur
	🙎🏽;persónur við gron: miðal húðarlitur;fólk|gron|miðal húðarlitur|persónur|persónur við gron|persónur við gron: miðal húðarlitur
	🙎🏾;persónur við gron: miðalmyrkur húðarlitur;fólk|gron|miðalmyrkur húðarlitur|persónur|persónur við gron|persónur við gron: miðalmyrkur húðarlitur
	🙎🏿;persónur við gron: myrkur húðarlitur;fólk|gron|myrkur húðarlitur|persónur|persónur við gron|persónur við gron: myrkur húðarlitur
🙎‍♂️;maður við gron;gron|maður|maður við gron
	🙎🏻‍♂️;maður við gron: ljósur húðarlitur;gron|ljósur húðarlitur|maður|maður við gron|maður við gron: ljósur húðarlitur
	🙎🏼‍♂️;maður við gron: miðalljósur húðarlitur;gron|maður|maður við gron|maður við gron: miðalljósur húðarlitur|miðalljósur húðarlitur
	🙎🏽‍♂️;maður við gron: miðal húðarlitur;gron|maður|maður við gron|maður við gron: miðal húðarlitur|miðal húðarlitur
	🙎🏾‍♂️;maður við gron: miðalmyrkur húðarlitur;gron|maður|maður við gron|maður við gron: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	🙎🏿‍♂️;maður við gron: myrkur húðarlitur;gron|maður|maður við gron|maður við gron: myrkur húðarlitur|myrkur húðarlitur
🙎‍♀️;kvinna við gron;gron|kona|kvinna|kvinna við gron
	🙎🏻‍♀️;kvinna við gron: ljósur húðarlitur;gron|kona|kvinna|kvinna við gron|kvinna við gron: ljósur húðarlitur|ljósur húðarlitur
	🙎🏼‍♀️;kvinna við gron: miðalljósur húðarlitur;gron|kona|kvinna|kvinna við gron|kvinna við gron: miðalljósur húðarlitur|miðalljósur húðarlitur
	🙎🏽‍♀️;kvinna við gron: miðal húðarlitur;gron|kona|kvinna|kvinna við gron|kvinna við gron: miðal húðarlitur|miðal húðarlitur
	🙎🏾‍♀️;kvinna við gron: miðalmyrkur húðarlitur;gron|kona|kvinna|kvinna við gron|kvinna við gron: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	🙎🏿‍♀️;kvinna við gron: myrkur húðarlitur;gron|kona|kvinna|kvinna við gron|kvinna við gron: myrkur húðarlitur|myrkur húðarlitur
🙅;persónur sum veipar nei;fólk|nei|persónur|persónur sum veipar nei|veipar
	🙅🏻;persónur sum veipar nei: ljósur húðarlitur;fólk|ljósur húðarlitur|nei|persónur|persónur sum veipar nei|persónur sum veipar nei: ljósur húðarlitur|veipar
	🙅🏼;persónur sum veipar nei: miðalljósur húðarlitur;fólk|miðalljósur húðarlitur|nei|persónur|persónur sum veipar nei|persónur sum veipar nei: miðalljósur húðarlitur|veipar
	🙅🏽;persónur sum veipar nei: miðal húðarlitur;fólk|miðal húðarlitur|nei|persónur|persónur sum veipar nei|persónur sum veipar nei: miðal húðarlitur|veipar
	🙅🏾;persónur sum veipar nei: miðalmyrkur húðarlitur;fólk|miðalmyrkur húðarlitur|nei|persónur|persónur sum veipar nei|persónur sum veipar nei: miðalmyrkur húðarlitur|veipar
	🙅🏿;persónur sum veipar nei: myrkur húðarlitur;fólk|myrkur húðarlitur|nei|persónur|persónur sum veipar nei|persónur sum veipar nei: myrkur húðarlitur|veipar
🙅‍♂️;maður sum veipar nei;maður|maður sum veipar nei|nei|veipar
	🙅🏻‍♂️;maður sum veipar nei: ljósur húðarlitur;ljósur húðarlitur|maður|maður sum veipar nei|maður sum veipar nei: ljósur húðarlitur|nei|veipar
	🙅🏼‍♂️;maður sum veipar nei: miðalljósur húðarlitur;maður|maður sum veipar nei|maður sum veipar nei: miðalljósur húðarlitur|miðalljósur húðarlitur|nei|veipar
	🙅🏽‍♂️;maður sum veipar nei: miðal húðarlitur;maður|maður sum veipar nei|maður sum veipar nei: miðal húðarlitur|miðal húðarlitur|nei|veipar
	🙅🏾‍♂️;maður sum veipar nei: miðalmyrkur húðarlitur;maður|maður sum veipar nei|maður sum veipar nei: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|nei|veipar
	🙅🏿‍♂️;maður sum veipar nei: myrkur húðarlitur;maður|maður sum veipar nei|maður sum veipar nei: myrkur húðarlitur|myrkur húðarlitur|nei|veipar
🙅‍♀️;kvinna sum veipar nei;kona|kvinna|kvinna sum veipar nei|nei|veipar
	🙅🏻‍♀️;kvinna sum veipar nei: ljósur húðarlitur;kona|kvinna|kvinna sum veipar nei|kvinna sum veipar nei: ljósur húðarlitur|ljósur húðarlitur|nei|veipar
	🙅🏼‍♀️;kvinna sum veipar nei: miðalljósur húðarlitur;kona|kvinna|kvinna sum veipar nei|kvinna sum veipar nei: miðalljósur húðarlitur|miðalljósur húðarlitur|nei|veipar
	🙅🏽‍♀️;kvinna sum veipar nei: miðal húðarlitur;kona|kvinna|kvinna sum veipar nei|kvinna sum veipar nei: miðal húðarlitur|miðal húðarlitur|nei|veipar
	🙅🏾‍♀️;kvinna sum veipar nei: miðalmyrkur húðarlitur;kona|kvinna|kvinna sum veipar nei|kvinna sum veipar nei: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|nei|veipar
	🙅🏿‍♀️;kvinna sum veipar nei: myrkur húðarlitur;kona|kvinna|kvinna sum veipar nei|kvinna sum veipar nei: myrkur húðarlitur|myrkur húðarlitur|nei|veipar
🙆;persónur sum veipar ok;fólk|ok|persónur|persónur sum veipar ok|veipar
	🙆🏻;persónur sum veipar ok: ljósur húðarlitur;fólk|ljósur húðarlitur|ok|persónur|persónur sum veipar ok|persónur sum veipar ok: ljósur húðarlitur|veipar
	🙆🏼;persónur sum veipar ok: miðalljósur húðarlitur;fólk|miðalljósur húðarlitur|ok|persónur|persónur sum veipar ok|persónur sum veipar ok: miðalljósur húðarlitur|veipar
	🙆🏽;persónur sum veipar ok: miðal húðarlitur;fólk|miðal húðarlitur|ok|persónur|persónur sum veipar ok|persónur sum veipar ok: miðal húðarlitur|veipar
	🙆🏾;persónur sum veipar ok: miðalmyrkur húðarlitur;fólk|miðalmyrkur húðarlitur|ok|persónur|persónur sum veipar ok|persónur sum veipar ok: miðalmyrkur húðarlitur|veipar
	🙆🏿;persónur sum veipar ok: myrkur húðarlitur;fólk|myrkur húðarlitur|ok|persónur|persónur sum veipar ok|persónur sum veipar ok: myrkur húðarlitur|veipar
🙆‍♂️;maður sum veipar ok;maður|maður sum veipar ok|ok|veipar
	🙆🏻‍♂️;maður sum veipar ok: ljósur húðarlitur;ljósur húðarlitur|maður|maður sum veipar ok|maður sum veipar ok: ljósur húðarlitur|ok|veipar
	🙆🏼‍♂️;maður sum veipar ok: miðalljósur húðarlitur;maður|maður sum veipar ok|maður sum veipar ok: miðalljósur húðarlitur|miðalljósur húðarlitur|ok|veipar
	🙆🏽‍♂️;maður sum veipar ok: miðal húðarlitur;maður|maður sum veipar ok|maður sum veipar ok: miðal húðarlitur|miðal húðarlitur|ok|veipar
	🙆🏾‍♂️;maður sum veipar ok: miðalmyrkur húðarlitur;maður|maður sum veipar ok|maður sum veipar ok: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|ok|veipar
	🙆🏿‍♂️;maður sum veipar ok: myrkur húðarlitur;maður|maður sum veipar ok|maður sum veipar ok: myrkur húðarlitur|myrkur húðarlitur|ok|veipar
🙆‍♀️;kvinna sum veipar ok;kona|kvinna|kvinna sum veipar ok|ok|veipar
	🙆🏻‍♀️;kvinna sum veipar ok: ljósur húðarlitur;kona|kvinna|kvinna sum veipar ok|kvinna sum veipar ok: ljósur húðarlitur|ljósur húðarlitur|ok|veipar
	🙆🏼‍♀️;kvinna sum veipar ok: miðalljósur húðarlitur;kona|kvinna|kvinna sum veipar ok|kvinna sum veipar ok: miðalljósur húðarlitur|miðalljósur húðarlitur|ok|veipar
	🙆🏽‍♀️;kvinna sum veipar ok: miðal húðarlitur;kona|kvinna|kvinna sum veipar ok|kvinna sum veipar ok: miðal húðarlitur|miðal húðarlitur|ok|veipar
	🙆🏾‍♀️;kvinna sum veipar ok: miðalmyrkur húðarlitur;kona|kvinna|kvinna sum veipar ok|kvinna sum veipar ok: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|ok|veipar
	🙆🏿‍♀️;kvinna sum veipar ok: myrkur húðarlitur;kona|kvinna|kvinna sum veipar ok|kvinna sum veipar ok: myrkur húðarlitur|myrkur húðarlitur|ok|veipar
💁;persónur sum nertir við;fólk|nertir við|persónur|persónur sum nertir við
	💁🏻;persónur sum nertir við: ljósur húðarlitur;fólk|ljósur húðarlitur|nertir við|persónur|persónur sum nertir við|persónur sum nertir við: ljósur húðarlitur
	💁🏼;persónur sum nertir við: miðalljósur húðarlitur;fólk|miðalljósur húðarlitur|nertir við|persónur|persónur sum nertir við|persónur sum nertir við: miðalljósur húðarlitur
	💁🏽;persónur sum nertir við: miðal húðarlitur;fólk|miðal húðarlitur|nertir við|persónur|persónur sum nertir við|persónur sum nertir við: miðal húðarlitur
	💁🏾;persónur sum nertir við: miðalmyrkur húðarlitur;fólk|miðalmyrkur húðarlitur|nertir við|persónur|persónur sum nertir við|persónur sum nertir við: miðalmyrkur húðarlitur
	💁🏿;persónur sum nertir við: myrkur húðarlitur;fólk|myrkur húðarlitur|nertir við|persónur|persónur sum nertir við|persónur sum nertir við: myrkur húðarlitur
💁‍♂️;maður sum nertir við;maður|maður sum nertir við|nertir við
	💁🏻‍♂️;maður sum nertir við: ljósur húðarlitur;ljósur húðarlitur|maður|maður sum nertir við|maður sum nertir við: ljósur húðarlitur|nertir við
	💁🏼‍♂️;maður sum nertir við: miðalljósur húðarlitur;maður|maður sum nertir við|maður sum nertir við: miðalljósur húðarlitur|miðalljósur húðarlitur|nertir við
	💁🏽‍♂️;maður sum nertir við: miðal húðarlitur;maður|maður sum nertir við|maður sum nertir við: miðal húðarlitur|miðal húðarlitur|nertir við
	💁🏾‍♂️;maður sum nertir við: miðalmyrkur húðarlitur;maður|maður sum nertir við|maður sum nertir við: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|nertir við
	💁🏿‍♂️;maður sum nertir við: myrkur húðarlitur;maður|maður sum nertir við|maður sum nertir við: myrkur húðarlitur|myrkur húðarlitur|nertir við
💁‍♀️;kvinna sum nertir við;kona|kvinna|kvinna sum nertir við|nertir við
	💁🏻‍♀️;kvinna sum nertir við: ljósur húðarlitur;kona|kvinna|kvinna sum nertir við|kvinna sum nertir við: ljósur húðarlitur|ljósur húðarlitur|nertir við
	💁🏼‍♀️;kvinna sum nertir við: miðalljósur húðarlitur;kona|kvinna|kvinna sum nertir við|kvinna sum nertir við: miðalljósur húðarlitur|miðalljósur húðarlitur|nertir við
	💁🏽‍♀️;kvinna sum nertir við: miðal húðarlitur;kona|kvinna|kvinna sum nertir við|kvinna sum nertir við: miðal húðarlitur|miðal húðarlitur|nertir við
	💁🏾‍♀️;kvinna sum nertir við: miðalmyrkur húðarlitur;kona|kvinna|kvinna sum nertir við|kvinna sum nertir við: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|nertir við
	💁🏿‍♀️;kvinna sum nertir við: myrkur húðarlitur;kona|kvinna|kvinna sum nertir við|kvinna sum nertir við: myrkur húðarlitur|myrkur húðarlitur|nertir við
🙋;persónur sum lyftur hondina upp;fólk|hond|lyft|persónur|persónur sum lyftur hondina upp|upp
	🙋🏻;persónur sum lyftur hondina upp: ljósur húðarlitur;fólk|hond|ljósur húðarlitur|lyft|persónur|persónur sum lyftur hondina upp|persónur sum lyftur hondina upp: ljósur húðarlitur|upp
	🙋🏼;persónur sum lyftur hondina upp: miðalljósur húðarlitur;fólk|hond|lyft|miðalljósur húðarlitur|persónur|persónur sum lyftur hondina upp|persónur sum lyftur hondina upp: miðalljósur húðarlitur|upp
	🙋🏽;persónur sum lyftur hondina upp: miðal húðarlitur;fólk|hond|lyft|miðal húðarlitur|persónur|persónur sum lyftur hondina upp|persónur sum lyftur hondina upp: miðal húðarlitur|upp
	🙋🏾;persónur sum lyftur hondina upp: miðalmyrkur húðarlitur;fólk|hond|lyft|miðalmyrkur húðarlitur|persónur|persónur sum lyftur hondina upp|persónur sum lyftur hondina upp: miðalmyrkur húðarlitur|upp
	🙋🏿;persónur sum lyftur hondina upp: myrkur húðarlitur;fólk|hond|lyft|myrkur húðarlitur|persónur|persónur sum lyftur hondina upp|persónur sum lyftur hondina upp: myrkur húðarlitur|upp
🙋‍♂️;maður sum lyftur hondina upp;hond|lyft|maður|maður sum lyftur hondina upp|upp
	🙋🏻‍♂️;maður sum lyftur hondina upp: ljósur húðarlitur;hond|ljósur húðarlitur|lyft|maður|maður sum lyftur hondina upp|maður sum lyftur hondina upp: ljósur húðarlitur|upp
	🙋🏼‍♂️;maður sum lyftur hondina upp: miðalljósur húðarlitur;hond|lyft|maður|maður sum lyftur hondina upp|maður sum lyftur hondina upp: miðalljósur húðarlitur|miðalljósur húðarlitur|upp
	🙋🏽‍♂️;maður sum lyftur hondina upp: miðal húðarlitur;hond|lyft|maður|maður sum lyftur hondina upp|maður sum lyftur hondina upp: miðal húðarlitur|miðal húðarlitur|upp
	🙋🏾‍♂️;maður sum lyftur hondina upp: miðalmyrkur húðarlitur;hond|lyft|maður|maður sum lyftur hondina upp|maður sum lyftur hondina upp: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|upp
	🙋🏿‍♂️;maður sum lyftur hondina upp: myrkur húðarlitur;hond|lyft|maður|maður sum lyftur hondina upp|maður sum lyftur hondina upp: myrkur húðarlitur|myrkur húðarlitur|upp
🙋‍♀️;kvinna sum lyftur hondina upp;hond|kona|kvinna|kvinna sum lyftur hondina upp|lyft|upp
	🙋🏻‍♀️;kvinna sum lyftur hondina upp: ljósur húðarlitur;hond|kona|kvinna|kvinna sum lyftur hondina upp|kvinna sum lyftur hondina upp: ljósur húðarlitur|ljósur húðarlitur|lyft|upp
	🙋🏼‍♀️;kvinna sum lyftur hondina upp: miðalljósur húðarlitur;hond|kona|kvinna|kvinna sum lyftur hondina upp|kvinna sum lyftur hondina upp: miðalljósur húðarlitur|lyft|miðalljósur húðarlitur|upp
	🙋🏽‍♀️;kvinna sum lyftur hondina upp: miðal húðarlitur;hond|kona|kvinna|kvinna sum lyftur hondina upp|kvinna sum lyftur hondina upp: miðal húðarlitur|lyft|miðal húðarlitur|upp
	🙋🏾‍♀️;kvinna sum lyftur hondina upp: miðalmyrkur húðarlitur;hond|kona|kvinna|kvinna sum lyftur hondina upp|kvinna sum lyftur hondina upp: miðalmyrkur húðarlitur|lyft|miðalmyrkur húðarlitur|upp
	🙋🏿‍♀️;kvinna sum lyftur hondina upp: myrkur húðarlitur;hond|kona|kvinna|kvinna sum lyftur hondina upp|kvinna sum lyftur hondina upp: myrkur húðarlitur|lyft|myrkur húðarlitur|upp
🧏;deyvur persónur;deyvur|persónur
	🧏🏻;deyvur persónur: ljósur húðarlitur;deyvur|deyvur persónur: ljósur húðarlitur|ljósur húðarlitur|persónur
	🧏🏼;deyvur persónur: miðalljósur húðarlitur;deyvur|deyvur persónur: miðalljósur húðarlitur|miðalljósur húðarlitur|persónur
	🧏🏽;deyvur persónur: miðal húðarlitur;deyvur|deyvur persónur: miðal húðarlitur|miðal húðarlitur|persónur
	🧏🏾;deyvur persónur: miðalmyrkur húðarlitur;deyvur|deyvur persónur: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|persónur
	🧏🏿;deyvur persónur: myrkur húðarlitur;deyvur|deyvur persónur: myrkur húðarlitur|myrkur húðarlitur|persónur
🧏‍♂️;deyvur maður;deyvur|maður
	🧏🏻‍♂️;deyvur maður: ljósur húðarlitur;deyvur|deyvur maður: ljósur húðarlitur|ljósur húðarlitur|maður
	🧏🏼‍♂️;deyvur maður: miðalljósur húðarlitur;deyvur|deyvur maður: miðalljósur húðarlitur|maður|miðalljósur húðarlitur
	🧏🏽‍♂️;deyvur maður: miðal húðarlitur;deyvur|deyvur maður: miðal húðarlitur|maður|miðal húðarlitur
	🧏🏾‍♂️;deyvur maður: miðalmyrkur húðarlitur;deyvur|deyvur maður: miðalmyrkur húðarlitur|maður|miðalmyrkur húðarlitur
	🧏🏿‍♂️;deyvur maður: myrkur húðarlitur;deyvur|deyvur maður: myrkur húðarlitur|maður|myrkur húðarlitur
🧏‍♀️;deyv kvinna;deyv|kona|kvinna
	🧏🏻‍♀️;deyv kvinna: ljósur húðarlitur;deyv|deyv kvinna: ljósur húðarlitur|kona|kvinna|ljósur húðarlitur
	🧏🏼‍♀️;deyv kvinna: miðalljósur húðarlitur;deyv|deyv kvinna: miðalljósur húðarlitur|kona|kvinna|miðalljósur húðarlitur
	🧏🏽‍♀️;deyv kvinna: miðal húðarlitur;deyv|deyv kvinna: miðal húðarlitur|kona|kvinna|miðal húðarlitur
	🧏🏾‍♀️;deyv kvinna: miðalmyrkur húðarlitur;deyv|deyv kvinna: miðalmyrkur húðarlitur|kona|kvinna|miðalmyrkur húðarlitur
	🧏🏿‍♀️;deyv kvinna: myrkur húðarlitur;deyv|deyv kvinna: myrkur húðarlitur|kona|kvinna|myrkur húðarlitur
🙇;persónur sum bukkar;bukkar|fólk|persónur|persónur sum bukkar
	🙇🏻;persónur sum bukkar: ljósur húðarlitur;bukkar|fólk|ljósur húðarlitur|persónur|persónur sum bukkar|persónur sum bukkar: ljósur húðarlitur
	🙇🏼;persónur sum bukkar: miðalljósur húðarlitur;bukkar|fólk|miðalljósur húðarlitur|persónur|persónur sum bukkar|persónur sum bukkar: miðalljósur húðarlitur
	🙇🏽;persónur sum bukkar: miðal húðarlitur;bukkar|fólk|miðal húðarlitur|persónur|persónur sum bukkar|persónur sum bukkar: miðal húðarlitur
	🙇🏾;persónur sum bukkar: miðalmyrkur húðarlitur;bukkar|fólk|miðalmyrkur húðarlitur|persónur|persónur sum bukkar|persónur sum bukkar: miðalmyrkur húðarlitur
	🙇🏿;persónur sum bukkar: myrkur húðarlitur;bukkar|fólk|myrkur húðarlitur|persónur|persónur sum bukkar|persónur sum bukkar: myrkur húðarlitur
🙇‍♂️;maður sum bukkar;bukkar|maður|maður sum bukkar
	🙇🏻‍♂️;maður sum bukkar: ljósur húðarlitur;bukkar|ljósur húðarlitur|maður|maður sum bukkar|maður sum bukkar: ljósur húðarlitur
	🙇🏼‍♂️;maður sum bukkar: miðalljósur húðarlitur;bukkar|maður|maður sum bukkar|maður sum bukkar: miðalljósur húðarlitur|miðalljósur húðarlitur
	🙇🏽‍♂️;maður sum bukkar: miðal húðarlitur;bukkar|maður|maður sum bukkar|maður sum bukkar: miðal húðarlitur|miðal húðarlitur
	🙇🏾‍♂️;maður sum bukkar: miðalmyrkur húðarlitur;bukkar|maður|maður sum bukkar|maður sum bukkar: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	🙇🏿‍♂️;maður sum bukkar: myrkur húðarlitur;bukkar|maður|maður sum bukkar|maður sum bukkar: myrkur húðarlitur|myrkur húðarlitur
🙇‍♀️;kvinna sum bukkar;bukkar|kona|kvinna|kvinna sum bukkar
	🙇🏻‍♀️;kvinna sum bukkar: ljósur húðarlitur;bukkar|kona|kvinna|kvinna sum bukkar|kvinna sum bukkar: ljósur húðarlitur|ljósur húðarlitur
	🙇🏼‍♀️;kvinna sum bukkar: miðalljósur húðarlitur;bukkar|kona|kvinna|kvinna sum bukkar|kvinna sum bukkar: miðalljósur húðarlitur|miðalljósur húðarlitur
	🙇🏽‍♀️;kvinna sum bukkar: miðal húðarlitur;bukkar|kona|kvinna|kvinna sum bukkar|kvinna sum bukkar: miðal húðarlitur|miðal húðarlitur
	🙇🏾‍♀️;kvinna sum bukkar: miðalmyrkur húðarlitur;bukkar|kona|kvinna|kvinna sum bukkar|kvinna sum bukkar: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	🙇🏿‍♀️;kvinna sum bukkar: myrkur húðarlitur;bukkar|kona|kvinna|kvinna sum bukkar|kvinna sum bukkar: myrkur húðarlitur|myrkur húðarlitur
🤦;vónbrotin persónur;facepalm|fólk|ørkymlan|persónur|vónbrot|vónbrotin persónur
	🤦🏻;vónbrotin persónur: ljósur húðarlitur;facepalm|fólk|ljósur húðarlitur|ørkymlan|persónur|vónbrot|vónbrotin persónur|vónbrotin persónur: ljósur húðarlitur
	🤦🏼;vónbrotin persónur: miðalljósur húðarlitur;facepalm|fólk|miðalljósur húðarlitur|ørkymlan|persónur|vónbrot|vónbrotin persónur|vónbrotin persónur: miðalljósur húðarlitur
	🤦🏽;vónbrotin persónur: miðal húðarlitur;facepalm|fólk|miðal húðarlitur|ørkymlan|persónur|vónbrot|vónbrotin persónur|vónbrotin persónur: miðal húðarlitur
	🤦🏾;vónbrotin persónur: miðalmyrkur húðarlitur;facepalm|fólk|miðalmyrkur húðarlitur|ørkymlan|persónur|vónbrot|vónbrotin persónur|vónbrotin persónur: miðalmyrkur húðarlitur
	🤦🏿;vónbrotin persónur: myrkur húðarlitur;facepalm|fólk|myrkur húðarlitur|ørkymlan|persónur|vónbrot|vónbrotin persónur|vónbrotin persónur: myrkur húðarlitur
🤦‍♂️;vónbrotin maður;facepalm|maður|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin maður
	🤦🏻‍♂️;vónbrotin maður: ljósur húðarlitur;facepalm|ljósur húðarlitur|maður|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin maður|vónbrotin maður: ljósur húðarlitur
