# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;se zubjece woblico;luštne|se zubjece woblico|woblico|wótcynjona guba
💀;nop;njabogi|nop|smjerś|woblico
☠️;nop z pśekśicnjonyma kósćoma;njabogi|nop|nop z pśekśicnjonyma kósćoma|piratowa chórgoj|smjerś|woblico
💩;gownowa kopica;ekskrementy|gowno|gownowa kopica|gownowa kopicka
🤡;woblico klowna;klown|woblico|woblico klowna
👹;wogawa;bajka|Japańska|monster|woblico|wogawa
👺;larba kobołta;bajka|Japańska|kobołt|larba kobołta|monster|woblico
👻;tšašydło;bajka|fantazy|tšašydło|woblico
👽;alien;alien|woblico|zwenkazemske stwórjenje|zwenkazemski
👾;monster z computerowego graśa;alien|computerowe graśe|monster|monster z computerowego graśa
🤖;roboter;monster|roboter|woblico
😺;se zubjeca kócka;kócka|luštne|se zubjeca kócka|smjejkotanje|woblico
😸;se zubjeca kócka ze se smjejucyma wócyma;kócka|se zubjeca kócka ze se smjejucyma wócyma|se zubjeca kócka ze se smjejucymy wócyma|woblico|wócy
😹;kócka ze łdzami wjasela;kócka|kócka ze łdzami wjasela|łdzy|smjaś se|woblico
😻;se smjejuca kócka z wutšobickojtym wócyma;kócka|lubosć|se smjejuca kócka z wutšobickojtym wócyma|se smjejuca kócka zwutšobickojtyma wócyma|woblico|zalubowany
😼;zwažnje se smjejkotajuca kócka;ironiski|woblico|zwažnje se smjejkotajuca kócka
😽;póškajuca kócka;cerwjenej licy|kócka|póškajuca kócka|woblico
🙀;dopórany kócka;dopórana kócka|dopórany kócka|kócka|kśikaś se|tšach|woblico
😿;płakuca kócka;kócka|łdza|płakuca kócka|tužny|woblico
😾;prempleca kócka;kócka|prempleca kócka|woblico
🙈;se wócy zaźaržujuca nałpa;nałpa|nic njewiźeś|se wócy zaźaržujuca nałpa|zakazane
🙉;se wušy zaźaržujuca nałpa;nałpa|nic njesłyšaś|se wušy zaźaržujuca nałpa|zakazane
🙊;se gubu zaźaržujuca nałpa;nałpa|nic njegroniś|se gubu zaźaržujuca nałpa|zakazane
💌;lubosćinski list;list|lubosć|lubosćinski list|wutšobka
💘;wutšobka ze šypu;lubosć|šypa|wutšoba|wutšobka|wutšobka ze šypu
💝;wutšobka ze šlejfku;šlejfka|Walentinowy|wutšoba|wutšobka|wutšobka ze šlejfku|źeń swětego Walentina
💖;se błyšćeca wutšoba;lubosć|rozpłošenje|se błyšćeca wutšoba|se błyšćeca wutšobka|wutšoba
💗;rosćeca wutšobka;lubosć|rosćeca wutšobka|rozpłošenje|wutšoba
💓;bijuca wutšoba;bijuca wutšoba|lubosć|wutšoba|wutšobka
💞;kružecej wutšobce;kružecej wutšobce|lubosć|se kružecej wutšobce|wutšoba|wutšobka
💕;dwě wutšobce;dwě wutšobce|lubosć|wutšoba|wutšobka
💟;dekoracija z wutšobu;dekoracija z wutšobu|wutšoba|wutšobka
❣️;wutšoba ako wuwołak;interpunkcija|wutšoba|wutšoba ako wuwołak|wutšobka|wuwołak
💔;rozłamana wutšobka;ból|górje|rozłamana wutšobka|wutšoba|źělenje
❤️‍🔥;wutšobka se pali;lubosć|se paliś|swěta wutšoba|wutšoba|wutšobka|wutšobka se pali
❤️‍🩹;wutšobu gójś;gójś|se wustrowiś|se zmógnuś|wutšobu gójś
❤️;cerwjena wutšobka;cerwjena|wutšoba|wutšobka
🩷;rožojta wutšoba;lubosć|rady měś|rožojta|šykowna|wutšoba
🧡;oranžojta wutšoba;oranžojta wutšoba|oranžojta wutšobka|oranžojty|wutšoba|wutšobka
💛;žołta wutšobka;wutšoba|wutšobka|žołta wutšobka|žołty
💚;zelena wutšobka;wutšoba|wutšobka|zelena wutšobka|zeleny
💙;módra wutšobka;módra wutšobka|módry|wutšoba|wutšobka
🩵;swětłomódra wutšoba;cyan|módrozelena|swětłomódra|wutšoba
💜;lylowa wutšobka;lylowa wutšobka|lylowy|wutšoba|wutšobka
🤎;bruna wutšobka;bruna wutšobka|bruny|wutšoba|wutšobka
🖤;carna wutšobka;carna wutšobka|carny|wutšoba|zły
🩶;šera wutšoba;šćipjeł|šera|slobro|wutšoba
🤍;běła wutšobka;běła wutšobka|běły|wutšoba|wutšobka
💋;wótśišć póška;gubje|póšk|wótśišć gubowu|wótśišć póška
💯;100 dypkow;100|100 dypkow|połna licba dypkow|staw dypkow
💢;górjenje;comic|górjenje|symbol|złosć
💥;kolizija;comic|gromadu starcyś|kolizija
💫;zwity;comic|gwězda|gwězdy wiźeś|pógłušonosć|zwity
💦;chrapki znoja;chrapki znoja|comic|znoj
💨;prochowa mrokawa;comic|gnaś Iprochowa mrokawa|prochowa mrokawa|wuběgnuś
🕳️;źěra;carny|źěra
💬;powědański puchor z tśimi dykami;dialog|powědański puchor|powědański puchor z tśimi dykami|powědański puchor z tśimi dypkami|rozdrosćenje|rozgrono
👁️‍🗨️;wócko w powědańskem puchorje;dialog|powědaś|wócko|wócko w powědańskem puchorje
🗨️;powědański puchor nalěwo;dialog|powědański puchor nalěwo|powědaś|rozdrosćenje
🗯️;powědański puchor za sćakłe wugrono napšawo;powědański puchor|powědański puchor za sćakłe wugrono napšawo|sćakły
💭;myslowy puchor;comic|myslowy puchor|pśemyslowanje
💤;spanje;comic|smarcanje|spanje|spaś|ZZZ

[people_body]
👋;kiwajuca ruka;kiwajuca ruka|kiwanje|ruka
	👋🏻;kiwajuca ruka: swětła barwa kóže;kiwajuca ruka|kiwajuca ruka: swětła barwa kóže|kiwanje|ruka|swětła barwa kóže
	👋🏼;kiwajuca ruka: srjejźnoswětła barwa kóže;kiwajuca ruka|kiwajuca ruka: srjejźnoswětła barwa kóže|kiwanje|ruka|srjejźnoswětła barwa kóže
	👋🏽;kiwajuca ruka: wósrědna barwa kóže;kiwajuca ruka|kiwajuca ruka: wósrědna barwa kóže|kiwanje|ruka|wósrědna barwa kóže
	👋🏾;kiwajuca ruka: srjejźnośamna barwa kóže;kiwajuca ruka|kiwajuca ruka: srjejźnośamna barwa kóže|kiwanje|ruka|srjejźnośamna barwa kóže
	👋🏿;kiwajuca ruka: śamna barwa kóže;kiwajuca ruka|kiwajuca ruka: śamna barwa kóže|kiwanje|ruka|śamna barwa kóže
🤚;pózwignjona ruka wót slědka;pózwignjona ruka wót slědka|pózwignjony|pózwignjony wjerch ruki|ruka
	🤚🏻;pózwignjona ruka wót slědka: swětła barwa kóže;pózwignjona ruka wót slědka|pózwignjona ruka wót slědka: swětła barwa kóže|pózwignjony|pózwignjony wjerch ruki|ruka|swětła barwa kóže
	🤚🏼;pózwignjona ruka wót slědka: srjejźnoswětła barwa kóže;pózwignjona ruka wót slědka|pózwignjona ruka wót slědka: srjejźnoswětła barwa kóže|pózwignjony|pózwignjony wjerch ruki|ruka|srjejźnoswětła barwa kóže
	🤚🏽;pózwignjona ruka wót slědka: wósrědna barwa kóže;pózwignjona ruka wót slědka|pózwignjona ruka wót slědka: wósrědna barwa kóže|pózwignjony|pózwignjony wjerch ruki|ruka|wósrědna barwa kóže
	🤚🏾;pózwignjona ruka wót slědka: srjejźnośamna barwa kóže;pózwignjona ruka wót slědka|pózwignjona ruka wót slědka: srjejźnośamna barwa kóže|pózwignjony|pózwignjony wjerch ruki|ruka|srjejźnośamna barwa kóže
	🤚🏿;pózwignjona ruka wót slědka: śamna barwa kóže;pózwignjona ruka wót slědka|pózwignjona ruka wót slědka: śamna barwa kóže|pózwignjony|pózwignjony wjerch ruki|ruka|śamna barwa kóže
🖐️;ruka z rozpśestrětymi palcami;5|palce|pěś palcow|rozpśestrěty|ruka|ruka z rozpśestrětymi palcami
	🖐🏻;ruka z rozpśestrětymi palcami: swětła barwa kóže;5|palce|pěś palcow|rozpśestrěty|ruka|ruka z rozpśestrětymi palcami|ruka z rozpśestrětymi palcami: swětła barwa kóže|swětła barwa kóže
	🖐🏼;ruka z rozpśestrětymi palcami: srjejźnoswětła barwa kóže;5|palce|pěś palcow|rozpśestrěty|ruka|ruka z rozpśestrětymi palcami|ruka z rozpśestrětymi palcami: srjejźnoswětła barwa kóže|srjejźnoswětła barwa kóže
	🖐🏽;ruka z rozpśestrětymi palcami: wósrědna barwa kóže;5|palce|pěś palcow|rozpśestrěty|ruka|ruka z rozpśestrětymi palcami|ruka z rozpśestrětymi palcami: wósrědna barwa kóže|wósrědna barwa kóže
	🖐🏾;ruka z rozpśestrětymi palcami: srjejźnośamna barwa kóže;5|palce|pěś palcow|rozpśestrěty|ruka|ruka z rozpśestrětymi palcami|ruka z rozpśestrětymi palcami: srjejźnośamna barwa kóže|srjejźnośamna barwa kóže
	🖐🏿;ruka z rozpśestrětymi palcami: śamna barwa kóže;5|palce|pěś palcow|rozpśestrěty|ruka|ruka z rozpśestrětymi palcami|ruka z rozpśestrětymi palcami: śamna barwa kóže|śamna barwa kóže
✋;pózwignjona ruka;pózwignjona ruka|ruka
	✋🏻;pózwignjona ruka: swětła barwa kóže;pózwignjona ruka|pózwignjona ruka: swětła barwa kóže|ruka|swětła barwa kóže
	✋🏼;pózwignjona ruka: srjejźnoswětła barwa kóže;pózwignjona ruka|pózwignjona ruka: srjejźnoswětła barwa kóže|ruka|srjejźnoswětła barwa kóže
	✋🏽;pózwignjona ruka: wósrědna barwa kóže;pózwignjona ruka|pózwignjona ruka: wósrědna barwa kóže|ruka|wósrědna barwa kóže
	✋🏾;pózwignjona ruka: srjejźnośamna barwa kóže;pózwignjona ruka|pózwignjona ruka: srjejźnośamna barwa kóže|ruka|srjejźnośamna barwa kóže
	✋🏿;pózwignjona ruka: śamna barwa kóže;pózwignjona ruka|pózwignjona ruka: śamna barwa kóže|ruka|śamna barwa kóže
🖖;wulkaniske póstrowjenje;daś sy dłujko a w měrje žywy|rozpśestrěś|Spock|Star Trek|wulkaniske póstrowjenje|wulkaniski
	🖖🏻;wulkaniske póstrowjenje: swětła barwa kóže;daś sy dłujko a w měrje žywy|rozpśestrěś|Spock|Star Trek|swětła barwa kóže|wulkaniske póstrowjenje|wulkaniske póstrowjenje: swětła barwa kóže|wulkaniski
	🖖🏼;wulkaniske póstrowjenje: srjejźnoswětła barwa kóže;daś sy dłujko a w měrje žywy|rozpśestrěś|Spock|srjejźnoswětła barwa kóže|Star Trek|wulkaniske póstrowjenje|wulkaniske póstrowjenje: srjejźnoswětła barwa kóže|wulkaniski
	🖖🏽;wulkaniske póstrowjenje: wósrědna barwa kóže;daś sy dłujko a w měrje žywy|rozpśestrěś|Spock|Star Trek|wósrědna barwa kóže|wulkaniske póstrowjenje|wulkaniske póstrowjenje: wósrědna barwa kóže|wulkaniski
	🖖🏾;wulkaniske póstrowjenje: srjejźnośamna barwa kóže;daś sy dłujko a w měrje žywy|rozpśestrěś|Spock|srjejźnośamna barwa kóže|Star Trek|wulkaniske póstrowjenje|wulkaniske póstrowjenje: srjejźnośamna barwa kóže|wulkaniski
	🖖🏿;wulkaniske póstrowjenje: śamna barwa kóže;daś sy dłujko a w měrje žywy|rozpśestrěś|śamna barwa kóže|Spock|Star Trek|wulkaniske póstrowjenje|wulkaniske póstrowjenje: śamna barwa kóže|wulkaniski
🫱;ruka napšawo;napšawo|ruka
	🫱🏻;ruka napšawo: swětła barwa kóže;napšawo|ruka|ruka napšawo: swětła barwa kóže|swětła barwa kóže
	🫱🏼;ruka napšawo: srjejźnoswětła barwa kóže;napšawo|ruka|ruka napšawo: srjejźnoswětła barwa kóže|srjejźnoswětła barwa kóže
	🫱🏽;ruka napšawo: wósrědna barwa kóže;napšawo|ruka|ruka napšawo: wósrědna barwa kóže|wósrědna barwa kóže
	🫱🏾;ruka napšawo: srjejźnośamna barwa kóže;napšawo|ruka|ruka napšawo: srjejźnośamna barwa kóže|srjejźnośamna barwa kóže
	🫱🏿;ruka napšawo: śamna barwa kóže;napšawo|ruka|ruka napšawo: śamna barwa kóže|śamna barwa kóže
🫲;ruka nalěwo;nalěwo|ruka
	🫲🏻;ruka nalěwo: swětła barwa kóže;nalěwo|ruka|ruka nalěwo: swětła barwa kóže|swětła barwa kóže
	🫲🏼;ruka nalěwo: srjejźnoswětła barwa kóže;nalěwo|ruka|ruka nalěwo: srjejźnoswětła barwa kóže|srjejźnoswětła barwa kóže
	🫲🏽;ruka nalěwo: wósrědna barwa kóže;nalěwo|ruka|ruka nalěwo: wósrědna barwa kóže|wósrědna barwa kóže
	🫲🏾;ruka nalěwo: srjejźnośamna barwa kóže;nalěwo|ruka|ruka nalěwo: srjejźnośamna barwa kóže|srjejźnośamna barwa kóže
	🫲🏿;ruka nalěwo: śamna barwa kóže;nalěwo|ruka|ruka nalěwo: śamna barwa kóže|śamna barwa kóže
🫳;dłoń pokazujo dołoj;dłoń pokazujo dołoj|pušćiś|wugnaś|z ruki pušćiś
	🫳🏻;dłoń pokazujo dołoj: swětła barwa kóže;dłoń pokazujo dołoj|dłoń pokazujo dołoj: swětła barwa kóže|pušćiś|swětła barwa kóže|wugnaś|z ruki pušćiś
	🫳🏼;dłoń pokazujo dołoj: srjejźnoswětła barwa kóže;dłoń pokazujo dołoj|dłoń pokazujo dołoj: srjejźnoswětła barwa kóže|pušćiś|srjejźnoswětła barwa kóže|wugnaś|z ruki pušćiś
	🫳🏽;dłoń pokazujo dołoj: wósrědna barwa kóže;dłoń pokazujo dołoj|dłoń pokazujo dołoj: wósrědna barwa kóže|pušćiś|wósrědna barwa kóže|wugnaś|z ruki pušćiś
	🫳🏾;dłoń pokazujo dołoj: srjejźnośamna barwa kóže;dłoń pokazujo dołoj|dłoń pokazujo dołoj: srjejźnośamna barwa kóže|pušćiś|srjejźnośamna barwa kóže|wugnaś|z ruki pušćiś
	🫳🏿;dłoń pokazujo dołoj: śamna barwa kóže;dłoń pokazujo dołoj|dłoń pokazujo dołoj: śamna barwa kóže|pušćiś|śamna barwa kóže|wugnaś|z ruki pušćiś
🫴;dłoń pokazujo górjej;dłoń pokazujo górjej|kiwaś|póbitowaś|pópadnuś|pśiś
	🫴🏻;dłoń pokazujo górjej: swětła barwa kóže;dłoń pokazujo górjej|dłoń pokazujo górjej: swětła barwa kóže|kiwaś|póbitowaś|pópadnuś|pśiś|swětła barwa kóže
	🫴🏼;dłoń pokazujo górjej: srjejźnoswětła barwa kóže;dłoń pokazujo górjej|dłoń pokazujo górjej: srjejźnoswětła barwa kóže|kiwaś|póbitowaś|pópadnuś|pśiś|srjejźnoswětła barwa kóže
	🫴🏽;dłoń pokazujo górjej: wósrědna barwa kóže;dłoń pokazujo górjej|dłoń pokazujo górjej: wósrědna barwa kóže|kiwaś|póbitowaś|pópadnuś|pśiś|wósrědna barwa kóže
	🫴🏾;dłoń pokazujo górjej: srjejźnośamna barwa kóže;dłoń pokazujo górjej|dłoń pokazujo górjej: srjejźnośamna barwa kóže|kiwaś|póbitowaś|pópadnuś|pśiś|srjejźnośamna barwa kóže
	🫴🏿;dłoń pokazujo górjej: śamna barwa kóže;dłoń pokazujo górjej|dłoń pokazujo górjej: śamna barwa kóže|kiwaś|póbitowaś|pópadnuś|pśiś|śamna barwa kóže
🫷;ruka, ak tłocy nalěwo;ak tłocy nalěwo|cakaś|high five|nalěwo|ruka|ruka, ak tłocy nalěwo|slědk hyś|tłocyś|wótpokazaś|zaźaržaś
	🫷🏻;ruka, ak tłocy nalěwo: swětła barwa kóže;ak tłocy nalěwo|cakaś|high five|nalěwo|ruka|ruka, ak tłocy nalěwo|ruka, ak tłocy nalěwo: swětła barwa kóže|slědk hyś|swětła barwa kóže|tłocyś|wótpokazaś|zaźaržaś
	🫷🏼;ruka, ak tłocy nalěwo: srjejźnoswětła barwa kóže;ak tłocy nalěwo|cakaś|high five|nalěwo|ruka|ruka, ak tłocy nalěwo|ruka, ak tłocy nalěwo: srjejźnoswětła barwa kóže|slědk hyś|srjejźnoswětła barwa kóže|tłocyś|wótpokazaś|zaźaržaś
	🫷🏽;ruka, ak tłocy nalěwo: wósrědna barwa kóže;ak tłocy nalěwo|cakaś|high five|nalěwo|ruka|ruka, ak tłocy nalěwo|ruka, ak tłocy nalěwo: wósrědna barwa kóže|slědk hyś|tłocyś|wósrědna barwa kóže|wótpokazaś|zaźaržaś
	🫷🏾;ruka, ak tłocy nalěwo: srjejźnośamna barwa kóže;ak tłocy nalěwo|cakaś|high five|nalěwo|ruka|ruka, ak tłocy nalěwo|ruka, ak tłocy nalěwo: srjejźnośamna barwa kóže|slědk hyś|srjejźnośamna barwa kóže|tłocyś|wótpokazaś|zaźaržaś
	🫷🏿;ruka, ak tłocy nalěwo: śamna barwa kóže;ak tłocy nalěwo|cakaś|high five|nalěwo|ruka|ruka, ak tłocy nalěwo|ruka, ak tłocy nalěwo: śamna barwa kóže|śamna barwa kóže|slědk hyś|tłocyś|wótpokazaś|zaźaržaś
🫸;ruka, ak tłocy napšawo;ak tłocy napšawo|cakaś|high five|napšawo|ruka|ruka, ak tłocy napšawo|slědk hyś|tłocyś|wótpokazaś|zaźaržaś
