[smileys_emotion]
😀;ಹಾಸ್ಯದ ಮುಖ;ಮುಖ|ಹಾಸ್ಯ|ಹಾಸ್ಯದ ಮುಖ
😚;ಮುಚ್ಚಿರುವ ಕಣ್ಣುಗಳಿಂದ ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ;ಕಣ್ಣು|ಚುಂಬನ|ಮುಖ|ಮುಚ್ಚಿದ|ಮುಚ್ಚಿರುವ ಕಣ್ಣುಗಳಿಂದ ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ
😙;ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ;ಕಣ್ಣು|ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ|ಮುಖ|ಮುಗುಳ್ನಗೆ|ಮುತ್ತು
🥲;ಕಣ್ಣೀರಿನೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಮುಖ;ಕಣ್ಣೀರಿನೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಮುಖ|ಕಣ್ಣೀರು|ಕೃತಜ್ಞತೆಯ|ನಗುತ್ತಿರುವ|ಮುಟ್ಟಿದೆ|ಸಮಾಧಾನ|ಹೆಮ್ಮೆ
😋;ರುಚಿಯಾದ ಆಹಾರ ಕಂಡು ಬಾಯಲ್ಲಿ ನೀರೂರಿಸುತ್ತಿರುವ ಮುಖ;ಬಾಯಲ್ಲಿ ನೀರೂರಿಸುತ್ತಿರುವ ಮುಖ|ರುಚಿಯಾದ ಆಹಾರ|ರುಚಿಯಾದ ಆಹಾರ ಕಂಡು ಬಾಯಲ್ಲಿ ನೀರೂರಿಸುತ್ತಿರುವ ಮುಖ
😛;ನಾಲಿಗೆ ಹೊರ ಚಾಚಿರುವ ಮುಖ;ನಾಲಿಗೆ|ನಾಲಿಗೆ ಹೊರ ಚಾಚಿರುವ ಮುಖ|ನಾಲಿಗೆ ಹೊರಚಾಚಿರುವ ಮುಖ|ಮುಖ
😜;ನಾಲಿಗೆ ಹೊರ ಚಾಚಿ ಕಣ್ಣು ಮಿಟಿಕಿಸುತ್ತಿರುವ ಮುಖ;ತಮಾಷೆ ಮುಖ|ನಾಲಿಗೆ ಚಾಚಿರುವುದು|ನಾಲಿಗೆ ಹೊರ ಚಾಚಿ ಕಣ್ಣು ಮಿಟಿಕಿಸುತ್ತಿರುವ ಮುಖ|ನಾಲಿಗೆ ಹೊರ ಚಾಚಿರುವ ಮುಖ ಮತ್ತು ಕಣ್ಣು ಮಿಟಿಕಿಸುತ್ತಿರುವುದು
🤪;ಗೇಲಿ ಮಾಡುತ್ತಿರುವ ಮುಖ;ಕಣ್ಣು|ಗೇಲಿ ಮಾಡುತ್ತಿರುವ ಮುಖ|ಚಿಕ್ಕದು|ದೊಡ್ಡದು
😝;ನಾಲಿಗೆ ಹೊರ ಚಾಚಿ ಕಣ್ಣು ಬಿಗಿಯಾಗಿ ಮುಚ್ಚಿರುವ ಮುಖ;ಕಣ್ಣು|ನಾಲಿಗೆ ಹೊರ ಚಾಚಿ ಕಣ್ಣು ಬಿಗಿಯಾಗಿ ಮುಚ್ಚಿರುವ ಮುಖ|ನಾಲಿಗೆ ಹೊರಚಾಚಿರುವುದರೊಂದಿಗೆ ಮುದುರಿರುವ ಮುಖ|ಭಯಾನಕ|ಮುಖ
🤑;ಹಣದ ಬಾಯಿಯ ಮುಖ;ಬಾಯಿ|ಮುಖ|ಹಣ|ಹಣದ ಬಾಯಿಯ ಮುಖ
🤗;ಅಪ್ಪಿಕೊಳ್ಳುವ ಮುಖ;ಅಪ್ಪಿಕೊಳ್ಳುವ ಮುಖ|ಅಪ್ಪುಗೆ|ಅಪ್ಪುಗೆಯ ಮುಖ
🤭;ಕೈಗಳಿಂದ ಬಾಯಿ ಮುಚ್ಚಿರುವ ಮುಖ;ಓಹ್|ಕೈಗಳಿಂದ ಬಾಯಿ ಮುಚ್ಚಿರುವ ಮುಖ
🫢;ತೆರೆದ ಕಣ್ಣುಗಳ ಜೊತೆಗೆ ಬಾಯಿಯ ಮೇಲೆ ಕೈ ಇರಿಸಿರುವ ಮುಖ;ಅಪನಂಬಿಕೆ|ಆಶ್ಚರ್ಯ|ತೆರೆದ ಕಣ್ಣುಗಳ ಜೊತೆಗೆ ಬಾಯಿಯ ಮೇಲೆ ಕೈ ಇರಿಸಿರುವ ಮುಖ|ಬೆರಗು|ಮುಜುಗರ|ವಿಸ್ಮಯ|ಹೆದರಿದ
🫣;ಒಂದೇ ಕಣ್ಣಿನಿಂದ ಇಣುಕಿ ನೋಡುವ ಮುಖ;ಇಣುಕಿ ನೋಡುವ|ಒಂದೇ ಕಣ್ಣಿನಿಂದ ಇಣುಕಿ ನೋಡುವ ಮುಖ|ದಿಟ್ಟಿಸುವ|ಸೆರೆಹಿಡಿಯಲಾದ
🤫;ಶ್ ಎಂದು ಹೇಳುತ್ತಿರುವ ಮುಖ;ಮೌನ|ಶ್|ಶ್ ಎಂದು ಹೇಳುತ್ತಿರುವ ಮುಖ
🤔;ಆಲೋಚನೆ ಮುಖ;ಆಲೋಚನೆ|ಮುಖ
🫡;ನಮಸ್ಕರಿಸುತ್ತಿರುವ ಮುಖ;ನಮಸ್ಕರಿಸುತ್ತಿರುವ ಮುಖ|ಪಡೆಗಳು|ಬಿಸಿಲು|ಸರಿ|ಸೆಲ್ಯೂಟ್|ಹೌದು
🤐;ಝಿಪ್ಪರ್ ಬಾಯಿಯ ಮುಖ;ಝಿಪ್ಪರ್|ಝಿಪ್ಪರ್ ಬಾಯಿಯ ಮುಖ|ಬಾಯಿ|ಮುಖ
🤨;ಎತ್ತರಿಸಿದ ಹುಬ್ಬುಳ್ಳ ಮುಖ;ಅಪನಂಬಿಕೆ|ಎತ್ತರಿಸಿದ ಹುಬ್ಬುಳ್ಳ ಮುಖ|ಸ್ಕೆಪ್ಟಿಕ್
😐;ತಟಸ್ಥ ಮುಖ;ತಟಸ್ಥ|ನಿರ್ಲಿಪ್ತ|ಮುಖ
😑;ಭಾವನೆಯಿಲ್ಲದ ಮುಖ;ಭಾವನೆಯಿಲ್ಲದ ಮುಖ|ಭಾವವಿಲ್ಲದ|ವ್ಯಕ್ತಪಡಿಸಲಾರದ ಮುಖ
😶;ಬಾಯಿಯಿಲ್ಲದ ಮುಖ;ಬಾಯಿ|ಬಾಯಿಯಿಲ್ಲದ ಮುಖ|ಮುಖ|ಮೌನ|ಸ್ತಬ್ಧ
🫥;ಚುಕ್ಕೆಗಳ ಸಾಲಿನ ಮುಖ;ಅಗೋಚರ|ಅಂತರ್ಮುಖಿ|ಕಣ್ಮರೆಯಾಗುವ|ಖಿನ್ನತೆಗೆ ಒಳಗಾದ|ಚುಕ್ಕೆಗಳ ಸಾಲಿನ ಮುಖ|ಮರೆಮಾಡಿರುವ
😶‍🌫️;ಮೋಡಗಳಲ್ಲಿ ಮುಖ;ಮಬ್ಬು ಆವರಿಸಿದ ಮುಖ|ಮಾನಸಿಕವಾಗಿ ಕಳೆದುಹೋಗಿರುವುದು|ಮೋಡಗಳಲ್ಲಿ ತಲೆ|ಮೋಡಗಳಲ್ಲಿ ಮುಖ
😏;ಹುಸಿ ನಗುವಿನ ಮುಖ;ಮುಖ|ಹುಸಿ ನಗು|ಹುಸಿ ನಗುವಿನ ಮುಖ
😒;ಅತೃಪ್ತಿಯ ಮುಖ;ಅತೃಪ್ತಿ ಮುಖ|ಅತೃಪ್ತಿಯ ಮುಖ|ಹಾಸ್ಯಗ್ರಹಿಸದ ಮುಖ
🙄;ತಿರುಗುತ್ತಿರುವ ಕಣ್ಣುಗಳ ಮುಖ;ಕಣ್ಣುಗಳು|ತಿರುಗುತ್ತಿರುವ|ತಿರುಗುತ್ತಿರುವ ಕಣ್ಣುಗಳ ಮುಖ|ಮುಖ
😬;ಸೊಟ್ಟ ಮುಖ;ಗಂಟುಮೋರೆ ಮುಖ|ಸೊಟ್ಟ ಮುಖ
😮‍💨;ನಿಟ್ಟುಸಿರು ಇಡುತ್ತಿರುವ ಮುಖ;ನಿಟ್ಟುಸಿರು ಇಡುತ್ತಿರುವ ಮುಖ
🤥;ಸುಳ್ಳುಗಾರ ಮುಖ;ಪಿನಾಷಿಯೋ|ಮುಖ|ಸುಳ್ಳು|ಸುಳ್ಳುಗಾರ ಮುಖ
🫨;ಅಲುಗಾಡುತ್ತಿರುವ ಮುಖ;ಅಲುಗಾಡುತ್ತಿರುವ|ಆಘಾತ|ಕಂಪಿಸು|ಭೂಕಂಪ|ಮುಖ
🙂‍↔️;ಅಡ್ಡಲಾಗಿ ತಲೆ ಅಲುಗಾಡಿಸುತ್ತಿರುವುದು;ಅಡ್ಡಲಾಗಿ ತಲೆ ಅಲುಗಾಡಿಸುತ್ತಿರುವುದು|ಅಲುಗಾಡಿಸು|ಇಲ್ಲ
🙂‍↕️;ಲಂಬವಾಗಿ ತಲೆ ಅಲುಗಾಡಿಸುತ್ತಿರುವುದು;ತಲೆಯಾಡಿಸು|ಲಂಬವಾಗಿ ತಲೆ ಅಲುಗಾಡಿಸುತ್ತಿರುವುದು|ಹೌದು
😌;ನಿರಾಳತೆಯ ಮುಖ;ನಿರಾಳತೆ|ನಿರಾಳತೆಯ ಮುಖ|ಮುಖ
😔;ಖಿನ್ನತೆಯ ಮುಖ;ಖಿನ್ನತೆ|ಖಿನ್ನತೆಯ ಮುಖ|ನಿರುತ್ಸಾಹಗೊಂಡಿರುವುದು|ಮುಖ
😪;ನಿದ್ದೆ ಮುಖ;ನಿದ್ದೆ ಮುಖ|ನಿದ್ರೆ|ಮುಖ
🤤;ಜೊಲ್ಲು ಸುರಿಸುತ್ತಿರುವ ಮುಖ;ಜೊಲ್ಲು ಸುರಿಸುತ್ತಿರುವ|ಜೊಲ್ಲು ಸುರಿಸುತ್ತಿರುವ ಮುಖ|ಮುಖ
😴;ನಿದ್ರಾ ಮುಖ;ಗರ್‌ರ್‌ರ್‌|ನಿದ್ರಾ ಮುಖ|ನಿದ್ರೆ|ಮುಖ
😷;ವೈದ್ಯಕೀಯ ಮುಖವಾಡದ ಮುಖ;ಮುಖವಾಡದೊಂದಿಗಿನ ಮುಖ|ವೈದ್ಯಕೀಯ ಮುಖವಾಡ|ವೈದ್ಯಕೀಯ ಮುಖವಾಡದ ಮುಖ
🤒;ಥರ್ಮಾಮೀಟರ್‌ನ ಮುಖ;ಥರ್ಮಾಮೀಟರ್‌ನ ಮುಖ|ಬಾಯಿಯಲ್ಲಿ ಥರ್ಮಾಮೀಟರ್
🤕;ತಲೆ ಬ್ಯಾಂಡೇಜ್‌ನ ಮುಖ;ತಲೆ ಬ್ಯಾಂಡೇಜ್‌ನ ಮುಖ|ತಲೆಗೆ ಬ್ಯಾಂಡೇಜ್ ಹೊಂದಿರುವ ಮುಖ|ಬ್ಯಾಂಡೇಜ್ ಮುಖ|ಹಣೆಪಟ್ಟಿ
🤢;ಹೇವರಿಕೆ ಮುಖ;ಮುಖ|ವಾಂತಿ|ಹೇವರಿಕೆ
🤮;ವಾಂತಿ ಮಾಡುತ್ತಿರುವ ಮುಖ;ಅನಾರೋಗ್ಯ|ವಾಂತಿ|ವಾಂತಿ ಮಾಡುತ್ತಿರುವ ಮುಖ|ವಾಂತಿ ಮಾಡುತ್ತಿರುವಂತೆ ಮುಖ
🤧;ಸೀನುವ ಮುಖ;ಜೆಸುಂದೇಟ್|ಮುಖ|ಸೀನು|ಸೀನುವ ಮುಖ
🥵;ಉರಿಯ ಮುಖ;ಉರಿಯ ಮುಖ|ಕೆಂಪು ಮುಖ|ಜ್ವರ|ಬಿಸಿ|ಬಿಸಿಲಿನ ಹೊಡೆತ|ಬೆವರು
🥶;ತಂಪು ಮುಖ;ತಂಪು|ತಂಪು ಮುಖ|ನೀರ್ಲಲ್ಲುಗಳು|ನೀಲಿ ಮುಖ|ಫ್ರಾಸ್ಟ್‌ಬೈಟ್|ಫ್ರೀಜಿಂಗ್
🥴;ತಲೆತಿರುಗುವಂತಿರುವ ಮುಖ;ಅಮಲೇರಿರುವುದು|ಏರುಪೇರಾಗಿರುವ ಕಣ್ಣುಗಳು|ಕುಡಿದು ಮತ್ತೇರಿರುವುದು|ತಲೆ ಸುತ್ತುವುದು|ತಲೆತಿರುಗುವಂತಿರುವ ಮುಖ|ಸುತ್ತಿಕೊಂಡಿರುವ ಬಾಯಿ
😵;ತಲೆತಿರುಗುತ್ತಿರುವಂತಿರುವ ಮುಖ;ತಲೆತಿರುಗುತ್ತಿರುವಂತಿರುವ ಮುಖ|ತೆಲೆತಿರುಗಿಸುತ್ತಿರುವ ಮುಖ|ತೆಲೆತಿರುಗಿಸುವ ಮುಖ
😵‍💫;ಗಿರುಗುಟ್ಟುವ ಕಣ್ಣುಗಳ ಮುಖ;ಗಿರುಗುಟ್ಟುವ ಕಣ್ಣುಗಳ ಮುಖ
🤯;ಸ್ಫೋಟಿಸುತ್ತಿರುವ ತಲೆ;ಆಘಾತಗೊಂಡಿರುವುದು|ಸ್ಫೋಟಿಸುತ್ತಿರುವ ತಲೆ
🤠;ಕೌಬಾಯ್ ಟೋಪಿ ಮುಖ;ಕೌಗರ್ಲ್|ಕೌಬಾಯ್|ಟೋಪಿ|ಮುಖ
🥳;ಪಾರ್ಟಿ ಮಾಡುತ್ತಿರುವ ಮುಖ;ಆಚರಣೆ|ಪಾರ್ಟಿ|ಪಾರ್ಟಿ ಮಾಡುತ್ತಿರುವ ಮುಖ|ಹಾರ್ನ್|ಹ್ಯಾಟ್
🥸;ಮಾರುವೇಷ ಮುಖ;ಅಜ್ಞಾತ|ಗ್ಲಾಸ್|ಮಾರುವೇಷ|ಮುಖ|ಮೂಗು
😎;ಸನ್‌ಗ್ಲಾಸ್‌ನೊಂದಿಗೆ ನಗು ಮುಖ;ತಂಪಾದ|ಪ್ರಕಾಶಮಾನವಾದ|ಮುಖ|ಸನ್‌ಗ್ಲಾಸ್‌|ಸನ್‌ಗ್ಲಾಸ್‌ನೊಂದಿಗೆ ನಗು ಮುಖ
🤓;ಪೆದ್ದು ಮುಖ;ದಡ್ಡತನ|ಪೆದ್ದು ಮುಖ
🧐;ಮೊನೊಕಲ್ ಮುಖ;ಒಂದು ಕಣ್ಣಿಗೆ ಕನ್ನಡಕ ಹಾಕಿರುವ ಮುಖ|ಮೊನೊಕಲ್ ಮುಖ|ಸ್ಟಫೀ
😕;ಗೊಂದಲದ ಮುಖ;ಗೊಂದಲಗೊಂಡಿರುವುದು|ಗೊಂದಲದ ಮುಖ|ಮುಖ
🫤;ಅಡ್ಡವಾಗಿ ಬಾಯಿಯನ್ನು ಹೊಂದಿರುವ ಮುಖ;ಅಡ್ಡವಾಗಿ ಬಾಯಿಯನ್ನು ಹೊಂದಿರುವ ಮುಖ|ಖಚಿತವಾಗಿಲ್ಲ|ನಿರಾಶೆ|ಮೆಹ್|ಸಂಶಯ
😟;ಚಿಂತೆಯ ಮುಖ;ಚಿಂತೆ ಮುಖ|ಚಿಂತೆಯ ಮುಖ
🙁;ಸ್ವಲ್ಪ ಗಂಟಿಕ್ಕಿರುವ ಮುಖ;ಗಂಟಿಕ್ಕಿರುವ ಮುಖ|ಸ್ವಲ್ಪ ಗಂಟಿಕ್ಕಿರುವ ಮುಖ
☹️;ಗಂಟಿಕ್ಕಿರುವ ಮುಖ;ಗಂಟಿಕ್ಕಿರುವ ಮುಖ|ಮುಖ ಗಂಟಿಕ್ಕಿರುವುದು
😮;ತೆರೆದ ಬಾಯಿಯ ಮುಖ;ತೆರೆದ ಬಾಯಿಯ ಮುಖ|ತೆರೆದಿರುವುದು|ಬಾಯಿ|ಮುಖ|ಸಹಾನುಭೂತಿ
😯;ಗೋಪ್ಯವಾಗಿರಿಸಿದ ಮುಖ;ಆಶ್ಚರ್ಯವಾಗಿರುವುದು|ಗಾಬರಿಯಾಗಿರುವುದು|ಗೋಪ್ಯವಾಗಿರಿಸಿದ|ಮುಖ
😲;ಆಶ್ಚರ್ಯಚಕಿತ ಮುಖ;ಆಘಾತವಾಗಿರುವುದು|ಆಶ್ಚರ್ಯಚಕಿತ ಮುಖ|ಆಶ್ಚರ್ಯಚಕಿತವಾಗಿರುವುದು|ಮುಖ|ಸಂಪೂರ್ಣ
😳;ಕೆಂಪೇರಿದ ಮುಖ;ಕಕ್ಕಾಬಿಕ್ಕಿಯ ಮುಖ|ಕೆಂಪೇರಿದ ಮುಖ
🥺;ಮನವೊಲಿಸುವ ಮುಖ;ಕರುಣೆ|ನಾಯಿಮರಿ ಕಣ್ಣುಗಳು|ಬೇಡುತ್ತಿರುವ|ಮನವೊಲಿಸುವ ಮುಖ
🥹;ಕಣ್ಣೀರನ್ನು ಹಿಡಿದಿಟ್ಟುಕೊಂಡಿರುವ ಮುಖ;ಅಳು|ಕಣ್ಣೀರನ್ನು ಹಿಡಿದಿಟ್ಟುಕೊಂಡಿರುವ ಮುಖ|ಕೋಪ|ದುಃಖ|ವಿರೋಧಿಸು|ಹೆಮ್ಮೆ
😦;ಬಾಯಿ ತೆರೆದು ಗಂಟಿಕ್ಕಿರುವ ಮುಖ;ಗಂಟಿಕ್ಕಿರುವ|ತೆರೆದಿರುವುದು|ಬಾಯಿ|ಬಾಯಿ ತೆರೆದು ಗಂಟಿಕ್ಕಿರುವ ಮುಖ|ಮುಖ
😧;ಕಳವಳದ ಮುಖ;ಕಳವಳದ ಮುಖ|ಸಂಕಟದ ಮುಖ
😨;ಭಯದ ಮುಖ;ಗಾಬರಿಯ ಮುಖ|ಬೆದರಿದ ಮುಖ|ಭಯ ಮುಖ|ಭಯದ ಮುಖ
😰;ಬೆವರಿನೊಂದಿಗೆ ಆತಂಕದ ಮುಖ;ತೆರೆದ ಬಾಯಿ|ತೆರೆದ ಬಾಯಿ ಮತ್ತು ತಣ್ಣನೆ ಬೆರವಿನ ಮುಖ|ನೀಲಿ ಬಣ್ಣದ ಮುಖ|ಬೆವರಿನೊಂದಿಗೆ ಆತಂಕದ ಮುಖ
😥;ನಿರಾಶೆ ಆದರೆ ಸಮಾಧಾನದ ಮುಖ;ನಿರಾಶೆ|ನಿರಾಶೆ ಆದರೆ ಸಮಾಧಾನ|ನಿರಾಶೆ ಆದರೆ ಸಮಾಧಾನದ ಮುಖ|ಮುಖ|ಸಮಾಧಾನ
😢;ಅಳುತ್ತಿರುವ ಮುಖ;ಅಳು|ಅಳುತ್ತಿರುವ ಮುಖ|ಕಣ್ಣೀರು|ದುಃಖ|ಮುಖ
😭;ಜೋರಾಗಿ ಅಳುತ್ತಿರುವ ಮುಖ;ಅಳುತ್ತಿರುವ ಮುಖ|ಜೋರಾಗಿ ಅಳುತ್ತಿರುವ ಮುಖ|ಜೋರಾಗಿ ಅಳುವುದು
😱;ಭಯದಿಂದ ಅರಚುತ್ತಿರುವ ಮುಖ;ಭಯದ ಮುಖ|ಭಯದಿಂದ ಅರಚುತ್ತಿರುವ ಮುಖ|ಭಯದಿಂದ ಕಿರುಚುವ ಮುಖ
😖;ಗೊಂದಲಮಯ ಮುಖ;ಗೊಂದಲಮಯ|ಮುಖ
😣;ಸತತ ಪ್ರಯತ್ನದ ಮುಖ;ಮುಖ|ಸತತ ಪ್ರಯತ್ನ|ಸತತ ಪ್ರಯತ್ನದ ಮುಖ
😞;ನಿರಾಸೆ ಮುಖ;ನಿರಾಸೆ|ಮುಖ
😓;ತಣ್ಣನೆಯ ಬೆವರಿನ ಮುಖ;ತಣ್ಣನೆಯ|ತಣ್ಣನೆಯ ಬೆವರಿನ ಮುಖ|ಬೆವರಿನೊಂದಿಗೆ ಕುಸಿದಿರುವ ಮುಖ|ಬೆವರು|ಮುಖ
😩;ಅಸಹನೆ ಮುಖ;ಅಸಹನೆ ಮುಖ|ಅಸಹನೆಯ ಮುಖ|ದಣಿದ ಮುಖ
😫;ದಣಿದ ಮುಖ;ದಣಿದ ಮುಖ|ದಣಿದಿರುವುದು|ಮುಖ
🥱;ಆಕಳಿಸುವ ಮುಖ;ಆಕಳಿಸುವ|ಆಕಳಿಸುವ ಮುಖ|ಆಯಾಸದ|ಬೇಸರದ
😤;ಮುೂಗಿನಿಂದ ಹಬೆಯ ಮುಖ;ಗೆಲುವು|ಮುಖ|ಮುೂಗಿನಿಂದ ಹಬೆಯ ಮುಖ|ಮೂಗಿನಿಂದ ಹಬೆಯ ಬರುತ್ತಿರುವ ಮುಖ|ವಿಜಯ
😡;ಕೋಪದ ಮುಖ;ಕೆಂಪು ಮುಖ|ಕೋಪದ ಮುಖ
😠;ಕೋಪಗೊಂಡ ಮುಖ;ಕೋಪಗೊಂಡ ಮುಖ|ಕೋಪದಿಂದಿರುವ ಮುಖ
🤬;ಬಾಯಿಯ ಮೇಲೆ ಚಿಹ್ನೆಗಳನ್ನು ಹೊಂದಿರುವ ಮುಖ;ಪ್ರತಿಜ್ಞೆ|ಬಾಯಿಯ ಮೇಲೆ ಚಿಹ್ನೆಗಳನ್ನು ಹೊಂದಿರುವ ಮುಖ|ಮುಖದ ಮೇಲೆ ಚಿಹ್ನೆಗಳನ್ನು ಹೊಂದಿರುವ ಮುಖ
😈;ಕೊಂಬಿನೊಂದಿಗೆ ನಗು ಮುಖ;ಕಾಲ್ಪನಿಕ ಕಥೆ|ಕೊಂಬಿನೊಂದಿಗೆ ನಗು ಮುಖ|ಕೊಂಬುಗಳು|ಫ್ಯಾಂಟಸಿ|ಮುಖ
👿;ದೆವ್ವದ ಮುಖ;ಕೊಂಬಿನೊಂದಿಗೆ ನಗು ಮುಖ|ಚಿಕ್ಕ ದೆವ್ವ|ದೆವ್ವದ ಮುಖ
💀;ತಲೆಬುರುಡೆ;ಕಾಲ್ಪನಿಕ ಕಥೆ|ತಲೆಬುರುಡೆ|ದೇಹ|ಮುಖ|ಸಾವು
☠️;ತಲೆಬುುರುಡೆ ಮತ್ತು ಮೂಳೆಗಳು;ಅಪಾಯ|ಎಚ್ಚರಿಕೆ|ತಲೆಬುರುಡೆ|ತಲೆಬುುರುಡೆ ಮತ್ತು ಮೂಳೆಗಳು
💩;ಸಗಣಿ ರಾಶಿ;ಸಗಣಿ|ಸಗಣಿ ರಾಶಿ
🤡;ವಿದೂಷಕ ಮುಖ;ಮುಖ|ವಿದೂಷಕ
👹;ರಾಕ್ಷಸ;ಕಾಲ್ಪನಿಕ ಕಥೆ|ದೈತ್ಯಾಕಾರ|ಫ್ಯಾಂಟಸಿ|ಮುಖ|ರಾಕ್ಷಸ
👺;ಗಾಬ್ಲಿನ್;ಕಾಲ್ಪನಿಕ ಕಥೆ|ಗಾಬ್ಲಿನ್|ತುಂಟ ಬೇತಾಳ|ದೈತ್ಯಾಕಾರ|ಫ್ಯಾಂಟಸಿ
