# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
	👩🏿‍⚖️;naag garsoore ah: jidh madaw;garsoore|jidh madaw|miisaanka|naag|naag garsoore ah|naag garsoore ah: jidh madaw
🧑‍🌾;Beeraley;Beeraley|beeraley. beer ilaaliye|waardiye
	🧑🏻‍🌾;Beeraley: jidh fudud;Beeraley|Beeraley: jidh fudud|beeraley. beer ilaaliye|jidh fudud|waardiye
	🧑🏼‍🌾;Beeraley: jidh fudud oo dhexe;Beeraley|Beeraley: jidh fudud oo dhexe|beeraley. beer ilaaliye|jidh fudud oo dhexe|waardiye
	🧑🏽‍🌾;Beeraley: jidh nooc dhexe;Beeraley|Beeraley: jidh nooc dhexe|beeraley. beer ilaaliye|jidh nooc dhexe|waardiye
	🧑🏾‍🌾;Beeraley: jidh nooc madaw oo dhexe;Beeraley|Beeraley: jidh nooc madaw oo dhexe|beeraley. beer ilaaliye|jidh nooc madaw oo dhexe|waardiye
	🧑🏿‍🌾;Beeraley: jidh madaw;Beeraley|Beeraley: jidh madaw|beeraley. beer ilaaliye|jidh madaw|waardiye
👨‍🌾;nin beeraleey ah;beer-qote|beeraleey|beerinfoof|nin|nin beeraleey ah
	👨🏻‍🌾;nin beeraleey ah: jidh fudud;beer-qote|beeraleey|beerinfoof|jidh fudud|nin|nin beeraleey ah|nin beeraleey ah: jidh fudud
	👨🏼‍🌾;nin beeraleey ah: jidh fudud oo dhexe;beer-qote|beeraleey|beerinfoof|jidh fudud oo dhexe|nin|nin beeraleey ah|nin beeraleey ah: jidh fudud oo dhexe
	👨🏽‍🌾;nin beeraleey ah: jidh nooc dhexe;beer-qote|beeraleey|beerinfoof|jidh nooc dhexe|nin|nin beeraleey ah|nin beeraleey ah: jidh nooc dhexe
	👨🏾‍🌾;nin beeraleey ah: jidh nooc madaw oo dhexe;beer-qote|beeraleey|beerinfoof|jidh nooc madaw oo dhexe|nin|nin beeraleey ah|nin beeraleey ah: jidh nooc madaw oo dhexe
	👨🏿‍🌾;nin beeraleey ah: jidh madaw;beer-qote|beeraleey|beerinfoof|jidh madaw|nin|nin beeraleey ah|nin beeraleey ah: jidh madaw
👩‍🌾;naag beeraleeyad ah;beer-qote|beeraleey|beerinfoof|naag|naag beeraleeyad ah
	👩🏻‍🌾;naag beeraleeyad ah: jidh fudud;beer-qote|beeraleey|beerinfoof|jidh fudud|naag|naag beeraleeyad ah|naag beeraleeyad ah: jidh fudud
	👩🏼‍🌾;naag beeraleeyad ah: jidh fudud oo dhexe;beer-qote|beeraleey|beerinfoof|jidh fudud oo dhexe|naag|naag beeraleeyad ah|naag beeraleeyad ah: jidh fudud oo dhexe
	👩🏽‍🌾;naag beeraleeyad ah: jidh nooc dhexe;beer-qote|beeraleey|beerinfoof|jidh nooc dhexe|naag|naag beeraleeyad ah|naag beeraleeyad ah: jidh nooc dhexe
	👩🏾‍🌾;naag beeraleeyad ah: jidh nooc madaw oo dhexe;beer-qote|beeraleey|beerinfoof|jidh nooc madaw oo dhexe|naag|naag beeraleeyad ah|naag beeraleeyad ah: jidh nooc madaw oo dhexe
	👩🏿‍🌾;naag beeraleeyad ah: jidh madaw;beer-qote|beeraleey|beerinfoof|jidh madaw|naag|naag beeraleeyad ah|naag beeraleeyad ah: jidh madaw
🧑‍🍳;cunno kariye;cunno kariye|madaxa sare
	🧑🏻‍🍳;cunno kariye: jidh fudud;cunno kariye|cunno kariye: jidh fudud|jidh fudud|madaxa sare
	🧑🏼‍🍳;cunno kariye: jidh fudud oo dhexe;cunno kariye|cunno kariye: jidh fudud oo dhexe|jidh fudud oo dhexe|madaxa sare
	🧑🏽‍🍳;cunno kariye: jidh nooc dhexe;cunno kariye|cunno kariye: jidh nooc dhexe|jidh nooc dhexe|madaxa sare
	🧑🏾‍🍳;cunno kariye: jidh nooc madaw oo dhexe;cunno kariye|cunno kariye: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe|madaxa sare
	🧑🏿‍🍳;cunno kariye: jidh madaw;cunno kariye|cunno kariye: jidh madaw|jidh madaw|madaxa sare
👨‍🍳;nin kariye ah;kariye|madaxa kariyaha|nin|nin kariye ah
	👨🏻‍🍳;nin kariye ah: jidh fudud;jidh fudud|kariye|madaxa kariyaha|nin|nin kariye ah|nin kariye ah: jidh fudud
	👨🏼‍🍳;nin kariye ah: jidh fudud oo dhexe;jidh fudud oo dhexe|kariye|madaxa kariyaha|nin|nin kariye ah|nin kariye ah: jidh fudud oo dhexe
	👨🏽‍🍳;nin kariye ah: jidh nooc dhexe;jidh nooc dhexe|kariye|madaxa kariyaha|nin|nin kariye ah|nin kariye ah: jidh nooc dhexe
	👨🏾‍🍳;nin kariye ah: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|kariye|madaxa kariyaha|nin|nin kariye ah|nin kariye ah: jidh nooc madaw oo dhexe
	👨🏿‍🍳;nin kariye ah: jidh madaw;jidh madaw|kariye|madaxa kariyaha|nin|nin kariye ah|nin kariye ah: jidh madaw
👩‍🍳;naag kariso ah;kariye|madaxa kariyaha|naag|naag kariso ah
	👩🏻‍🍳;naag kariso ah: jidh fudud;jidh fudud|kariye|madaxa kariyaha|naag|naag kariso ah|naag kariso ah: jidh fudud
	👩🏼‍🍳;naag kariso ah: jidh fudud oo dhexe;jidh fudud oo dhexe|kariye|madaxa kariyaha|naag|naag kariso ah|naag kariso ah: jidh fudud oo dhexe
	👩🏽‍🍳;naag kariso ah: jidh nooc dhexe;jidh nooc dhexe|kariye|madaxa kariyaha|naag|naag kariso ah|naag kariso ah: jidh nooc dhexe
	👩🏾‍🍳;naag kariso ah: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|kariye|madaxa kariyaha|naag|naag kariso ah|naag kariso ah: jidh nooc madaw oo dhexe
	👩🏿‍🍳;naag kariso ah: jidh madaw;jidh madaw|kariye|madaxa kariyaha|naag|naag kariso ah|naag kariso ah: jidh madaw
🧑‍🔧;makaanik;makaanik|tuubeeyste
	🧑🏻‍🔧;makaanik: jidh fudud;jidh fudud|makaanik|makaanik: jidh fudud|tuubeeyste
	🧑🏼‍🔧;makaanik: jidh fudud oo dhexe;jidh fudud oo dhexe|makaanik|makaanik: jidh fudud oo dhexe|tuubeeyste
	🧑🏽‍🔧;makaanik: jidh nooc dhexe;jidh nooc dhexe|makaanik|makaanik: jidh nooc dhexe|tuubeeyste
	🧑🏾‍🔧;makaanik: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|makaanik|makaanik: jidh nooc madaw oo dhexe|tuubeeyste
	🧑🏿‍🔧;makaanik: jidh madaw;jidh madaw|makaanik|makaanik: jidh madaw|tuubeeyste
👨‍🔧;nin makaanik ah;dhuumo yaqaan|ganacsade|koronto yaqaan|makaanik|nin|nin makaanik ah
	👨🏻‍🔧;nin makaanik ah: jidh fudud;dhuumo yaqaan|ganacsade|jidh fudud|koronto yaqaan|makaanik|nin|nin makaanik ah|nin makaanik ah: jidh fudud
	👨🏼‍🔧;nin makaanik ah: jidh fudud oo dhexe;dhuumo yaqaan|ganacsade|jidh fudud oo dhexe|koronto yaqaan|makaanik|nin|nin makaanik ah|nin makaanik ah: jidh fudud oo dhexe
	👨🏽‍🔧;nin makaanik ah: jidh nooc dhexe;dhuumo yaqaan|ganacsade|jidh nooc dhexe|koronto yaqaan|makaanik|nin|nin makaanik ah|nin makaanik ah: jidh nooc dhexe
	👨🏾‍🔧;nin makaanik ah: jidh nooc madaw oo dhexe;dhuumo yaqaan|ganacsade|jidh nooc madaw oo dhexe|koronto yaqaan|makaanik|nin|nin makaanik ah|nin makaanik ah: jidh nooc madaw oo dhexe
	👨🏿‍🔧;nin makaanik ah: jidh madaw;dhuumo yaqaan|ganacsade|jidh madaw|koronto yaqaan|makaanik|nin|nin makaanik ah|nin makaanik ah: jidh madaw
👩‍🔧;naag makaanikad ah;dhuumo yaqaan|ganacsade|koronto yaqaan|makaanik|naag|naag makaanikad ah
	👩🏻‍🔧;naag makaanikad ah: jidh fudud;dhuumo yaqaan|ganacsade|jidh fudud|koronto yaqaan|makaanik|naag|naag makaanikad ah|naag makaanikad ah: jidh fudud
	👩🏼‍🔧;naag makaanikad ah: jidh fudud oo dhexe;dhuumo yaqaan|ganacsade|jidh fudud oo dhexe|koronto yaqaan|makaanik|naag|naag makaanikad ah|naag makaanikad ah: jidh fudud oo dhexe
	👩🏽‍🔧;naag makaanikad ah: jidh nooc dhexe;dhuumo yaqaan|ganacsade|jidh nooc dhexe|koronto yaqaan|makaanik|naag|naag makaanikad ah|naag makaanikad ah: jidh nooc dhexe
	👩🏾‍🔧;naag makaanikad ah: jidh nooc madaw oo dhexe;dhuumo yaqaan|ganacsade|jidh nooc madaw oo dhexe|koronto yaqaan|makaanik|naag|naag makaanikad ah|naag makaanikad ah: jidh nooc madaw oo dhexe
	👩🏿‍🔧;naag makaanikad ah: jidh madaw;dhuumo yaqaan|ganacsade|jidh madaw|koronto yaqaan|makaanik|naag|naag makaanikad ah|naag makaanikad ah: jidh madaw
🧑‍🏭;shaqaale warshadeed;kulan laysku ururay|shaqaale warshadeed
	🧑🏻‍🏭;shaqaale warshadeed: jidh fudud;jidh fudud|kulan laysku ururay|shaqaale warshadeed|shaqaale warshadeed: jidh fudud
	🧑🏼‍🏭;shaqaale warshadeed: jidh fudud oo dhexe;jidh fudud oo dhexe|kulan laysku ururay|shaqaale warshadeed|shaqaale warshadeed: jidh fudud oo dhexe
	🧑🏽‍🏭;shaqaale warshadeed: jidh nooc dhexe;jidh nooc dhexe|kulan laysku ururay|shaqaale warshadeed|shaqaale warshadeed: jidh nooc dhexe
	🧑🏾‍🏭;shaqaale warshadeed: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|kulan laysku ururay|shaqaale warshadeed|shaqaale warshadeed: jidh nooc madaw oo dhexe
	🧑🏿‍🏭;shaqaale warshadeed: jidh madaw;jidh madaw|kulan laysku ururay|shaqaale warshadeed|shaqaale warshadeed: jidh madaw
👨‍🏭;nin shaqaale warshad ah;isugeynta|nin|nin shaqaale warshad ah|shaqaale|warshad|warshad ah
	👨🏻‍🏭;nin shaqaale warshad ah: jidh fudud;isugeynta|jidh fudud|nin|nin shaqaale warshad ah|nin shaqaale warshad ah: jidh fudud|shaqaale|warshad|warshad ah
	👨🏼‍🏭;nin shaqaale warshad ah: jidh fudud oo dhexe;isugeynta|jidh fudud oo dhexe|nin|nin shaqaale warshad ah|nin shaqaale warshad ah: jidh fudud oo dhexe|shaqaale|warshad|warshad ah
	👨🏽‍🏭;nin shaqaale warshad ah: jidh nooc dhexe;isugeynta|jidh nooc dhexe|nin|nin shaqaale warshad ah|nin shaqaale warshad ah: jidh nooc dhexe|shaqaale|warshad|warshad ah
	👨🏾‍🏭;nin shaqaale warshad ah: jidh nooc madaw oo dhexe;isugeynta|jidh nooc madaw oo dhexe|nin|nin shaqaale warshad ah|nin shaqaale warshad ah: jidh nooc madaw oo dhexe|shaqaale|warshad|warshad ah
	👨🏿‍🏭;nin shaqaale warshad ah: jidh madaw;isugeynta|jidh madaw|nin|nin shaqaale warshad ah|nin shaqaale warshad ah: jidh madaw|shaqaale|warshad|warshad ah
👩‍🏭;naag shaqaale warshad ah;isugeynta|naag|naag shaqaale warshad ah|shaqaale|warshad|warshad ah
	👩🏻‍🏭;naag shaqaale warshad ah: jidh fudud;isugeynta|jidh fudud|naag|naag shaqaale warshad ah|naag shaqaale warshad ah: jidh fudud|shaqaale|warshad|warshad ah
	👩🏼‍🏭;naag shaqaale warshad ah: jidh fudud oo dhexe;isugeynta|jidh fudud oo dhexe|naag|naag shaqaale warshad ah|naag shaqaale warshad ah: jidh fudud oo dhexe|shaqaale|warshad|warshad ah
	👩🏽‍🏭;naag shaqaale warshad ah: jidh nooc dhexe;isugeynta|jidh nooc dhexe|naag|naag shaqaale warshad ah|naag shaqaale warshad ah: jidh nooc dhexe|shaqaale|warshad|warshad ah
	👩🏾‍🏭;naag shaqaale warshad ah: jidh nooc madaw oo dhexe;isugeynta|jidh nooc madaw oo dhexe|naag|naag shaqaale warshad ah|naag shaqaale warshad ah: jidh nooc madaw oo dhexe|shaqaale|warshad|warshad ah
	👩🏿‍🏭;naag shaqaale warshad ah: jidh madaw;isugeynta|jidh madaw|naag|naag shaqaale warshad ah|naag shaqaale warshad ah: jidh madaw|shaqaale|warshad|warshad ah
🧑‍💼;shaqaale xafiis;ajitekjar|ganacsi|maamule|shaqaale xafiis|white-collar
	🧑🏻‍💼;shaqaale xafiis: jidh fudud;ajitekjar|ganacsi|jidh fudud|maamule|shaqaale xafiis|shaqaale xafiis: jidh fudud|white-collar
	🧑🏼‍💼;shaqaale xafiis: jidh fudud oo dhexe;ajitekjar|ganacsi|jidh fudud oo dhexe|maamule|shaqaale xafiis|shaqaale xafiis: jidh fudud oo dhexe|white-collar
	🧑🏽‍💼;shaqaale xafiis: jidh nooc dhexe;ajitekjar|ganacsi|jidh nooc dhexe|maamule|shaqaale xafiis|shaqaale xafiis: jidh nooc dhexe|white-collar
	🧑🏾‍💼;shaqaale xafiis: jidh nooc madaw oo dhexe;ajitekjar|ganacsi|jidh nooc madaw oo dhexe|maamule|shaqaale xafiis|shaqaale xafiis: jidh nooc madaw oo dhexe|white-collar
	🧑🏿‍💼;shaqaale xafiis: jidh madaw;ajitekjar|ganacsi|jidh madaw|maamule|shaqaale xafiis|shaqaale xafiis: jidh madaw|white-collar
👨‍💼;nin shaqaale xafiis ah;ganacsi|maamule|muhindis dhismo|nin|nin shaqaale xafiis ah|shaqo xafiiseed
	👨🏻‍💼;nin shaqaale xafiis ah: jidh fudud;ganacsi|jidh fudud|maamule|muhindis dhismo|nin|nin shaqaale xafiis ah|nin shaqaale xafiis ah: jidh fudud|shaqo xafiiseed
	👨🏼‍💼;nin shaqaale xafiis ah: jidh fudud oo dhexe;ganacsi|jidh fudud oo dhexe|maamule|muhindis dhismo|nin|nin shaqaale xafiis ah|nin shaqaale xafiis ah: jidh fudud oo dhexe|shaqo xafiiseed
	👨🏽‍💼;nin shaqaale xafiis ah: jidh nooc dhexe;ganacsi|jidh nooc dhexe|maamule|muhindis dhismo|nin|nin shaqaale xafiis ah|nin shaqaale xafiis ah: jidh nooc dhexe|shaqo xafiiseed
	👨🏾‍💼;nin shaqaale xafiis ah: jidh nooc madaw oo dhexe;ganacsi|jidh nooc madaw oo dhexe|maamule|muhindis dhismo|nin|nin shaqaale xafiis ah|nin shaqaale xafiis ah: jidh nooc madaw oo dhexe|shaqo xafiiseed
	👨🏿‍💼;nin shaqaale xafiis ah: jidh madaw;ganacsi|jidh madaw|maamule|muhindis dhismo|nin|nin shaqaale xafiis ah|nin shaqaale xafiis ah: jidh madaw|shaqo xafiiseed
👩‍💼;naag shaqaale xafiis ah;ganacsi|maamule|muhindiska dhismaha|naag|naag shaqaale xafiis ah|naag xafiis ka shaqaysa|shaqo xafiis
	👩🏻‍💼;naag shaqaale xafiis ah: jidh fudud;ganacsi|jidh fudud|maamule|muhindiska dhismaha|naag|naag shaqaale xafiis ah|naag shaqaale xafiis ah: jidh fudud|naag xafiis ka shaqaysa|shaqo xafiis
	👩🏼‍💼;naag shaqaale xafiis ah: jidh fudud oo dhexe;ganacsi|jidh fudud oo dhexe|maamule|muhindiska dhismaha|naag|naag shaqaale xafiis ah|naag shaqaale xafiis ah: jidh fudud oo dhexe|naag xafiis ka shaqaysa|shaqo xafiis
	👩🏽‍💼;naag shaqaale xafiis ah: jidh nooc dhexe;ganacsi|jidh nooc dhexe|maamule|muhindiska dhismaha|naag|naag shaqaale xafiis ah|naag shaqaale xafiis ah: jidh nooc dhexe|naag xafiis ka shaqaysa|shaqo xafiis
	👩🏾‍💼;naag shaqaale xafiis ah: jidh nooc madaw oo dhexe;ganacsi|jidh nooc madaw oo dhexe|maamule|muhindiska dhismaha|naag|naag shaqaale xafiis ah|naag shaqaale xafiis ah: jidh nooc madaw oo dhexe|naag xafiis ka shaqaysa|shaqo xafiis
	👩🏿‍💼;naag shaqaale xafiis ah: jidh madaw;ganacsi|jidh madaw|maamule|muhindiska dhismaha|naag|naag shaqaale xafiis ah|naag shaqaale xafiis ah: jidh madaw|naag xafiis ka shaqaysa|shaqo xafiis
🧑‍🔬;saynisyahan;biyolojisti|fisikyahan|injineer|kimistyahan|saynisyahan
	🧑🏻‍🔬;saynisyahan: jidh fudud;biyolojisti|fisikyahan|injineer|jidh fudud|kimistyahan|saynisyahan|saynisyahan: jidh fudud
	🧑🏼‍🔬;saynisyahan: jidh fudud oo dhexe;biyolojisti|fisikyahan|injineer|jidh fudud oo dhexe|kimistyahan|saynisyahan|saynisyahan: jidh fudud oo dhexe
	🧑🏽‍🔬;saynisyahan: jidh nooc dhexe;biyolojisti|fisikyahan|injineer|jidh nooc dhexe|kimistyahan|saynisyahan|saynisyahan: jidh nooc dhexe
	🧑🏾‍🔬;saynisyahan: jidh nooc madaw oo dhexe;biyolojisti|fisikyahan|injineer|jidh nooc madaw oo dhexe|kimistyahan|saynisyahan|saynisyahan: jidh nooc madaw oo dhexe
	🧑🏿‍🔬;saynisyahan: jidh madaw;biyolojisti|fisikyahan|injineer|jidh madaw|kimistyahan|saynisyahan|saynisyahan: jidh madaw
👨‍🔬;qabiir saynisyahan ah;cilmiga nafleeyda barta|farmashiiste|injineer|khabiirka cilmiga sayniska|khabiirka fiisikiska|nin|qabiir saynisyahan ah|saynisyahan
	👨🏻‍🔬;qabiir saynisyahan ah: jidh fudud;cilmiga nafleeyda barta|farmashiiste|injineer|jidh fudud|khabiirka cilmiga sayniska|khabiirka fiisikiska|nin|qabiir saynisyahan ah|qabiir saynisyahan ah: jidh fudud|saynisyahan
	👨🏼‍🔬;qabiir saynisyahan ah: jidh fudud oo dhexe;cilmiga nafleeyda barta|farmashiiste|injineer|jidh fudud oo dhexe|khabiirka cilmiga sayniska|khabiirka fiisikiska|nin|qabiir saynisyahan ah|qabiir saynisyahan ah: jidh fudud oo dhexe|saynisyahan
	👨🏽‍🔬;qabiir saynisyahan ah: jidh nooc dhexe;cilmiga nafleeyda barta|farmashiiste|injineer|jidh nooc dhexe|khabiirka cilmiga sayniska|khabiirka fiisikiska|nin|qabiir saynisyahan ah|qabiir saynisyahan ah: jidh nooc dhexe|saynisyahan
	👨🏾‍🔬;qabiir saynisyahan ah: jidh nooc madaw oo dhexe;cilmiga nafleeyda barta|farmashiiste|injineer|jidh nooc madaw oo dhexe|khabiirka cilmiga sayniska|khabiirka fiisikiska|nin|qabiir saynisyahan ah|qabiir saynisyahan ah: jidh nooc madaw oo dhexe|saynisyahan
	👨🏿‍🔬;qabiir saynisyahan ah: jidh madaw;cilmiga nafleeyda barta|farmashiiste|injineer|jidh madaw|khabiirka cilmiga sayniska|khabiirka fiisikiska|nin|qabiir saynisyahan ah|qabiir saynisyahan ah: jidh madaw|saynisyahan
👩‍🔬;haweeney cilmi sayniska taqaan;cilmiga nafleeyda barta|farmashiiste|haweeney cilmi sayniska taqaan|injineer|khabiirka cilmiga sayniska|khabiirka fiisikiska|naag
	👩🏻‍🔬;haweeney cilmi sayniska taqaan: jidh fudud;cilmiga nafleeyda barta|farmashiiste|haweeney cilmi sayniska taqaan|haweeney cilmi sayniska taqaan: jidh fudud|injineer|jidh fudud|khabiirka cilmiga sayniska|khabiirka fiisikiska|naag
	👩🏼‍🔬;haweeney cilmi sayniska taqaan: jidh fudud oo dhexe;cilmiga nafleeyda barta|farmashiiste|haweeney cilmi sayniska taqaan|haweeney cilmi sayniska taqaan: jidh fudud oo dhexe|injineer|jidh fudud oo dhexe|khabiirka cilmiga sayniska|khabiirka fiisikiska|naag
	👩🏽‍🔬;haweeney cilmi sayniska taqaan: jidh nooc dhexe;cilmiga nafleeyda barta|farmashiiste|haweeney cilmi sayniska taqaan|haweeney cilmi sayniska taqaan: jidh nooc dhexe|injineer|jidh nooc dhexe|khabiirka cilmiga sayniska|khabiirka fiisikiska|naag
	👩🏾‍🔬;haweeney cilmi sayniska taqaan: jidh nooc madaw oo dhexe;cilmiga nafleeyda barta|farmashiiste|haweeney cilmi sayniska taqaan|haweeney cilmi sayniska taqaan: jidh nooc madaw oo dhexe|injineer|jidh nooc madaw oo dhexe|khabiirka cilmiga sayniska|khabiirka fiisikiska|naag
	👩🏿‍🔬;haweeney cilmi sayniska taqaan: jidh madaw;cilmiga nafleeyda barta|farmashiiste|haweeney cilmi sayniska taqaan|haweeney cilmi sayniska taqaan: jidh madaw|injineer|jidh madaw|khabiirka cilmiga sayniska|khabiirka fiisikiska|naag
🧑‍💻;Tiknoolajiste;horumariye|koodhar|softwaayar|soo saare|Tiknoolajiste
	🧑🏻‍💻;Tiknoolajiste: jidh fudud;horumariye|jidh fudud|koodhar|softwaayar|soo saare|Tiknoolajiste|Tiknoolajiste: jidh fudud
	🧑🏼‍💻;Tiknoolajiste: jidh fudud oo dhexe;horumariye|jidh fudud oo dhexe|koodhar|softwaayar|soo saare|Tiknoolajiste|Tiknoolajiste: jidh fudud oo dhexe
	🧑🏽‍💻;Tiknoolajiste: jidh nooc dhexe;horumariye|jidh nooc dhexe|koodhar|softwaayar|soo saare|Tiknoolajiste|Tiknoolajiste: jidh nooc dhexe
	🧑🏾‍💻;Tiknoolajiste: jidh nooc madaw oo dhexe;horumariye|jidh nooc madaw oo dhexe|koodhar|softwaayar|soo saare|Tiknoolajiste|Tiknoolajiste: jidh nooc madaw oo dhexe
	🧑🏿‍💻;Tiknoolajiste: jidh madaw;horumariye|jidh madaw|koodhar|softwaayar|soo saare|Tiknoolajiste|Tiknoolajiste: jidh madaw
👨‍💻;nin tiknoolijiste ah;hindise|Injineer|naag|nin tiknoolijiste ah|soo saare|sooftawee|tinkoolijiste
	👨🏻‍💻;nin tiknoolijiste ah: jidh fudud;hindise|Injineer|jidh fudud|naag|nin tiknoolijiste ah|nin tiknoolijiste ah: jidh fudud|soo saare|sooftawee|tinkoolijiste
	👨🏼‍💻;nin tiknoolijiste ah: jidh fudud oo dhexe;hindise|Injineer|jidh fudud oo dhexe|naag|nin tiknoolijiste ah|nin tiknoolijiste ah: jidh fudud oo dhexe|soo saare|sooftawee|tinkoolijiste
	👨🏽‍💻;nin tiknoolijiste ah: jidh nooc dhexe;hindise|Injineer|jidh nooc dhexe|naag|nin tiknoolijiste ah|nin tiknoolijiste ah: jidh nooc dhexe|soo saare|sooftawee|tinkoolijiste
	👨🏾‍💻;nin tiknoolijiste ah: jidh nooc madaw oo dhexe;hindise|Injineer|jidh nooc madaw oo dhexe|naag|nin tiknoolijiste ah|nin tiknoolijiste ah: jidh nooc madaw oo dhexe|soo saare|sooftawee|tinkoolijiste
	👨🏿‍💻;nin tiknoolijiste ah: jidh madaw;hindise|Injineer|jidh madaw|naag|nin tiknoolijiste ah|nin tiknoolijiste ah: jidh madaw|soo saare|sooftawee|tinkoolijiste
👩‍💻;naag tiknoolijisate ah;hindise|injineer|naag|naag tiknoolijisate ah|soo saare|sooftawee|tiknoolijiste
	👩🏻‍💻;naag tiknoolijisate ah: jidh fudud;hindise|injineer|jidh fudud|naag|naag tiknoolijisate ah|naag tiknoolijisate ah: jidh fudud|soo saare|sooftawee|tiknoolijiste
	👩🏼‍💻;naag tiknoolijisate ah: jidh fudud oo dhexe;hindise|injineer|jidh fudud oo dhexe|naag|naag tiknoolijisate ah|naag tiknoolijisate ah: jidh fudud oo dhexe|soo saare|sooftawee|tiknoolijiste
	👩🏽‍💻;naag tiknoolijisate ah: jidh nooc dhexe;hindise|injineer|jidh nooc dhexe|naag|naag tiknoolijisate ah|naag tiknoolijisate ah: jidh nooc dhexe|soo saare|sooftawee|tiknoolijiste
	👩🏾‍💻;naag tiknoolijisate ah: jidh nooc madaw oo dhexe;hindise|injineer|jidh nooc madaw oo dhexe|naag|naag tiknoolijisate ah|naag tiknoolijisate ah: jidh nooc madaw oo dhexe|soo saare|sooftawee|tiknoolijiste
	👩🏿‍💻;naag tiknoolijisate ah: jidh madaw;hindise|injineer|jidh madaw|naag|naag tiknoolijisate ah|naag tiknoolijisate ah: jidh madaw|soo saare|sooftawee|tiknoolijiste
🧑‍🎤;heesaa;heesaa|jillaa|madadaaliye|rook|xidig
	🧑🏻‍🎤;heesaa: jidh fudud;heesaa|heesaa: jidh fudud|jidh fudud|jillaa|madadaaliye|rook|xidig
	🧑🏼‍🎤;heesaa: jidh fudud oo dhexe;heesaa|heesaa: jidh fudud oo dhexe|jidh fudud oo dhexe|jillaa|madadaaliye|rook|xidig
	🧑🏽‍🎤;heesaa: jidh nooc dhexe;heesaa|heesaa: jidh nooc dhexe|jidh nooc dhexe|jillaa|madadaaliye|rook|xidig
	🧑🏾‍🎤;heesaa: jidh nooc madaw oo dhexe;heesaa|heesaa: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe|jillaa|madadaaliye|rook|xidig
	🧑🏿‍🎤;heesaa: jidh madaw;heesaa|heesaa: jidh madaw|jidh madaw|jillaa|madadaaliye|rook|xidig
👨‍🎤;nin fannaan ah;atoore|fannaan|maddadaaleeye|nin|nin fannaan ah|xiddig|xiddig heesaa
	👨🏻‍🎤;nin fannaan ah: jidh fudud;atoore|fannaan|jidh fudud|maddadaaleeye|nin|nin fannaan ah|nin fannaan ah: jidh fudud|xiddig|xiddig heesaa
	👨🏼‍🎤;nin fannaan ah: jidh fudud oo dhexe;atoore|fannaan|jidh fudud oo dhexe|maddadaaleeye|nin|nin fannaan ah|nin fannaan ah: jidh fudud oo dhexe|xiddig|xiddig heesaa
	👨🏽‍🎤;nin fannaan ah: jidh nooc dhexe;atoore|fannaan|jidh nooc dhexe|maddadaaleeye|nin|nin fannaan ah|nin fannaan ah: jidh nooc dhexe|xiddig|xiddig heesaa
	👨🏾‍🎤;nin fannaan ah: jidh nooc madaw oo dhexe;atoore|fannaan|jidh nooc madaw oo dhexe|maddadaaleeye|nin|nin fannaan ah|nin fannaan ah: jidh nooc madaw oo dhexe|xiddig|xiddig heesaa
	👨🏿‍🎤;nin fannaan ah: jidh madaw;atoore|fannaan|jidh madaw|maddadaaleeye|nin|nin fannaan ah|nin fannaan ah: jidh madaw|xiddig|xiddig heesaa
👩‍🎤;naag fannaanad ah;atoore|fannaan|maddadaaleeye|naag|naag fannaanad ah|xiddig|xiddig heesaa
	👩🏻‍🎤;naag fannaanad ah: jidh fudud;atoore|fannaan|jidh fudud|maddadaaleeye|naag|naag fannaanad ah|naag fannaanad ah: jidh fudud|xiddig|xiddig heesaa
	👩🏼‍🎤;naag fannaanad ah: jidh fudud oo dhexe;atoore|fannaan|jidh fudud oo dhexe|maddadaaleeye|naag|naag fannaanad ah|naag fannaanad ah: jidh fudud oo dhexe|xiddig|xiddig heesaa
	👩🏽‍🎤;naag fannaanad ah: jidh nooc dhexe;atoore|fannaan|jidh nooc dhexe|maddadaaleeye|naag|naag fannaanad ah|naag fannaanad ah: jidh nooc dhexe|xiddig|xiddig heesaa
	👩🏾‍🎤;naag fannaanad ah: jidh nooc madaw oo dhexe;atoore|fannaan|jidh nooc madaw oo dhexe|maddadaaleeye|naag|naag fannaanad ah|naag fannaanad ah: jidh nooc madaw oo dhexe|xiddig|xiddig heesaa
	👩🏿‍🎤;naag fannaanad ah: jidh madaw;atoore|fannaan|jidh madaw|maddadaaleeye|naag|naag fannaanad ah|naag fannaanad ah: jidh madaw|xiddig|xiddig heesaa
🧑‍🎨;fanaan;fanaan|laxan
	🧑🏻‍🎨;fanaan: jidh fudud;fanaan|fanaan: jidh fudud|jidh fudud|laxan
	🧑🏼‍🎨;fanaan: jidh fudud oo dhexe;fanaan|fanaan: jidh fudud oo dhexe|jidh fudud oo dhexe|laxan
