[smileys_emotion]
😀;fuska mai murmushin baki har kunne;fuska mai murmushin baki har kunne|murmushi|uska
😟;fuska mai damuwa;fuska|fuska mai damuwa|mai damuwa
🙁;fuska mai gama gira kaɗan;fuska|fuska mai gama gira kaɗan|gama gira
☹️;fuska mai gama gira;fuska|fuska mai gama gira|gama gira
😮;fuska tare da baki a buɗe;a buɗe|baki|fuska|fuska tare da baki a buɗe|tausayi
😯;fuska mai nitsuwa;fuska|fuska mai nitsuwa|mai mamaki|nitsuwa|rikitacce
😲;fuska mai burgewa;fuska|fuska mai burgewa|gaba ɗaya|mai burgewa|mai mamaki
😳;fuska mai murna;fuska|fuska mai murna|mai murna|mamaki
🥺;fuska mai roƙo;bara|fuska mai roƙo|idanun kwikuyo|neman fuska|rahama
🥹;fuska ido ya ciko;baƙin ciki|fushi|fuska ido ya ciko|kuka|mai alfahari|tsayayya
😦;fuska mai gama gira tare da baki a buɗe;a buɗe|baki|fuska|fuska mai gama gira tare da baki a buɗe|gama gira
😧;fuska mai tagayyara;fuska|fuska mai tagayyara|mai tagayyara
😨;fuska mai jin tsoro;firgita|fuska|fuska mai jin tsoro|jin tsoro|tsoro
😰;fuska tare da baki a buɗe &amp; gumi mai sanyi;fuska|fuska tare da baki a buɗe &amp; gumi mai sanyi|fuska tare da baki a buɗe da gumi mai sanyi|gaggauta|gumi|sanyi|shuɗi
😥;fuska mai ɓata rai mai kwanciyar hankali;ɓata wa rai|fuska|fuska mai ɓata rai mai kwanciyar hankali|kwancin hankali|whew
😢;fuska mai kuka;baƙin ciki|fuska|fuska mai kuka|hawaye|kuka
😭;fuska mai kuka da ƙarfi;baƙin ciki|fuska|fuska mai kuka da ƙarfi|hawaye|kuka|kuka da shassheƙa
😱;fuska mai yin ƙara a cikin tsoro;ci abinci da sauri|fuska|fuska mai yin ƙara a cikin tsoro|jin tsoro|mai tsoro|tsoro|yi ƙara
😖;fuska mai rikitarwa;fuska|fuska mai rikitarwa|rikitarwa
😣;fuska mai nacewa;fuska|fuska mai nacewa|nacewa
😞;fuska mai ɓacin rai;ɓacin rai|fuska|fuska mai ɓacin rai
😓;fuska tare da gumi mai sanyi;fuska|fuska tare da gumi mai sanyi|gumi|sanyi
😩;gajiyayyiyar fuska;fuska|gajiya|gajiyayye|gajiyayyiyar fuska
😫;fuska mai gajiya;fuska|fuska mai gajiya|gajiya
🥱;fuska mai hamma;fuska mai hamma|gaji|gundura|hamma
😤;fuska tare da tururi daga hanci;an yi nasara|fuska|fuska tare da tururi daga hanci|nasara
😡;fuska mai nuna ɓacin zuciya;ɓacin zuciya|fushi|fuska|fuska mai nuna ɓacin zuciya|hasala|haushi|ja
😠;fuska mai fushi;fushi|fuska|fuska mai fushi|haushi
🤬;fuska tare da alamomi bisa baki;fuska tare da alamomi bisa baki|yin ashar
😈;fuska mai murmushi tare da ƙahoni;fuska|fuska mai murmushi tare da ƙahoni|ƙahoni|labarin aljana|murmushi|tatsuniya
👿;fuska mai fushi tare da ƙahoni;aljanu|fuska|fuska mai fushi tare da ƙahoni|iblis|labarin aljana|shaiɗan|tatsuniya
💀;ƙoƙon kai;dodo|fuska|ƙoƙon kai|labarin aljana|mutuwa
☠️;ƙoƙon kai da haɗaɗɗun ƙashushuwa;dodo|fuska|haɗaɗɗun ƙashushuwa|ƙoƙon kai|ƙoƙon kai da haɗaɗɗun ƙashushuwa|mutuwa
💩;tsibin kashi;dodo|fuska|kashi|mai ban dariya|taki|taroso|tsibin kashi
🤡;fuskar cali-cali;cali-cali|fuska|fuskar cali-cali
👹;dodo;dodo|fuska|halitta|labarin aljana|tatsuniya
👺;dodanni;dodanni|dodo|fuska|halitta|labarin aljana|tatsuniya
👻;fatalwa;dodo|fatalwa|fuska|halitta|labarin aljana|tatsuniya
👽;baƙon sararin sama;baƙon sararin sama|dodo|fuska|halitta|halitta a waje da duniya|tatsuniya|ufo
👾;dodon baƙon sararin sama;baƙon sararin sama|dodon baƙon sararin sama|fuska|halitta|halitta a waje da duniya|tatsuniya|ufo
🤖;fuskar Robot;dodo|fuska|fuskar Robot|robot
😺;kyanwa mai murmushi baki a buɗe;a buɗe|baki|fuska|kyanwa|kyanwa mai murmushi baki a buɗe|murmushi
😸;kyanwa baki buɗe idanu masu murmushi;fuska|ido|kyanwa|kyanwa baki buɗe idanu masu murmushi|murmushi|murmushi baki har kunne
😹;fuskar kyanwa tare da hawayen murna;fuska|fuskar kyanwa tare da hawayen murna|hawaye|kyanwa|murna
😻;kyanwa mai murmushi da idanun-zuciya;fuska|ido|kyanwa|kyanwa mai murmushi da idanun-zuciya|ƙauna|murmushi|zuciya
😼;fuskar kyanwa tare da murmushin ɓacin rai;ɓacin rai|fuska|fuskar kyanwa tare da murmushin ɓacin rai|hutsu|kyanwa|murmushi
😽;kyanwa mai sumba da rufaffun idanu;fuska|ido|kyanwa|kyanwa mai sumba|kyanwa mai sumba da rufaffun idanu|sumba
🙀;fuskar kyanwa mai gajiya;fuska|fuskar kyanwa mai gajiya|gajiya|jin mamaki|kyanwa|oho
😿;fuskar kyanwa mai kuka;baƙin ciki|fuska|fuskar kyanwa mai kuka|hawaye|kuka|kyanwa
😾;fuskar kyanwa mai nuna ɓacin zuciya;fuska|fuskar kyanwa mai nuna ɓacin zuciya|kyanwa|nuna ɓacin zuciya
🙈;biri na kada a gan mamuganci;an hana|biri|biri na kada a ga sharri|biri na kada a gan mamuganci|fuska|gani|sharri
🙉;biri na kada a ji sharri;an hana|biri|biri na kada a ji sharri|fuska|ji|sharri
🙊;iri na kada a faɗi sharri;an hana|biri|biri na kada a faɗi sharri|faɗa|fuska|iri na kada a faɗi sharri|sharri
💌;wasiƙar soyayya;mel|soyayya|wasiƙa|wasiƙar soyayya|zuciya
💘;zuciya tare da kibiya;cupid|kibiya|zuciya tare da kibiya
💝;zuciya tare da ribon;ribon|valentine|zuciya tare da ribon
💖;zuciya mai ƙyalƙyali;mai ƙyalƙyali|tsima|zuciya mai ƙyalƙyali
💗;zuciya mai bunƙasawa;bugun jini|juyayi|mai bunƙasawa|tsima|zuciya mai bunƙasawa
💓;zuciya mai bugawa;bugawa|bugawar zuciya|zuciya mai bugawa
💞;zuciyoyi masu juyawa;mai juyawa|zuciyoyi masu juyawa
💕;zuciyoyi biyu;soyayye|zuciyoyi biyu
💟;adon zuciya;adon zuciya|zuciya
❣️;alamar motsin rai na nauyin zuciya;alama|alamar motsin rai|alamar motsin rai na nauyin zuciya|alamomin rubutu
💔;karyayyiyar zuciya;karyayyiyar zuciya|karye|karyeyye
❤️‍🔥;zuciya na wuna;konewa|shaʼawa|soyayya|ziciya mai tsarki|zuciya|zuciya na wuna|zuciya na wuta
❤️‍🩹;gyaran zuciya;gyaran zuciya|gyarawa|inganta|karin lafiya|lafiya|samun sauki|warwarewa
❤️;jar zuciya;jar zuciya|zuciya
🩷;zuciya ruwan hoda;kamar|kyau|ruwan hoda|soyayya|zuciya|zuciya ruwan hoda
🧡;zuciyar na ruwan goro;ruwan goro|zuciyar na ruwan goro
💛;rawayan zuciya;rawaya|rawayan zuciya
💚;koren zuciya;kore|koren zuciya
💙;shuɗin zuciya;shuɗi|shuɗin zuciya
🩵;zuciya shuɗiya mai haske;shayi|shuɗi mai haske|shuɗi-shuɗi|zuciya|zuciya shuɗiya mai haske
💜;zuciya algashi;algashi|algashin zuciya|zuciya algashi
🤎;zuciya ƙasa-ƙasa;ƙasa-ƙasa|zuciya
🖤;baƙar zuciya;baƙar zuciya|baƙi|mugu|sharri
🩶;zuciya ruwan toka;allo|azurfa|ruwan toka|zuciya|zuciya ruwan toka
🤍;farar zuciya;farar|zuciya
💋;alamar sumba;alamar sumba|leɓuna|sumba
💯;makunan ɗari;100|cikakke|ɗari|maki|makunan ɗari
💢;alamar fushi;alamar fushi|fushi|haushi|mai ban dariya
💥;karo;boom|karo|mai ban dariya
💫;jiri;jiri|mai ban dariya|tauraro
💦;ɗige-ɗigen gumi;ɗige-ɗigen gumi|fantsama|gumi|mai ban dariya
💨;gudu mai sauri;gudu|gudu mai sauri|mai ban dariya|yin gudu
🕳️;rami;rami
💬;balan-balan magana;balan-balan|kumfa|magana|mai ban dariya|zance
👁️‍🗨️;ido a cikin kumfan magana;ido|ido a cikin kumfan magana|kumfa|kumfan magana|mai shaida
🗨️;kumfan magana na hagu;kumfan magana na hagu|magana|zance
🗯️;kumfan fushi na dama;balan-balan|fushi|haushi|kumfa|kumfan fushi na dama
💭;balan-balan tunani;balan-balan|kumfa|mai ban dariya|tunani
💤;alamar zzz;alamar zzz|barci|mai ban dariya|zzz

[people_body]
👋;hannu mai wurgawa;hannu|hannu mai wurgawa|wurga|wurgawa
	👋🏻;hannu mai wurgawa: launin fata mai haske;hannu|hannu mai wurgawa|hannu mai wurgawa: launin fata mai haske|launin fata mai haske|wurga|wurgawa
	👋🏼;hannu mai wurgawa: launin fata mai madaidaicin haske;hannu|hannu mai wurgawa|hannu mai wurgawa: launin fata mai madaidaicin haske|launin fata mai madaidaicin haske|wurga|wurgawa
	👋🏽;hannu mai wurgawa: madaidaicin launin fata;hannu|hannu mai wurgawa|hannu mai wurgawa: madaidaicin launin fata|madaidaicin launin fata|wurga|wurgawa
	👋🏾;hannu mai wurgawa: launin fata mai madaidaicin duhu;hannu|hannu mai wurgawa|hannu mai wurgawa: launin fata mai madaidaicin duhu|launin fata mai madaidaicin duhu|wurga|wurgawa
	👋🏿;hannu mai wurgawa: launin fata mai duhu;hannu|hannu mai wurgawa|hannu mai wurgawa: launin fata mai duhu|launin fata mai duhu|wurga|wurgawa
🤚;ɗagaggen bayan hannu;bayan hannu|ɗagagge|ɗagaggen bayan hannu
	🤚🏻;ɗagaggen bayan hannu: launin fata mai haske;bayan hannu|ɗagagge|ɗagaggen bayan hannu|ɗagaggen bayan hannu: launin fata mai haske|launin fata mai haske
	🤚🏼;ɗagaggen bayan hannu: launin fata mai madaidaicin haske;bayan hannu|ɗagagge|ɗagaggen bayan hannu|ɗagaggen bayan hannu: launin fata mai madaidaicin haske|launin fata mai madaidaicin haske
	🤚🏽;ɗagaggen bayan hannu: madaidaicin launin fata;bayan hannu|ɗagagge|ɗagaggen bayan hannu|ɗagaggen bayan hannu: madaidaicin launin fata|madaidaicin launin fata
	🤚🏾;ɗagaggen bayan hannu: launin fata mai madaidaicin duhu;bayan hannu|ɗagagge|ɗagaggen bayan hannu|ɗagaggen bayan hannu: launin fata mai madaidaicin duhu|launin fata mai madaidaicin duhu
	🤚🏿;ɗagaggen bayan hannu: launin fata mai duhu;bayan hannu|ɗagagge|ɗagaggen bayan hannu|ɗagaggen bayan hannu: launin fata mai duhu|launin fata mai duhu
🖐️;ɗagaggen hannu tare da yatsa a faɗaɗɗe;ɗagaggen hannu tare da yatsa a faɗaɗɗe|faɗaɗa hannu|hannu|yatsa
	🖐🏻;ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai haske;ɗagaggen hannu tare da yatsa a faɗaɗɗe|ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai haske|faɗaɗa hannu|hannu|launin fata mai haske|yatsa
	🖐🏼;ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai madaidaicin haske;ɗagaggen hannu tare da yatsa a faɗaɗɗe|ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai madaidaicin haske|faɗaɗa hannu|hannu|launin fata mai madaidaicin haske|yatsa
	🖐🏽;ɗagaggen hannu tare da yatsa a faɗaɗɗe: madaidaicin launin fata;ɗagaggen hannu tare da yatsa a faɗaɗɗe|ɗagaggen hannu tare da yatsa a faɗaɗɗe: madaidaicin launin fata|faɗaɗa hannu|hannu|madaidaicin launin fata|yatsa
	🖐🏾;ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai madaidaicin duhu;ɗagaggen hannu tare da yatsa a faɗaɗɗe|ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai madaidaicin duhu|faɗaɗa hannu|hannu|launin fata mai madaidaicin duhu|yatsa
	🖐🏿;ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai duhu;ɗagaggen hannu tare da yatsa a faɗaɗɗe|ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai duhu|faɗaɗa hannu|hannu|launin fata mai duhu|yatsa
✋;ɗagaggen hannu;ɗagaggen hannu|hannu|tafa yatsu biyar
	✋🏻;ɗagaggen hannu: launin fata mai haske;ɗagaggen hannu|ɗagaggen hannu: launin fata mai haske|hannu|launin fata mai haske|tafa yatsu biyar
	✋🏼;ɗagaggen hannu: launin fata mai madaidaicin haske;ɗagaggen hannu|ɗagaggen hannu: launin fata mai madaidaicin haske|hannu|launin fata mai madaidaicin haske|tafa yatsu biyar
	✋🏽;ɗagaggen hannu: madaidaicin launin fata;ɗagaggen hannu|ɗagaggen hannu: madaidaicin launin fata|hannu|madaidaicin launin fata|tafa yatsu biyar
	✋🏾;ɗagaggen hannu: launin fata mai madaidaicin duhu;ɗagaggen hannu|ɗagaggen hannu: launin fata mai madaidaicin duhu|hannu|launin fata mai madaidaicin duhu|tafa yatsu biyar
	✋🏿;ɗagaggen hannu: launin fata mai duhu;ɗagaggen hannu|ɗagaggen hannu: launin fata mai duhu|hannu|launin fata mai duhu|tafa yatsu biyar
🖖;gaisuwar vulcan;gaisuwar vulcan|hannu|spock|vulcan|yatsa
	🖖🏻;gaisuwar vulcan: launin fata mai haske;gaisuwar vulcan|gaisuwar vulcan: launin fata mai haske|hannu|launin fata mai haske|spock|vulcan|yatsa
	🖖🏼;gaisuwar vulcan: launin fata mai madaidaicin haske;gaisuwar vulcan|gaisuwar vulcan: launin fata mai madaidaicin haske|hannu|launin fata mai madaidaicin haske|spock|vulcan|yatsa
	🖖🏽;gaisuwar vulcan: madaidaicin launin fata;gaisuwar vulcan|gaisuwar vulcan: madaidaicin launin fata|hannu|madaidaicin launin fata|spock|vulcan|yatsa
	🖖🏾;gaisuwar vulcan: launin fata mai madaidaicin duhu;gaisuwar vulcan|gaisuwar vulcan: launin fata mai madaidaicin duhu|hannu|launin fata mai madaidaicin duhu|spock|vulcan|yatsa
	🖖🏿;gaisuwar vulcan: launin fata mai duhu;gaisuwar vulcan|gaisuwar vulcan: launin fata mai duhu|hannu|launin fata mai duhu|spock|vulcan|yatsa
🫱;hannun dama gaba;dama|dama gaba|hannu|hannun dama gaba
	🫱🏻;hannun dama gaba: launin fata mai haske;dama|dama gaba|hannu|hannun dama gaba|hannun dama gaba: launin fata mai haske|launin fata mai haske
	🫱🏼;hannun dama gaba: launin fata mai madaidaicin haske;dama|dama gaba|hannu|hannun dama gaba|hannun dama gaba: launin fata mai madaidaicin haske|launin fata mai madaidaicin haske
	🫱🏽;hannun dama gaba: madaidaicin launin fata;dama|dama gaba|hannu|hannun dama gaba|hannun dama gaba: madaidaicin launin fata|madaidaicin launin fata
	🫱🏾;hannun dama gaba: launin fata mai madaidaicin duhu;dama|dama gaba|hannu|hannun dama gaba|hannun dama gaba: launin fata mai madaidaicin duhu|launin fata mai madaidaicin duhu
	🫱🏿;hannun dama gaba: launin fata mai duhu;dama|dama gaba|hannu|hannun dama gaba|hannun dama gaba: launin fata mai duhu|launin fata mai duhu
🫲;hannun hagu gaba;hagu|hagu gaba|hannu|hannun hagu gaba
	🫲🏻;hannun hagu gaba: launin fata mai haske;hagu|hagu gaba|hannu|hannun hagu gaba|hannun hagu gaba: launin fata mai haske|launin fata mai haske
	🫲🏼;hannun hagu gaba: launin fata mai madaidaicin haske;hagu|hagu gaba|hannu|hannun hagu gaba|hannun hagu gaba: launin fata mai madaidaicin haske|launin fata mai madaidaicin haske
	🫲🏽;hannun hagu gaba: madaidaicin launin fata;hagu|hagu gaba|hannu|hannun hagu gaba|hannun hagu gaba: madaidaicin launin fata|madaidaicin launin fata
	🫲🏾;hannun hagu gaba: launin fata mai madaidaicin duhu;hagu|hagu gaba|hannu|hannun hagu gaba|hannun hagu gaba: launin fata mai madaidaicin duhu|launin fata mai madaidaicin duhu
	🫲🏿;hannun hagu gaba: launin fata mai duhu;hagu|hagu gaba|hannu|hannun hagu gaba|hannun hagu gaba: launin fata mai duhu|launin fata mai duhu
🫳;tafin hannu ƙasa;ihu|sallama|sauke|tafin hannu ƙasa
	🫳🏻;tafin hannu ƙasa: launin fata mai haske;ihu|launin fata mai haske|sallama|sauke|tafin hannu ƙasa|tafin hannu ƙasa: launin fata mai haske
	🫳🏼;tafin hannu ƙasa: launin fata mai madaidaicin haske;ihu|launin fata mai madaidaicin haske|sallama|sauke|tafin hannu ƙasa|tafin hannu ƙasa: launin fata mai madaidaicin haske
	🫳🏽;tafin hannu ƙasa: madaidaicin launin fata;ihu|madaidaicin launin fata|sallama|sauke|tafin hannu ƙasa|tafin hannu ƙasa: madaidaicin launin fata
	🫳🏾;tafin hannu ƙasa: launin fata mai madaidaicin duhu;ihu|launin fata mai madaidaicin duhu|sallama|sauke|tafin hannu ƙasa|tafin hannu ƙasa: launin fata mai madaidaicin duhu
	🫳🏿;tafin hannu ƙasa: launin fata mai duhu;ihu|launin fata mai duhu|sallama|sauke|tafin hannu ƙasa|tafin hannu ƙasa: launin fata mai duhu
🫴;tafin hannu sama;kama|kwalliya|tafin hannu sama|tayi|zo
	🫴🏻;tafin hannu sama: launin fata mai haske;kama|kwalliya|launin fata mai haske|tafin hannu sama|tafin hannu sama: launin fata mai haske|tayi|zo
	🫴🏼;tafin hannu sama: launin fata mai madaidaicin haske;kama|kwalliya|launin fata mai madaidaicin haske|tafin hannu sama|tafin hannu sama: launin fata mai madaidaicin haske|tayi|zo
	🫴🏽;tafin hannu sama: madaidaicin launin fata;kama|kwalliya|madaidaicin launin fata|tafin hannu sama|tafin hannu sama: madaidaicin launin fata|tayi|zo
	🫴🏾;tafin hannu sama: launin fata mai madaidaicin duhu;kama|kwalliya|launin fata mai madaidaicin duhu|tafin hannu sama|tafin hannu sama: launin fata mai madaidaicin duhu|tayi|zo
	🫴🏿;tafin hannu sama: launin fata mai duhu;kama|kwalliya|launin fata mai duhu|tafin hannu sama|tafin hannu sama: launin fata mai duhu|tayi|zo
🫷;hannun yana turawa hagu;hagu|hannun yana turawa hagu|jira|kin|tafawa|tsaya|tura
	🫷🏻;hannun yana turawa hagu: launin fata mai haske;hagu|hannun yana turawa hagu|hannun yana turawa hagu: launin fata mai haske|jira|kin|launin fata mai haske|tafawa|tsaya|tura
	🫷🏼;hannun yana turawa hagu: launin fata mai madaidaicin haske;hagu|hannun yana turawa hagu|hannun yana turawa hagu: launin fata mai madaidaicin haske|jira|kin|launin fata mai madaidaicin haske|tafawa|tsaya|tura
	🫷🏽;hannun yana turawa hagu: madaidaicin launin fata;hagu|hannun yana turawa hagu|hannun yana turawa hagu: madaidaicin launin fata|jira|kin|madaidaicin launin fata|tafawa|tsaya|tura
	🫷🏾;hannun yana turawa hagu: launin fata mai madaidaicin duhu;hagu|hannun yana turawa hagu|hannun yana turawa hagu: launin fata mai madaidaicin duhu|jira|kin|launin fata mai madaidaicin duhu|tafawa|tsaya|tura
	🫷🏿;hannun yana turawa hagu: launin fata mai duhu;hagu|hannun yana turawa hagu|hannun yana turawa hagu: launin fata mai duhu|jira|kin|launin fata mai duhu|tafawa|tsaya|tura
🫸;hannu yana turawa dama;hannu yana turawa dama|jira|ƙi|tafawa|tsaya|tura|zuwa
	🫸🏻;hannu yana turawa dama: launin fata mai haske;hannu yana turawa dama|hannu yana turawa dama: launin fata mai haske|jira|ƙi|launin fata mai haske|tafawa|tsaya|tura|zuwa
	🫸🏼;hannu yana turawa dama: launin fata mai madaidaicin haske;hannu yana turawa dama|hannu yana turawa dama: launin fata mai madaidaicin haske|jira|ƙi|launin fata mai madaidaicin haske|tafawa|tsaya|tura|zuwa
	🫸🏽;hannu yana turawa dama: madaidaicin launin fata;hannu yana turawa dama|hannu yana turawa dama: madaidaicin launin fata|jira|ƙi|madaidaicin launin fata|tafawa|tsaya|tura|zuwa
