[smileys_emotion]
😀;grinende ansigt;glad|grinende ansigt|smilende ansigt|smiley
😣;stædigt ansigt;stædigt ansigt|udholdenhed
😞;skuffet ansigt;ansigt|skuffet ansigt
😓;ansigt med koldsved;ansigt|ansigt med koldsved
😩;udmattet ansigt;udkørt|udmattet|udmattet ansigt
😫;træt ansigt;ansigt|træt ansigt
🥱;gabende ansigt;gab|gabende ansigt|træt|uinteresseret
😤;fnysende ansigt;fnysende ansigt|hånligt ansigt|jeg vandt
😡;surt ansigt;rød|surt ansigt|vred|vredt ansigt
😠;vredt ansigt;ansigt|vred|vredt ansigt
🤬;ansigt med symboler på munden;ansigt med symboler på munden|bande
😈;glad lilla djævel;fantasi|glad lilla djævel|griner|smil
👿;sur lilla djævel;dæmon|horn|sur|sur lilla djævel
💀;kranium;dødningehoved|kranie|kranium
☠️;kranium og korslagte knogler;død|korslagte knogler|kranie|kranium|kranium og korslagte knogler|monster
💩;bæ;bæ|bunke bæ|dynge lort|lort
🤡;klovneansigt;ansigt|klovn|klovneansigt
👹;uhyre;japansk uhyre|monster|trold|uhyre
👺;ånd;ånd|japansk ånd
👻;spøgelse;ansigt|eventyr|fantasi|gespenst|monster|spøgelse|væsen
👽;rumvæsen;alien|rumvæsen|ufo
👾;alien-monster;alien|alien-monster|rummet|rumvæsen|ufo
🤖;robot;ansigt|monster|robot|robotansigt
😺;smilende kat;glad kat|smilende kat
😸;grinende kat;grinende kat|kat
😹;kat med glædestårer;kat|kat med glædestårer
😻;glad kat med hjerteøjne;glad kat med hjerteøjne|kat smiler
😼;kat med ironisk smil;ironisk kat|kat med ironisk smil
😽;kyssende kat;kat|kyssende kat|kysser
🙀;overrasket kat;chokeret kat|overrasket kat
😿;grædende kat;grædende kat|kat græder
😾;sur kat;sur kat|surmulende kat
🙈;ikke se;ikke se|tre vise aber
🙉;ikke høre;ikke høre|tre vise aber
🙊;ikke tale;ikke tale|tre vise aber
💌;kærlighedsbrev;brev med hjerte|kærestebrev|kærlighedsbrev
💘;hjerte med pil;amor|følelser|hjerte|hjerte med pil|kærlighed
💝;hjerte med bånd;bånd|følelser|hjerte|hjerte med bånd
💖;hjerte med stjerner;følelser|funkle|hjerte med stjerner|kærlighed
💗;voksende hjerte;følelser|hjerte|kærlighed|nervøs|voksende hjerte
💓;bankende hjerte;bankende hjerte|hjerte|kærlighed|romantik
💞;roterende hjerter;følelser|hjerter|roterende hjerter
💕;to hjerter;kærlighed|romantik|to hjerter
💟;hjertedekoration;hjerte|hjertedekoration
❣️;hjerte som udråbstegn;hjerte|hjerte som udråbstegn|tegnsætning|udråbstegn
💔;knust hjerte;knust hjerte|ulykkelig kærlighed
❤️‍🔥;brændende hjerte;brændende hjerte|brændende kærlighed|hjerte med ild i|ild|kærlighed|passion
❤️‍🩹;helende hjerte;bedring|helende hjerte|hjerte|plaster|plaster på hjerte|rask|sundere
❤️;rødt hjerte;hjerte|rødt hjerte
🩷;lyserødt hjerte;hjerte|kærlighed|lyserød|lyserødt hjerte|nuttet|synes om
🧡;orange hjerte;følelser|hjerte|orange
💛;gult hjerte;følelser|gul|gult hjerte|hjerte
💚;grønt hjerte;følelser|grøn|grønt hjerte|hjerte
💙;blåt hjerte;blå|blåt hjerte|følelser|hjerte
🩵;lyseblåt hjerte;cyan|grønblå|hjerte|lyseblå|lyseblåt hjerte
💜;violet hjerte;følelser|hjerte|violet
🤎;brunt hjerte;brun|brunt hjerte|hjerte
🖤;sort hjerte;hjerte|ondskab|ondt|sort
🩶;gråt hjerte;gråt|hjerte|skifer|sølv
🤍;hvidt hjerte;hjerte|hvid|hvidt hjerte
💋;læbeaftryk;kys|læbeaftryk|læber|romantik
💯;100 point;100|alle rigtige|hundrede|point
💢;vrede;følelse|tegn for vrede|vrede
💥;kollision;følelser|kollision|kollitionstegn
💫;svimmel;følelser|se stjerner|svimmel
💦;sveddråber;følelser|sved|sveddråber
💨;smutter;er løbet|følelser|løber væk|smutter
🕳️;hul;hul|sort
💬;taleboble;tale|taleboble
👁️‍🗨️;øje i taleboble;øje|øje i taleboble|se|taleboble|vidne
🗨️;taleboble til venstre;dialog|snak|tale|taleboble til venstre
🗯️;vred taleboble til højre;ballon|boble|udråb|vred|vred taleboble til højre
💭;tankeboble;tanke|tankeboble
💤;søvnig;følelse|snorke|sove|søvnig

[people_body]
👋;vinker;hånd|vinker
	👋🏻;vinker: lys teint;hånd|lys teint|vinker|vinker: lys teint
	👋🏼;vinker: medium til lys teint;hånd|medium til lys teint|vinker|vinker: medium til lys teint
	👋🏽;vinker: medium teint;hånd|medium teint|vinker|vinker: medium teint
	👋🏾;vinker: medium til mørk teint;hånd|medium til mørk teint|vinker|vinker: medium til mørk teint
	👋🏿;vinker: mørk teint;hånd|mørk teint|vinker|vinker: mørk teint
🤚;løftet håndryg;bagside af hånd|hånd|håndryg|løftet hånd|løftet håndryg
	🤚🏻;løftet håndryg: lys teint;bagside af hånd|hånd|håndryg|løftet hånd|løftet håndryg|løftet håndryg: lys teint|lys teint
	🤚🏼;løftet håndryg: medium til lys teint;bagside af hånd|hånd|håndryg|løftet hånd|løftet håndryg|løftet håndryg: medium til lys teint|medium til lys teint
	🤚🏽;løftet håndryg: medium teint;bagside af hånd|hånd|håndryg|løftet hånd|løftet håndryg|løftet håndryg: medium teint|medium teint
	🤚🏾;løftet håndryg: medium til mørk teint;bagside af hånd|hånd|håndryg|løftet hånd|løftet håndryg|løftet håndryg: medium til mørk teint|medium til mørk teint
	🤚🏿;løftet håndryg: mørk teint;bagside af hånd|hånd|håndryg|løftet hånd|løftet håndryg|løftet håndryg: mørk teint|mørk teint
🖐️;hånd med spredte fingre;finger|hånd|hånd med spredte fingre|krop|spredte
	🖐🏻;hånd med spredte fingre: lys teint;finger|hånd|hånd med spredte fingre|hånd med spredte fingre: lys teint|krop|lys teint|spredte
	🖐🏼;hånd med spredte fingre: medium til lys teint;finger|hånd|hånd med spredte fingre|hånd med spredte fingre: medium til lys teint|krop|medium til lys teint|spredte
	🖐🏽;hånd med spredte fingre: medium teint;finger|hånd|hånd med spredte fingre|hånd med spredte fingre: medium teint|krop|medium teint|spredte
	🖐🏾;hånd med spredte fingre: medium til mørk teint;finger|hånd|hånd med spredte fingre|hånd med spredte fingre: medium til mørk teint|krop|medium til mørk teint|spredte
	🖐🏿;hånd med spredte fingre: mørk teint;finger|hånd|hånd med spredte fingre|hånd med spredte fingre: mørk teint|krop|mørk teint|spredte
✋;løftet hånd;hånd|krop|løftet hånd
	✋🏻;løftet hånd: lys teint;hånd|krop|løftet hånd|løftet hånd: lys teint|lys teint
	✋🏼;løftet hånd: medium til lys teint;hånd|krop|løftet hånd|løftet hånd: medium til lys teint|medium til lys teint
	✋🏽;løftet hånd: medium teint;hånd|krop|løftet hånd|løftet hånd: medium teint|medium teint
	✋🏾;løftet hånd: medium til mørk teint;hånd|krop|løftet hånd|løftet hånd: medium til mørk teint|medium til mørk teint
	✋🏿;løftet hånd: mørk teint;hånd|krop|løftet hånd|løftet hånd: mørk teint|mørk teint
🖖;vulcan-hilsen;finger|hånd|krop|spock|vulcan|vulcan-hilsen
	🖖🏻;vulcan-hilsen: lys teint;finger|hånd|krop|lys teint|spock|vulcan|vulcan-hilsen|vulcan-hilsen: lys teint
	🖖🏼;vulcan-hilsen: medium til lys teint;finger|hånd|krop|medium til lys teint|spock|vulcan|vulcan-hilsen|vulcan-hilsen: medium til lys teint
	🖖🏽;vulcan-hilsen: medium teint;finger|hånd|krop|medium teint|spock|vulcan|vulcan-hilsen|vulcan-hilsen: medium teint
	🖖🏾;vulcan-hilsen: medium til mørk teint;finger|hånd|krop|medium til mørk teint|spock|vulcan|vulcan-hilsen|vulcan-hilsen: medium til mørk teint
	🖖🏿;vulcan-hilsen: mørk teint;finger|hånd|krop|mørk teint|spock|vulcan|vulcan-hilsen|vulcan-hilsen: mørk teint
🫱;hånd til højre;hånd|hånd til højre|højre
	🫱🏻;hånd til højre: lys teint;hånd|hånd til højre|hånd til højre: lys teint|højre|lys teint
	🫱🏼;hånd til højre: medium til lys teint;hånd|hånd til højre|hånd til højre: medium til lys teint|højre|medium til lys teint
	🫱🏽;hånd til højre: medium teint;hånd|hånd til højre|hånd til højre: medium teint|højre|medium teint
	🫱🏾;hånd til højre: medium til mørk teint;hånd|hånd til højre|hånd til højre: medium til mørk teint|højre|medium til mørk teint
	🫱🏿;hånd til højre: mørk teint;hånd|hånd til højre|hånd til højre: mørk teint|højre|mørk teint
🫲;hånd til venstre;hånd|hånd til venstre|venstre
	🫲🏻;hånd til venstre: lys teint;hånd|hånd til venstre|hånd til venstre: lys teint|lys teint|venstre
	🫲🏼;hånd til venstre: medium til lys teint;hånd|hånd til venstre|hånd til venstre: medium til lys teint|medium til lys teint|venstre
	🫲🏽;hånd til venstre: medium teint;hånd|hånd til venstre|hånd til venstre: medium teint|medium teint|venstre
	🫲🏾;hånd til venstre: medium til mørk teint;hånd|hånd til venstre|hånd til venstre: medium til mørk teint|medium til mørk teint|venstre
	🫲🏿;hånd til venstre: mørk teint;hånd|hånd til venstre|hånd til venstre: mørk teint|mørk teint|venstre
🫳;håndflade nedad;afslå|afvise|genne væk|håndflade nedad|tabe
	🫳🏻;håndflade nedad: lys teint;afslå|afvise|genne væk|håndflade nedad|håndflade nedad: lys teint|lys teint|tabe
	🫳🏼;håndflade nedad: medium til lys teint;afslå|afvise|genne væk|håndflade nedad|håndflade nedad: medium til lys teint|medium til lys teint|tabe
	🫳🏽;håndflade nedad: medium teint;afslå|afvise|genne væk|håndflade nedad|håndflade nedad: medium teint|medium teint|tabe
	🫳🏾;håndflade nedad: medium til mørk teint;afslå|afvise|genne væk|håndflade nedad|håndflade nedad: medium til mørk teint|medium til mørk teint|tabe
	🫳🏿;håndflade nedad: mørk teint;afslå|afvise|genne væk|håndflade nedad|håndflade nedad: mørk teint|mørk teint|tabe
🫴;håndflade opad;gribe|håndflade opad|kom|lokke|tilbyde|vinke hen
	🫴🏻;håndflade opad: lys teint;gribe|håndflade opad|håndflade opad: lys teint|kom|lokke|lys teint|tilbyde|vinke hen
	🫴🏼;håndflade opad: medium til lys teint;gribe|håndflade opad|håndflade opad: medium til lys teint|kom|lokke|medium til lys teint|tilbyde|vinke hen
	🫴🏽;håndflade opad: medium teint;gribe|håndflade opad|håndflade opad: medium teint|kom|lokke|medium teint|tilbyde|vinke hen
	🫴🏾;håndflade opad: medium til mørk teint;gribe|håndflade opad|håndflade opad: medium til mørk teint|kom|lokke|medium til mørk teint|tilbyde|vinke hen
	🫴🏿;håndflade opad: mørk teint;gribe|håndflade opad|håndflade opad: mørk teint|kom|lokke|mørk teint|tilbyde|vinke hen
🫷;hånd skubber mod venstre;afslå|hånd skubber mod venstre|highfive|mod venstre|skub|stop|vent
	🫷🏻;hånd skubber mod venstre: lys teint;afslå|hånd skubber mod venstre|hånd skubber mod venstre: lys teint|highfive|lys teint|mod venstre|skub|stop|vent
	🫷🏼;hånd skubber mod venstre: medium til lys teint;afslå|hånd skubber mod venstre|hånd skubber mod venstre: medium til lys teint|highfive|medium til lys teint|mod venstre|skub|stop|vent
	🫷🏽;hånd skubber mod venstre: medium teint;afslå|hånd skubber mod venstre|hånd skubber mod venstre: medium teint|highfive|medium teint|mod venstre|skub|stop|vent
	🫷🏾;hånd skubber mod venstre: medium til mørk teint;afslå|hånd skubber mod venstre|hånd skubber mod venstre: medium til mørk teint|highfive|medium til mørk teint|mod venstre|skub|stop|vent
	🫷🏿;hånd skubber mod venstre: mørk teint;afslå|hånd skubber mod venstre|hånd skubber mod venstre: mørk teint|highfive|mod venstre|mørk teint|skub|stop|vent
🫸;hånd skubber mod højre;afslå|hånd skubber mod højre|highfive|mod højre|skub|stop|vent
	🫸🏻;hånd skubber mod højre: lys teint;afslå|hånd skubber mod højre|hånd skubber mod højre: lys teint|highfive|lys teint|mod højre|skub|stop|vent
	🫸🏼;hånd skubber mod højre: medium til lys teint;afslå|hånd skubber mod højre|hånd skubber mod højre: medium til lys teint|highfive|medium til lys teint|mod højre|skub|stop|vent
	🫸🏽;hånd skubber mod højre: medium teint;afslå|hånd skubber mod højre|hånd skubber mod højre: medium teint|highfive|medium teint|mod højre|skub|stop|vent
	🫸🏾;hånd skubber mod højre: medium til mørk teint;afslå|hånd skubber mod højre|hånd skubber mod højre: medium til mørk teint|highfive|medium til mørk teint|mod højre|skub|stop|vent
	🫸🏿;hånd skubber mod højre: mørk teint;afslå|hånd skubber mod højre|hånd skubber mod højre: mørk teint|highfive|mod højre|mørk teint|skub|stop|vent
👌;ok-tegn;OK-håndtegn|OK-tegn
	👌🏻;ok-tegn: lys teint;lys teint|OK-håndtegn|OK-tegn|ok-tegn: lys teint
	👌🏼;ok-tegn: medium til lys teint;medium til lys teint|OK-håndtegn|OK-tegn|ok-tegn: medium til lys teint
	👌🏽;ok-tegn: medium teint;medium teint|OK-håndtegn|OK-tegn|ok-tegn: medium teint
	👌🏾;ok-tegn: medium til mørk teint;medium til mørk teint|OK-håndtegn|OK-tegn|ok-tegn: medium til mørk teint
	👌🏿;ok-tegn: mørk teint;mørk teint|OK-håndtegn|OK-tegn|ok-tegn: mørk teint
🤌;samlede fingre;fingre|gestus|håndtegn|samlede fingre|sammenknebne|sarkastisk|udspørge
	🤌🏻;samlede fingre: lys teint;fingre|gestus|håndtegn|lys teint|samlede fingre|samlede fingre: lys teint|sammenknebne|sarkastisk|udspørge
	🤌🏼;samlede fingre: medium til lys teint;fingre|gestus|håndtegn|medium til lys teint|samlede fingre|samlede fingre: medium til lys teint|sammenknebne|sarkastisk|udspørge
	🤌🏽;samlede fingre: medium teint;fingre|gestus|håndtegn|medium teint|samlede fingre|samlede fingre: medium teint|sammenknebne|sarkastisk|udspørge
	🤌🏾;samlede fingre: medium til mørk teint;fingre|gestus|håndtegn|medium til mørk teint|samlede fingre|samlede fingre: medium til mørk teint|sammenknebne|sarkastisk|udspørge
	🤌🏿;samlede fingre: mørk teint;fingre|gestus|håndtegn|mørk teint|samlede fingre|samlede fingre: mørk teint|sammenknebne|sarkastisk|udspørge
🤏;lidt vist med tommel- og pegefinger;lidt|lidt vist med tommel- og pegefinger
	🤏🏻;lidt vist med tommel- og pegefinger: lys teint;lidt|lidt vist med tommel- og pegefinger|lidt vist med tommel- og pegefinger: lys teint|lys teint
	🤏🏼;lidt vist med tommel- og pegefinger: medium til lys teint;lidt|lidt vist med tommel- og pegefinger|lidt vist med tommel- og pegefinger: medium til lys teint|medium til lys teint
	🤏🏽;lidt vist med tommel- og pegefinger: medium teint;lidt|lidt vist med tommel- og pegefinger|lidt vist med tommel- og pegefinger: medium teint|medium teint
	🤏🏾;lidt vist med tommel- og pegefinger: medium til mørk teint;lidt|lidt vist med tommel- og pegefinger|lidt vist med tommel- og pegefinger: medium til mørk teint|medium til mørk teint
	🤏🏿;lidt vist med tommel- og pegefinger: mørk teint;lidt|lidt vist med tommel- og pegefinger|lidt vist med tommel- og pegefinger: mørk teint|mørk teint
✌️;v-tegn;V-tegn|yeah
	✌🏻;v-tegn: lys teint;lys teint|V-tegn|v-tegn: lys teint|yeah
	✌🏼;v-tegn: medium til lys teint;medium til lys teint|V-tegn|v-tegn: medium til lys teint|yeah
	✌🏽;v-tegn: medium teint;medium teint|V-tegn|v-tegn: medium teint|yeah
	✌🏾;v-tegn: medium til mørk teint;medium til mørk teint|V-tegn|v-tegn: medium til mørk teint|yeah
	✌🏿;v-tegn: mørk teint;mørk teint|V-tegn|v-tegn: mørk teint|yeah
🤞;krydsede fingre;finger|håb|hånd|held og lykke|krop|krydsede fingre|krydser fingre
	🤞🏻;krydsede fingre: lys teint;finger|håb|hånd|held og lykke|krop|krydsede fingre|krydsede fingre: lys teint|krydser fingre|lys teint
	🤞🏼;krydsede fingre: medium til lys teint;finger|håb|hånd|held og lykke|krop|krydsede fingre|krydsede fingre: medium til lys teint|krydser fingre|medium til lys teint
	🤞🏽;krydsede fingre: medium teint;finger|håb|hånd|held og lykke|krop|krydsede fingre|krydsede fingre: medium teint|krydser fingre|medium teint
	🤞🏾;krydsede fingre: medium til mørk teint;finger|håb|hånd|held og lykke|krop|krydsede fingre|krydsede fingre: medium til mørk teint|krydser fingre|medium til mørk teint
	🤞🏿;krydsede fingre: mørk teint;finger|håb|hånd|held og lykke|krop|krydsede fingre|krydsede fingre: mørk teint|krydser fingre|mørk teint
🫰;krydset pegefinger og tommelfinger;dyrt|hjerte|kærlighed|knips|krydset pegefinger og tommelfinger|penge
	🫰🏻;krydset pegefinger og tommelfinger: lys teint;dyrt|hjerte|kærlighed|knips|krydset pegefinger og tommelfinger|krydset pegefinger og tommelfinger: lys teint|lys teint|penge
	🫰🏼;krydset pegefinger og tommelfinger: medium til lys teint;dyrt|hjerte|kærlighed|knips|krydset pegefinger og tommelfinger|krydset pegefinger og tommelfinger: medium til lys teint|medium til lys teint|penge
	🫰🏽;krydset pegefinger og tommelfinger: medium teint;dyrt|hjerte|kærlighed|knips|krydset pegefinger og tommelfinger|krydset pegefinger og tommelfinger: medium teint|medium teint|penge
	🫰🏾;krydset pegefinger og tommelfinger: medium til mørk teint;dyrt|hjerte|kærlighed|knips|krydset pegefinger og tommelfinger|krydset pegefinger og tommelfinger: medium til mørk teint|medium til mørk teint|penge
	🫰🏿;krydset pegefinger og tommelfinger: mørk teint;dyrt|hjerte|kærlighed|knips|krydset pegefinger og tommelfinger|krydset pegefinger og tommelfinger: mørk teint|mørk teint|penge
🤟;elsker dig-gestus;Elsker dig|elsker dig-gestus|Hånd
	🤟🏻;elsker dig-gestus: lys teint;Elsker dig|elsker dig-gestus|elsker dig-gestus: lys teint|Hånd|lys teint
	🤟🏼;elsker dig-gestus: medium til lys teint;Elsker dig|elsker dig-gestus|elsker dig-gestus: medium til lys teint|Hånd|medium til lys teint
	🤟🏽;elsker dig-gestus: medium teint;Elsker dig|elsker dig-gestus|elsker dig-gestus: medium teint|Hånd|medium teint
	🤟🏾;elsker dig-gestus: medium til mørk teint;Elsker dig|elsker dig-gestus|elsker dig-gestus: medium til mørk teint|Hånd|medium til mørk teint
	🤟🏿;elsker dig-gestus: mørk teint;Elsker dig|elsker dig-gestus|elsker dig-gestus: mørk teint|Hånd|mørk teint
🤘;djævletegn;djævletegn|finger|hånd|heavy metal|horn|metal|rock
	🤘🏻;djævletegn: lys teint;djævletegn|djævletegn: lys teint|finger|hånd|heavy metal|horn|lys teint|metal|rock
	🤘🏼;djævletegn: medium til lys teint;djævletegn|djævletegn: medium til lys teint|finger|hånd|heavy metal|horn|medium til lys teint|metal|rock
	🤘🏽;djævletegn: medium teint;djævletegn|djævletegn: medium teint|finger|hånd|heavy metal|horn|medium teint|metal|rock
	🤘🏾;djævletegn: medium til mørk teint;djævletegn|djævletegn: medium til mørk teint|finger|hånd|heavy metal|horn|medium til mørk teint|metal|rock
	🤘🏿;djævletegn: mørk teint;djævletegn|djævletegn: mørk teint|finger|hånd|heavy metal|horn|metal|mørk teint|rock
🤙;ring til mig-hånd;hånd|krop|opringning|ring til mig-hånd|ringer|telefonhånd
	🤙🏻;ring til mig-hånd: lys teint;hånd|krop|lys teint|opringning|ring til mig-hånd|ring til mig-hånd: lys teint|ringer|telefonhånd
	🤙🏼;ring til mig-hånd: medium til lys teint;hånd|krop|medium til lys teint|opringning|ring til mig-hånd|ring til mig-hånd: medium til lys teint|ringer|telefonhånd
	🤙🏽;ring til mig-hånd: medium teint;hånd|krop|medium teint|opringning|ring til mig-hånd|ring til mig-hånd: medium teint|ringer|telefonhånd
	🤙🏾;ring til mig-hånd: medium til mørk teint;hånd|krop|medium til mørk teint|opringning|ring til mig-hånd|ring til mig-hånd: medium til mørk teint|ringer|telefonhånd
	🤙🏿;ring til mig-hånd: mørk teint;hånd|krop|mørk teint|opringning|ring til mig-hånd|ring til mig-hånd: mørk teint|ringer|telefonhånd
👈;peger mod venstre;finger|finger peger til venstre|pegefinger|peger mod venstre|peger til venstre
