[smileys_emotion]
😀;ծիծաղող դեմք;դեմք|ծիծաղող դեմք|քմծիծաղել
😑;անհույզ դեմք;անարտահայտիչ|անհույզ դեմք|առանց էմոցիաների|դեմք|ոչինչ չարտահայտող
😶;առանց բերանի դեմք;առանց բերանի դեմք|բերան|դեմք|լուռ|հանգիստ
🫥;կետագծված դեմք;անհետանալ|անտեսանելի|ընկճված|թաքնվել|կետագծված դեմք|ներփակված
😶‍🌫️;դեմք ամպերի մեջ;գլուխ ամպերի մեջ|դեմք ամպերի մեջ|դեմք մառախուղի մեջ|ցրված
😏;կեղծ ժպտացող դեմք;դեմք|կեղծ ժպիտ|կեղծ ժպտացող դեմք
😒;անտրամադիր դեմք;անտրամադիր|դեմք|դժբախտ
🙄;պտտվող աչքերով դեմք;աչքեր|դեմք|պտտվող|պտտվող աչքերով դեմք
😬;ծամածռվող դեմք;դեմք|ծամածռություն|ծամածռվող դեմք
😮‍💨;արտաշնչող դեմք;արտաշնչել|արտաշնչող դեմք|թեթևություն|հևալ|հևոց|հոգոց
🤥;խաբող դեմք;դեմք|խաբող դեմք|պինոկիո|սուտ
🫨;ցնցվող դեմք;երկրաշարժ|հարված|շոկ|վիբրացիա|ցնցում|ցնցվող դեմք
🙂‍↔️;հորիզոնական ճոճվող գլուխ;հորիզոնական ճոճվող գլուխ|ոչ|չոչում
🙂‍↕️;ուղղաձիգ ճոճվող գլուխ;այո|ուղղաձիգ ճոճվող գլուխ
😌;թեթևացած դեմք;դեմք|թեթևացած
😔;մտածկոտ դեմք;դեմք|մռայլված|մտածկոտ
😪;քնատ դեմք;դեմք|քնատ դեմք|քնել
🤤;փսլնքոտ դեմք;դեմք|խլնքոտ|փսլնքոտ
😴;քնած դեմք;դեմք|խռռ|քնած դեմք|քնել
😷;բժշկական դիմակով դեմք;բժիշկ|բժշկական դիմակ|բժշկական դիմակով դեմք|հիվանդ|վարակ
🤒;ջերմաչափով դեմք;դեմք|հիվանդ|ջերմաչափ|ջերմաչափով դեմք
🤕;գլխակապով դեմք;գլխակապ|գլխակապով դեմք|դեմք|վիրակապ|վնասվածք
🤢;սրտխառնոցով դեմք;դեմք|սրտխառնոց|սրտխառնոցով դեմք|փսխում
🤮;փսխող դեմք;սրտխառնոց|փսխող դեմք|փսխում
🤧;փռշտացող դեմք;դեմք|փռշտացող դեմք|փռշտոց
🥵;շոգած դեմք;հիվանդ|շոգ|շոգած դեմք|ջերմություն|տաքություն|տենդ
🥶;մրսած դեմք;դեմք|կապտած|մրսած|սառած|ցուրտ
🥴;թմրած դեմք;գլխապտույտ|թմրած դեմք|թունավորում|հարբած|ճոճվող|սրտխառնոց
😵;գլխապտույտով դեմք;գլխապտույտ|գլխապտույտով դեմք|դեմք
😵‍💫;պարուրաձև աչքերով դեմք;գլխապտույտ|շփոթմունք|պարուրաձև|պարուրաձև աչքերով դեմք|փորձանք
🤯;պայթող գլուխ;ապշած|ուղեղ|պայթող|պայթող գլուխ
🤠;կովբոյի դեմք;գլխարկ|դեմք|կովբոյ|կովբոյի դեմք
🥳;խնջույքավոր դեմք;գլխարկ|խնջույք|խնջույքավոր դեմք|ուրախություն|տոն
🥸;դիմակով դեմք;ակնոց|դիմակ|դիմակով դեմք|ինկոգնիտո|քիթ|քողարկված
😎;ժպտացող դեմք արևային ակնոցով;արև|արևային ակնոց|դեմք|զիլ|թույն|ժպտացող դեմք արևային ակնոցով
🤓;խելոքի դեմք;գերազանցիկ|դեմք|խելացի|խելոքի դեմք
🧐;մոնոկլով դեմք;բարձրամիտ|խստաբարո|մոնոկլով դեմք
😕;շփոթված դեմք;դեմք|շփոթված
🫤;անկյունագծային բերանով դեմք;անկյունագծային բերանով դեմք|անհետաքրքիր|անվստահ|հիասթափված|հոռետեսական
😟;մտահոգ դեմք;անհանգստացած|դեմք|մտահոգ
🙁;թեթևակի խոժոռված դեմք;դեմք|թեթևակի խոժոռված դեմք|խոժոռ
☹️;խոժոռված դեմք;դեմք|խոժոռ|խոժոռված դեմք
😮;բաց բերանով դեմք;բաց|բաց բերանով դեմք|բերան|դեմք|համակրանք
😯;սաստված դեմք;ապշած|դեմք|զարմացած|սաստված
😲;ապշահար դեմք;ամբողջովին|ապշահար|դեմք|ցնցված
😳;շիկնած դեմք;դեմք|հիացած|շիկնած
🥺;աղաչող դեմք;աղաչող|աղաչող դեմք|արցունքներ|խնդրող
🥹;արցունքը զսպած դեմք;արցունքը զսպած դեմք|դիմադրել|զայրացած|լացել|հպարտ|տխուր
😦;բաց բերանով խոժոռված դեմք;բաց|բաց բերանով խոժոռված դեմք|բերան|խոժոռ
😧;վշտահար դեմք;դեմք|վշտահար
😨;վախեցած դեմք;դեմք|սարսափած|վախ|վախեցած
😰;բաց բերանով և սառը քրտինքով դեմք;բաց|բաց բերանով և սառը քրտինքով դեմք|բերան|դեմք|կապույտ|սառը|քրտինք
😥;տխուր, բայց թեթևացած դեմք;բայց թեթևացած դեմք|դեմք|թեթևացած|հիասթափված|տխուր|տխուր, բայց թեթևացած դեմք
😢;արտասվող դեմք;արտասվել|արտասվող դեմք|արցունք|դեմք|տխուր
😭;բարձրաձայն արտասվող դեմք;արցունք|բարձրաձայն|բարձրաձայն արտասվող դեմք|լաց|հեկեկալ|տխուր
😱;վախից գոռացող դեմք;դեմք|ծամել|ճչալ|սարսափած|վախեցած|վախից գոռացող դեմք
😖;ցնցված դեմք;դեմք|ցնցված
😣;համառող դեմք;դեմք|համառ|համառող դեմք
😞;հիասթափված դեմք;դեմք|հիասթափված
😓;սառը քրտինքով դեմք;դեմք|սառը|սառը քրտինքով դեմք|քրտինք
😩;ուժասպառ դեմք;դեմք|հոգնած|ուժասպառ
😫;հոգնած դեմք;դեմք|հոգնած
🥱;հորանջող դեմք;հոգնած|հորանջ|հորանջող դեմք|ձանձրացած
😤;քթից գոլորշի հանող դեմք;դեմք|հաղթած|հաղթանակ|քթից գոլորշի հանող դեմք
😡;դժգոհ դեմք;բարկացած|դեմք|դժգոհ|զայրույթ|խենք|կարմիր
😠;բարկացած դեմք;բարկացած|դեմք|զայրացած
🤬;բերանի վրա նշանով դեմք;բերանի վրա նշանով դեմք|հայհոյանք|քֆուր
😈;ժպտացող դեմք եղջյուրներով;դեմք|եղջյուրներ|ժպտալ|ժպտացող դեմք եղջյուրներով|հեքիաթ|ֆանտազիա
👿;զայրացած դեմք՝ պոզերով;դեմք|դև|զայրացած դեմք՝ պոզերով|հեքիաթ|ֆանտազիա
💀;գանգ;գանգ|դեմք|հեքիաթ|հրեշ|մահ|մարմին
☠️;գանգ և խաչված ոսկորներ;գանգ|գանգ և խաչված ոսկորներ|դեմք|խաչված|հրեշ|մահ|մարմին|ոսկորներ
💩;կեղտի կույտ;ախկո|գոմաղբ|դեմք|կեղտ|կեղտի կույտ|կղանք|կոմիքս|հրեշ
🤡;ծաղրածուի դեմք;դեմք|ծաղրածու|ծաղրածուի դեմք
👹;մարդակեր հսկա;արարած|դեմք|հեքիաթ|հրեշ|ճապոնական|մարդակեր հսկա|ֆանտազիա
👺;չար ոգի;արարած|դեմք|հեքիաթ|հրեշ|ճապոնական|չար ոգի|ֆանտազիա
👻;ուրվական;արարած|դեմք|հեքիաթ|հրեշ|ուրվական|ֆանտազիա
👽;այլմոլորակային;այլմոլորակային|արարած|դեմք|հեքիաթ|հրեշ|չթօ|տիեզերք|ֆանտազիա
👾;այլմոլորակային հրեշ;այլմոլորակային|արարած|դեմք|հեքիաթ|հրեշ|չթօ|տիեզերք|ֆանտազիա
🤖;ռոբոտ;դեմք|հրեշ|ռոբոտ
😺;քմծիծաղող կատու;բաց|բերան|դեմք|ժպիտ|կատու|քմծիծաղ|քմծիծաղող կատու
😸;քմծիծաղող կատու ժպտացող աչքերով;աչք|դեմք|ժպիտ|կատու|քմծիծաղ|քմծիծաղող կատու ժպտացող աչքերով
😹;ուրախության արցունքներով կատու;արցունք|դեմք|կատու|ուրախության արցունքներով կատու|ուրախություն
😻;ժպտացող կատվի դեմք սրտաձև աչքերով;աչք|դեմք|ժպիտ|ժպտացող կատվի դեմք սրտաձև աչքերով|կատու|սեր|սիրտ
😼;ծուռ ժպիտով կատու;դեմք|ժպիտ|ծուռ ժպիտով կատու|կատու|հեգնական
😽;համբուրող կատու;աչք|դեմք|կատու|համբույր|համբուրող կատու
🙀;հոգնած կատու;դեմք|զարմացած|կատու|հոգնած|օհ
😿;լացող կատու;արցունք|դեմք|լաց|լացող կատու|կատու|տխուր
😾;դժգոհող կատու;դեմք|դժգոհ|դժգոհող կատու|կատու
🙈;չարություն չտեսնող կապիկ;արգելված|դեմք|ժեստ|կապիկ|չար|չարություն չտեսնող կապիկ|տեսնել
🙉;չարություն չլսող կապիկ;արգելված|դեմք|ժեստ|լսել|կապիկ|չար|չարություն չլսող կապիկ
🙊;չարություն չասող կապիկ;արգելված|դեմք|ժեստ|խոսել|կապիկ|չարություն չասող կապիկ|չարություն չասող կապիկար
💌;սիրային նամակ;նամակ|սեր|սիրային նամակ|սիրավեպ|սիրտ|փոստ
💘;նետահարված սիրտ;կուպիդոն|նետ|նետահարված սիրտ|սիրավեպ|սիրտ
💝;ժապավենով սիրտ;ժապավեն|ժապավենով սիրտ|սիրտ|վալենտին
💖;շողշողացող սիրտ;կայծ|շողշողացող սիրտ|ոգևորված|սիրտ
💗;աճող սիրտ;աճող|նյարդային|ոգևորված|սիրտ|սրտի զարկ
💓;բաբախող սիրտ;բաբախյուն|բաբախող սիրտ|պուլսացիա|սիրտ|սրտխփոց
💞;պտտվող սրտեր;պտտվող|պտտվող սրտեր|սիրտ
💕;երկու սիրտ;երկու սիրտ|սեր|սիրտ
💟;սրտաձև նախշ;նախշ|սիրտ|սրտաձև նախշ
❣️;սիրտ-բացականչություն;բացականչություն|կետադրական|նշան|սիրտ|սիրտ-բացականչություն
💔;կոտրված սիրտ;կոտրել|կոտրված|սիրտ
❤️‍🔥;այրվող սիրտ;այրոց|այրվող սիրտ|կիրք|կրակ|սեր|սիրտ
❤️‍🩹;լավացող սիրտ;առողջ|բարելավում|լավանալ|լավացող սիրտ|սիրտ
❤️;կարմիր սիրտ;կարմիր|սիրտ
🩷;վարդագույն սիրտ;սեր|սիրում եմ|սիրտ|սրտիկ|վարդագույն
🧡;նարնջագույն սիրտ;նարնջագույն|սիրտ
💛;դեղին սիրտ;դեղին|սիրտ
💚;կանաչ սիրտ;կանաչ|սիրտ
💙;կապույտ սիրտ;կապույտ|սիրտ
🩵;բաց կապույտ սիրտ;բաց կապույտ սիրտ|երկնագույն|կապույտ|սիրտ|սրտիկ
💜;մանուշակագույն սիրտ;մանուշակագույն|սիրտ
🤎;դարչնագույն սիրտ;դարչնագույն|սիրտ
🖤;սև սիրտ;չար|սև|սիրտ
🩶;մոխրագույն սիրտ;արծաթագույն|գորշ|մոխրագույն|սիրտ|սրտիկ
🤍;սպիտակ սիրտ;սիրտ|սպիտակ
💋;համբույրի հետք;համբույր|համբույրի հետք|հետք|շուրթեր|սիրավեպ|սիրտ
💯;հարյուր միավոր;100|ամբողջ|հաշիվ|հարյուր|միավոր
💢;զայրույթի նշան;զայրացած|զայրույթի նշան|խենթ|կոմիքս|նշան
💥;բախում;բախում|բում|կոմիքս
💫;գլխապտույտ;աստղ|գլխապտույտ|կոմիքս
💦;քրտինքի կաթիլներ;կաթիլներ|կոմիքս|ցայտող|քրտինք|քրտինքի կաթիլներ
💨;սրընթաց փախուստ;ընթանալ|կոմիքս|սլանալ|սրընթաց փախուստ
🕳️;անցք;անցք|փոս
💬;խոսքի ամպիկ;երկխոսություն|խոսք|խոսքի ամպիկ|կոմիքս|պղպջակ|փուչիկ
👁️‍🗨️;ականատեսի նշան;ականատես|ականատեսի նշան|ամպիկ|աչք|վկա
🗨️;խոսքի ձախակողմյա ամպիկ;երկխոսություն|խոսք|խոսքի ձախակողմյա ամպիկ
🗯️;զայրույթի աջակողմյա ամպիկ;զայրույթ|զայրույթի աջակողմյա ամպիկ|խենթ|պղպջակ|փուչիկ
💭;մտքի ամպիկ;կոմիքս|միտք|մտքի ամպիկ|պղպջակ|փուչիկ
💤;խռռռ;խռռռ|կոմիքս|քնել

[people_body]
👋;թափահարող ձեռք;թափահարել|թափահարող|ձեռք|մարմին
	👋🏻;թափահարող ձեռք․ բաց գույնի մաշկ;բաց գույնի մաշկ|թափահարել|թափահարող|թափահարող ձեռք․ բաց գույնի մաշկ|ձեռք|մարմին
	👋🏼;թափահարող ձեռք․ միջին բաց գույնի մաշկ;թափահարել|թափահարող|թափահարող ձեռք․ միջին բաց գույնի մաշկ|ձեռք|մարմին|միջին բաց գույնի մաշկ
	👋🏽;թափահարող ձեռք․ միջին գույնի մաշկ;թափահարել|թափահարող|թափահարող ձեռք․ միջին գույնի մաշկ|ձեռք|մարմին|միջին գույնի մաշկ
	👋🏾;թափահարող ձեռք․ միջին մուգ գույնի մաշկ;թափահարել|թափահարող|թափահարող ձեռք․ միջին մուգ գույնի մաշկ|ձեռք|մարմին|միջին մուգ գույնի մաշկ
	👋🏿;թափահարող ձեռք․ մուգ գույնի մաշկ;թափահարել|թափահարող|թափահարող ձեռք․ մուգ գույնի մաշկ|ձեռք|մարմին|մուգ գույնի մաշկ
🤚;ձեռքի բարձրացրած ափ;բարձրացրած|ձեռքի բարձրացրած ափ
	🤚🏻;ձեռքի բարձրացրած ափ․ բաց գույնի մաշկ;բարձրացրած|բաց գույնի մաշկ|ձեռքի բարձրացրած ափ|ձեռքի բարձրացրած ափ․ բաց գույնի մաշկ
	🤚🏼;ձեռքի բարձրացրած ափ․ միջին բաց գույնի մաշկ;բարձրացրած|ձեռքի բարձրացրած ափ|ձեռքի բարձրացրած ափ․ միջին բաց գույնի մաշկ|միջին բաց գույնի մաշկ
	🤚🏽;ձեռքի բարձրացրած ափ․ միջին գույնի մաշկ;բարձրացրած|ձեռքի բարձրացրած ափ|ձեռքի բարձրացրած ափ․ միջին գույնի մաշկ|միջին գույնի մաշկ
	🤚🏾;ձեռքի բարձրացրած ափ․ միջին մուգ գույնի մաշկ;բարձրացրած|ձեռքի բարձրացրած ափ|ձեռքի բարձրացրած ափ․ միջին մուգ գույնի մաշկ|միջին մուգ գույնի մաշկ
	🤚🏿;ձեռքի բարձրացրած ափ․ մուգ գույնի մաշկ;բարձրացրած|ձեռքի բարձրացրած ափ|ձեռքի բարձրացրած ափ․ մուգ գույնի մաշկ|մուգ գույնի մաշկ
🖐️;բացված մատներով բարձրացված ձեռք;բացված|բացված մատներով բարձրացված ձեռք|ձեռք|մատ|մարմին
	🖐🏻;բացված մատներով բարձրացված ձեռք․ բաց գույնի մաշկ;բաց գույնի մաշկ|բացված|բացված մատներով բարձրացված ձեռք|բացված մատներով բարձրացված ձեռք․ բաց գույնի մաշկ|ձեռք|մատ|մարմին
	🖐🏼;բացված մատներով բարձրացված ձեռք․ միջին բաց գույնի մաշկ;բացված|բացված մատներով բարձրացված ձեռք|բացված մատներով բարձրացված ձեռք․ միջին բաց գույնի մաշկ|ձեռք|մատ|մարմին|միջին բաց գույնի մաշկ
	🖐🏽;բացված մատներով բարձրացված ձեռք․ միջին գույնի մաշկ;բացված|բացված մատներով բարձրացված ձեռք|բացված մատներով բարձրացված ձեռք․ միջին գույնի մաշկ|ձեռք|մատ|մարմին|միջին գույնի մաշկ
	🖐🏾;բացված մատներով բարձրացված ձեռք․ միջին մուգ գույնի մաշկ;բացված|բացված մատներով բարձրացված ձեռք|բացված մատներով բարձրացված ձեռք․ միջին մուգ գույնի մաշկ|ձեռք|մատ|մարմին|միջին մուգ գույնի մաշկ
	🖐🏿;բացված մատներով բարձրացված ձեռք․ մուգ գույնի մաշկ;բացված|բացված մատներով բարձրացված ձեռք|բացված մատներով բարձրացված ձեռք․ մուգ գույնի մաշկ|ձեռք|մատ|մարմին|մուգ գույնի մաշկ
✋;բարձրացված ձեռք;բարձրացված ձեռք|ձեռք|մարմին
	✋🏻;բարձրացված ձեռք․ բաց գույնի մաշկ;բարձրացված ձեռք|բարձրացված ձեռք․ բաց գույնի մաշկ|բաց գույնի մաշկ|ձեռք|մարմին
	✋🏼;բարձրացված ձեռք․ միջին բաց գույնի մաշկ;բարձրացված ձեռք|բարձրացված ձեռք․ միջին բաց գույնի մաշկ|ձեռք|մարմին|միջին բաց գույնի մաշկ
	✋🏽;բարձրացված ձեռք․ միջին գույնի մաշկ;բարձրացված ձեռք|բարձրացված ձեռք․ միջին գույնի մաշկ|ձեռք|մարմին|միջին գույնի մաշկ
	✋🏾;բարձրացված ձեռք․ միջին մուգ գույնի մաշկ;բարձրացված ձեռք|բարձրացված ձեռք․ միջին մուգ գույնի մաշկ|ձեռք|մարմին|միջին մուգ գույնի մաշկ
	✋🏿;բարձրացված ձեռք․ մուգ գույնի մաշկ;բարձրացված ձեռք|բարձրացված ձեռք․ մուգ գույնի մաշկ|ձեռք|մարմին|մուգ գույնի մաշկ
🖖;վուլկանցիների ողջույն;ձեռք|մատ|մարմին|վուլկան|վուլկանցիների ողջույն
	🖖🏻;վուլկանցիների ողջույն․ բաց գույնի մաշկ;բաց գույնի մաշկ|ձեռք|մատ|մարմին|վուլկան|վուլկանցիների ողջույն|վուլկանցիների ողջույն․ բաց գույնի մաշկ
	🖖🏼;վուլկանցիների ողջույն․ միջին բաց գույնի մաշկ;ձեռք|մատ|մարմին|միջին բաց գույնի մաշկ|վուլկան|վուլկանցիների ողջույն|վուլկանցիների ողջույն․ միջին բաց գույնի մաշկ
	🖖🏽;վուլկանցիների ողջույն․ միջին գույնի մաշկ;ձեռք|մատ|մարմին|միջին գույնի մաշկ|վուլկան|վուլկանցիների ողջույն|վուլկանցիների ողջույն․ միջին գույնի մաշկ
	🖖🏾;վուլկանցիների ողջույն․ միջին մուգ գույնի մաշկ;ձեռք|մատ|մարմին|միջին մուգ գույնի մաշկ|վուլկան|վուլկանցիների ողջույն|վուլկանցիների ողջույն․ միջին մուգ գույնի մաշկ
	🖖🏿;վուլկանցիների ողջույն․ մուգ գույնի մաշկ;ձեռք|մատ|մարմին|մուգ գույնի մաշկ|վուլկան|վուլկանցիների ողջույն|վուլկանցիների ողջույն․ մուգ գույնի մաշկ
🫱;աջակողմ ձեռք;աջ|աջակողմ|ձեռք
	🫱🏻;աջակողմ ձեռք․ բաց գույնի մաշկ;աջ|աջակողմ|աջակողմ ձեռք․ բաց գույնի մաշկ|բաց գույնի մաշկ|ձեռք
	🫱🏼;աջակողմ ձեռք․ միջին բաց գույնի մաշկ;աջ|աջակողմ|աջակողմ ձեռք․ միջին բաց գույնի մաշկ|ձեռք|միջին բաց գույնի մաշկ
	🫱🏽;աջակողմ ձեռք․ միջին գույնի մաշկ;աջ|աջակողմ|աջակողմ ձեռք․ միջին գույնի մաշկ|ձեռք|միջին գույնի մաշկ
	🫱🏾;աջակողմ ձեռք․ միջին մուգ գույնի մաշկ;աջ|աջակողմ|աջակողմ ձեռք․ միջին մուգ գույնի մաշկ|ձեռք|միջին մուգ գույնի մաշկ
	🫱🏿;աջակողմ ձեռք․ մուգ գույնի մաշկ;աջ|աջակողմ|աջակողմ ձեռք․ մուգ գույնի մաշկ|ձեռք|մուգ գույնի մաշկ
🫲;ձախակողմ ձեռք;ձախ|ձախակողմ|ձեռք
	🫲🏻;ձախակողմ ձեռք․ բաց գույնի մաշկ;բաց գույնի մաշկ|ձախ|ձախակողմ|ձախակողմ ձեռք․ բաց գույնի մաշկ|ձեռք
	🫲🏼;ձախակողմ ձեռք․ միջին բաց գույնի մաշկ;ձախ|ձախակողմ|ձախակողմ ձեռք․ միջին բաց գույնի մաշկ|ձեռք|միջին բաց գույնի մաշկ
	🫲🏽;ձախակողմ ձեռք․ միջին գույնի մաշկ;ձախ|ձախակողմ|ձախակողմ ձեռք․ միջին գույնի մաշկ|ձեռք|միջին գույնի մաշկ
	🫲🏾;ձախակողմ ձեռք․ միջին մուգ գույնի մաշկ;ձախ|ձախակողմ|ձախակողմ ձեռք․ միջին մուգ գույնի մաշկ|ձեռք|միջին մուգ գույնի մաշկ
	🫲🏿;ձախակողմ ձեռք․ մուգ գույնի մաշկ;ձախ|ձախակողմ|ձախակողմ ձեռք․ մուգ գույնի մաշկ|ձեռք|մուգ գույնի մաշկ
🫳;ձեռքը ափով ներքև;գցել|հրաժարվել|ձեռքը ափով ներքև|ներքև|վար
	🫳🏻;ձեռքը ափով ներքև․ բաց գույնի մաշկ;բաց գույնի մաշկ|գցել|հրաժարվել|ձեռքը ափով ներքև|ձեռքը ափով ներքև․ բաց գույնի մաշկ|ներքև|վար
	🫳🏼;ձեռքը ափով ներքև․ միջին բաց գույնի մաշկ;գցել|հրաժարվել|ձեռքը ափով ներքև|ձեռքը ափով ներքև․ միջին բաց գույնի մաշկ|միջին բաց գույնի մաշկ|ներքև|վար
	🫳🏽;ձեռքը ափով ներքև․ միջին գույնի մաշկ;գցել|հրաժարվել|ձեռքը ափով ներքև|ձեռքը ափով ներքև․ միջին գույնի մաշկ|միջին գույնի մաշկ|ներքև|վար
	🫳🏾;ձեռքը ափով ներքև․ միջին մուգ գույնի մաշկ;գցել|հրաժարվել|ձեռքը ափով ներքև|ձեռքը ափով ներքև․ միջին մուգ գույնի մաշկ|միջին մուգ գույնի մաշկ|ներքև|վար
	🫳🏿;ձեռքը ափով ներքև․ մուգ գույնի մաշկ;գցել|հրաժարվել|ձեռքը ափով ներքև|ձեռքը ափով ներքև․ մուգ գույնի մաշկ|մուգ գույնի մաշկ|ներքև|վար
🫴;ափը՝ վեր ձեռք;առաջարկ|արի|ափը՝ վեր ձեռք|բռնել|կանչել
	🫴🏻;ափը՝ վեր ձեռք․ բաց գույնի մաշկ;առաջարկ|արի|ափը՝ վեր ձեռք|ափը՝ վեր ձեռք․ բաց գույնի մաշկ|բաց գույնի մաշկ|բռնել|կանչել
	🫴🏼;ափը՝ վեր ձեռք․ միջին բաց գույնի մաշկ;առաջարկ|արի|ափը՝ վեր ձեռք|ափը՝ վեր ձեռք․ միջին բաց գույնի մաշկ|բռնել|կանչել|միջին բաց գույնի մաշկ
	🫴🏽;ափը՝ վեր ձեռք․ միջին գույնի մաշկ;առաջարկ|արի|ափը՝ վեր ձեռք|ափը՝ վեր ձեռք․ միջին գույնի մաշկ|բռնել|կանչել|միջին գույնի մաշկ
	🫴🏾;ափը՝ վեր ձեռք․ միջին մուգ գույնի մաշկ;առաջարկ|արի|ափը՝ վեր ձեռք|ափը՝ վեր ձեռք․ միջին մուգ գույնի մաշկ|բռնել|կանչել|միջին մուգ գույնի մաշկ
	🫴🏿;ափը՝ վեր ձեռք․ մուգ գույնի մաշկ;առաջարկ|արի|ափը՝ վեր ձեռք|ափը՝ վեր ձեռք․ մուգ գույնի մաշկ|բռնել|կանչել|մուգ գույնի մաշկ
🫷;դեպի ձախ հրող ձեռք;գնա|դեպի ձախ|դեպի ձախ հրող ձեռք|կանգնիր|հրաժարվել|հրել|ոչ|սպասիր
	🫷🏻;դեպի ձախ հրող ձեռք․ բաց գույնի մաշկ;բաց գույնի մաշկ|գնա|դեպի ձախ|դեպի ձախ հրող ձեռք|դեպի ձախ հրող ձեռք․ բաց գույնի մաշկ|կանգնիր|հրաժարվել|հրել|ոչ|սպասիր
