[smileys_emotion]
😀;ubuso obusinekile;osinekile|ubuso obusinekile
😛;ubuso obukhiphele phandle ulimi;ubuso|ubuso obukhiphele phandle ulimi|ulimi
😜;ubuso obukhiphele phandle ulimi obucishe ihlo;cisha ihlo|ehlo|ihlaya|ubuso|ubuso obukhiphele phandle ulimi obucishe ihlo|ulimi
🤪;ubuso obuhlanyayo;iso|khulu|ncane|ubuso obuhlanyayo
😝;ubuso obukhiphele phandle ulimi evale amehlo;amehlo|ububi|ubumnandi|ubuso|ubuso obukhiphele phandle ulimi evale amehlo|ulimi
🤑;ubuso obunomlomo wemali;imali|ubuso|ubuso obunomlomo wemali|umlomo
🤗;ubuso obangayo;anga|ubuso|ubuso obangayo|ukwanga
🤭;ubuso obubekwe isandla emlonyeni;ubuso obubekwe isandla emlonyeni|whoops
🫢;face with open eyes and hand over mouth;amazement|awe|disbelief|embarrass|face with open eyes and hand over mouth|scared|surprise
🫣;face with peeking eye;captivated|face with peeking eye|peep|stare
🤫;ubuso obuthule;thula|thule|ubuso obuthule
🤔;ubuso obucabangayo;cabanga|ubuso|ubuso obucabangayo
🫡;saluting face;OK|salute|saluting face|sunny|troops|yes
🤐;ubuso obunoziphu;ubuso|ubuso obunoziphu|umlomo|uziphu
🤨;ubuso obunamashiya aphakanyisiwe;ubuso obunamashiya aphakanyisiwe|ukungathembi|ukunqikaza
😐;ubuso obukahle;buthule|ubuso|ubuso obukahle
😑;ubuso obungavezi lutho;ubuso|ubuso obungavezi lutho|ukungavezi lutho
😶;ubuso obungenamlomo;ubuso|ubuso obungenamlomo|ukuthula|umlomo
🫥;ubuso bomugqa onamachashazi;ubuso bomugqa onamachashazi
😶‍🌫️;ubuso obusemafini;ikhanda elisemafini|ubuso obusemafini|ubuso obusenkungwini|ukungabikho
😏;ubuso ubunyiphile;nyipha|ubuso|ubuso ubunyiphile
😒;ubuso obungachazekile;ubuso|ubuso obungachazekile|ukungajabuli|ukungathokozi
🙄;ubuso obupheqa amehlo;amehlo|pheqa amehlo|ubuso|ubuso obupheqa amehlo
😬;ubuso obuhlinile;hlina|ubuso|ubuso obuhlinile
😮‍💨;ubuso obudonsa umoya;donsa umoya|khipha umoya|ubuso obudonsa umoya|ubuso obukhipha umoya|ukuhleba|ukukhululeka|ukushaya inkwele
🤥;amanga;amanga|ubuso|upopayi
🫨;ubuso obunyakazayo;inhlekelele yemvelo|ubuso|ubuso obunyakazayo|ukunyakaza|ukuthuka|ukuvabretha
🙂‍↔️;ikhanda elibuka le nale;ikhanda elibuka le nale|nyakazisa|Qha
🙂‍↕️;ukunikina ikhanda phansi naphezulu;nikina|ukunikina ikhanda phansi naphezulu|yebo
😌;ubuso obukhululekile;khululeka|ubuso|ubuso obukhululekile
😔;ubuso obuphoxiwe;ubuso|ubuso obuphoxiwe|ukuphoxwa
😪;ubuso obuzelayo;lala|ubuso|ubuso obuzelayo
🤤;ukuhala;ubuso|ukuhala
😴;ubuso obulalayo;lala|ubuso|ubuso obulalayo|zzz
😷;ubso obufake imaski yobuso kadokotela;banda|dokotela|maski|ubso obufake imaski yobuso kadokotela|ubuso|ukugula|umuthi
🤒;ubuso obunesihlolakushisa;isihlolakushisa|ubuso|ubuso obunesihlolakushisa|ukugula
🤕;ubuso obufake ibhandishi;ibhandishi|ubuhlungu|ubuso|ubuso obufake ibhandishi|ukulimala
🤢;isicanucanu;isicanucanu|phalaza|ubuso|ukuba nesicanucanu
🤮;ubuso obuphalazayo;gula|phalaza|ubuso obuphalazayo
🤧;ukuthimula;impilo|thimula|ubuso|ukuthimula
🥵;ubuso obushiselwayo;feverish|heat stroke|hot|red-faced|sweating|ubuso obushiselwayo
🥶;ubuso obugodolayo;blue-faced|cold|freezing|frostbite|icicles|ubuso obugodolayo
🥴;woozy face;amahlo angalingani|ikanda|ubuso obutsekile|ukubadizi|ukudakwa|umlomo odiniwe|woozy face
😵;ubuso obunenzululwane;inzululwane|ubuso|ubuso obunenzululwane
😵‍💫;ubuso obunamehlo anendingiliza;indingiliza|inkinga|isiyezi|ubuso obunamehlo anendingiliza|uku-hypnotizer|whoa
🤯;ikhanda eliqhumayo;ikhanda eliqhumayo|thukile
🤠;umfana wezinkomo;intombazane yezinkomo|isigqoko|ubuso|umfana wezinkomo
🥳;ubuso bobumnandi;celebration|hat|horn|party|ubuso bobumnandi
🥸;ubuso obuzifihlile;ikhala|izibuko|okunye|ubuso|ubuso obuzifihlile|zifihle
😎;ubuso obumoyizelayo obugqoke izibuko zelanga;amehlo|ilanga|isimo sezulu|izibuko|izibuko zelanga|moyizela|okugqokwa emehlweni|ubuhle|ubuso|ubuso obumoyizelayo obugqoke izibuko zelanga
🤓;ubuso besihlakaniphi;isihlakaniphi|ubuso|ubuso besihlakaniphi
🧐;ubuso obunelensi eyodwa;nuka|ubuso obunelensi eyodwa
😕;ubuso obudidekile;ubuso|ubuso obudidekile|ukudideka
🫤;face with diagonal mouth;disappointed|face with diagonal mouth|meh|skeptical|unsure
😟;ubuso obukhathazekile;ubuso|ubuso obukhathazekile|ukukhathazeka
🙁;ubuso obubipha kancane;ubuso|ubuso obubipha kancane|ukubipha
☹️;ubuso obubiphile;bipha|ubuso|ubuso obubiphile
😮;ubuso obuvule umlomo;ubuso|ubuso obuvule umlomo|umlomo|vula|zwelo
😯;ubuso obuthulisiwe;mangele|thuliswa|ubuso|ubuso obuthulisiwe|ukwethuka
😲;ubuso obuthukile;ngokugcwele|ubuso|ubuso obuthukile|ukumangala|ukwethuka
😳;ubuso obumuncu;ubuso|ubuso obumuncu|ukumunca|ukwethuka
🥺;pleading face;begging|mercy|pleading face|puppy eyes
🥹;face holding back tears;angry|cry|face holding back tears|proud|resist|sad
😦;ubuso obubiphile obuvule umlomo;bipha|ubuso|ubuso obubiphile obuvule umlomo|umlomo|vula
😧;ubuso obuxakekile;ubuso|ubuso obuxakekile|ukuxakela
😨;ubuso obesabayo;ubuso|ubuso obesabayo|ukwesaba|ukwethuka
😰;ubuso obuvule umlomo nomjuluko obandayo;shehsa|ubuso|ubuso obuvule umlomo nomjuluko obandayo|ukubanda|umjuluko|umlomo|vula
😥;ubuso obudumele kodwa obukhululekile;dumala|khululekile|ubuso|ubuso obudumele kodwa obukhululekile
😢;ubuso obukhalayo;dangala|ubuso|ubuso obukhalayo|ukukhala|unyembezi
😭;khala kakhulu;dangala|khala|khala kakhulu|ubuso|unyembezi
😱;ubuso obumemeza ngokwesaba;ubuso|ubuso obumemeza ngokwesaba|ukumemeza|ukwesaba|ukwethuka
😖;ubuso obunokudideka;ubuso|ubuso obunokudideka|ukudideka
😣;ubuso obubi;bipha|ubuso|ubuso obubi
😞;ubuso obuphosekile;ubuso|ubuso obuphosekile|ukuphoxeka
😓;ubuso obunomjuluko obandayo;banda|ubuso|ubuso obunomjuluko obandayo|umjuluko
😩;ubuso obuyethile;ubuso|ubuso obuyethile|ukukhathala
😫;ubuso obukhathele;kathele|ubuso|ubuso obukhathele
🥱;ubuso obuzamulayo;khathele|thukuthezi|ubuso obuzamulayo|zamula
😤;ubuso obuphuma intuthu ekhaleni;ubuso|ubuso obuphuma intuthu ekhaleni|ukunqoba|ukuwina
😡;ubuso obunyiphayo;casuka|dinwa|nyipha|ubuso|ubuso obunyiphayo
😠;ubuso obudiniwe;casuka|dinwa|ubuso|ubuso obudiniwe
🤬;ubuso obunamasimbuli emlonyeni;ubuso obunamasimbuli emlonyeni|ukuthuka
😈;ubuso obumoyizelayo obunezimpondo;insumansumane|izimpondo|moyizela|ubuso|ubuso obumoyizelayo obunezimpondo
👿;imp;idimoni|imp|insumansumane|ubuso|usathane
💀;ugebhezi;ugebhezi|ukufa
☠️;ugebhezi namathambo;amathambo aphambene|ugebhezi namathambo
💩;idende;amakaka|idende|indle
🤡;umhlekisi;ubuso|umhlekisi
👹;ogre;isilwane|ogre
👺;goblin;goblin|inunu
👻;isipoki;insumansumane|isilwane|isipoki
👽;alien;alien|insumansumane|isilwane
👾;isilwane esingaziwa;isilwane esingaziwa|islwane|okungasikho okwasemhlabeni
🤖;ubuso berobhothi;irobhothi|isilwane|ubuso|ubuso berobhothi
😺;ikati elimoyizela sakuhlina;ikati|ikati elimoyizela sakuhlina|moyizela|ubuso|ubuso bekati obumoyizelayo obuvule umlomo|umlomo|vula
😸;ubuso bekati obusinekile namehlo ajabulile;amehlo|ikati|moyizela|sineka|ubuso|ubuso bekati obusinekile namehlo ajabulile
😹;ubuso bekati obunezinyembezi zenjabulo;ikati|intokozo|ubuso|ubuso bekati obunezinyembezi zenjabulo|unyembezi
😻;ubuso bekati obumoyizelayo obunamehlo enhliziyo;amehlo|ikati|inhliziyo|moyizela|ubuso|ubuso bekati obumoyizelayo obunamehlo enhliziyo|uthando
😼;ubuso bekati obumoyizela ngokungagcwele;ikati|moyizela|qaphela|ubuso|ubuso bekati obumoyizela ngokungagcwele
😽;ubuso bekati obuqabulayo obuvale amehlo;amehlo|ikati|qabula|ubuso|ubuso bekati obuqabulayo obuvale amehlo
🙀;ubuso bekati obumangele;ikati|mangele|oh|ubuso|ubuso bekati obumangele
😿;ubuso bekati elikhalayo;dangala|ikati|ubuso|ubuso bekati elikhalayo|ukukhala|unyembezi
😾;ubuso bekati obudangele;dangala|ikati|ubuso|ubuso bekati obudangele
🙈;ungakuboni okubi;bona|inkawu|nqaba|okungavumelekile|ububi|ubuso|ungakuboni okubi
🙉;ukungezwa okubi;inkawu|izwa|nqaba|okungavumelekile|ububi|ubuso|ukungezwa okubi
🙊;ukungakhulumi okubi;inkawu|khuluma|nqaba|okungavumelekile|ububi|ubuso|ukungakhulumi okubi
💌;incwadi yothando;incwadi|incwadi yothando|inhliziyo|uthando
💘;inhliziyo enomcibisholo;inhliziyo|inhliziyo enomcibisholo|umcibisholo
💝;inhliziyo eneribhini;inhliziyo|inhliziyo eneribhini|iribhini|uthando
💖;inhliziyo ekhazimulayo;inhliziyo|inhliziyo ekhazimulayo|intokozo|ukukhazimula
💗;inhliziyo ekhulayo;inhliziyo|inhliziyo ekhulayo|intokozo|ukukhula|ukwethuka|uvalo
💓;inhliziyo egxumagxumayo;inhliziyo|inhliziyo egxumagxumayo|ukugxumagxuma|ukushaya kwenhliziyo
💞;izinhliziyo ezizungezayo;inhliziyo|izinhliziyo ezizungezayo|ukuzungeza
💕;izinhliziyo ezimbili;inhiziyo|izinhliziyo ezimbili|uthando
💟;ukuhlobisa inhliziyo;inhliziyo|ukuhlobisa inhliziyo
❣️;isibabazi senhliziyo edangele;inhliziyo|isibabazi|isibabazi senhliziyo edangele|uphawu
💔;inhliziyo eyaphukile;aphukile|inhliziyo|inhliziyo eyaphukile|ukwaphuka
❤️‍🔥;inhliziyo ebhakuzayo;inhliziyo ebhakuzayo
❤️‍🩹;inhliziyo ehlanganayo;inhiziyo ehlanganayo|inhliziyo ehlanganayo|kahle|ukuhlangana|ukululama|ukuphola|ukuthuthuka|ukwelapha
❤️;inhliziyo ebomvu;inhliiziyo|inhliziyo ebomvu
🩷;inhliziyo e-pink;inhliziyo|inhliziyo e-pink|njenge|pink|Qhazisayo|thando
🧡;inhliziyo ewolintshi;inhliziyo ewolintshi|wolintshi
💛;inhliziyo eqanda;inhliziyo|inhliziyo eqanda|qanda
💚;inhliziyo eluhlaza satshani;inhliziyo|inhliziyo eluhlaza satshani|luhlaza satshani
💙;blue heart;blue heart|hlaza kwesibhakabhaka|inhliziyo|inhliziyo eluhlaza kwesibhakabhaka
🩵;light blue heart;cyan|inhiziyo eluhlaza okukhanyayo|inhliziyo|light blue heart|luhlaza olukhanyako|teal
💜;inhliziyo ensomi;inhliziyo|inhliziyo ensomi|nsomi
🤎;inhliziyo ensundu;inhliziyo|inhliziyo ensundu|insundu
🖤;inhliziyo embi;inhliziyo|inhliziyo embi|khohlakele|mnyama|ubuthakathi
🩶;inhliziyo e-grey;gray|inhliziyo|inhliziyo e-grey|inhliziyo egray|silver|slate
🤍;inhliziyo emhlophe;inhliziyo|inhliziyo emhlophe|mhlophe
💋;uphawu lokuqabula;izindebe|ukuqabula|uphawu lokuqabula
💯;amaphuzu ayikhulu;100|amaphuzu ayikhulu|ikhulu|okugcwele|umphumela
💢;uphawu lokudinwa;ukucasuka|ukudinwa|uphawu lokudinwa
💥;ukushayisana;gquzu|opopayi|ukushayisana
💫;inzululwane;inkanyezi|inzululwane|opopayi
💦;amaqabazi omjuluko;amaqabazi omjuluko|opopayi|ukujuluka
💨;ukushesha;opopayi|ukugijima|ukushesha
🕳️;imbobo;imbobo
💬;ibhaluni lenikulumo;ibhaluni|ibhaluni lenikulumo|inkulumo|opopayi
👁️‍🗨️;ihlo eliyibhaluni lenkulumo;ibhaluni lenkulumo|ihlo|ihlo eliyibhaluni lenkulumo|ufakazi
🗨️;ibhaluni lenkulumo lakwesokunxele;ibhaluni lenkulumo lakwesokunxele|inkulumo
🗯️;ibhaluni lenkulumo lakwesokudla lolaka;ibhaluni|ibhaluni lenkulumo lakwesokudla lolaka|ukucasuka|ulaka
💭;ibhaluni lokucabanga;ibhaluni|ibhaluni lokucabanga|opopayi|umcabango
💤;zzz;ulele|zzz

[people_body]
👋;ukuphakamisa isandla;isandla|ukuphakamisa isandla|umzimba
	👋🏻;ukuphakamisa isandla: uhlobo-1-2;isandla|uhlobo-1-2|ukuphakamisa isandla|ukuphakamisa isandla: uhlobo-1-2|umzimba
	👋🏼;ukuphakamisa isandla: uhlobo-3;isandla|uhlobo-3|ukuphakamisa isandla|ukuphakamisa isandla: uhlobo-3|umzimba
	👋🏽;ukuphakamisa isandla: uhlobo-4;isandla|uhlobo-4|ukuphakamisa isandla|ukuphakamisa isandla: uhlobo-4|umzimba
	👋🏾;ukuphakamisa isandla: uhlobo-5;isandla|uhlobo-5|ukuphakamisa isandla|ukuphakamisa isandla: uhlobo-5|umzimba
	👋🏿;ukuphakamisa isandla: uhlobo-6;isandla|uhlobo-6|ukuphakamisa isandla|ukuphakamisa isandla: uhlobo-6|umzimba
🤚;thula;ingemuva lesandla|siphakamisiwe|thula
	🤚🏻;thula: uhlobo-1-2;ingemuva lesandla|siphakamisiwe|thula|thula: uhlobo-1-2|uhlobo-1-2
	🤚🏼;thula: uhlobo-3;ingemuva lesandla|siphakamisiwe|thula|thula: uhlobo-3|uhlobo-3
	🤚🏽;thula: uhlobo-4;ingemuva lesandla|siphakamisiwe|thula|thula: uhlobo-4|uhlobo-4
	🤚🏾;thula: uhlobo-5;ingemuva lesandla|siphakamisiwe|thula|thula: uhlobo-5|uhlobo-5
	🤚🏿;thula: uhlobo-6;ingemuva lesandla|siphakamisiwe|thula|thula: uhlobo-6|uhlobo-6
🖐️;isandla esiphakanyisiwe esivuliwe;esivuliwe|isandla|isandla esiphakanyisiwe esivuliwe|umunwe|umzimba
	🖐🏻;isandla esiphakanyisiwe esivuliwe: uhlobo-1-2;esivuliwe|isandla|isandla esiphakanyisiwe esivuliwe|isandla esiphakanyisiwe esivuliwe: uhlobo-1-2|uhlobo-1-2|umunwe|umzimba
	🖐🏼;isandla esiphakanyisiwe esivuliwe: uhlobo-3;esivuliwe|isandla|isandla esiphakanyisiwe esivuliwe|isandla esiphakanyisiwe esivuliwe: uhlobo-3|uhlobo-3|umunwe|umzimba
	🖐🏽;isandla esiphakanyisiwe esivuliwe: uhlobo-4;esivuliwe|isandla|isandla esiphakanyisiwe esivuliwe|isandla esiphakanyisiwe esivuliwe: uhlobo-4|uhlobo-4|umunwe|umzimba
	🖐🏾;isandla esiphakanyisiwe esivuliwe: uhlobo-5;esivuliwe|isandla|isandla esiphakanyisiwe esivuliwe|isandla esiphakanyisiwe esivuliwe: uhlobo-5|uhlobo-5|umunwe|umzimba
	🖐🏿;isandla esiphakanyisiwe esivuliwe: uhlobo-6;esivuliwe|isandla|isandla esiphakanyisiwe esivuliwe|isandla esiphakanyisiwe esivuliwe: uhlobo-6|uhlobo-6|umunwe|umzimba
✋;isandla esiphanyisiwe;isandla|isandla esiphanyisiwe|umzimba
	✋🏻;isandla esiphanyisiwe: uhlobo-1-2;isandla|isandla esiphanyisiwe|isandla esiphanyisiwe: uhlobo-1-2|uhlobo-1-2|umzimba
	✋🏼;isandla esiphanyisiwe: uhlobo-3;isandla|isandla esiphanyisiwe|isandla esiphanyisiwe: uhlobo-3|uhlobo-3|umzimba
	✋🏽;isandla esiphanyisiwe: uhlobo-4;isandla|isandla esiphanyisiwe|isandla esiphanyisiwe: uhlobo-4|uhlobo-4|umzimba
	✋🏾;isandla esiphanyisiwe: uhlobo-5;isandla|isandla esiphanyisiwe|isandla esiphanyisiwe: uhlobo-5|uhlobo-5|umzimba
	✋🏿;isandla esiphanyisiwe: uhlobo-6;isandla|isandla esiphanyisiwe|isandla esiphanyisiwe: uhlobo-6|uhlobo-6|umzimba
🖖;i-vulcan salute;i-vulcan salute|isandla|umunwe|umzimba|vulcan
	🖖🏻;i-vulcan salute: uhlobo-1-2;i-vulcan salute|i-vulcan salute: uhlobo-1-2|isandla|uhlobo-1-2|umunwe|umzimba|vulcan
	🖖🏼;i-vulcan salute: uhlobo-3;i-vulcan salute|i-vulcan salute: uhlobo-3|isandla|uhlobo-3|umunwe|umzimba|vulcan
	🖖🏽;i-vulcan salute: uhlobo-4;i-vulcan salute|i-vulcan salute: uhlobo-4|isandla|uhlobo-4|umunwe|umzimba|vulcan
	🖖🏾;i-vulcan salute: uhlobo-5;i-vulcan salute|i-vulcan salute: uhlobo-5|isandla|uhlobo-5|umunwe|umzimba|vulcan
	🖖🏿;i-vulcan salute: uhlobo-6;i-vulcan salute|i-vulcan salute: uhlobo-6|isandla|uhlobo-6|umunwe|umzimba|vulcan
🫱;rightwards hand;hand|right|rightward|rightwards hand
	🫱🏻;rightwards hand: uhlobo-1-2;hand|right|rightward|rightwards hand|rightwards hand: uhlobo-1-2|uhlobo-1-2
	🫱🏼;rightwards hand: uhlobo-3;hand|right|rightward|rightwards hand|rightwards hand: uhlobo-3|uhlobo-3
	🫱🏽;rightwards hand: uhlobo-4;hand|right|rightward|rightwards hand|rightwards hand: uhlobo-4|uhlobo-4
	🫱🏾;rightwards hand: uhlobo-5;hand|right|rightward|rightwards hand|rightwards hand: uhlobo-5|uhlobo-5
	🫱🏿;rightwards hand: uhlobo-6;hand|right|rightward|rightwards hand|rightwards hand: uhlobo-6|uhlobo-6
🫲;leftwards hand;hand|left|leftward|leftwards hand
	🫲🏻;leftwards hand: uhlobo-1-2;hand|left|leftward|leftwards hand|leftwards hand: uhlobo-1-2|uhlobo-1-2
	🫲🏼;leftwards hand: uhlobo-3;hand|left|leftward|leftwards hand|leftwards hand: uhlobo-3|uhlobo-3
	🫲🏽;leftwards hand: uhlobo-4;hand|left|leftward|leftwards hand|leftwards hand: uhlobo-4|uhlobo-4
	🫲🏾;leftwards hand: uhlobo-5;hand|left|leftward|leftwards hand|leftwards hand: uhlobo-5|uhlobo-5
	🫲🏿;leftwards hand: uhlobo-6;hand|left|leftward|leftwards hand|leftwards hand: uhlobo-6|uhlobo-6
🫳;palm down hand;dismiss|drop|palm down hand|shoo
	🫳🏻;palm down hand: uhlobo-1-2;dismiss|drop|palm down hand|palm down hand: uhlobo-1-2|shoo|uhlobo-1-2
	🫳🏼;palm down hand: uhlobo-3;dismiss|drop|palm down hand|palm down hand: uhlobo-3|shoo|uhlobo-3
	🫳🏽;palm down hand: uhlobo-4;dismiss|drop|palm down hand|palm down hand: uhlobo-4|shoo|uhlobo-4
	🫳🏾;palm down hand: uhlobo-5;dismiss|drop|palm down hand|palm down hand: uhlobo-5|shoo|uhlobo-5
	🫳🏿;palm down hand: uhlobo-6;dismiss|drop|palm down hand|palm down hand: uhlobo-6|shoo|uhlobo-6
🫴;palm up hand;beckon|catch|come|offer|palm up hand
	🫴🏻;palm up hand: uhlobo-1-2;beckon|catch|come|offer|palm up hand|palm up hand: uhlobo-1-2|uhlobo-1-2
	🫴🏼;palm up hand: uhlobo-3;beckon|catch|come|offer|palm up hand|palm up hand: uhlobo-3|uhlobo-3
	🫴🏽;palm up hand: uhlobo-4;beckon|catch|come|offer|palm up hand|palm up hand: uhlobo-4|uhlobo-4
	🫴🏾;palm up hand: uhlobo-5;beckon|catch|come|offer|palm up hand|palm up hand: uhlobo-5|uhlobo-5
	🫴🏿;palm up hand: uhlobo-6;beckon|catch|come|offer|palm up hand|palm up hand: uhlobo-6|uhlobo-6
🫷;leftwards pushing hand;leftwards pushing hand|linda|ngakwesobunxele|phakamisa isandla|sunduza|ungavumi|yima
	🫷🏻;leftwards pushing hand: uhlobo-1-2;leftwards pushing hand|leftwards pushing hand: uhlobo-1-2|linda|ngakwesobunxele|phakamisa isandla|sunduza|uhlobo-1-2|ungavumi|yima
	🫷🏼;leftwards pushing hand: uhlobo-3;leftwards pushing hand|leftwards pushing hand: uhlobo-3|linda|ngakwesobunxele|phakamisa isandla|sunduza|uhlobo-3|ungavumi|yima
	🫷🏽;leftwards pushing hand: uhlobo-4;leftwards pushing hand|leftwards pushing hand: uhlobo-4|linda|ngakwesobunxele|phakamisa isandla|sunduza|uhlobo-4|ungavumi|yima
	🫷🏾;leftwards pushing hand: uhlobo-5;leftwards pushing hand|leftwards pushing hand: uhlobo-5|linda|ngakwesobunxele|phakamisa isandla|sunduza|uhlobo-5|ungavumi|yima
	🫷🏿;leftwards pushing hand: uhlobo-6;leftwards pushing hand|leftwards pushing hand: uhlobo-6|linda|ngakwesobunxele|phakamisa isandla|sunduza|uhlobo-6|ungavumi|yima
🫸;rightwards pushing hand;linda|ngakwesokudla|phakamisa isandla|rightwards pushing hand|sunduza|sunduzela ngakwesokudla|yima
	🫸🏻;rightwards pushing hand: uhlobo-1-2;linda|ngakwesokudla|phakamisa isandla|rightwards pushing hand|rightwards pushing hand: uhlobo-1-2|sunduza|sunduzela ngakwesokudla|uhlobo-1-2|yima
	🫸🏼;rightwards pushing hand: uhlobo-3;linda|ngakwesokudla|phakamisa isandla|rightwards pushing hand|rightwards pushing hand: uhlobo-3|sunduza|sunduzela ngakwesokudla|uhlobo-3|yima
	🫸🏽;rightwards pushing hand: uhlobo-4;linda|ngakwesokudla|phakamisa isandla|rightwards pushing hand|rightwards pushing hand: uhlobo-4|sunduza|sunduzela ngakwesokudla|uhlobo-4|yima
	🫸🏾;rightwards pushing hand: uhlobo-5;linda|ngakwesokudla|phakamisa isandla|rightwards pushing hand|rightwards pushing hand: uhlobo-5|sunduza|sunduzela ngakwesokudla|uhlobo-5|yima
	🫸🏿;rightwards pushing hand: uhlobo-6;linda|ngakwesokudla|phakamisa isandla|rightwards pushing hand|rightwards pushing hand: uhlobo-6|sunduza|sunduzela ngakwesokudla|uhlobo-6|yima
👌;isandla sokuthi kulungile;isandla|isandla sokuthi kulungile|kulungile|umzimba
	👌🏻;isandla sokuthi kulungile: uhlobo-1-2;isandla|isandla sokuthi kulungile|isandla sokuthi kulungile: uhlobo-1-2|kulungile|uhlobo-1-2|umzimba
	👌🏼;isandla sokuthi kulungile: uhlobo-3;isandla|isandla sokuthi kulungile|isandla sokuthi kulungile: uhlobo-3|kulungile|uhlobo-3|umzimba
	👌🏽;isandla sokuthi kulungile: uhlobo-4;isandla|isandla sokuthi kulungile|isandla sokuthi kulungile: uhlobo-4|kulungile|uhlobo-4|umzimba
	👌🏾;isandla sokuthi kulungile: uhlobo-5;isandla|isandla sokuthi kulungile|isandla sokuthi kulungile: uhlobo-5|kulungile|uhlobo-5|umzimba
	👌🏿;isandla sokuthi kulungile: uhlobo-6;isandla|isandla sokuthi kulungile|isandla sokuthi kulungile: uhlobo-6|kulungile|uhlobo-6|umzimba
🤌;iminwe encinziwe;iminwe|iminwe encinziwe|ncinziwe|ukubhuqa|ukuphenywa|ukwenza ngezandla
	🤌🏻;iminwe encinziwe: uhlobo-1-2;iminwe|iminwe encinziwe|iminwe encinziwe: uhlobo-1-2|ncinziwe|uhlobo-1-2|ukubhuqa|ukuphenywa|ukwenza ngezandla
	🤌🏼;iminwe encinziwe: uhlobo-3;iminwe|iminwe encinziwe|iminwe encinziwe: uhlobo-3|ncinziwe|uhlobo-3|ukubhuqa|ukuphenywa|ukwenza ngezandla
	🤌🏽;iminwe encinziwe: uhlobo-4;iminwe|iminwe encinziwe|iminwe encinziwe: uhlobo-4|ncinziwe|uhlobo-4|ukubhuqa|ukuphenywa|ukwenza ngezandla
	🤌🏾;iminwe encinziwe: uhlobo-5;iminwe|iminwe encinziwe|iminwe encinziwe: uhlobo-5|ncinziwe|uhlobo-5|ukubhuqa|ukuphenywa|ukwenza ngezandla
	🤌🏿;iminwe encinziwe: uhlobo-6;iminwe|iminwe encinziwe|iminwe encinziwe: uhlobo-6|ncinziwe|uhlobo-6|ukubhuqa|ukuphenywa|ukwenza ngezandla
🤏;isandla esincinzayo;inani elincane|isandla esincinzayo
