[smileys_emotion]
😀;шырока ўсміхаецца;зубы|усмешка|шырока ўсміхаецца
	🫳🏼;рука далонню ўніз: сярэднясветлы тон скуры;адпусціць|кінуць|прэч|псік|рука далонню ўніз|рука далонню ўніз: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	🫳🏽;рука далонню ўніз: сярэдні тон скуры;адпусціць|кінуць|прэч|псік|рука далонню ўніз|рука далонню ўніз: сярэдні тон скуры|сярэдні тон скуры
	🫳🏾;рука далонню ўніз: сярэдняцёмны тон скуры;адпусціць|кінуць|прэч|псік|рука далонню ўніз|рука далонню ўніз: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	🫳🏿;рука далонню ўніз: цёмны тон скуры;адпусціць|кінуць|прэч|псік|рука далонню ўніз|рука далонню ўніз: цёмны тон скуры|цёмны тон скуры
🫴;рука далонню ўверх;лавіць|падазваць|падзываць|падыдзі|прапанова|рука далонню ўверх|хадзі сюды
	🫴🏻;рука далонню ўверх: светлы тон скуры;лавіць|падазваць|падзываць|падыдзі|прапанова|рука далонню ўверх|рука далонню ўверх: светлы тон скуры|светлы тон скуры|хадзі сюды
	🫴🏼;рука далонню ўверх: сярэднясветлы тон скуры;лавіць|падазваць|падзываць|падыдзі|прапанова|рука далонню ўверх|рука далонню ўверх: сярэднясветлы тон скуры|сярэднясветлы тон скуры|хадзі сюды
	🫴🏽;рука далонню ўверх: сярэдні тон скуры;лавіць|падазваць|падзываць|падыдзі|прапанова|рука далонню ўверх|рука далонню ўверх: сярэдні тон скуры|сярэдні тон скуры|хадзі сюды
	🫴🏾;рука далонню ўверх: сярэдняцёмны тон скуры;лавіць|падазваць|падзываць|падыдзі|прапанова|рука далонню ўверх|рука далонню ўверх: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры|хадзі сюды
	🫴🏿;рука далонню ўверх: цёмны тон скуры;лавіць|падазваць|падзываць|падыдзі|прапанова|рука далонню ўверх|рука далонню ўверх: цёмны тон скуры|хадзі сюды|цёмны тон скуры
🫷;рука штурхае ўлева;адмова|даць пяць|рука штурхае ўлева|стоп|улева|чакай|штуршок
	🫷🏻;рука штурхае ўлева: светлы тон скуры;адмова|даць пяць|рука штурхае ўлева|рука штурхае ўлева: светлы тон скуры|светлы тон скуры|стоп|улева|чакай|штуршок
	🫷🏼;рука штурхае ўлева: сярэднясветлы тон скуры;адмова|даць пяць|рука штурхае ўлева|рука штурхае ўлева: сярэднясветлы тон скуры|стоп|сярэднясветлы тон скуры|улева|чакай|штуршок
	🫷🏽;рука штурхае ўлева: сярэдні тон скуры;адмова|даць пяць|рука штурхае ўлева|рука штурхае ўлева: сярэдні тон скуры|стоп|сярэдні тон скуры|улева|чакай|штуршок
	🫷🏾;рука штурхае ўлева: сярэдняцёмны тон скуры;адмова|даць пяць|рука штурхае ўлева|рука штурхае ўлева: сярэдняцёмны тон скуры|стоп|сярэдняцёмны тон скуры|улева|чакай|штуршок
	🫷🏿;рука штурхае ўлева: цёмны тон скуры;адмова|даць пяць|рука штурхае ўлева|рука штурхае ўлева: цёмны тон скуры|стоп|улева|цёмны тон скуры|чакай|штуршок
🫸;рука штурхае ўправа;адмова|даць пяць|рука штурхае ўправа|стоп|управа|чакай|штуршок
	🫸🏻;рука штурхае ўправа: светлы тон скуры;адмова|даць пяць|рука штурхае ўправа|рука штурхае ўправа: светлы тон скуры|светлы тон скуры|стоп|управа|чакай|штуршок
	🫸🏼;рука штурхае ўправа: сярэднясветлы тон скуры;адмова|даць пяць|рука штурхае ўправа|рука штурхае ўправа: сярэднясветлы тон скуры|стоп|сярэднясветлы тон скуры|управа|чакай|штуршок
	🫸🏽;рука штурхае ўправа: сярэдні тон скуры;адмова|даць пяць|рука штурхае ўправа|рука штурхае ўправа: сярэдні тон скуры|стоп|сярэдні тон скуры|управа|чакай|штуршок
	🫸🏾;рука штурхае ўправа: сярэдняцёмны тон скуры;адмова|даць пяць|рука штурхае ўправа|рука штурхае ўправа: сярэдняцёмны тон скуры|стоп|сярэдняцёмны тон скуры|управа|чакай|штуршок
	🫸🏿;рука штурхае ўправа: цёмны тон скуры;адмова|даць пяць|рука штурхае ўправа|рука штурхае ўправа: цёмны тон скуры|стоп|управа|цёмны тон скуры|чакай|штуршок
👌;жэст «ОК»;добра|жэст|жэст «ОК»|ок|рука
	👌🏻;жэст «ОК»: светлы тон скуры;добра|жэст|жэст «ОК»|жэст «ОК»: светлы тон скуры|ок|рука|светлы тон скуры
	👌🏼;жэст «ОК»: сярэднясветлы тон скуры;добра|жэст|жэст «ОК»|жэст «ОК»: сярэднясветлы тон скуры|ок|рука|сярэднясветлы тон скуры
	👌🏽;жэст «ОК»: сярэдні тон скуры;добра|жэст|жэст «ОК»|жэст «ОК»: сярэдні тон скуры|ок|рука|сярэдні тон скуры
	👌🏾;жэст «ОК»: сярэдняцёмны тон скуры;добра|жэст|жэст «ОК»|жэст «ОК»: сярэдняцёмны тон скуры|ок|рука|сярэдняцёмны тон скуры
	👌🏿;жэст «ОК»: цёмны тон скуры;добра|жэст|жэст «ОК»|жэст «ОК»: цёмны тон скуры|ок|рука|цёмны тон скуры
🤌;зведзеныя пальцы;жэст рукі|зведзеныя|пальцы|пытанне|сарказм|шчыпок
	🤌🏻;зведзеныя пальцы: светлы тон скуры;жэст рукі|зведзеныя|зведзеныя пальцы: светлы тон скуры|пальцы|пытанне|сарказм|светлы тон скуры|шчыпок
	🤌🏼;зведзеныя пальцы: сярэднясветлы тон скуры;жэст рукі|зведзеныя|зведзеныя пальцы: сярэднясветлы тон скуры|пальцы|пытанне|сарказм|сярэднясветлы тон скуры|шчыпок
	🤌🏽;зведзеныя пальцы: сярэдні тон скуры;жэст рукі|зведзеныя|зведзеныя пальцы: сярэдні тон скуры|пальцы|пытанне|сарказм|сярэдні тон скуры|шчыпок
	🤌🏾;зведзеныя пальцы: сярэдняцёмны тон скуры;жэст рукі|зведзеныя|зведзеныя пальцы: сярэдняцёмны тон скуры|пальцы|пытанне|сарказм|сярэдняцёмны тон скуры|шчыпок
	🤌🏿;зведзеныя пальцы: цёмны тон скуры;жэст рукі|зведзеныя|зведзеныя пальцы: цёмны тон скуры|пальцы|пытанне|сарказм|цёмны тон скуры|шчыпок
🤏;тры пальцы;маленькая колькасць|тры пальцы
	🤏🏻;тры пальцы: светлы тон скуры;маленькая колькасць|светлы тон скуры|тры пальцы|тры пальцы: светлы тон скуры
	🤏🏼;тры пальцы: сярэднясветлы тон скуры;маленькая колькасць|сярэднясветлы тон скуры|тры пальцы|тры пальцы: сярэднясветлы тон скуры
	🤏🏽;тры пальцы: сярэдні тон скуры;маленькая колькасць|сярэдні тон скуры|тры пальцы|тры пальцы: сярэдні тон скуры
	🤏🏾;тры пальцы: сярэдняцёмны тон скуры;маленькая колькасць|сярэдняцёмны тон скуры|тры пальцы|тры пальцы: сярэдняцёмны тон скуры
	🤏🏿;тры пальцы: цёмны тон скуры;маленькая колькасць|тры пальцы|тры пальцы: цёмны тон скуры|цёмны тон скуры
✌️;жэст перамогі;жэст|жэст перамогі|рука
	✌🏻;жэст перамогі: светлы тон скуры;жэст|жэст перамогі|жэст перамогі: светлы тон скуры|рука|светлы тон скуры
	✌🏼;жэст перамогі: сярэднясветлы тон скуры;жэст|жэст перамогі|жэст перамогі: сярэднясветлы тон скуры|рука|сярэднясветлы тон скуры
	✌🏽;жэст перамогі: сярэдні тон скуры;жэст|жэст перамогі|жэст перамогі: сярэдні тон скуры|рука|сярэдні тон скуры
	✌🏾;жэст перамогі: сярэдняцёмны тон скуры;жэст|жэст перамогі|жэст перамогі: сярэдняцёмны тон скуры|рука|сярэдняцёмны тон скуры
	✌🏿;жэст перамогі: цёмны тон скуры;жэст|жэст перамогі|жэст перамогі: цёмны тон скуры|рука|цёмны тон скуры
🤞;скрыжаваныя пальцы;скрыжаваныя пальцы|удача
	🤞🏻;скрыжаваныя пальцы: светлы тон скуры;светлы тон скуры|скрыжаваныя пальцы|скрыжаваныя пальцы: светлы тон скуры|удача
	🤞🏼;скрыжаваныя пальцы: сярэднясветлы тон скуры;скрыжаваныя пальцы|скрыжаваныя пальцы: сярэднясветлы тон скуры|сярэднясветлы тон скуры|удача
	🤞🏽;скрыжаваныя пальцы: сярэдні тон скуры;скрыжаваныя пальцы|скрыжаваныя пальцы: сярэдні тон скуры|сярэдні тон скуры|удача
	🤞🏾;скрыжаваныя пальцы: сярэдняцёмны тон скуры;скрыжаваныя пальцы|скрыжаваныя пальцы: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры|удача
