[smileys_emotion]
😀;સ્મિત કરતો ચહેરો;ચહેરો|સ્મિત|સ્મિત કરતો ચહેરો
🥰;હૃદય સાથે હસતો ચહેરો;ક્રશ|પૂજવું|પ્રેમમાં|હૃદય|હૃદય સાથે હસતાં ચહેરો|હૃદય સાથે હસતો ચહેરો
😍;હૃદયાકારની આંખો સાથેનો સ્મિત કરતો ચહેરો;આંખો|ચહેરો|પ્રેમ|સ્મિત|હૃદયાકારની આંખો સાથેનો સ્મિત કરતો ચહેરો|હ્રદયાકારની આંખો સાથેનો સ્મિત કરતો ચહેરો
🤩;સ્ટાર સ્ટ્રક;આંખો|ચહેરો|સ્ટાર|સ્ટાર સ્ટ્રક|સ્ટાર-સ્ટ્રક
😘;ચુંબન ઉછાળતો ચહેરો;ચહેરો|ચુંબન|ચુંબન ઉછાળતો ચહેરો
😗;ચુંબન કરતો ચહેરો;ચહેરો|ચુંબન|ચુંબન કરતો ચહેરો
☺️;હસતો ચહેરો;ચહેરો|બિન-ભરેલો સ્માઇલી ચહેરો|મુખ|સ્માઇલી|હસતો ચહેરો
😚;બંધ આંખો સાથે ચુંબન કરતો ચહેરો;આંખ|ચહેરો|ચુંબન|બંધ|બંધ આંખો સાથે ચુંબન કરતો ચહેરો
😙;હસતી આંખો સાથેનો ચુંબન કરતો ચહેરો;આંખો|ચહેરો|ચુંબન|હસતી આંખો સાથેનો ચુંબન કરતો ચહેરો|હાસ્ય
🥲;આંસુ આવી જાય તેટલું હસતો ચહેરો;આભારી|આંસુ|આંસુ આવી જાય તેટલું હસતો ચહેરો|ગર્વ|રાહત|લાગણીવશ થવું|હસતો|હૃદય પીગળવું
😋;સ્વાદિષ્ટના ભાવવાળો ચહેરો;ચહેરો|યમ યમ મસ્ત|સ્વાદિષ્ટ|સ્વાદિષ્ટ ભોજન|સ્વાદિષ્ટના ભાવવાળો ચહેરો|હસતો ચહેરો
😛;બહાર કાઢેલી જીભ સાથેનો ચહેરો;ચહેરો|જીભ|જીભ બહાર કાઢેલો ચહેરો|બહાર કાઢેલી જીભ સાથેનો ચહેરો
😜;આંખ મારવાની સાથે જીભ બહાર કાઢતો ચહેરો;આંખ|આંખ મારવાની સાથે જીભ બહાર કાઢતો ચહેરો|આંખ મારવી|ચહેરો|જીભ|જીભ સાથે આંખ મારતો ચહેરો|મજાક
🤪;ઉન્મત્ત ચહેરો;અક્કલમઠ્ઠો|આંખો|ઉન્મત ચહેરો|ઉન્મત્ત ચહેરો
😝;ચુસ્તપણે બંધ આંખો સાથે જીભ બહાર કાઢતો ચહેરો;આંખ|ચહેરો|ચુસ્તપણે બંધ આંખો સાથે જીભ બહાર કાઢતો ચહેરો|જીભ|જીભ સાથે ચુસ્તપણે બંધ આંખોવાળો ચહેરો|ભયાનક|સ્વાદ
🤑;ધનવાળો ચહેરો;ચહેરો|ધન|ધનવાળો ચહેરો|મુખ
🤗;આલિંગન કરતો ચહેરો;આલિંગન|આલિંગન કરતો ચહેરો|આલિંગન કરવું|ચહેરો
🤭;મોં પર હાથ મૂકેલો ચહેરો;મોં પર હાથ મૂકેલો ચહેરો
🫢;ખુલ્લી આંખો અને મોં ઉપર હાથવાળો ચહેરો;અકળામણ|અવિશ્વાસ|આશ્ચર્ય|ખુલ્લી આંખો અને મોં ઉપર હાથવાળો ચહેરો|ધાક|ભયભીત
🫣;ડોકી આંખવાળો ચહેરો;ડોકી આંખવાળો ચહેરો|તાકવું|પીપ|મોહિત
🤫;ચૂપ કરતો ચહેરો;ચૂપ કરતો ચહેરો|શ્શ્શ
🤔;વિચારશીલ ચહેરો;ચહેરો|વિચાર કરતો|વિચારશીલ ચહેરો
🫡;સલામ કરતો ચહેરો;તડકાવાળો|બરાબર|સલામ|સલામ કરતો ચહેરો|સેના|હા
🤐;મોઢા પર ઝિપ સાથેનો ચહેરો;ચહેરો|ઝિપથી બંધ કરેલો મોઢું|મુખ|મોઢા પર ઝિપ સાથેનો ચહેરો
🤨;ઊંચી ભ્રમર સાથેનો ચહેરો;ઊંચી ભ્રમર સાથેનો ચહેરો
😐;તટસ્થ ચહેરો;કોઈ ટિપ્પણી નહીં|ચહેરો|તટસ્થ|ભાવશૂન્ય
😑;ભાવશૂન્ય ચહેરો;અકથનીય ચહેરો|કોઈ ટિપ્પણી નહીં|ચહેરો|ભાવશૂન્ય ચહેરો|મુખ|હાવભાવવિહીન
😶;મોંઢા વગરનો ચહેરો;ચહેરો|મુખ|મોંઢા વગરનો|મોંઢા વગરનો ચહેરો
🫥;ડૉટેડ લાઇનવાળો ચહેરો;અંતર્મુખ|અદૃશ્ય|છુપાવો|ડૉટેડ લાઇનવાળો ચહેરો|હતાશ
😶‍🌫️;વાદળમાં ચહેરો;ધુમ્મસમાં ચહેરો|વાદળમાં ચહેરો|વાદળોમાં ચહેરો|શૂન્યમનસ્ક
😏;કૃત્રિમ હસતો ચહેરો;કૃત્રિમ|કૃત્રિમ હસતો ચહેરો|ચહેરો
😒;નાખુશ ચહેરો;ચહેરો|દુઃખી|નાખુશ
🙄;આંખો ફેરવતો ચહેરો;આંખો|આંખો ફેરવતો ચહેરો|ચહેરો|ફેરવવું
😬;ચેનચાળા કરતો ચહેરો;ચહેરો|ચેનચાળા|ચેનચાળા કરતો ચહેરો
😮‍💨;શ્વાસ છોડતો ચહેરો;કણસવું|ગુસપુસ|રાહત|શ્વાસ છોડતો ચહેરો|શ્વાસ છોડવો|સીટી|હાંફવું
🤥;ખોટું બોલવાવાળો ચહેરો;ખોટું|ખોટું બોલવાવાળો ચહેરો|ચહેરો
🫨;ધ્રૂજતો ચહેરો;આંચકો|કાંપવું|ચહેરો|ધરતીકંપ|ધ્રૂજતો
🙂‍↔️;નકારમાં માથું હલાવવું;નકારમાં માથું હલાવવું|ના|હલાવવું
🙂‍↕️;હકારમાં માથું હલાવવું;હકાર|હકારમાં માથું હલાવવું|હા
😌;રાહતના ભાવવાળો ચહેરો;ચહેરો|રાહતના ભાવવાળો ચહેરો|રાહતવાળો ચહેરો
😔;વિચારગ્રસ્ત ચહેરો;ચહેરો|નાસીપાસ|વિચારગ્રસ્ત
😪;ઊંઘતો ચહેરો;ઊંઘતું|ઊંઘતો ચહેરો|ચહેરો
🤤;લાળ ટપકવાવાળો ચહેરો;ચહેરો|લાળ|લાળ ટપકવાવાળો ચહેરો
😴;નિંદ્રાધીન ચહેરો;ચહેરો|નિંદ્રાધીન ચહેરો|નિદ્રામાં|નિદ્રામાંનો ચહેરો
😷;માસ્કવાળો ચહેરો;ચહેરો|ઠંડો|તબીબી માસ્ક|માસ્ક|માસ્કવાળો ચહેરો|હવામાન હેઠળ
🤒;થર્મોમીટર સાથેનો ચહેરો;ચહેરો|થર્મોમીટર|થર્મોમીટર સાથેનો ચહેરો|બીમાર|માંદું|મુખ
🤕;માથે પટ્ટીવાળો ચહેરો;ઈજા|ઘા|ચહેરો|પટ્ટી|માથે પટ્ટીવાળો ચહેરો|મુખ
🤢;ચીતરી ચડેલો ચહેરો;ઊલટી|ચહેરો|ચીતરી ચડેલો|ચીતરી ચડેલો ચહેરો
🤮;ઉલટી કરતો ચહેરો;ઉલટી કરતો ચહેરો
🤧;છીંક ખાતો ચહેરો;ચહેરો|છીંક|છીંક ખાતો ચહેરો
🥵;લાલચોળ ચહેરો;લાલચોળ ચહેરો
🥶;ઠંડો ચહેરો;ઠંડો|ઠંડો ચહેરો|થીજાવવું|ફ્રોસ્ટબાઇટ|ભૂરો પડી ગયેલો ચહેરો|લટકતો હિમકણ
🥴;વોઝી ચહેરો;અસ્થિર આંખો|ચક્કર|નશો કરેલ|પીધેલ|વાંકુ થતું મોઢું|વોઝી ચહેરો
😵;ચક્કર આવતો ચહેરો;ચક્કર|ચક્કર આવતો ચહેરો|ચહેરો
😵‍💫;સર્પાકાર આંખોવાળો ચહેરો;ઓહ|ચક્કર|મુશ્કેલી|સંમોહિત|સર્પાકાર|સર્પાકાર આંખોવાળો ચહેરો
🤯;ફાટતું માથું;ફાટતું માથું
🤠;કાઉબૉય હૅટવાળો ચહેરો;કાઉગર્લ|કાઉબૉય|કાઉબૉય હૅટવાળો ચહેરો|ચહેરો|હૅટ
🥳;પાર્ટી કરતો ચહેરો;પાર્ટી કરતો ચહેરો
🥸;બનાવટી દેખાવવાળો ચહેરો;અજ્ઞાત વેશે|ચશ્માં|ચહેરો|નાક|બનાવટી દેખાવ|બનાવટી દેખાવવાળો ચહેરો|વેષધારી
😎;સનગ્લાસેસ સાથે હસતો ચહેરો;કૂલ|ચહેરો|તેજસ્વી|સનગ્લાસેસ|સનગ્લાસેસ સાથે હસતો ચહેરો|સૂર્ય
🤓;ભોળપણના ભાવવાળો ચહેરો;ચહેરો|ભોળપણ|ભોળપણના ભાવવાળો ચહેરો|મુખ|મુર્ખતાના ભાવવાળો ચહેરો
🧐;મોનોકલ સાથે ચહેરો;મોનોકલ સાથે ચહેરો
😕;મૂંઝાયેલ ચહેરો;ચહેરો|મૂંઝાયેલ
🫤;વિકર્ણ મોંવાળો ચહેરો;અનિશ્ચિત|નિરાશ|મેહ|વિકર્ણ મોંવાળો ચહેરો|શંકાસ્પદ
😟;ચિંતાગ્રસ્ત ચહેરો;ચહેરો|ચિંતાગ્રસ્ત
🙁;થોડો ગમગીન ચહેરો;ગમગીન|ચહેરો|થોડો ગમગીન ચહેરો|મુખ
☹️;ગમગીન ચહેરો;ગમગીન|ચહેરો|મુખ
😮;ખુલ્લાં મોંઢાવાળો ચહેરો;ખુલ્લાં મોંઢાવાળો ચહેરો|ખુલ્લું મોઢું|ચહેરો|મોંઢું|સહાનુભૂતિ
😯;શાંત ચહેરો;અચંભિત|અવાક|ચહેરો|શાંત ચહેરો
😲;આશ્ચર્યચકિત ચહેરો;આઘાત|આશ્ચર્ય|આશ્ચર્યચકિત ચહેરો|ચહેરો|તદ્દન
😳;સ્તબ્ધ ચહેરો;ચહેરો|ફ્લશ્ડ|સ્તબ્ધ|સ્તબ્ધતામાં
🥺;દયાવાળો ચહેરો;દયાવાળો ચહેરો
🥹;આંસુ રોકી રાખતો ચહેરો;આંસુ રોકી રાખતો ચહેરો|ઉદાસ|ગર્વ|ગુસ્સો|પ્રતિકાર|રડવું
😦;ખુલ્લાં મોંઢા સાથે ભવાં ચડાવતો ચહેરો;ખુલ્લાં મોંઢા સાથે ભવાં ચડાવતો ચહેરો|ખુલ્લું|ચહેરો|ભવાં|મુખ
😧;દુઃખી ચહેરો;ચહેરો|દુઃખી
😨;ભયભીત ચહેરો;ચહેરો|ભયગ્રસ્ત|ભયભીત
😰;ખુલ્લા મોં અને ઠંડા પરસેવા સાથેનો ચહેરો;ખુલ્લા મોં અને ઠંડા પરસેવા સાથેનો ચહેરો|ખુલ્લું મોઢું|ચહેરો|ઠંડા પરસેવા સાથેનો વાદળી ચહેરો|ઠંડો પરસેવો|ધસેલો ચહેરો
😥;નાખુશ પરંતુ રાહતવાળો ચહેરો;આવો|ઉદાસી પરંતુ રાહત ચહેરો|ચહેરો|નાખુશ પરંતુ રાહતવાળો ચહેરો|નિરાશ|રાહત
😢;રડતો ચહેરો;આંસુઓ|ચહેરો|દુઃખી|રડતો ચહેરો|રડવું
😭;મોટેથી રડતો ચહેરો;અશ્રુ|ચહેરો|મોટેથી રડતો ચહેરો|મોટેથી રડવું|રડવું|રુદન
😱;ભયમાં ચીસો પાડતો ચહેરો;ચહેરો|ભય|ભયગ્રસ્ત|ભયભીત|ભયમાં ચીસો પાડતો ચહેરો|ભયમાં ચીસો પાડવી
😖;આકુળવ્યાકુળ ચહેરો;આકુળવ્યાકુળ|ચહેરો
😣;જબરદસ્ત ચહેરો;ચહેરો|જબરદસ્ત ચહેરો|સખત ચહેરો|સ્થાયી
😞;નિરાશ ચહેરો;ચહેરો|નિરાશ
😓;ઠંડા પરસેવા સાથેનો ચહેરો;ચહેરો|ઠંડા પરસેવા સાથેનો ચહેરો|ઠંડો|તકલીફોની સાથે નિરાશાજનક ચહેરો|પરસેવો
😩;કંટાળાજનક ચહેરો;કંટાળાજનક|ચહેરો|થાકેલો
😫;થાકેલો ચહેરો;ચહેરો|થાકેલો
🥱;બગાસું ખાતો ચહેરો;કંટાળેલ|થાકેલ|બગાસું|બગાસું ખાતો ચહેરો
😤;મેં તે જીત્યાનો ચહેરો;ચહેરો|મેં તે જીત્યાનો ચહેરો|વિજય|વિજયી દેખાવ|હું જીત્યો
😡;લાલ રિસાયેલો ચહેરો;ગુસ્સેલ|ચહેરો|પાગલ|રિસાવું|લાલ ચહેરો|લાલ રિસાયેલો ચહેરો
😠;ગુસ્સેલ ચહેરો;ગુસ્સેલ|ચહેરો|પાગલ
🤬;મુખ પર ચિહ્નો સાથેનો ચહેરો;મુખ પર ચિહ્નો સાથેનો ચહેરો
😈;શિંગડા સાથેનો સ્મિત કરતો ચહેરો;ચહેરો|શિંગડા|શિંગડા સાથેનું હાસ્ય|શિંગડા સાથેનો સ્મિત કરતો ચહેરો|હાસ્ય
👿;શેતાન;કાલ્પનિક|ચહેરો|થોભો|રાક્ષસ|શિંગડા સાથે ગુસ્સો ચહેરો|શેતાન
💀;ખોપરી;ખોપરી|ચહેરો|પરી કથા|શરીર
☠️;ખોપરી અને હાડકાંની ચોકડી;ખોપરી અને હાડકાંની ચોકડી|ચહેરો|દૈત્ય|મુખ|મૃત્યુ|રાક્ષસ|શરીર
💩;છાણ;ખૂંટો|છાણ|પૂપ
🤡;વિદૂષકવાળો ચહેરો;ચહેરો|વિદૂષક|વિદૂષકવાળો ચહેરો
👹;દૈત્ય;ઓની|ચહેરો|જાપાની દૈત્ય|દૈત્ય|પરી કથા|રાક્ષસ
👺;પ્રેત;ચહેરો|જાપાની પ્રેત|ટેન્ગુ|પરી કથા|પ્રેત|રાક્ષસ
👻;ભૂત;ચહેરો|પરી કથા|ભૂત
👽;પરગ્રહવાસી;UFO|એલિયન|ચહેરો|પરગ્રહવાસી|પરી કથા|પૃથ્વી બહારનાં
👾;પરગ્રહવાસી રાક્ષસ;UFO|એલિયન|ચહેરો|પરગ્રહવાસી રાક્ષસ|પરી કથા|રાક્ષસ
🤖;રોબોટ;ચહેરો|મશીની માનવ|મુખ|રોબોટ|રોબોટનો ચહેરો
😺;ખુલ્લા મોઢે હસતી બિલાડીનો ચહેરો;ખુલ્લા મોઢે હસતી બિલાડીનો ચહેરો|ખુલ્લું|ચહેરો|બિલાડી|બિલાડીનો ચહેરો|મોંઢું|સ્મિત કરતી બિલાડીનો ચહેરો
😸;હસતી આંખો અને અટ્ટહાસ્ય સાથેનો બિલાડીનો ચહેરો;ચહેરો|બિલાડી|બિલાડીનો ચહેરો|હસતી|હસતી આંખો અને અટ્ટહાસ્ય સાથેનો બિલાડીનો ચહેરો|હસતી આંખો અને હસવા સાથેનો બિલાડીનો ચહેરો|હસતી બિલાડીનો ચહેરો
😹;આનંદાશ્રુ સાથેનો બિલાડીનો ચહેરો;આનંદાશ્રુ|આનંદાશ્રુ સાથેનો બિલાડીનો ચહેરો|ચહેરો|બિલાડી|બિલાડીનો ચહેરો
😻;હૃદયાકાર આંખો સાથે હસતી બિલાડીનો ચહેરો;આંખો|ચહેરો|પ્રેમ|પ્રેમમાં|બિલાડી|હૃદય|હૃદયાકાર આંખો સાથે હસતી બિલાડીનો ચહેરો
😼;વ્યંગપૂર્ણ સ્મિત સાથેનો બિલાડીનો ચહેરો;ચહેરો|બિલાડી|બિલાડીનો ચહેરો|માર્મિક હાસ્ય|વ્યંગપૂર્ણ|વ્યંગપૂર્ણ બિલાડીનો ચહેરો|વ્યંગપૂર્ણ સ્મિત સાથેનો બિલાડીનો ચહેરો
😽;બંધ આંખો સાથે ચુંબન કરતો બિલાડીનો ચહેરો;આંખો|ચહેરો|ચુંબન|ચુંબન કરતી બિલાડી|બંધ આંખો સાથે ચુંબન કરતો બિલાડીનો ચહેરો|બિલાડી
🙀;પરેશાન થયેલ બિલાડીનો ચહેરો;કંટાળાજનક બિલાડીનો ચહેરો|ખરેખર આશ્ચર્યચકિત|ચહેરો|પરેશાન થયેલ બિલાડીનો ચહેરો|બિલાડી|હે ભગવાન
😿;રડતી બિલાડીનો ચહેરો;ચહેરો|બિલાડી|બિલાડીનો ચહેરો|રડતી બિલાડીનો ચહેરો|રડવું|રુદન
😾;રિસાયેલ બિલાડીનો ચહેરો;ચહેરો|બિલાડી|બિલાડીનો ચહેરો|રિસાયેલ બિલાડીનો ચહેરો|રિસાવું
🙈;ખરાબ જોશો નહીં;ખરાબ જોશો નહીં|ખરાબ જોશો નહીં બતાવતો વાંદરો|વાંદરો
🙉;ખરાબ સાંભળશો નહીં;ખરાબ સાંભળશો નહીં|ખરાબ સાંભળશો નહીં બતાવતો વાંદરો|વાંદરો
🙊;ખરાબ બોલશો નહીં;ખરાબ બોલશો નહીં|ખરાબ બોલશો નહીં બતાવતો વાંદરો|વાંદરો
💌;પ્રેમ પત્ર;દિલ|દિલ સાથેનો મેઇલ|પત્ર|પ્રેમ પત્ર|રોમાંસ
💘;તીર સાથેનું હૃદય;તીર|તીર સાથેનું હૃદય|દિલ|દિલ અને તીર|પ્રેમ|લાગણી
💝;રિબન સાથેનું દિલ;દિલ|રિબન|રિબન સાથેનું દિલ|લાગણી|વેલેન્ટાઇન
💖;ચળકતું દિલ;ચળકતું|ચળકતું દિલ|પ્રેમ|રોમાંચિત|લાગણી
💗;વધતું દિલ;દિલ|પ્રેમ|મૂંઝાયેલું|રોમાંચિત|લાગણી|વધતું દિલ
💓;ધડકતું દિલ;દિલ|ધડકતું|ધડકન|પ્રેમ|લાગણી
💞;ભમતા દિલ;આરાધ્ય|દિલ|પ્રેમ|ભમતા|લાગણી|સુંદર
💕;બે દિલ;પ્રેમ|પ્રેમીઓ|બે દિલ|લાગણી
💟;દિલનો શણગાર;દિલ|દિલનો શણગાર
❣️;ઉદ્ગારવાચક ચિહ્ન સાથેનું હૃદય;ઉદ્ગારવાચક|ઉદ્ગારવાચક ચિહ્ન સાથેનું હૃદય|ચિહ્ન|વિરામચિહ્ન|હૃદય
💔;ભગ્ન હૃદય;તોડવું|ભગ્ન|લાગણી|હૃદય|હૃદય ભંગ
❤️‍🔥;દિલ પર આગ;જલન|દિલ|દિલ પર આગ|પવિત્ર હૃદય|પ્રેમ|વાસના|સળગતું દિલ|હૃદય
❤️‍🩹;દિલ બહેલાવવું;તંદુરસ્ત|દિલ બહેલાવવું|દિલાસો|સારું|સુધારણા|સ્વસ્થ|સ્વસ્થ થવું
❤️;લાલ હૃદય;લાલ|હૃદય
🩷;ગુલાબી રંગનું દિલ;ગુલાબી|ગુલાબી રંગનું દિલ|દિલ|પસંદ|પ્રેમ|સુંદર
🧡;નારંગી દિલ;નારંગી દિલ
💛;પીળું દિલ;દિલ|પીળું|લાગણી
💚;લીલું દિલ;દિલ|લાગણી|લીલું
💙;વાદળી દિલ;દિલ|લાગણી|વાદળી
🩵;આછો વાદળી રંગનું દિલ;આછો વાદળી|આછો વાદળી રંગનું દિલ|ટીલ|દિલ|સ્યાન
💜;જાંબલી દિલ;જાંબલી|દિલ|લાગણી
🤎;કથ્થઈ હૃદય;કથ્થઈ|હૃદય
🖤;કાળું હૃદય;કાળું|ખરાબ|હૃદય
🩶;ભૂખરા રંગનું દિલ;ચાંદી|દિલ|ભૂખરા|ભૂખરા રંગનું દિલ|સ્લેટ
🤍;શ્વેત હૃદય;શ્વેત|હૃદય
💋;ચુંબનનું ચિહ્ન;ચુંબન|ચુંબનનું ચિહ્ન|રોમાંસ|હોઠ
💯;સો પોઇન્ટ્સ;100|100 પોઇન્ટ્સ|પૂર્ણ સ્કોર|સો પોઇન્ટ્સ|સ્કોર
💢;ગુસ્સાનું ચિહ્ન;કોમિક|ગુસ્સાનું ચિહ્ન|ગુસ્સે થયેલું|ગુસ્સો|લાગણી
💥;ટક્કર;ટક્કર|ટક્કરનું પ્રતીક|રમૂજી|લાગણી
💫;ચક્કર;ચક્કર|તારા|તારા જોવા|રમૂજી|લાગણી
💦;પરસેવાનાં ટીપા;પરસેવાનાં છાંટા|પરસેવાનાં ટીપા|પરસેવો|પ્રસ્વેદયુક્ત|રમૂજી|લાગણી
💨;ડેશિંગ;ચાલુ ડેશ|ડેશિંગ|દોડો|ભાગવું|રમૂજી|લાગણી
🕳️;છિદ્ર;કાણું|છિદ્ર
💬;ભાષણ ફુગ્ગો;પરપોટો|ફુગ્ગો|ભાષણ પરપોટો|ભાષણ ફુગ્ગો|રમૂજી|સંવાદ
👁️‍🗨️;સાક્ષી;આંખ|સાક્ષી|સ્પીચ બબલ
🗨️;ડાબું સ્પીચ બબલ;ડાબું સ્પીચ બબલ|વાણી|સંવાદ|સ્પીચ
🗯️;જમણી તરફનું ગુસ્સાનું બબલ;ક્રોધ|જમણી તરફનું ગુસ્સાનું બબલ|પરપોટો|પાગલ|ફુગ્ગો|બબલ
💭;વિચારનો ફુગ્ગો;પરપોટો|રમૂજી|વિચાર|વિચારનો પરપોટો|વિચારનો ફુગ્ગો
💤;નસકોરા;ઊંઘતું|ઊંઘરેટી|નસકોરા|રમૂજી|લાગણી

[people_body]
👋;હાથ હલાવવા;હલાવવા|હાથ
	👋🏻;હાથ હલાવવા: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|હલાવવા|હાથ|હાથ હલાવવા: ચામડીનો આછો રંગ
	👋🏼;હાથ હલાવવા: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|હલાવવા|હાથ|હાથ હલાવવા: ચામડીનો મધ્યમ આછો રંગ
	👋🏽;હાથ હલાવવા: મધ્યમ ચામડીનો રંગ;મધ્યમ ચામડીનો રંગ|હલાવવા|હાથ|હાથ હલાવવા: મધ્યમ ચામડીનો રંગ
	👋🏾;હાથ હલાવવા: મધ્યમ ઘેરો ચામડીનો રંગ;મધ્યમ ઘેરો ચામડીનો રંગ|હલાવવા|હાથ|હાથ હલાવવા: મધ્યમ ઘેરો ચામડીનો રંગ
	👋🏿;હાથ હલાવવા: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|હલાવવા|હાથ|હાથ હલાવવા: ઘેરો ચામડીનો રંગ
🤚;હાથ;બેકહેન્ડ|હાથ
	🤚🏻;હાથ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|બેકહેન્ડ|હાથ|હાથ: ચામડીનો આછો રંગ
	🤚🏼;હાથ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|બેકહેન્ડ|હાથ|હાથ: ચામડીનો મધ્યમ આછો રંગ
	🤚🏽;હાથ: મધ્યમ ચામડીનો રંગ;બેકહેન્ડ|મધ્યમ ચામડીનો રંગ|હાથ|હાથ: મધ્યમ ચામડીનો રંગ
	🤚🏾;હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;બેકહેન્ડ|મધ્યમ ઘેરો ચામડીનો રંગ|હાથ|હાથ: મધ્યમ ઘેરો ચામડીનો રંગ
	🤚🏿;હાથ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|બેકહેન્ડ|હાથ|હાથ: ઘેરો ચામડીનો રંગ
🖐️;ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ;આંગળી|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ|ફેલાવેલું|શરીર|હાથ
	🖐🏻;ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ: ચામડીનો આછો રંગ;આંગળી|ચામડીનો આછો રંગ|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ: ચામડીનો આછો રંગ|ફેલાવેલું|શરીર|હાથ
	🖐🏼;ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ: ચામડીનો મધ્યમ આછો રંગ;આંગળી|ચામડીનો મધ્યમ આછો રંગ|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ: ચામડીનો મધ્યમ આછો રંગ|ફેલાવેલું|શરીર|હાથ
	🖐🏽;ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ: મધ્યમ ચામડીનો રંગ;આંગળી|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ: મધ્યમ ચામડીનો રંગ|ફેલાવેલું|મધ્યમ ચામડીનો રંગ|શરીર|હાથ
	🖐🏾;ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;આંગળી|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ: મધ્યમ ઘેરો ચામડીનો રંગ|ફેલાવેલું|મધ્યમ ઘેરો ચામડીનો રંગ|શરીર|હાથ
