[smileys_emotion]
😀;tirjaygan yuz;tirjaygan yuz|tirjayish|yuz
🤫;ts-s-s;ts-s-s
🤔;o‘ylayotgan yuz;o‘ylash|o‘ylayotgan yuz|yuz
🫡;salomlashayotgan yuz;ha|lashkar|ok|salom|salomlashayotgan yuz
🤐;og‘zi qulflangan yuz;og‘iz|og‘zi qulflangan yuz|qulf|yuz
🤨;qosh chimirilgan yuz;qosh chimirilgan yuz
😐;his-tuyg‘usiz;betaraf|his-tuyg‘usiz|hissiz|yuz
😑;his-tuyg‘usiz yuz;his-tuyg‘usiz|ifodasiz|yuz
😶;og‘izsiz yuz;jimjit|og‘iz|og‘izsiz yuz|sukut|yuz
🫥;nuqta chiziqli yuz;depressiya|introvert|koʻrinmas|nuqta chiziqli yuz|yashirish|yoʻqolish
😶‍🌫️;bulutdagi yuz;bulutdagi bosh|bulutdagi yuz|gʻoyib boʻlgan|tuman ichidagi yuz
😏;istehzoli yuz;istehzo|istehzoli yuz|yuz
😒;qoniqmagan yuz;qoniqmagan|xafa|yuz
🙄;ko‘zlarini aylantirayotgan yuz;aylantirayotgan|ko‘zlar|ko‘zlarini aylantirayotgan yuz|yuz
😬;afti burishgan;afti burishgan|aftini burishtirish|yuz
😮‍💨;nafas chiqarayotgan yuz;havo olish|hustak chalish|ingrash|nafas chiqarayotgan yuz|nafas chiqarish
🤥;aldayotgan;aldayotgan|pinokkio|yolg‘on|yuz
🫨;qaltiragan yuz;qaltiragan|shok|tebranish|yuz|zilzila
🙂‍↔️;gorizontal yo‘nalishda tebranayotgan yuz;gorizontal yo‘nalishda tebranayotgan yuz|silkitish|yo‘q ishorasi
🙂‍↕️;vertikal yo‘nalishda tebranayotgan yuz;ha ishorasi|vertikal yo‘nalishda tebranayotgan yuz
😌;xotirjam yuz;xotirjam|yuz
😔;g‘amgin yuz;g‘amgin|ranjigan|yuz
😪;uyqusiragan yuz;uxlash|uyqusiragan yuz|yuz
🤤;so‘lagi oqayotgan;so‘lagi oqayotgan|so‘lak|yuz
😴;uxlayotgan yuz;uxlash|uxlayotgan yuz|xurrak|yuz
😷;tibbiy niqob taqqan yuz;dori|kasal|niqob|shifokor|sovuq|tibbiy niqob taqqan yuz|yuz
🤒;harorat o‘lchagich tutgan yuz;bemor|harorat o‘lchagich|harorat o‘lchagich tutgan yuz|kasal|yuz
🤕;boshi bint bilan o‘ralgan yuz;bint|boshi bint bilan o‘ralgan yuz|jarohat|lat|yuz
🤢;ko‘ngli ayniyotgan;kasallik|ko‘ngil aynish|ko‘ngli ayniyotgan|yuz
🤮;qusish;qusish
🤧;aksirayotgan;aksirayotgan|yuz
🥵;isitma;bezgak|harorat|isitma|isitmalash|terlash|yuqori harorat
🥶;sovqotish;ayoz|ko‘karib ketish|muzlash|qaltirash|sovqotish|sovuq|yaxlash
🥴;boshi aylangan;behuzurlik|bosh aylanish|boshi aylangan|his qilish|ko‘ngil aynish|o‘zini bilmay qolish|yomon
😵;boshi aylanayotgan yuz;boshi aylanayotgan yuz|boshi aylanish|yuz
😵‍💫;spiral koʻzli yuz;boshogʻriq|gipnoz|jalb etuvchi|maftunkor|spiral koʻzli yuz
🤯;miya portlashi;miya portlashi
🤠;kovboyning boshi;kovboy|kovboyning boshi|shlyapa
🥳;ziyofatda;bayram|kecha|nishonlash|o‘yin-kulgu|quvnash|tug‘ilgan kun|xursandchilik|ziyofatda
🥸;niqoblangan yuz;burun|koʻzoynak|niqoblangan yuz|niqoblash|yashirin|yashirincha|yuz
😎;ko‘zoynak taqqan hamda kulayotgan yuz;ko‘zoynak|ko‘zoynak taqqan hamda kulayotgan yuz|ob-havo|quyosh|salqin|tabassum|yuz
🤓;aqlli yuz;aqlli|bilimdon|yuz
🧐;monokl bilan;monokl bilan
😕;xijolat bo‘lgan yuz;xijolat|xijolat bo‘lgan yuz|yuz
🫤;diagonal ogʻizli yuz;diagonal ogʻizli yuz|hafsalasi pir boʻlgan|ishonchsiz|meh|shubhali
😟;xavotir olayotgan yuz;xavotir|xavotir olayotgan yuz|yuz
🙁;ozroq arazlagan yuz;arazlamoq|ozroq arazlagan yuz|yuz
☹️;arazlagan yuz;arazlagan yuz|arazlamoq|yuz
😮;og‘zi katta ochiq yuz;hamdardlik|ochiq|og‘iz|og‘zi katta ochiq yuz|yuz
😯;hayratlanayotgan yuz;hayratlanayotgan yuz|hayratlangan|karaxt|sukut saqlash|yuz
😲;hayratlangan yuz;batamom|hayratlangan|taajjub|yuz
😳;yuzi qizargan;mahliyo|qizarish|yuz|yuzi qizargan
🥺;yalingan yuz;iltimos qilish|katta ko‘zlar|ko‘z|ko‘z yosh|yalingan yuz|yalinish|yolvorish
🥹;koʻz yoshi oqayotgan yuz;jahli chiqqan|koʻz yoshi oqayotgan yuz|magʻrur|qarshilik koʻrsatish|qaygʻuli|yigʻlash
😦;og‘zini katta ochgan, qovog‘i solingan yuz;ochiq|og‘iz|og‘zini katta ochgan|og‘zini katta ochgan, qovog‘i solingan yuz|qovog‘i solingan yuz|qovog‘ini solish|yuz
😧;g‘am-tashvishli yuz;g‘am-tashvishli yuz|tashvishli|yuz
😨;qo‘rqqan yuz;qo‘rqinchli|qo‘rqish|qo‘rqqan yuz|qo‘rquv|yuz
😰;og‘zi ochiq va sovuq terga botgan yuz;ko‘kargan|og‘zi ochiq va sovuq terga botgan yuz|sovuq|ter|toliqqan|yuz
😥;hafsalasi pir bo‘lgan yuz;hafasalasi pir|hafsalasi pir bo‘lgan yuz|hmm|yengil tortish|yuz
😢;yig‘layotgan yuz;hafa|ko‘z yoshi|yig‘lash|yig‘layotgan yuz|yuz
😭;xo‘ngrab yig‘layotgan yuz;hafa|ko‘z yoshi|xo‘ngrab yig‘lash|xo‘ngrab yig‘layotgan yuz|yig‘lash|yuz
😱;qo‘rquvdan qichqirayotgan yuz;baqiriq|chaynash|qo‘rqinchli|qo‘rqish|qo‘rquv|qo‘rquvdan qichqirayotgan yuz|yuz
😖;xijolatli yuz;xijolat|xijolatli yuz|yuz
😣;o‘jarlik;o‘jar|o‘jarlik|yuz
😞;ko‘ngli qolgan yuz;ko‘ngli qolgan|ko‘ngli qolgan yuz|yuz
😓;sovuq ter chiqayotgan yuz;sovuq|sovuq ter chiqayotgan yuz|ter|yuz
😩;xorg‘in yuz;charchagan|xorg‘in|yuz
😫;charchagan yuz;charchagan|yuz
🥱;esnayotgan yuz;charchagan|esnayotgan|esnayotgan yuz|xorg‘in
😤;burnidan tutun chiqayotgan yuz;burnidan tutun chiqayotgan yuz|g‘alaba|yuz|zafar
😡;norozi qiyofa;g‘azab|jaxli chiqqan|norozi|norozi qiyofa|qizil|quturgan|yuz
😠;jahli chiqqan yuz;g‘azabnok|jahli chiqqan yuz|jaxli chiqqan|yuz
🤬;senzura;senzura
😈;kulayotgan shayton;ertak|fantaziya|kulayotgan shayton|shoxlar|tabassum|yuz
👿;shayton;ertak|fantaziya|shayton|yuz
💀;bosh suyagi;bosh suyagi|ertak|maxluq|o‘lim|tana|yuz
☠️;bosh suyagi va suyaklar;bosh suyagi|bosh suyagi va suyaklar|maxluq|o‘lim|suyaklar|tana|yuz
💩;tezak uyumi;axlat|go‘ng|hazil|maxluq|tezak|tezak uyumi|yuz
🤡;masxaraboz;masxaraboz|yuz
👹;yovuz maxluq;ertak|fantaziya|maxluq|maxluqot|yapon|yovuz maxluq|yuz
👺;ajina;ajina|ertak|fantaziya|maxluq|maxluqot|yapon|yuz
👻;arvoh;arvoh|ertak|fantaziya|maxluq|maxluqot|yuz
👽;o‘zga sayyoralik;fantaziya|maxluq|maxluqot|nuj|o‘zga sayyoralik|yuz
👾;o‘zga sayyoralik maxluq;fantaziya|koinot|maxluq|nuj|o‘zga sayyoralik|o‘zga sayyoralik maxluq|yuz
🤖;robot qiyofa;maxluq|robot|robot qiyofa|yuz
😺;og‘zi ochiq holatda kulayotgan mushuk;jilmayish|mushuk|ochiq|og‘zi ochiq holatda kulayotgan mushuk|ogʻiz|tirjayish|yuz
😸;tirjaygan holda kulayotgan mushuk;jilmayish|koʻz|mushuk|tirjaygan holda kulayotgan mushuk|tirjayish|yuz
😹;koʻzidan yosh chiqib kulayotgan mushuk;huzur|koʻz yoshi|koʻzidan yosh chiqib kulayotgan mushuk|mushuk|quvonch|xursandchilik|yuz
😻;ko‘zlari yurak shaklida kulib turgan mushuk;jilmayish|ko‘zlari yurak shaklida kulib turgan mushuk|koʻz|mushuk|sevgi|yurak|yuz
😼;lab burib jilmaygan mushuk;istehzo|jilmayish|lab burib jilmaygan mushuk|lab burish|mushuk|yuz
😽;boʻsa olayotgan mushuk;boʻsa|boʻsa olayotgan mushuk|koʻz|mushuk|yuz
🙀;charchagan mushuk;ajablanish|charchagan mushuk|charchash|mushuk|toliqish|voy|yuz
😿;yigʻlayotgan mushuk;koʻz yoshi|mushuk|xafalik|yigʻi|yigʻlayotgan mushuk|yuz
😾;dargʻazab mushuk;dargʻazab mushuk|gʻazablanish|mushuk|yuz
🙈;yomonlikni ko‘rmaydigan maymun;ko‘rish|man qilingan|maymun|taqiqlangan|yo‘q|yomonlikni ko‘rmaydigan maymun|yuz
🙉;yomonlikni eshitmaydigan maymun;eshitish|ishora|man qilingan|maymun|taqiqlangan|yo‘q|yomonlikni eshitmaydigan maymun
🙊;yomonlikni gapirmaydigan maymun;gapirish|ishora|man qilingan|maymun|taqiqlangan|yo‘q|yomonlikni gapirmaydigan maymun
💌;sevgi xati;pochta|romantika|sevgi|sevgi xati|xat|yurak
💘;yurak va kamon o‘qi;kamon o‘qi|kupidon|romantika|yurak|yurak va kamon o‘qi
💝;yurak va lenta;lenta|yurak|yurak va lenta
💖;chaqnayotgan yurak;chaqnash|chaqnayotgan yurak|hayajonli|yurak
💗;kattalashayotgan yurak;asab|hayajonli|kattalashayotgan|yurak|yurak urishi
💓;urayotgan yurak;urayotgan|yurak|yurak urishi
💞;aylanayotgan yuraklar;aylanayotgan|aylanayotgan yuraklar|yurak
💕;ikkita yurak;ikkita yurak|sevgi|yurak
💟;yurak bezagi;yurak|yurak bezagi
❣️;yurak shaklidagi undov belgisi;belgi|tinish belgisi|undov|yurak shaklidagi undov|yurak shaklidagi undov belgisi
💔;singan yurak;singan|sinish|yurak
❤️‍🔥;olovdagi yurak;choʻgʻ|ishq|kuydiradi|olov|olovdagi yurak|qizigan qalb|sevgi|yondiradi
❤️‍🩹;yurakka malham;davolash|malham|shifo|tuzatish|yurakka dori|yurakka malham
❤️;qizil yurak;qizil yurak|yurak
🩷;pushti yurak;pushti|sevgi|yoqimtoy|yoqtirish|yurak
🧡;apelsinrang yurak;apelsinrang yurak
💛;sariq yurak;sariq|yurak
💚;yashil yurak;yashil|yurak
💙;ko‘k yurak;ko‘k|yurak
🩵;och koʻk yurak;koʻk|moviy|och koʻk|och koʻk yurak|yurak
💜;binafsharang yurak;binafsharang|yurak
🤎;jigarrang yurak;jigarrang|yurak
🖤;qora yurak;ichi qora|qora|yurak
🩶;kulrang yurak;kulrang|kumush|yurak
🤍;oq yurak;oq|yurak
💋;bo‘sa tamg‘asi;bo‘sa|bo‘sa tamg‘asi|lablar|romantika|tamg‘a|yurak
💯;yuz ball;100|ball|to‘liq|yuz
💢;jahl belgisi;jahl belgisi|jaxl|latifa|telba
💥;to‘qnashuv;latifa|portlash|to‘qnashuv
💫;bosh aylanishi;bosh aylanishi|komiks|yulduz
💦;ter tomchilari;komiks|sachrash|ter|ter tomchilari
💨;chaqqon;chaqqon|komiks|shoshilish|yugurish
🕳️;teshik;darcha|kovak|teshik|tuynuk
💬;nutq pufagi;dialog|latifa|nutq|nutq buluti|nutq pufagi|pufak|shar
👁️‍🗨️;nutq pufagida ko‘z;guvoh|ko‘z|nutq pufagi|nutq pufagida ko‘z
🗨️;chap nutq pufakchasi;chap nutq pufakchasi|dialog|nutq|pufak|shar
🗯️;o‘ng burchakli pufakcha;jahl|o‘ng burchakli pufakcha|pufak|shar|xafa
💭;o‘y-hayol buluti;latifa|o‘y-hayol|o‘y-hayol buluti|pufak|shar
💤;xurrak;latifa|uyqu|xayrli tun|xurrak

[people_body]
👋;shapaloq;qoʻl|shapaloq|silkitish|siltash
	👋🏻;shapaloq: 1–2-teri turi;1–2-teri turi|qoʻl|shapaloq|shapaloq: 1–2-teri turi|silkitish|siltash
	👋🏼;shapaloq: 3-teri turi;3-teri turi|qoʻl|shapaloq|shapaloq: 3-teri turi|silkitish|siltash
	👋🏽;shapaloq: 4-teri turi;4-teri turi|qoʻl|shapaloq|shapaloq: 4-teri turi|silkitish|siltash
	👋🏾;shapaloq: 5-teri turi;5-teri turi|qoʻl|shapaloq|shapaloq: 5-teri turi|silkitish|siltash
	👋🏿;shapaloq: 6-teri turi;6-teri turi|qoʻl|shapaloq|shapaloq: 6-teri turi|silkitish|siltash
🤚;ko‘tarilgan kaft;kaft|ko‘tarilgan
	🤚🏻;ko‘tarilgan kaft: 1–2-teri turi;1–2-teri turi|kaft|ko‘tarilgan|ko‘tarilgan kaft: 1–2-teri turi
	🤚🏼;ko‘tarilgan kaft: 3-teri turi;3-teri turi|kaft|ko‘tarilgan|ko‘tarilgan kaft: 3-teri turi
	🤚🏽;ko‘tarilgan kaft: 4-teri turi;4-teri turi|kaft|ko‘tarilgan|ko‘tarilgan kaft: 4-teri turi
	🤚🏾;ko‘tarilgan kaft: 5-teri turi;5-teri turi|kaft|ko‘tarilgan|ko‘tarilgan kaft: 5-teri turi
	🤚🏿;ko‘tarilgan kaft: 6-teri turi;6-teri turi|kaft|ko‘tarilgan|ko‘tarilgan kaft: 6-teri turi
🖐️;barmoqlari yoyilgan qoʻl;barmoq|barmoqlari yoyilgan holatda ko‘tarilgan qo‘l|barmoqlari yoyilgan qoʻl|qo‘l|tana|yoyilgan
	🖐🏻;barmoqlari yoyilgan qoʻl: 1–2-teri turi;1–2-teri turi|barmoq|barmoqlari yoyilgan holatda ko‘tarilgan qo‘l|barmoqlari yoyilgan qoʻl|barmoqlari yoyilgan qoʻl: 1–2-teri turi|qo‘l|tana|yoyilgan
	🖐🏼;barmoqlari yoyilgan qoʻl: 3-teri turi;3-teri turi|barmoq|barmoqlari yoyilgan holatda ko‘tarilgan qo‘l|barmoqlari yoyilgan qoʻl|barmoqlari yoyilgan qoʻl: 3-teri turi|qo‘l|tana|yoyilgan
	🖐🏽;barmoqlari yoyilgan qoʻl: 4-teri turi;4-teri turi|barmoq|barmoqlari yoyilgan holatda ko‘tarilgan qo‘l|barmoqlari yoyilgan qoʻl|barmoqlari yoyilgan qoʻl: 4-teri turi|qo‘l|tana|yoyilgan
	🖐🏾;barmoqlari yoyilgan qoʻl: 5-teri turi;5-teri turi|barmoq|barmoqlari yoyilgan holatda ko‘tarilgan qo‘l|barmoqlari yoyilgan qoʻl|barmoqlari yoyilgan qoʻl: 5-teri turi|qo‘l|tana|yoyilgan
	🖐🏿;barmoqlari yoyilgan qoʻl: 6-teri turi;6-teri turi|barmoq|barmoqlari yoyilgan holatda ko‘tarilgan qo‘l|barmoqlari yoyilgan qoʻl|barmoqlari yoyilgan qoʻl: 6-teri turi|qo‘l|tana|yoyilgan
✋;ko‘tarilgan qo‘l;besh barmoq|ko‘tarilgan qo‘l|qo‘l|tana
	✋🏻;ko‘tarilgan qo‘l: 1–2-teri turi;1–2-teri turi|besh barmoq|ko‘tarilgan qo‘l|ko‘tarilgan qo‘l: 1–2-teri turi|qo‘l|tana
	✋🏼;ko‘tarilgan qo‘l: 3-teri turi;3-teri turi|besh barmoq|ko‘tarilgan qo‘l|ko‘tarilgan qo‘l: 3-teri turi|qo‘l|tana
	✋🏽;ko‘tarilgan qo‘l: 4-teri turi;4-teri turi|besh barmoq|ko‘tarilgan qo‘l|ko‘tarilgan qo‘l: 4-teri turi|qo‘l|tana
	✋🏾;ko‘tarilgan qo‘l: 5-teri turi;5-teri turi|besh barmoq|ko‘tarilgan qo‘l|ko‘tarilgan qo‘l: 5-teri turi|qo‘l|tana
	✋🏿;ko‘tarilgan qo‘l: 6-teri turi;6-teri turi|besh barmoq|ko‘tarilgan qo‘l|ko‘tarilgan qo‘l: 6-teri turi|qo‘l|tana
🖖;vulkan salyuti;barmoq|qo‘l|spok|tana|vulkan|vulkan salyuti
	🖖🏻;vulkan salyuti: 1–2-teri turi;1–2-teri turi|barmoq|qo‘l|spok|tana|vulkan|vulkan salyuti|vulkan salyuti: 1–2-teri turi
	🖖🏼;vulkan salyuti: 3-teri turi;3-teri turi|barmoq|qo‘l|spok|tana|vulkan|vulkan salyuti|vulkan salyuti: 3-teri turi
	🖖🏽;vulkan salyuti: 4-teri turi;4-teri turi|barmoq|qo‘l|spok|tana|vulkan|vulkan salyuti|vulkan salyuti: 4-teri turi
	🖖🏾;vulkan salyuti: 5-teri turi;5-teri turi|barmoq|qo‘l|spok|tana|vulkan|vulkan salyuti|vulkan salyuti: 5-teri turi
	🖖🏿;vulkan salyuti: 6-teri turi;6-teri turi|barmoq|qo‘l|spok|tana|vulkan|vulkan salyuti|vulkan salyuti: 6-teri turi
🫱;oʻng qoʻl;oʻng|qoʻl
	🫱🏻;oʻng qoʻl: 1–2-teri turi;1–2-teri turi|oʻng|oʻng qoʻl: 1–2-teri turi|qoʻl
	🫱🏼;oʻng qoʻl: 3-teri turi;3-teri turi|oʻng|oʻng qoʻl: 3-teri turi|qoʻl
	🫱🏽;oʻng qoʻl: 4-teri turi;4-teri turi|oʻng|oʻng qoʻl: 4-teri turi|qoʻl
	🫱🏾;oʻng qoʻl: 5-teri turi;5-teri turi|oʻng|oʻng qoʻl: 5-teri turi|qoʻl
	🫱🏿;oʻng qoʻl: 6-teri turi;6-teri turi|oʻng|oʻng qoʻl: 6-teri turi|qoʻl
🫲;chap qoʻl;chap|qoʻl
	🫲🏻;chap qoʻl: 1–2-teri turi;1–2-teri turi|chap|chap qoʻl: 1–2-teri turi|qoʻl
	🫲🏼;chap qoʻl: 3-teri turi;3-teri turi|chap|chap qoʻl: 3-teri turi|qoʻl
	🫲🏽;chap qoʻl: 4-teri turi;4-teri turi|chap|chap qoʻl: 4-teri turi|qoʻl
	🫲🏾;chap qoʻl: 5-teri turi;5-teri turi|chap|chap qoʻl: 5-teri turi|qoʻl
	🫲🏿;chap qoʻl: 6-teri turi;6-teri turi|chap|chap qoʻl: 6-teri turi|qoʻl
🫳;kafti pastga qaragan qoʻl;hurkitish|kafti pastga qaragan qoʻl|rad etish|tushish
	🫳🏻;kafti pastga qaragan qoʻl: 1–2-teri turi;1–2-teri turi|hurkitish|kafti pastga qaragan qoʻl|kafti pastga qaragan qoʻl: 1–2-teri turi|rad etish|tushish
	🫳🏼;kafti pastga qaragan qoʻl: 3-teri turi;3-teri turi|hurkitish|kafti pastga qaragan qoʻl|kafti pastga qaragan qoʻl: 3-teri turi|rad etish|tushish
	🫳🏽;kafti pastga qaragan qoʻl: 4-teri turi;4-teri turi|hurkitish|kafti pastga qaragan qoʻl|kafti pastga qaragan qoʻl: 4-teri turi|rad etish|tushish
	🫳🏾;kafti pastga qaragan qoʻl: 5-teri turi;5-teri turi|hurkitish|kafti pastga qaragan qoʻl|kafti pastga qaragan qoʻl: 5-teri turi|rad etish|tushish
	🫳🏿;kafti pastga qaragan qoʻl: 6-teri turi;6-teri turi|hurkitish|kafti pastga qaragan qoʻl|kafti pastga qaragan qoʻl: 6-teri turi|rad etish|tushish
🫴;kafti yuqoriga qaragan qoʻl;chaqirish|kafti yuqoriga qaragan qoʻl|kelish|taklif|ushlash
	🫴🏻;kafti yuqoriga qaragan qoʻl: 1–2-teri turi;1–2-teri turi|chaqirish|kafti yuqoriga qaragan qoʻl|kafti yuqoriga qaragan qoʻl: 1–2-teri turi|kelish|taklif|ushlash
	🫴🏼;kafti yuqoriga qaragan qoʻl: 3-teri turi;3-teri turi|chaqirish|kafti yuqoriga qaragan qoʻl|kafti yuqoriga qaragan qoʻl: 3-teri turi|kelish|taklif|ushlash
	🫴🏽;kafti yuqoriga qaragan qoʻl: 4-teri turi;4-teri turi|chaqirish|kafti yuqoriga qaragan qoʻl|kafti yuqoriga qaragan qoʻl: 4-teri turi|kelish|taklif|ushlash
	🫴🏾;kafti yuqoriga qaragan qoʻl: 5-teri turi;5-teri turi|chaqirish|kafti yuqoriga qaragan qoʻl|kafti yuqoriga qaragan qoʻl: 5-teri turi|kelish|taklif|ushlash
	🫴🏿;kafti yuqoriga qaragan qoʻl: 6-teri turi;6-teri turi|chaqirish|kafti yuqoriga qaragan qoʻl|kafti yuqoriga qaragan qoʻl: 6-teri turi|kelish|taklif|ushlash
🫷;kafti chapga qaragan qoʻl;besh tashla|chapga|kafti chapga qaragan qoʻl|kutish|rad etish|surish|toʻxtatish
	🫷🏻;kafti chapga qaragan qoʻl: 1–2-teri turi;1–2-teri turi|besh tashla|chapga|kafti chapga qaragan qoʻl|kafti chapga qaragan qoʻl: 1–2-teri turi|kutish|rad etish|surish|toʻxtatish
	🫷🏼;kafti chapga qaragan qoʻl: 3-teri turi;3-teri turi|besh tashla|chapga|kafti chapga qaragan qoʻl|kafti chapga qaragan qoʻl: 3-teri turi|kutish|rad etish|surish|toʻxtatish
	🫷🏽;kafti chapga qaragan qoʻl: 4-teri turi;4-teri turi|besh tashla|chapga|kafti chapga qaragan qoʻl|kafti chapga qaragan qoʻl: 4-teri turi|kutish|rad etish|surish|toʻxtatish
	🫷🏾;kafti chapga qaragan qoʻl: 5-teri turi;5-teri turi|besh tashla|chapga|kafti chapga qaragan qoʻl|kafti chapga qaragan qoʻl: 5-teri turi|kutish|rad etish|surish|toʻxtatish
	🫷🏿;kafti chapga qaragan qoʻl: 6-teri turi;6-teri turi|besh tashla|chapga|kafti chapga qaragan qoʻl|kafti chapga qaragan qoʻl: 6-teri turi|kutish|rad etish|surish|toʻxtatish
🫸;kafti oʻngga qaragan qoʻl;besh tashla|kafti oʻngga qaragan qoʻl|kutish|oʻngga|rad etish|surish|toʻxtatish
	🫸🏻;kafti oʻngga qaragan qoʻl: 1–2-teri turi;1–2-teri turi|besh tashla|kafti oʻngga qaragan qoʻl|kafti oʻngga qaragan qoʻl: 1–2-teri turi|kutish|oʻngga|rad etish|surish|toʻxtatish
	🫸🏼;kafti oʻngga qaragan qoʻl: 3-teri turi;3-teri turi|besh tashla|kafti oʻngga qaragan qoʻl|kafti oʻngga qaragan qoʻl: 3-teri turi|kutish|oʻngga|rad etish|surish|toʻxtatish
	🫸🏽;kafti oʻngga qaragan qoʻl: 4-teri turi;4-teri turi|besh tashla|kafti oʻngga qaragan qoʻl|kafti oʻngga qaragan qoʻl: 4-teri turi|kutish|oʻngga|rad etish|surish|toʻxtatish
	🫸🏾;kafti oʻngga qaragan qoʻl: 5-teri turi;5-teri turi|besh tashla|kafti oʻngga qaragan qoʻl|kafti oʻngga qaragan qoʻl: 5-teri turi|kutish|oʻngga|rad etish|surish|toʻxtatish
	🫸🏿;kafti oʻngga qaragan qoʻl: 6-teri turi;6-teri turi|besh tashla|kafti oʻngga qaragan qoʻl|kafti oʻngga qaragan qoʻl: 6-teri turi|kutish|oʻngga|rad etish|surish|toʻxtatish
👌;qo‘lda qilingan ok;OK|qo‘lda qilingan ok|qoʻl|yaxshi
	👌🏻;qo‘lda qilingan ok: 1–2-teri turi;1–2-teri turi|OK|qo‘lda qilingan ok|qo‘lda qilingan ok: 1–2-teri turi|qoʻl|yaxshi
	👌🏼;qo‘lda qilingan ok: 3-teri turi;3-teri turi|OK|qo‘lda qilingan ok|qo‘lda qilingan ok: 3-teri turi|qoʻl|yaxshi
	👌🏽;qo‘lda qilingan ok: 4-teri turi;4-teri turi|OK|qo‘lda qilingan ok|qo‘lda qilingan ok: 4-teri turi|qoʻl|yaxshi
	👌🏾;qo‘lda qilingan ok: 5-teri turi;5-teri turi|OK|qo‘lda qilingan ok|qo‘lda qilingan ok: 5-teri turi|qoʻl|yaxshi
