[smileys_emotion]
😀;glottandi andlit;andlit|glott|glottandi andlit
	✌🏿;friðarmerki: dökkur húðlitur;dökkur húðlitur|friðarmerki|friðarmerki: dökkur húðlitur|friður|sigur|sigurmerki
🤞;krosslagðir fingur;fingur|hendi|kross|krosslagðir fingur|lukka
	🤞🏻;krosslagðir fingur: ljós húðlitur;fingur|hendi|kross|krosslagðir fingur|krosslagðir fingur: ljós húðlitur|ljós húðlitur|lukka
	🤞🏼;krosslagðir fingur: meðalljós húðlitur;fingur|hendi|kross|krosslagðir fingur|krosslagðir fingur: meðalljós húðlitur|lukka|meðalljós húðlitur
	🤞🏽;krosslagðir fingur: millihúðlitur;fingur|hendi|kross|krosslagðir fingur|krosslagðir fingur: millihúðlitur|lukka|millihúðlitur
	🤞🏾;krosslagðir fingur: meðaldökkur húðlitur;fingur|hendi|kross|krosslagðir fingur|krosslagðir fingur: meðaldökkur húðlitur|lukka|meðaldökkur húðlitur
	🤞🏿;krosslagðir fingur: dökkur húðlitur;dökkur húðlitur|fingur|hendi|kross|krosslagðir fingur|krosslagðir fingur: dökkur húðlitur|lukka
🫰;hendi með vísifingur og þumal í kross;ást|dýr|hendi með vísifingur og þumal í kross|hjarta|peningar|smella
	🫰🏻;hendi með vísifingur og þumal í kross: ljós húðlitur;ást|dýr|hendi með vísifingur og þumal í kross|hendi með vísifingur og þumal í kross: ljós húðlitur|hjarta|ljós húðlitur|peningar|smella
	🫰🏼;hendi með vísifingur og þumal í kross: meðalljós húðlitur;ást|dýr|hendi með vísifingur og þumal í kross|hendi með vísifingur og þumal í kross: meðalljós húðlitur|hjarta|meðalljós húðlitur|peningar|smella
	🫰🏽;hendi með vísifingur og þumal í kross: millihúðlitur;ást|dýr|hendi með vísifingur og þumal í kross|hendi með vísifingur og þumal í kross: millihúðlitur|hjarta|millihúðlitur|peningar|smella
	🫰🏾;hendi með vísifingur og þumal í kross: meðaldökkur húðlitur;ást|dýr|hendi með vísifingur og þumal í kross|hendi með vísifingur og þumal í kross: meðaldökkur húðlitur|hjarta|meðaldökkur húðlitur|peningar|smella
