[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি
😲;অবাক হয়ে যাওয়া মুখ;অবাক হয়ে যাওয়া মুখ|আশ্চর্য হওয়া|মর্মাহত|মুখ|সম্পূর্ণ
😳;রক্তিম মুখ;চমকিত|মুখ|রক্তিম
🥺;অনুনয়কারী মুখ;অনুনয়কারী মুখ|করুণা|কুকুর ছানার মত চোখ|ভিক্ষা
🥹;কান্না চেপে রাখা মুখ;কান্না|কান্না চেপে রাখা মুখ|ক্ষিপ্ত|গর্বিত|বিষণ্ণ|রোধ করা
😦;খোলা মুখের সাথে ভ্রুকুটি মুখমণ্ডল;খোলা|খোলা মুখের সাথে ভ্রুকুটি মুখমণ্ডল|ঠোঁট|ভ্রূ কুচঁকানো|মুখ
😧;উদ্বেগপূর্ণ মুখ;উদ্বেগপূর্ণ মুখ|বেদনার্ত|মুখ
😨;ভয়ার্ত মুখ;ভয়|ভয়ার্ত মুখ|ভীত|ভীতিজনক|মুখ
😰;খোলা মুখ এবং ঠাণ্ডা ঘামের সাথে মুখমণ্ডল;খোলা মুখ এবং ঠাণ্ডা ঘামের সাথে মুখমণ্ডল|ঘর্মাক্ত অবস্থা|ঘাম|ঘাম ঝরা উদ্ধিগ্ন মুখ|নীল|মুখ|মুখে উদ্ধিগ্ন
😥;হতাশ তবে স্বস্তি পাওয়া মুখ;আশ্চর্য হওয়া|মুখ|স্বস্তি পাওয়া|হতাশ|হতাশ তবে স্বস্তি পাওয়া মুখ
😢;ক্রন্দনরত মুখ;কান্না|কান্নাকাটি করা|ক্রন্দনরত মুখ|দুঃখিত|মুখ
😭;জোরে ক্রন্দনরত মুখ;অশ্রুসজল মুখ|কান্না|কান্নাকাটি করা|জোরে ক্রন্দনরত মুখ|দুঃখিত|মুখ
😱;ভয়ে চিৎকার করা মুখ;খোলা মুখ|চিৎকার করা|ভয়|ভয়ে চিৎকার করা মুখ|ভীত|ভীতিজনক|মুখ
😖;বিস্মিত মুখ;বিস্মিত মুখ|মুখ|হকচকিয়ে যাওয়া
😣;জেদি মুখ;জিদ করা|জেদি মুখ|মুখ
😞;হতাশ মুখ;মুখ|হতাশ
😓;মুখের মধ্যে ঠাণ্ডা ঘাম লাগা;ঘর্মাক্ত অবস্থা|ঠান্ডা|মুখ|মুখের মধ্যে ঠাণ্ডা ঘাম লাগা
😩;পরিশ্রান্ত মুখ;ক্লান্ত হওয়া|পরিশ্রান্ত|মুখ
😫;ক্লান্ত মুখ;ক্লান্ত|মুখ
🥱;হাই তোলা মুখ;উদাস|ক্লান্ত|হাই তোলা|হাই তোলা মুখ
😤;নাক থেকে স্টিম বেরোচ্ছে এমন মুখ;জয়জয়কার|নাক থেকে স্টিম বেরোচ্ছে এমন মুখ|বিজয়ী|মুখ
😡;বিস্ফুরিত মুখ;ক্রুদ্ধ|ক্ষিপ্ত|গর্জন|বিস্ফারিত চোখ|বিস্ফুরিত মুখ|মুখ|লাল
😠;রাগের মুখ;ক্রুদ্ধ|ক্ষিপ্ত|মুখ|রাগের মুখ
🤬;ঠোটে চিহ্নযুক্ত মুখ;ঠোটে চিহ্নযুক্ত মুখ|দিব্যি খাওয়া মুখ
😈;শিং এর সাথে হাসি মুখ;কল্পনা|মুখ|রূপকথা|শিং|শিং এর সাথে হাসি মুখ|হাসি
👿;শয়তান;কল্পনা|দৈত্য|মুখ|রূপকথা|শয়তান
💀;খুলি;খুলি|দানব|মুখ|মৃত্যু|রূপকথা|শরীর
☠️;মাথার খুলি এবং আড়াআড়িভাবে থাকা দু‘টি হাড়;আড়াআড়িভাবে থাকা দু‘টি হাড়|খুলি|দানব|মাথার খুলি এবং আড়াআড়িভাবে থাকা দু‘টি হাড়|মুখ|মৃত্যু|শরীর
💩;পাইল অফ পো;অধৈর্য্য প্রকাশ করা|উল্টান দিক|কমিক|গোবর|দানব|পাইল অফ পো|মুখ
🤡;জোকারের মুখ;জোকার|জোকারের মুখ|মুখ
👹;রাক্ষস;কল্পনা|দানব|মুখ|রাক্ষস|রূপকথা
👺;অপদেবতা;অপদেবতা|কল্পনা|জাপানি|দানব|বুনো জীব|মুখ|রূপকথা
👻;ভূত;কল্পনা|দানব|বুনো জীব|ভূত|মুখ|রূপকথা
👽;ভীন গ্রহের প্রাণী;অপার্থিব জীব|উড়ন্ত চাকতি|কল্পনা|জীব|ভীন গ্রহের প্রাণী|মুখ
👾;এলিয়ান মনস্টার;আপার্থিব জীব|উড়ন্ত চাকতি|এলিয়ান মনস্টার|জীব|দানব|ভীন গ্রহের প্রাণী
🤖;রোবোট;দানব|মুখ|রোবোট
😺;মুখ খোলা অবস্থায় বেড়ালের হাসি মুখ;খোলা|বিড়াল|মুখ|মুখ খোলা অবস্থায় বেড়ালের হাসি মুখ|হাসি
😸;চোখে হাসির সাথে মুখে হাসি বিড়াল;চোখ|চোখে হাসির সাথে মুখে হাসি বিড়াল|দেঁতো হাসি|বিড়াল|মুখ|হাসি
😹;আনন্দের কান্না সহ বেড়ালের মুখ;আনন্দ|আনন্দের কান্না সহ বেড়ালের মুখ|কান্না|বিড়াল|মুখ
😻;হার্ট আকারের চোখের সাথে বেড়ালের মুখ;চোখ|বিড়াল|ভালবাসা|মুখ|হার্ট|হার্ট আকারের চোখের সাথে বেড়ালের মুখ|হাসি
😼;বাঁকা হাসির সাথে বেড়ালের মুখ;বাঁকা হাসির সাথে বেড়ালের মুখ|বিকৃত|বিড়াল|মুখ|শ্লেষাত্মক|হাসি
😽;চুম্বনরত বিড়ালের মুখ;চুম্বন|চুম্বনরত বিড়ালের মুখ|চোখ|বন্ধ চোখ সহ চুম্বনরত বিড়ালের মুখ|বিড়াল|মুখ
🙀;ক্লান্ত বিড়ালের মুখ;ক্লান্ত বিড়ালের মুখ|পরিশ্রান্ত|বিড়াল|বিস্ময়সূচক মুখ গোল করে ওহঃ করা|বিস্মিত হওয়া|মুখ
😿;বিড়ালের মুখে কান্না;কান্না|দুঃখিত|বিড়াল|বিড়ালের মুখে কান্না|মুখ
😾;বিস্ফুরিত বিড়ালের মুখ;বিড়াল|বিস্ফারিত চোখ|বিস্ফুরিত বিড়ালের মুখ|মুখ
🙈;কোনো খারাপ জিনিস দেখব না;অঙ্গভঙ্গি|কোনো খারাপ জিনিস দেখব না|নিষিদ্ধ|বাঁদর|মুখ
🙉;কোনো খারাপ কিছু শুনব না;অঙ্গভঙ্গি|কোনো খারাপ কিছু শুনব না|নিষিদ্ধ|বাঁদর|মুখ
🙊;কোনো খারাপ কথা বলব না;অঙ্গভঙ্গি|কোনো খারাপ কথা বলব না|কোনো খারাপ কথা বলব না নিষিদ্ধ|বাঁদর|মুখ
💌;প্রেমের চিঠি;চিঠি|প্রেমের চিঠি|ভালবাসা|মেল|রোমান্স|হৃদয়
💘;তীর বিদ্ধ হার্ট;কিউপিড|তীর|তীর বিদ্ধ হার্ট
💝;রিবন বাঁধা হার্ট;ফিতা|ভ্যালেন্টাইন|রিবন বাঁধা হার্ট|হার্ট
💖;জ্বলজ্বলে হার্ট;উত্তেজিত|জ্বলজ্বলে হার্ট|ঝকমক করা|হৃদয়
💗;বর্ধনশীল হার্ট;উত্তেজিত|ক্রমবর্ধমান|বর্ধনশীল হার্ট|স্নায়ুবৈকল্য|হৃদয়|হৃদয় ধ্বনি
💓;স্পন্দিত হৃদয়;স্পন্দনশীল|স্পন্দিত|স্পন্দিত হৃদয়|হৃদস্পন্দন
💞;ঘূর্ণমান হার্ট;ঘুরপাক|ঘূর্ণমান হার্ট|হৃদয়
💕;দুটি হার্ট;দুটি হার্ট|ভালবাসা|হৃদয়
💟;হার্ট সজ্জা;হার্ট সজ্জা|হৃদয়
❣️;হার্টের আকারের বিস্ময়সূচক চিহ্ন;চিহ্ন|বিরাম চিহ্ন|বিস্ময়বোধক|হার্টের আকারের বিস্ময়সূচক চিহ্ন
💔;ভাঙ্গা হার্ট;ভাঙা|ভাঙ্গা হার্ট|ভেঙে যাওয়া|হার্ট
❤️‍🔥;আগুনে হৃদয়;আগুনে হৃদয়|পবিত্র হৃদয়|পোড়া|ভালবাসা|লালসা|হৃদয়
❤️‍🩹;সংশোধিত হৃদয়;উন্নতিশীল|নিরাময়কারী|পুনরুদ্ধার করা|ভাল|সংশোধিত হৃদয়|সেরে উঠা|স্বাস্থ্যকর
❤️;লাল হার্ট;লাল হার্ট|হৃদয়
🩷;গোলাপী হার্ট;গোলাপী|গোলাপী হার্ট|পছন্দ|ভালবাসা|সুন্দর|হৃদয়
🧡;কমলা হার্ট;কমলা|কমলা হার্ট
💛;হলুদ হার্ট;হলুদ|হলুদ হার্ট
💚;সবুজ হার্ট;সবুজ|সবুজ হার্ট|হৃদয়
💙;নীল হার্ট;নীল|নীল হার্ট|হৃদয়
🩵;হালকা নীল হার্ট;নীলচে সবুজ|সবজে নীল|হার্ট|হালকা নীল|হালকা নীল হার্ট
💜;বেগুনি হার্ট;বেগুনি হার্ট|বেগুনী|হার্ট
🤎;খয়েরি হার্ট;খয়েরি হার্ট|বাদামি|হার্ট
🖤;কালো হার্ট;কালো|দুষ্ট|বাজে|হার্ট
🩶;ধূসর হার্ট;ধূসর|রুপো|স্লেট|হার্ট
🤍;সাদা হার্ট;সাদা|হার্ট
💋;চুম্বনের চিহ্ন;চুম্বন|চুম্বনের চিহ্ন|ঠোট
💯;একশো পয়েন্ট;100|একশো পয়েন্ট|পূর্ণ|শত|স্কোর
💢;ক্রোধের প্রতীক;কমিক|ক্রুদ্ধ|ক্রোধের প্রতীক|ক্ষিপ্ত
💥;সংঘর্ষ;কমিক|বুম করে শব্দ হওয়া|সংঘর্ষ
💫;হতবুদ্ধি;কমিক|তারা|হতবুদ্ধি
💦;ঘামের ফোঁটা;কমিক|ঘর্মাক্ত অবস্থা|ঘামের ফোঁটা|জলের ফোটা
💨;উদ্যমী;উদ্যমী|কমিক|দৌড়রত|হানাহানি
🕳️;গর্ত;গর্ত
💬;বক্তব্যের বেলুন;কমিক|ডায়ালগ|বক্তব্যের বেলুন|বক্তৃতা|বুদ্বুদ
👁️‍🗨️;চোখের মতন স্পিচ বাবল;চোখ|চোখের মতন স্পিচ বাবল|সাক্ষী|স্পিচ বাবল
🗨️;কথা বলার বামদিকের বুদবুদ;কথা বলার বামদিকের বুদবুদ|ডায়ালগ|বক্তৃতা
🗯️;ডানে ক্রোধের বুদ্বুদ;ক্রুদ্ধ|ক্ষিপ্ত|ডানে ক্রোধের বুদ্বুদ|বুদ্বুদ|বেলুন
💭;থট বেলুন;কমিক|থট বেলুন|বুদ্বুদ|বেলুন|ভাবনা
💤;ঘুম পাচ্ছে;কমিক|ঘুম পাচ্ছে|ঘুমন্ত অবস্থা

[people_body]
👋;হাত নাড়ানো;দোলানো|নাড়ানো|শরীর|হাত
	👋🏻;হাত নাড়ানো: হালকা ত্বকের রঙ;দোলানো|নাড়ানো|শরীর|হাত|হাত নাড়ানো: হালকা ত্বকের রঙ|হালকা ত্বকের রঙ
	👋🏼;হাত নাড়ানো: মাঝারি-হালকা ত্বকের রঙ;দোলানো|নাড়ানো|মাঝারি-হালকা ত্বকের রঙ|শরীর|হাত|হাত নাড়ানো: মাঝারি-হালকা ত্বকের রঙ
	👋🏽;হাত নাড়ানো: মাঝারি ত্বকের রঙ;দোলানো|নাড়ানো|মাঝারি ত্বকের রঙ|শরীর|হাত|হাত নাড়ানো: মাঝারি ত্বকের রঙ
	👋🏾;হাত নাড়ানো: মাঝারি-কালো ত্বকের রঙ;দোলানো|নাড়ানো|মাঝারি-কালো ত্বকের রঙ|শরীর|হাত|হাত নাড়ানো: মাঝারি-কালো ত্বকের রঙ
	👋🏿;হাত নাড়ানো: কালো ত্বকের রঙ;কালো ত্বকের রঙ|দোলানো|নাড়ানো|শরীর|হাত|হাত নাড়ানো: কালো ত্বকের রঙ
🤚;হাতের পেছন দিক;হাত তোলা|হাতের পেছন দিক
	🤚🏻;হাতের পেছন দিক: হালকা ত্বকের রঙ;হাত তোলা|হাতের পেছন দিক|হাতের পেছন দিক: হালকা ত্বকের রঙ|হালকা ত্বকের রঙ
	🤚🏼;হাতের পেছন দিক: মাঝারি-হালকা ত্বকের রঙ;মাঝারি-হালকা ত্বকের রঙ|হাত তোলা|হাতের পেছন দিক|হাতের পেছন দিক: মাঝারি-হালকা ত্বকের রঙ
	🤚🏽;হাতের পেছন দিক: মাঝারি ত্বকের রঙ;মাঝারি ত্বকের রঙ|হাত তোলা|হাতের পেছন দিক|হাতের পেছন দিক: মাঝারি ত্বকের রঙ
	🤚🏾;হাতের পেছন দিক: মাঝারি-কালো ত্বকের রঙ;মাঝারি-কালো ত্বকের রঙ|হাত তোলা|হাতের পেছন দিক|হাতের পেছন দিক: মাঝারি-কালো ত্বকের রঙ
	🤚🏿;হাতের পেছন দিক: কালো ত্বকের রঙ;কালো ত্বকের রঙ|হাত তোলা|হাতের পেছন দিক|হাতের পেছন দিক: কালো ত্বকের রঙ
🖐️;আঙ্গুল প্রসারিত করে হাত তোলা;আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|প্রসারিত করা|শরীর|হাত
	🖐🏻;আঙ্গুল প্রসারিত করে হাত তোলা: হালকা ত্বকের রঙ;আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|আঙ্গুল প্রসারিত করে হাত তোলা: হালকা ত্বকের রঙ|প্রসারিত করা|শরীর|হাত|হালকা ত্বকের রঙ
	🖐🏼;আঙ্গুল প্রসারিত করে হাত তোলা: মাঝারি-হালকা ত্বকের রঙ;আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|আঙ্গুল প্রসারিত করে হাত তোলা: মাঝারি-হালকা ত্বকের রঙ|প্রসারিত করা|মাঝারি-হালকা ত্বকের রঙ|শরীর|হাত
	🖐🏽;আঙ্গুল প্রসারিত করে হাত তোলা: মাঝারি ত্বকের রঙ;আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|আঙ্গুল প্রসারিত করে হাত তোলা: মাঝারি ত্বকের রঙ|প্রসারিত করা|মাঝারি ত্বকের রঙ|শরীর|হাত
	🖐🏾;আঙ্গুল প্রসারিত করে হাত তোলা: মাঝারি-কালো ত্বকের রঙ;আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|আঙ্গুল প্রসারিত করে হাত তোলা: মাঝারি-কালো ত্বকের রঙ|প্রসারিত করা|মাঝারি-কালো ত্বকের রঙ|শরীর|হাত
	🖐🏿;আঙ্গুল প্রসারিত করে হাত তোলা: কালো ত্বকের রঙ;আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|আঙ্গুল প্রসারিত করে হাত তোলা: কালো ত্বকের রঙ|কালো ত্বকের রঙ|প্রসারিত করা|শরীর|হাত
✋;অনুগ্রহ করে থামুন;অনুগ্রহ করে থামুন|শরীর|হাত
	✋🏻;অনুগ্রহ করে থামুন: হালকা ত্বকের রঙ;অনুগ্রহ করে থামুন|অনুগ্রহ করে থামুন: হালকা ত্বকের রঙ|শরীর|হাত|হালকা ত্বকের রঙ
	✋🏼;অনুগ্রহ করে থামুন: মাঝারি-হালকা ত্বকের রঙ;অনুগ্রহ করে থামুন|অনুগ্রহ করে থামুন: মাঝারি-হালকা ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|শরীর|হাত
	✋🏽;অনুগ্রহ করে থামুন: মাঝারি ত্বকের রঙ;অনুগ্রহ করে থামুন|অনুগ্রহ করে থামুন: মাঝারি ত্বকের রঙ|মাঝারি ত্বকের রঙ|শরীর|হাত
	✋🏾;অনুগ্রহ করে থামুন: মাঝারি-কালো ত্বকের রঙ;অনুগ্রহ করে থামুন|অনুগ্রহ করে থামুন: মাঝারি-কালো ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|শরীর|হাত
	✋🏿;অনুগ্রহ করে থামুন: কালো ত্বকের রঙ;অনুগ্রহ করে থামুন|অনুগ্রহ করে থামুন: কালো ত্বকের রঙ|কালো ত্বকের রঙ|শরীর|হাত
🖖;ভ্যালকান স্যালুট;আকার ইঙ্গিত|আঙ্গুল|ভালকান|ভ্যালকান স্যালুট|শরীর|হাত
	🖖🏻;ভ্যালকান স্যালুট: হালকা ত্বকের রঙ;আকার ইঙ্গিত|আঙ্গুল|ভালকান|ভ্যালকান স্যালুট|ভ্যালকান স্যালুট: হালকা ত্বকের রঙ|শরীর|হাত|হালকা ত্বকের রঙ
	🖖🏼;ভ্যালকান স্যালুট: মাঝারি-হালকা ত্বকের রঙ;আকার ইঙ্গিত|আঙ্গুল|ভালকান|ভ্যালকান স্যালুট|ভ্যালকান স্যালুট: মাঝারি-হালকা ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|শরীর|হাত
