[smileys_emotion]
😀;ፈገግ ያለ ፊት;ፈገግ ያለ ፊት|ፈገግታ|ፊት
😫;የደከመው ፊት;የደከመ|የደከመው ፊት|ፊት
🥱;የሚያዛጋ ፊት;መደበር|መድከም|ማዛጋት|የሚያዛጋ ፊት
😤;ከአፍንጫ እንፋሎት የሚወጣው ፊት;ማሸነፍ|ከአፍንጫ እንፋሎት የሚወጣው ፊት|ድል|ፊት
😡;የበገነ ፊት;ቀይ|ቁጣ|የበገነ ፊት|የተቆጣ|የተናደደ
😠;የተናደደ ፊት;እብድ|የተናደደ|ፊት
🤬;የአፍ ምልክት ያለበት ፊት;የአፍ ምልክት ያለበት ፊት
😈;ቀንድ ያለው ሣቂታ ፊት;ሣቅ|ቀንድ ያለው ሣቂታ ፊት|ቀንዶች|ተረት ተረት|ፊት
👿;ጋኔን;ምናባዊ|ተረት ተረት|ዲያብሎስ|ጋኔን|ፊት
💀;የራስ ቅል ዓፅም;ሞት|ተረት ተረት|የራስ ቅል ዓፅም|ጭራቅ|ፊት
☠️;የራስቅል ከተጣመረ ዓፅም ጋር;የራስ ቅል|የራስቅል ከተጣመረ ዓፅም ጋር|የተጣመረ ዓፅም|ጭራቅ|ፊት
💩;የካካ ክምር;አስቂኝ|አዛባ|የካካ ክምር|ጭራቅ|ፊት
🤡;የአስቂኝ ተዋናይ ፊት;አስቂኝ ተዋናይ|የአስቂኝ ተዋናይ ፊት|ፊት
👹;ጭራቅ;ተረት ተረት|የጃፓን|ጭራቅ|ፊት|ፍጡር
👺;ጆሮ ቆራጭ;ተረት ተረት|የጃፓን|ጆሮ ቆራጭ|ጭራቅ|ፊት
👻;የሙት መንፈስ;ተረት ተረት|የሙት መንፈስ|ጭራቅ|ፊት|ፍጡር
👽;የሌላ ዓለም ፍጡር;ምናባዊ|የሌላ ዓለም ፍጡር|ጭራቅ|ፊት|ፍጡር
👾;የሌላ ዓለም ጭራቅ ፍጡር;ምናባዊ|የሌላ ዓለም ጭራቅ ፍጡር|የሌላ ዓለም ፍጡር|ጭራቅ|ፊት|ፍጡር
🤖;የሮቦት ፊት;ሮቦት|የሮቦት ፊት|ጭራቅ|ፊት
😺;አፏን የከፈተች ሣቂታ ድመት ፊት;አፍ|አፏን የከፈተች ሣቂታ ድመት ፊት|ክፍት|ድመት|ፊት
😸;ዓይኖቿ ሣቂታ የሆኑ ፈገግ ያለች ድመት ፊት;ዓይን|ዓይኖቿ ሣቂታ የሆኑ ፈገግ ያለች ድመት ፊት|ድመት|ፈገግታ|ፊት
😹;የሐሤት እንባ ያላት ድመት ፊት;ሐሤት|እንባ|የሐሤት እንባ ያላት ድመት ፊት|ድመት|ፊት
😻;ልብ ቅርጽ ያላቸው ዓይኖች ያላት ሣቂታ ድመት;ልብ ቅርጽ ያላቸው ዓይኖች ያላት ሣቂታ ድመት|ሣቅ|ዓይን|ድመት|ፊት
😼;የብልጥ ሣቅ የምትሥቅ ድመት ፊት;ምጸት|ምጽታዊ ሣቅ|የብልጥ ሣቅ የምትሥቅ ድመት ፊት|ድመት|ፊት
😽;ዓይኖቿን የጨፈነች የምትስም ድመት;መሳም|ዓይን|ዓይኖቿን የጨፈነች የምትስም ድመት|ድመት|ፊት
🙀;የደከማት ድመት ፊት;የተገረመ|የደከመው|የደከማት ድመት ፊት|ድመት|ፊት
😿;የምታለቅስ ድመት ፊት;ማልቀስ|እንባ|የምታለቅስ ድመት ፊት|ያዘነ|ድመት
😾;የምታለከልክ ድመት ፊት;ወሲብ የጠማት|የምታለከልክ ድመት ፊት|ድመት|ፊት
🙈;ምንም ክፉ አላይም;ማየት|ምንም ክፉ አላይም|ክፉ|የተከለከለ|ጦጣ|ፊት
🙉;ምንም ክፉ አልሰማም;ምንም ክፉ አልሰማም|ክፉ|የተከለከለ|ጦጣ|ፊት
🙊;ምንም ክፉ አልናገርም;መናገር|ምንም ክፉ አልናገርም|ክፉ|የተከለከለ
💌;የፍቅር ደብዳቤ;ልብ|የፍቅር ደብዳቤ|ደብዳቤ|ፍቅር|ፖስታ
💘;ቀስት የሰነጠቀው ልብ;ልብ|ቀስት|ቀስት የሰነጠቀው ልብ|የተሰነጠቀ|ፍቅር
💝;በሪባን የታሰረ ልብ;ልብ|ሪባን|በሪባን የታሰረ ልብ|ቫለንታይን
💖;አንጸባራቂ ልብ;ልብ|አንጸባራቂ|የጓጓ
💗;እያደገ የሚሄድ ልብ;እያደገ የሚሄድ ልብ|የልብ ምት|የሚያድግ|የጓጓ|የፈራ
💓;እየመታ ያለ ልብ;ልብ|መምታት|እየመታ ያለ ልብ|የልብ ምት|የልብ አመታት
💞;የሚሽከረከሩ ልቦች;ልብ|የሚሸከረከር|የሚሽከረከሩ ልቦች
💕;ሁለት ልቦች;ሁለት ልቦች|ልብ|ፍቅር
💟;የልብ ጌጥ;ልብ|የልብ ጌጥ
❣️;በልብ ቅርፅ የተዘጋጀ የቃለ አጋኖ ምልክት;ልብ|ምልክት|ሥርዓተ ነጥብ|ቃለ አጋኖ|በልብ ቅርፅ የተዘጋጀ የቃለ አጋኖ ምልክት
💔;የተሰበረ ልብ;ልብ|ሰበረ|የተሰበረ
❤️‍🔥;በበስጭት ላይ ያለ ልብ;በበስጭት ላይ ያለ ልብ
❤️‍🩹;የተጠገነ ልብ;የተጠገነ ልብ
❤️;ቀይ ልብ;ልብ|ቀይ ልብ
🩷;ሮዝ ልብ;ልብ|መውደድ|ሮዝ|ቆንጆ|ፍቅር
🧡;ብርቱካናማ ልብ;ብርቱካናማ ልብ
💛;ቢጫ ልብ;ልብ|ቢጫ
💚;አረንጓዴ ልብ;ልብ|አረንጓዴ
💙;ሰማያዊ ልብ;ልብ|ሰማያዊ
🩵;ፈዛዛ ሰማያዊ ልብ;ልብ|ሳያን|ሻይ|ፈዛዛ ሰማያዊ|ፈዛዛ ሰማያዊ ልብ
💜;ወይን ጠጅ ልብ;ልብ|ወይን ጠጅ|ወይን ጠጅ ልብ
🤎;ቡናማ ልብ;ልብ|ቡናማ
🖤;ጥቁር ልብ;ልብ|ሰይጣን|እርጉም|ጥቁር
🩶;ግራጫ ልብ;ልብ|ሰሌዳ|ብር|ግራጫ
🤍;ነጭ ልብ;ልብ|ነጭ
💋;የመሳም ምልክት;መሳም|ምልክት|ከንፈሮች|የመሳም ምልክት
💯;መቶ ነጥቦች;100|መቶ|መቶ ነጥቦች|ሙሉ|ውጤት
💢;የንዴት ምልክት;ንዴት|አስቂኝ|እብድ|የንዴት ምልክት
💥;ግጭት;አስቂኝ|ግጭት
💫;ድብት;አስቂኝ|ኮከብ|ድብት
💦;ጣፋጭ ጠብታዎች;ላብ|አስቂኝ|የውሃ መረጨት|ጣፋጭ ጠብታዎች
💨;እየቦነነ ያለ;ሩጫ|ሰርዝ|አስቂኝ|እየቦነነ ያለ
🕳️;ቀዳዳ;ቀዳዳ
💬;የንግግር አፉፋ;ንግግር|አረፋ|አስቂኝ|አፉፋ|ወሬ|የንግግር አፉፋ
👁️‍🗨️;ዓይን በንግግር አፉፋ;ምስክር|ንግግር|አይን|ዓይን በንግግር አፉፋ
🗨️;የግራ ንግግር አፉፋ;ንግግር|ወሬ|የግራ ንግግር አፉፋ
🗯️;የቀኝ የንዴት አፉፋ;ንዴት|አረፋ|አፉፋ|እብድ|የቀኝ የንዴት አፉፋ
💭;ሐሳብ ገላጭ አፉፋ;ሐሳብ|ሐሳብ ገላጭ አፉፋ|አረፋ|አስቂኝ|አፉፋ
💤;ዝ ዝ ዝ;አስቂኝ|እንቅልፍ|ዝ ዝ ዝ

[people_body]
👋;ተወዛዋዥ እጅ;ሞገድ|ተወዛዋዥ እጅ|አካል|እጅ|እጅ ማወዛወዝ
	👋🏻;ተወዛዋዥ እጅ: የቆዳ ዓይነት-1-2;ሞገድ|ተወዛዋዥ እጅ|ተወዛዋዥ እጅ: የቆዳ ዓይነት-1-2|አካል|እጅ|እጅ ማወዛወዝ|የቆዳ ዓይነት-1-2
	👋🏼;ተወዛዋዥ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሞገድ|ተወዛዋዥ እጅ|ተወዛዋዥ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አካል|እጅ|እጅ ማወዛወዝ
	👋🏽;ተወዛዋዥ እጅ: የቆዳ ዓይነት-4;ሞገድ|ተወዛዋዥ እጅ|ተወዛዋዥ እጅ: የቆዳ ዓይነት-4|አካል|እጅ|እጅ ማወዛወዝ|የቆዳ ዓይነት-4
	👋🏾;ተወዛዋዥ እጅ: የቆዳ ዓይነት-5;ሞገድ|ተወዛዋዥ እጅ|ተወዛዋዥ እጅ: የቆዳ ዓይነት-5|አካል|እጅ|እጅ ማወዛወዝ|የቆዳ ዓይነት-5
	👋🏿;ተወዛዋዥ እጅ: የቆዳ ዓይነት-6;ሞገድ|ተወዛዋዥ እጅ|ተወዛዋዥ እጅ: የቆዳ ዓይነት-6|አካል|እጅ|እጅ ማወዛወዝ|የቆዳ ዓይነት-6
🤚;ወደ ኋል የተዘረጋ እጅ;ወደ ኋል|ወደ ኋል የተዘረጋ እጅ|የተዘረጋ
	🤚🏻;ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-1-2;ወደ ኋል|ወደ ኋል የተዘረጋ እጅ|ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|የተዘረጋ
	🤚🏼;ወደ ኋል የተዘረጋ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ወደ ኋል|ወደ ኋል የተዘረጋ እጅ|ወደ ኋል የተዘረጋ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የተዘረጋ
	🤚🏽;ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-4;ወደ ኋል|ወደ ኋል የተዘረጋ እጅ|ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|የተዘረጋ
	🤚🏾;ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-5;ወደ ኋል|ወደ ኋል የተዘረጋ እጅ|ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|የተዘረጋ
	🤚🏿;ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-6;ወደ ኋል|ወደ ኋል የተዘረጋ እጅ|ወደ ኋል የተዘረጋ እጅ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|የተዘረጋ
🖐️;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች|መዘርጋት|አካል|እጅ|ጣት
	🖐🏻;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-1-2;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች|ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-1-2|መዘርጋት|አካል|እጅ|የቆዳ ዓይነት-1-2|ጣት
	🖐🏼;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች|ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መዘርጋት|አካል|እጅ|ጣት
	🖐🏽;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-4;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች|ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-4|መዘርጋት|አካል|እጅ|የቆዳ ዓይነት-4|ጣት
	🖐🏾;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-5;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች|ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-5|መዘርጋት|አካል|እጅ|የቆዳ ዓይነት-5|ጣት
	🖐🏿;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-6;ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች|ለሰላምታ ወደ ላይ የተዘረጉ የእጅ ጣቶች: የቆዳ ዓይነት-6|መዘርጋት|አካል|እጅ|የቆዳ ዓይነት-6|ጣት
✋;ወደ ላይ የተደረገ እጅ;አካል|እጅ|ወደ ላይ የተደረገ እጅ
	✋🏻;ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-1-2;አካል|እጅ|ወደ ላይ የተደረገ እጅ|ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	✋🏼;ወደ ላይ የተደረገ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አካል|እጅ|ወደ ላይ የተደረገ እጅ|ወደ ላይ የተደረገ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	✋🏽;ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-4;አካል|እጅ|ወደ ላይ የተደረገ እጅ|ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	✋🏾;ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-5;አካል|እጅ|ወደ ላይ የተደረገ እጅ|ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	✋🏿;ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-6;አካል|እጅ|ወደ ላይ የተደረገ እጅ|ወደ ላይ የተደረገ እጅ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🖖;ቩልካን ሰላምታ;ቩልካን|ቩልካን ሰላምታ|አካል|እጅ|ጣት
	🖖🏻;ቩልካን ሰላምታ: የቆዳ ዓይነት-1-2;ቩልካን|ቩልካን ሰላምታ|ቩልካን ሰላምታ: የቆዳ ዓይነት-1-2|አካል|እጅ|የቆዳ ዓይነት-1-2|ጣት
	🖖🏼;ቩልካን ሰላምታ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ቩልካን|ቩልካን ሰላምታ|ቩልካን ሰላምታ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አካል|እጅ|ጣት
	🖖🏽;ቩልካን ሰላምታ: የቆዳ ዓይነት-4;ቩልካን|ቩልካን ሰላምታ|ቩልካን ሰላምታ: የቆዳ ዓይነት-4|አካል|እጅ|የቆዳ ዓይነት-4|ጣት
	🖖🏾;ቩልካን ሰላምታ: የቆዳ ዓይነት-5;ቩልካን|ቩልካን ሰላምታ|ቩልካን ሰላምታ: የቆዳ ዓይነት-5|አካል|እጅ|የቆዳ ዓይነት-5|ጣት
