# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wiċċ jidħak ħafna;jidħaq ħafna|wiċċ|wiċċ jidħak ħafna
	🖐🏼;id mgħollija bl-iswaba’ mfettħa: ton medju-ċar tal-ġilda;id|id mgħollija bl-iswaba’ mfettħa|id mgħollija bl-iswaba’ mfettħa: ton medju-ċar tal-ġilda|mfettħa|suba’|ton medju-ċar tal-ġilda
	🖐🏽;id mgħollija bl-iswaba’ mfettħa: ton medju tal-ġilda;id|id mgħollija bl-iswaba’ mfettħa|id mgħollija bl-iswaba’ mfettħa: ton medju tal-ġilda|mfettħa|suba’|ton medju tal-ġilda
	🖐🏾;id mgħollija bl-iswaba’ mfettħa: ton medju-skur tal-ġilda;id|id mgħollija bl-iswaba’ mfettħa|id mgħollija bl-iswaba’ mfettħa: ton medju-skur tal-ġilda|mfettħa|suba’|ton medju-skur tal-ġilda
	🖐🏿;id mgħollija bl-iswaba’ mfettħa: ton skur tal-ġilda;id|id mgħollija bl-iswaba’ mfettħa|id mgħollija bl-iswaba’ mfettħa: ton skur tal-ġilda|mfettħa|suba’|ton skur tal-ġilda
✋;id mgħollija;id|id mgħollija
	✋🏻;id mgħollija: ton ċar tal-ġilda;id|id mgħollija|id mgħollija: ton ċar tal-ġilda|ton ċar tal-ġilda
	✋🏼;id mgħollija: ton medju-ċar tal-ġilda;id|id mgħollija|id mgħollija: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	✋🏽;id mgħollija: ton medju tal-ġilda;id|id mgħollija|id mgħollija: ton medju tal-ġilda|ton medju tal-ġilda
	✋🏾;id mgħollija: ton medju-skur tal-ġilda;id|id mgħollija|id mgħollija: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	✋🏿;id mgħollija: ton skur tal-ġilda;id|id mgħollija|id mgħollija: ton skur tal-ġilda|ton skur tal-ġilda
🖖;salut ta’ vulcan;id|salut ta’ vulcan|spock|suba’|vulcan
	🖖🏻;salut ta’ vulcan: ton ċar tal-ġilda;id|salut ta’ vulcan|salut ta’ vulcan: ton ċar tal-ġilda|spock|suba’|ton ċar tal-ġilda|vulcan
	🖖🏼;salut ta’ vulcan: ton medju-ċar tal-ġilda;id|salut ta’ vulcan|salut ta’ vulcan: ton medju-ċar tal-ġilda|spock|suba’|ton medju-ċar tal-ġilda|vulcan
	🖖🏽;salut ta’ vulcan: ton medju tal-ġilda;id|salut ta’ vulcan|salut ta’ vulcan: ton medju tal-ġilda|spock|suba’|ton medju tal-ġilda|vulcan
	🖖🏾;salut ta’ vulcan: ton medju-skur tal-ġilda;id|salut ta’ vulcan|salut ta’ vulcan: ton medju-skur tal-ġilda|spock|suba’|ton medju-skur tal-ġilda|vulcan
	🖖🏿;salut ta’ vulcan: ton skur tal-ġilda;id|salut ta’ vulcan|salut ta’ vulcan: ton skur tal-ġilda|spock|suba’|ton skur tal-ġilda|vulcan
🫱;;
	🫱🏻;;
	🫱🏼;;
	🫱🏽;;
	🫱🏾;;
	🫱🏿;;
🫲;;
	🫲🏻;;
	🫲🏼;;
	🫲🏽;;
	🫲🏾;;
	🫲🏿;;
🫳;;
	🫳🏻;;
	🫳🏼;;
	🫳🏽;;
	🫳🏾;;
	🫳🏿;;
🫴;;
	🫴🏻;;
	🫴🏼;;
	🫴🏽;;
	🫴🏾;;
	🫴🏿;;
🫷;;
	🫷🏻;;
	🫷🏼;;
	🫷🏽;;
	🫷🏾;;
	🫷🏿;;
🫸;;
	🫸🏻;;
	🫸🏼;;
	🫸🏽;;
	🫸🏾;;
	🫸🏿;;
👌;id OK;id|OK
	👌🏻;id OK: ton ċar tal-ġilda;id|id OK: ton ċar tal-ġilda|OK|ton ċar tal-ġilda
	👌🏼;id OK: ton medju-ċar tal-ġilda;id|id OK: ton medju-ċar tal-ġilda|OK|ton medju-ċar tal-ġilda
	👌🏽;id OK: ton medju tal-ġilda;id|id OK: ton medju tal-ġilda|OK|ton medju tal-ġilda
	👌🏾;id OK: ton medju-skur tal-ġilda;id|id OK: ton medju-skur tal-ġilda|OK|ton medju-skur tal-ġilda
	👌🏿;id OK: ton skur tal-ġilda;id|id OK: ton skur tal-ġilda|OK|ton skur tal-ġilda
🤌;;
	🤌🏻;;
	🤌🏼;;
	🤌🏽;;
	🤌🏾;;
	🤌🏿;;
🤏;;
	🤏🏻;;
	🤏🏼;;
	🤏🏽;;
	🤏🏾;;
	🤏🏿;;
✌️;id tar-rebħa;id|id tar-rebħa|rebħa|v
	✌🏻;id tar-rebħa: ton ċar tal-ġilda;id|id tar-rebħa|id tar-rebħa: ton ċar tal-ġilda|rebħa|ton ċar tal-ġilda|v
	✌🏼;id tar-rebħa: ton medju-ċar tal-ġilda;id|id tar-rebħa|id tar-rebħa: ton medju-ċar tal-ġilda|rebħa|ton medju-ċar tal-ġilda|v
	✌🏽;id tar-rebħa: ton medju tal-ġilda;id|id tar-rebħa|id tar-rebħa: ton medju tal-ġilda|rebħa|ton medju tal-ġilda|v
	✌🏾;id tar-rebħa: ton medju-skur tal-ġilda;id|id tar-rebħa|id tar-rebħa: ton medju-skur tal-ġilda|rebħa|ton medju-skur tal-ġilda|v
	✌🏿;id tar-rebħa: ton skur tal-ġilda;id|id tar-rebħa|id tar-rebħa: ton skur tal-ġilda|rebħa|ton skur tal-ġilda|v
🤞;swaba nkroċjati;bl-idejn|inkroċja|subgħa|swaba nkroċjati|xorti
	🤞🏻;swaba nkroċjati: ton ċar tal-ġilda;bl-idejn|inkroċja|subgħa|swaba nkroċjati|swaba nkroċjati: ton ċar tal-ġilda|ton ċar tal-ġilda|xorti
	🤞🏼;swaba nkroċjati: ton medju-ċar tal-ġilda;bl-idejn|inkroċja|subgħa|swaba nkroċjati|swaba nkroċjati: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|xorti
	🤞🏽;swaba nkroċjati: ton medju tal-ġilda;bl-idejn|inkroċja|subgħa|swaba nkroċjati|swaba nkroċjati: ton medju tal-ġilda|ton medju tal-ġilda|xorti
	🤞🏾;swaba nkroċjati: ton medju-skur tal-ġilda;bl-idejn|inkroċja|subgħa|swaba nkroċjati|swaba nkroċjati: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|xorti
	🤞🏿;swaba nkroċjati: ton skur tal-ġilda;bl-idejn|inkroċja|subgħa|swaba nkroċjati|swaba nkroċjati: ton skur tal-ġilda|ton skur tal-ġilda|xorti
🫰;;
	🫰🏻;;
	🫰🏼;;
	🫰🏽;;
	🫰🏾;;
	🫰🏿;;
🤟;ġest ta’ mħabba;ġest ta’ mħabba|id|ILY
	🤟🏻;ġest ta’ mħabba: ton ċar tal-ġilda;ġest ta’ mħabba|ġest ta’ mħabba: ton ċar tal-ġilda|id|ILY|ton ċar tal-ġilda
	🤟🏼;ġest ta’ mħabba: ton medju-ċar tal-ġilda;ġest ta’ mħabba|ġest ta’ mħabba: ton medju-ċar tal-ġilda|id|ILY|ton medju-ċar tal-ġilda
	🤟🏽;ġest ta’ mħabba: ton medju tal-ġilda;ġest ta’ mħabba|ġest ta’ mħabba: ton medju tal-ġilda|id|ILY|ton medju tal-ġilda
	🤟🏾;ġest ta’ mħabba: ton medju-skur tal-ġilda;ġest ta’ mħabba|ġest ta’ mħabba: ton medju-skur tal-ġilda|id|ILY|ton medju-skur tal-ġilda
	🤟🏿;ġest ta’ mħabba: ton skur tal-ġilda;ġest ta’ mħabba|ġest ta’ mħabba: ton skur tal-ġilda|id|ILY|ton skur tal-ġilda
🤘;sinjal tal-qrun;id|qrun|rock-on|sinjal tal-qrun|suba’
	🤘🏻;sinjal tal-qrun: ton ċar tal-ġilda;id|qrun|rock-on|sinjal tal-qrun|sinjal tal-qrun: ton ċar tal-ġilda|suba’|ton ċar tal-ġilda
	🤘🏼;sinjal tal-qrun: ton medju-ċar tal-ġilda;id|qrun|rock-on|sinjal tal-qrun|sinjal tal-qrun: ton medju-ċar tal-ġilda|suba’|ton medju-ċar tal-ġilda
	🤘🏽;sinjal tal-qrun: ton medju tal-ġilda;id|qrun|rock-on|sinjal tal-qrun|sinjal tal-qrun: ton medju tal-ġilda|suba’|ton medju tal-ġilda
	🤘🏾;sinjal tal-qrun: ton medju-skur tal-ġilda;id|qrun|rock-on|sinjal tal-qrun|sinjal tal-qrun: ton medju-skur tal-ġilda|suba’|ton medju-skur tal-ġilda
	🤘🏿;sinjal tal-qrun: ton skur tal-ġilda;id|qrun|rock-on|sinjal tal-qrun|sinjal tal-qrun: ton skur tal-ġilda|suba’|ton skur tal-ġilda
🤙;id ċempilli;id|id ċempilli|sejħa
	🤙🏻;id ċempilli: ton ċar tal-ġilda;id|id ċempilli|id ċempilli: ton ċar tal-ġilda|sejħa|ton ċar tal-ġilda
	🤙🏼;id ċempilli: ton medju-ċar tal-ġilda;id|id ċempilli|id ċempilli: ton medju-ċar tal-ġilda|sejħa|ton medju-ċar tal-ġilda
	🤙🏽;id ċempilli: ton medju tal-ġilda;id|id ċempilli|id ċempilli: ton medju tal-ġilda|sejħa|ton medju tal-ġilda
	🤙🏾;id ċempilli: ton medju-skur tal-ġilda;id|id ċempilli|id ċempilli: ton medju-skur tal-ġilda|sejħa|ton medju-skur tal-ġilda
	🤙🏿;id ċempilli: ton skur tal-ġilda;id|id ċempilli|id ċempilli: ton skur tal-ġilda|sejħa|ton skur tal-ġilda
👈;indiċi b’lura iipponta lejn ix-xellug;b’lura|idejn|indiċi|indiċi b’lura iipponta lejn ix-xellug|punt|suba’
	👈🏻;indiċi b’lura iipponta lejn ix-xellug: ton ċar tal-ġilda;b’lura|idejn|indiċi|indiċi b’lura iipponta lejn ix-xellug|indiċi b’lura iipponta lejn ix-xellug: ton ċar tal-ġilda|punt|suba’|ton ċar tal-ġilda
	👈🏼;indiċi b’lura iipponta lejn ix-xellug: ton medju-ċar tal-ġilda;b’lura|idejn|indiċi|indiċi b’lura iipponta lejn ix-xellug|indiċi b’lura iipponta lejn ix-xellug: ton medju-ċar tal-ġilda|punt|suba’|ton medju-ċar tal-ġilda
	👈🏽;indiċi b’lura iipponta lejn ix-xellug: ton medju tal-ġilda;b’lura|idejn|indiċi|indiċi b’lura iipponta lejn ix-xellug|indiċi b’lura iipponta lejn ix-xellug: ton medju tal-ġilda|punt|suba’|ton medju tal-ġilda
	👈🏾;indiċi b’lura iipponta lejn ix-xellug: ton medju-skur tal-ġilda;b’lura|idejn|indiċi|indiċi b’lura iipponta lejn ix-xellug|indiċi b’lura iipponta lejn ix-xellug: ton medju-skur tal-ġilda|punt|suba’|ton medju-skur tal-ġilda
	👈🏿;indiċi b’lura iipponta lejn ix-xellug: ton skur tal-ġilda;b’lura|idejn|indiċi|indiċi b’lura iipponta lejn ix-xellug|indiċi b’lura iipponta lejn ix-xellug: ton skur tal-ġilda|punt|suba’|ton skur tal-ġilda
👉;indiċi b’lura li jipponta lejn il-lemin;b’lura|idejn|indiċi|indiċi b’lura li jipponta lejn il-lemin|punt|suba’
	👉🏻;indiċi b’lura li jipponta lejn il-lemin: ton ċar tal-ġilda;b’lura|idejn|indiċi|indiċi b’lura li jipponta lejn il-lemin|indiċi b’lura li jipponta lejn il-lemin: ton ċar tal-ġilda|punt|suba’|ton ċar tal-ġilda
