[smileys_emotion]
😀;față încântată;față|față încântată|încântare
😻;pisică zâmbitoare cu inimioare la ochi;dragoste|față|inimioare|ochi|pisică|pisică zâmbitoare cu inimioare la ochi|zâmbet
😼;pisică cu zâmbet ironic;față|ironie|pisică|pisică cu zâmbet ironic|șiretenie|zâmbet
😽;pisică pupăcioasă;față|ochi|pisică|pisică pupăcioasă|sărut
🙀;pisică surprinsă;față|oh|pisică|pisică surprinsă|sperietură|surpriză|uimire
😿;pisică plângând;față|lacrimă|pisică|pisică plângând|plâns
😾;pisică îmbufnată;bosumflare|față|îmbufnare|pisică|pisică îmbufnată
🙈;nu văd nimic rău;față|interzis|maimuță|nu văd nimic rău|ochi acoperiți|rău|văz
🙉;nu aud nimic rău;auz|față|interzis|maimuță|nu aud nimic rău|rău|urechi acoperite
🙊;nu spun nimic rău;față|gură acoperită|interzis|maimuță|nu spun nimic rău|rău|vorbit
💌;scrisoare de dragoste;dragoste|inimă|iubire|plic|scrisoare|scrisoare de dragoste
💘;inimă săgetată;cupidon|inimă|inimă săgetată|săgeată
💝;inimă cu fundiță;cadou|inimă|inimă cu fundiță|panglică
💖;inimă strălucitoare;entuziasm|fericire|inimă|inimă strălucitoare|strălucire
💗;inimă care crește;emoție|entuziasm|inimă|inimă care crește|neliniște
💓;inimă palpitând;emoție|inimă|inimă palpitând|viață
💞;inimi învârtindu-se în cerc;cerc|inimă|inimi învârtindu-se în cerc|învârtire
💕;două inimioare;afecțiune|amor|două inimioare|dragoste|iubire
💟;decorațiune inimă;decor|decorațiune inimă|inimă
❣️;semnul exclamării cu inimioară;punctuație|semnul exclamării|semnul exclamării cu inimioară
💔;inimă zdrobită;durere|inimă|inimă zdrobită
❤️‍🔥;inimă în flăcări;arde|dorință|inimă|inimă în flăcări|inimă sacră|iubire|pasiune
❤️‍🩹;inimă în convalescență;ameliorare|bine|inimă în convalescență|însănătoșire|mai sănătos|recuperare
❤️;inimă roșie;inimă|inimă roșie
🩷;inimă roz;adorabil|dragoste|drăguț|inimă|iubi|plăcea|roz
🧡;inimă portocalie;inimă|inimă portocalie|portocaliu
💛;inimă galbenă;galben|inimă|inimă galbenă
💚;inimă verde;inimă|verde
💙;inimă albastră;albastru|inimă|inimă albastră
🩵;inimă albastru-deschis;albastru-deschis|albastru-verzui|bleu|cyan|inimă
💜;inimă mov;inimă|mov
🤎;inimă maro;inimă|maro
🖤;inimă neagră;inimă|inimă neagră|malefic|negru|rău
🩶;inimă gri;argintiu|cenușiu|gri|inimă
🤍;inimă albă;alb|albă|inimă
💋;urme de buze;buze|roșu|sărut|urme de buze
💯;o sută de puncte;100|maxim|o sută de puncte|scor
💢;simbol mânie;bandă desenată|furie|simbol mânie|supărare
💥;coliziune;bandă desenată|ciocnire|coliziune|explozie|impact
💫;amețit;amețeală|amețit|bandă desenată|steluțe
💦;picături de transpirație;bandă desenată|efort|picături|picături de transpirație|sudoare
💨;ștergând-o rapid;alergare|bandă desenată|fugă|grabă|nor de praf|ștergând-o rapid|viteză
🕳️;gaură;gaură
💬;balon de dialog;balon|balon de dialog|bandă desenată|dialog
👁️‍🗨️;ochi în balon de dialog;balon de dialog|martor|ochi|ochi în balon de dialog
🗨️;balon de dialog la stânga;balon|balon de dialog la stânga|desen|dialog|stânga
🗯️;balon de dialog furios la dreapta;balon|balon de dialog furios la dreapta|furie|supărare
💭;balon de gândire;balon|balon de gândire|bandă desenată|gând
💤;sfor;bandă desenată|sfor|sforăit

[people_body]
👋;mână fluturată;despărțire|mână|mână fluturată|semn
	👋🏻;mână fluturată: ton deschis al pielii;despărțire|mână|mână fluturată|mână fluturată: ton deschis al pielii|semn|ton deschis al pielii
	👋🏼;mână fluturată: ton semi‑deschis al pielii;despărțire|mână|mână fluturată|mână fluturată: ton semi‑deschis al pielii|semn|ton semi‑deschis al pielii
	👋🏽;mână fluturată: ton mediu al pielii;despărțire|mână|mână fluturată|mână fluturată: ton mediu al pielii|semn|ton mediu al pielii
	👋🏾;mână fluturată: ton semi‑închis al pielii;despărțire|mână|mână fluturată|mână fluturată: ton semi‑închis al pielii|semn|ton semi‑închis al pielii
	👋🏿;mână fluturată: ton închis al pielii;despărțire|mână|mână fluturată|mână fluturată: ton închis al pielii|semn|ton închis al pielii
🤚;dosul palmei ridicat;dosul palmei|dosul palmei ridicat|ridicat
	🤚🏻;dosul palmei ridicat: ton deschis al pielii;dosul palmei|dosul palmei ridicat|dosul palmei ridicat: ton deschis al pielii|ridicat|ton deschis al pielii
	🤚🏼;dosul palmei ridicat: ton semi‑deschis al pielii;dosul palmei|dosul palmei ridicat|dosul palmei ridicat: ton semi‑deschis al pielii|ridicat|ton semi‑deschis al pielii
	🤚🏽;dosul palmei ridicat: ton mediu al pielii;dosul palmei|dosul palmei ridicat|dosul palmei ridicat: ton mediu al pielii|ridicat|ton mediu al pielii
	🤚🏾;dosul palmei ridicat: ton semi‑închis al pielii;dosul palmei|dosul palmei ridicat|dosul palmei ridicat: ton semi‑închis al pielii|ridicat|ton semi‑închis al pielii
	🤚🏿;dosul palmei ridicat: ton închis al pielii;dosul palmei|dosul palmei ridicat|dosul palmei ridicat: ton închis al pielii|ridicat|ton închis al pielii
🖐️;mână ridicată cu degetele depărtate;deget|deschis|mână|mână ridicată cu degetele depărtate
	🖐🏻;mână ridicată cu degetele depărtate: ton deschis al pielii;deget|deschis|mână|mână ridicată cu degetele depărtate|mână ridicată cu degetele depărtate: ton deschis al pielii|ton deschis al pielii
	🖐🏼;mână ridicată cu degetele depărtate: ton semi‑deschis al pielii;deget|deschis|mână|mână ridicată cu degetele depărtate|mână ridicată cu degetele depărtate: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	🖐🏽;mână ridicată cu degetele depărtate: ton mediu al pielii;deget|deschis|mână|mână ridicată cu degetele depărtate|mână ridicată cu degetele depărtate: ton mediu al pielii|ton mediu al pielii
	🖐🏾;mână ridicată cu degetele depărtate: ton semi‑închis al pielii;deget|deschis|mână|mână ridicată cu degetele depărtate|mână ridicată cu degetele depărtate: ton semi‑închis al pielii|ton semi‑închis al pielii
	🖐🏿;mână ridicată cu degetele depărtate: ton închis al pielii;deget|deschis|mână|mână ridicată cu degetele depărtate|mână ridicată cu degetele depărtate: ton închis al pielii|ton închis al pielii
✋;mână ridicată;mână|mână ridicată|sus
	✋🏻;mână ridicată: ton deschis al pielii;mână|mână ridicată|mână ridicată: ton deschis al pielii|sus|ton deschis al pielii
	✋🏼;mână ridicată: ton semi‑deschis al pielii;mână|mână ridicată|mână ridicată: ton semi‑deschis al pielii|sus|ton semi‑deschis al pielii
	✋🏽;mână ridicată: ton mediu al pielii;mână|mână ridicată|mână ridicată: ton mediu al pielii|sus|ton mediu al pielii
	✋🏾;mână ridicată: ton semi‑închis al pielii;mână|mână ridicată|mână ridicată: ton semi‑închis al pielii|sus|ton semi‑închis al pielii
	✋🏿;mână ridicată: ton închis al pielii;mână|mână ridicată|mână ridicată: ton închis al pielii|sus|ton închis al pielii
🖖;salut vulcanian;deget|salut|salut vulcanian|spock|vulcan
	🖖🏻;salut vulcanian: ton deschis al pielii;deget|salut|salut vulcanian|salut vulcanian: ton deschis al pielii|spock|ton deschis al pielii|vulcan
	🖖🏼;salut vulcanian: ton semi‑deschis al pielii;deget|salut|salut vulcanian|salut vulcanian: ton semi‑deschis al pielii|spock|ton semi‑deschis al pielii|vulcan
	🖖🏽;salut vulcanian: ton mediu al pielii;deget|salut|salut vulcanian|salut vulcanian: ton mediu al pielii|spock|ton mediu al pielii|vulcan
	🖖🏾;salut vulcanian: ton semi‑închis al pielii;deget|salut|salut vulcanian|salut vulcanian: ton semi‑închis al pielii|spock|ton semi‑închis al pielii|vulcan
	🖖🏿;salut vulcanian: ton închis al pielii;deget|salut|salut vulcanian|salut vulcanian: ton închis al pielii|spock|ton închis al pielii|vulcan
🫱;mână spre dreapta;dreapta|la dreapta|mână|mână spre dreapta|spre dreapta
	🫱🏻;mână spre dreapta: ton deschis al pielii;dreapta|la dreapta|mână|mână spre dreapta|mână spre dreapta: ton deschis al pielii|spre dreapta|ton deschis al pielii
	🫱🏼;mână spre dreapta: ton semi‑deschis al pielii;dreapta|la dreapta|mână|mână spre dreapta|mână spre dreapta: ton semi‑deschis al pielii|spre dreapta|ton semi‑deschis al pielii
	🫱🏽;mână spre dreapta: ton mediu al pielii;dreapta|la dreapta|mână|mână spre dreapta|mână spre dreapta: ton mediu al pielii|spre dreapta|ton mediu al pielii
	🫱🏾;mână spre dreapta: ton semi‑închis al pielii;dreapta|la dreapta|mână|mână spre dreapta|mână spre dreapta: ton semi‑închis al pielii|spre dreapta|ton semi‑închis al pielii
	🫱🏿;mână spre dreapta: ton închis al pielii;dreapta|la dreapta|mână|mână spre dreapta|mână spre dreapta: ton închis al pielii|spre dreapta|ton închis al pielii
🫲;mână spre stânga;la stânga|mână|mână spre stânga|spre stânga|stânga
	🫲🏻;mână spre stânga: ton deschis al pielii;la stânga|mână|mână spre stânga|mână spre stânga: ton deschis al pielii|spre stânga|stânga|ton deschis al pielii
	🫲🏼;mână spre stânga: ton semi‑deschis al pielii;la stânga|mână|mână spre stânga|mână spre stânga: ton semi‑deschis al pielii|spre stânga|stânga|ton semi‑deschis al pielii
	🫲🏽;mână spre stânga: ton mediu al pielii;la stânga|mână|mână spre stânga|mână spre stânga: ton mediu al pielii|spre stânga|stânga|ton mediu al pielii
	🫲🏾;mână spre stânga: ton semi‑închis al pielii;la stânga|mână|mână spre stânga|mână spre stânga: ton semi‑închis al pielii|spre stânga|stânga|ton semi‑închis al pielii
	🫲🏿;mână spre stânga: ton închis al pielii;la stânga|mână|mână spre stânga|mână spre stânga: ton închis al pielii|spre stânga|stânga|ton închis al pielii
🫳;mână cu palma în jos;concedia|mână cu palma în jos|renunță|respinge|uș
	🫳🏻;mână cu palma în jos: ton deschis al pielii;concedia|mână cu palma în jos|mână cu palma în jos: ton deschis al pielii|renunță|respinge|ton deschis al pielii|uș
	🫳🏼;mână cu palma în jos: ton semi‑deschis al pielii;concedia|mână cu palma în jos|mână cu palma în jos: ton semi‑deschis al pielii|renunță|respinge|ton semi‑deschis al pielii|uș
	🫳🏽;mână cu palma în jos: ton mediu al pielii;concedia|mână cu palma în jos|mână cu palma în jos: ton mediu al pielii|renunță|respinge|ton mediu al pielii|uș
	🫳🏾;mână cu palma în jos: ton semi‑închis al pielii;concedia|mână cu palma în jos|mână cu palma în jos: ton semi‑închis al pielii|renunță|respinge|ton semi‑închis al pielii|uș
	🫳🏿;mână cu palma în jos: ton închis al pielii;concedia|mână cu palma în jos|mână cu palma în jos: ton închis al pielii|renunță|respinge|ton închis al pielii|uș
🫴;mână cu palma în sus;atrage|chemare|mână cu palma în sus|oferi|prinde|vino
	🫴🏻;mână cu palma în sus: ton deschis al pielii;atrage|chemare|mână cu palma în sus|mână cu palma în sus: ton deschis al pielii|oferi|prinde|ton deschis al pielii|vino
	🫴🏼;mână cu palma în sus: ton semi‑deschis al pielii;atrage|chemare|mână cu palma în sus|mână cu palma în sus: ton semi‑deschis al pielii|oferi|prinde|ton semi‑deschis al pielii|vino
	🫴🏽;mână cu palma în sus: ton mediu al pielii;atrage|chemare|mână cu palma în sus|mână cu palma în sus: ton mediu al pielii|oferi|prinde|ton mediu al pielii|vino
	🫴🏾;mână cu palma în sus: ton semi‑închis al pielii;atrage|chemare|mână cu palma în sus|mână cu palma în sus: ton semi‑închis al pielii|oferi|prinde|ton semi‑închis al pielii|vino
	🫴🏿;mână cu palma în sus: ton închis al pielii;atrage|chemare|mână cu palma în sus|mână cu palma în sus: ton închis al pielii|oferi|prinde|ton închis al pielii|vino
🫷;mână care împinge spre stânga;așteaptă|bate palma|împinge|mână care împinge spre stânga|refuz|spre stânga|stop
	🫷🏻;mână care împinge spre stânga: ton deschis al pielii;așteaptă|bate palma|împinge|mână care împinge spre stânga|mână care împinge spre stânga: ton deschis al pielii|refuz|spre stânga|stop|ton deschis al pielii
	🫷🏼;mână care împinge spre stânga: ton semi‑deschis al pielii;așteaptă|bate palma|împinge|mână care împinge spre stânga|mână care împinge spre stânga: ton semi‑deschis al pielii|refuz|spre stânga|stop|ton semi‑deschis al pielii
	🫷🏽;mână care împinge spre stânga: ton mediu al pielii;așteaptă|bate palma|împinge|mână care împinge spre stânga|mână care împinge spre stânga: ton mediu al pielii|refuz|spre stânga|stop|ton mediu al pielii
	🫷🏾;mână care împinge spre stânga: ton semi‑închis al pielii;așteaptă|bate palma|împinge|mână care împinge spre stânga|mână care împinge spre stânga: ton semi‑închis al pielii|refuz|spre stânga|stop|ton semi‑închis al pielii
	🫷🏿;mână care împinge spre stânga: ton închis al pielii;așteaptă|bate palma|împinge|mână care împinge spre stânga|mână care împinge spre stânga: ton închis al pielii|refuz|spre stânga|stop|ton închis al pielii
🫸;mână care împinge spre dreapta;așteaptă|bate palma|împinge|mână care împinge spre dreapta|refuz|spre dreapta|stop
	🫸🏻;mână care împinge spre dreapta: ton deschis al pielii;așteaptă|bate palma|împinge|mână care împinge spre dreapta|mână care împinge spre dreapta: ton deschis al pielii|refuz|spre dreapta|stop|ton deschis al pielii
	🫸🏼;mână care împinge spre dreapta: ton semi‑deschis al pielii;așteaptă|bate palma|împinge|mână care împinge spre dreapta|mână care împinge spre dreapta: ton semi‑deschis al pielii|refuz|spre dreapta|stop|ton semi‑deschis al pielii
	🫸🏽;mână care împinge spre dreapta: ton mediu al pielii;așteaptă|bate palma|împinge|mână care împinge spre dreapta|mână care împinge spre dreapta: ton mediu al pielii|refuz|spre dreapta|stop|ton mediu al pielii
	🫸🏾;mână care împinge spre dreapta: ton semi‑închis al pielii;așteaptă|bate palma|împinge|mână care împinge spre dreapta|mână care împinge spre dreapta: ton semi‑închis al pielii|refuz|spre dreapta|stop|ton semi‑închis al pielii
	🫸🏿;mână care împinge spre dreapta: ton închis al pielii;așteaptă|bate palma|împinge|mână care împinge spre dreapta|mână care împinge spre dreapta: ton închis al pielii|refuz|spre dreapta|stop|ton închis al pielii
👌;semnul ok;gest|mână|ok|semnul ok
	👌🏻;semnul ok: ton deschis al pielii;gest|mână|ok|semnul ok|semnul ok: ton deschis al pielii|ton deschis al pielii
	👌🏼;semnul ok: ton semi‑deschis al pielii;gest|mână|ok|semnul ok|semnul ok: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	👌🏽;semnul ok: ton mediu al pielii;gest|mână|ok|semnul ok|semnul ok: ton mediu al pielii|ton mediu al pielii
	👌🏾;semnul ok: ton semi‑închis al pielii;gest|mână|ok|semnul ok|semnul ok: ton semi‑închis al pielii|ton semi‑închis al pielii
	👌🏿;semnul ok: ton închis al pielii;gest|mână|ok|semnul ok|semnul ok: ton închis al pielii|ton închis al pielii
🤌;degete strânse;degete|degete strânse|gest cu mâna|interogație|sarcastic
	🤌🏻;degete strânse: ton deschis al pielii;degete|degete strânse|degete strânse: ton deschis al pielii|gest cu mâna|interogație|sarcastic|ton deschis al pielii
	🤌🏼;degete strânse: ton semi‑deschis al pielii;degete|degete strânse|degete strânse: ton semi‑deschis al pielii|gest cu mâna|interogație|sarcastic|ton semi‑deschis al pielii
	🤌🏽;degete strânse: ton mediu al pielii;degete|degete strânse|degete strânse: ton mediu al pielii|gest cu mâna|interogație|sarcastic|ton mediu al pielii
	🤌🏾;degete strânse: ton semi‑închis al pielii;degete|degete strânse|degete strânse: ton semi‑închis al pielii|gest cu mâna|interogație|sarcastic|ton semi‑închis al pielii
	🤌🏿;degete strânse: ton închis al pielii;degete|degete strânse|degete strânse: ton închis al pielii|gest cu mâna|interogație|sarcastic|ton închis al pielii
🤏;mână cu două degete apropiate;cantitate mică|mână cu două degete apropiate|valoare mică
	🤏🏻;mână cu două degete apropiate: ton deschis al pielii;cantitate mică|mână cu două degete apropiate|mână cu două degete apropiate: ton deschis al pielii|ton deschis al pielii|valoare mică
	🤏🏼;mână cu două degete apropiate: ton semi‑deschis al pielii;cantitate mică|mână cu două degete apropiate|mână cu două degete apropiate: ton semi‑deschis al pielii|ton semi‑deschis al pielii|valoare mică
	🤏🏽;mână cu două degete apropiate: ton mediu al pielii;cantitate mică|mână cu două degete apropiate|mână cu două degete apropiate: ton mediu al pielii|ton mediu al pielii|valoare mică
	🤏🏾;mână cu două degete apropiate: ton semi‑închis al pielii;cantitate mică|mână cu două degete apropiate|mână cu două degete apropiate: ton semi‑închis al pielii|ton semi‑închis al pielii|valoare mică
	🤏🏿;mână cu două degete apropiate: ton închis al pielii;cantitate mică|mână cu două degete apropiate|mână cu două degete apropiate: ton închis al pielii|ton închis al pielii|valoare mică
✌️;semnul victoriei;degete|mână|semnul victoriei|v|victorie
	✌🏻;semnul victoriei: ton deschis al pielii;degete|mână|semnul victoriei|semnul victoriei: ton deschis al pielii|ton deschis al pielii|v|victorie
	✌🏼;semnul victoriei: ton semi‑deschis al pielii;degete|mână|semnul victoriei|semnul victoriei: ton semi‑deschis al pielii|ton semi‑deschis al pielii|v|victorie
	✌🏽;semnul victoriei: ton mediu al pielii;degete|mână|semnul victoriei|semnul victoriei: ton mediu al pielii|ton mediu al pielii|v|victorie
	✌🏾;semnul victoriei: ton semi‑închis al pielii;degete|mână|semnul victoriei|semnul victoriei: ton semi‑închis al pielii|ton semi‑închis al pielii|v|victorie
	✌🏿;semnul victoriei: ton închis al pielii;degete|mână|semnul victoriei|semnul victoriei: ton închis al pielii|ton închis al pielii|v|victorie
🤞;degete încrucișate;degete|degete încrucișate|încrucișare|mână|noroc
	🤞🏻;degete încrucișate: ton deschis al pielii;degete|degete încrucișate|degete încrucișate: ton deschis al pielii|încrucișare|mână|noroc|ton deschis al pielii
	🤞🏼;degete încrucișate: ton semi‑deschis al pielii;degete|degete încrucișate|degete încrucișate: ton semi‑deschis al pielii|încrucișare|mână|noroc|ton semi‑deschis al pielii
	🤞🏽;degete încrucișate: ton mediu al pielii;degete|degete încrucișate|degete încrucișate: ton mediu al pielii|încrucișare|mână|noroc|ton mediu al pielii
	🤞🏾;degete încrucișate: ton semi‑închis al pielii;degete|degete încrucișate|degete încrucișate: ton semi‑închis al pielii|încrucișare|mână|noroc|ton semi‑închis al pielii
	🤞🏿;degete încrucișate: ton închis al pielii;degete|degete încrucișate|degete încrucișate: ton închis al pielii|încrucișare|mână|noroc|ton închis al pielii
🫰;mână cu degetul mare și arătătorul încrucișate;bani|ciubuc|mână cu degetul mare și arătătorul încrucișate|pocnet|scump
