[smileys_emotion]
😀;išsišiepęs veidas;išsišiepęs veidas|išsišiepti|veidas
🥶;sušalęs veidas;mėlynveidis|nušalimas|šaltas|stingdantis|sušalęs veidas|varvekliai
🥴;apkvaišęs veidas;apkvaišęs veidas|apsvaigęs|banguojanti burna|įkaušęs|nelygios akys
😵;apsvaigęs veidas;apsvaigęs|veidas
😵‍💫;veidas su spiralinėmis akimis;bėda|spiralė|svaigulys|užhipnotizuotas|va|veidas su spiralinėmis akimis
🤯;sprogstanti galva;šokiruotas|sprogstanti galva
🤠;kaubojaus veidas su skrybėle;kaubojaus veidas su skrybėle|kaubojus|skrybėlė|veidas
🥳;švenčiantis veidas;skrybėlė|švenčiantis veidas|šventė|šventimas|švilpynė
🥸;paslėptas veidas;akiniai|inkognito|nosis|pasislėpęs|paslėptas veidas|veidas
😎;besišypsantis veidas su akiniais nuo saulės;akiniai nuo saulės|besišypsantis veidas su akiniais nuo saulės|saulė|šaunus|šviesus|veidas
🤓;moksliuko veidas;moksliukas|moksliuko veidas|pirmūnas|veidas
🧐;veidas su monokliu;tvankus|veidas su monokliu
😕;sutrikęs veidas;sutrikęs|veidas
🫤;veidas įstriža burna;abejojantis|nusivylęs|skeptiškas|veidas įstriža burna
😟;susirūpinęs veidas;susirūpinęs|veidas
🙁;šiek tiek paniuręs veidas;paniuręs|šiek tiek paniuręs veidas|veidas
☹️;paniuręs veidas;paniuręs|veidas
😮;išsižiojęs veidas;atverta|burna|išsižiojęs|veidas
😯;nuščiuvęs veidas;nuščiuvęs|nustebęs|priblokštas|veidas
😲;apstulbęs veidas;apstulbęs|priblokštas|veidas|visiškai
😳;nuraudęs veidas;nuraudęs|raudonis|veidas
🥺;maldaujantis veidas;gailestingumas|maldaujantis veidas|maldavimas|šuniuko akys
🥹;ašaras tramdantis veidas;ašaras tramdantis veidas|išdidus|liūdnas|nepasiduoti|piktas|verkti
😦;paniuręs išsižiojęs veidas;burna|išsižiojęs|paniuręs|veidas
😧;kenčiantis veidas;kenčiantis|veidas
😨;baimės pilnas veidas;baimė|baimės pilnas veidas|išsigandęs|veidas
😰;išsižiojęs veidas, išpiltas šalto prakaito;burna|išpiltas šalto prakaito|išsižiojęs|išsižiojęs veidas, išpiltas šalto prakaito|mėlyna|prakaitas|šaltis|veidas
😥;nusivylęs veidas su palengvėjimu;nusivylęs|nusivylęs veidas su palengvėjimu|palengvėjimas|veidas
😢;verkiantis veidas;ašara|liūdnas|veidas|verkiantis veidas|verkti
😭;garsiai raudantis veidas;ašara|garsiai raudantis veidas|liūdnas|raudoti|veidas|verkti
😱;iš baimės šaukiantis veidas;baimė|iš baimės šaukiantis veidas|išsigandęs|šauksmas|veidas
😖;suglumintas veidas;suglumęs|suglumintas veidas|veidas
😣;atkaklus veidas;atkaklus|veidas
😞;nusivylęs veidas;nusivylęs|veidas
😓;veidas, išpiltas šalto prakaito;išpiltas šalto prakaito|prakaitas|šaltas|veidas|veidas, išpiltas šalto prakaito
😩;nuvargęs veidas;nuvargęs|pavargęs|veidas
😫;pavargęs veidas;pavargęs|veidas
🥱;žiovaujantis veidas;nuobodžiaujantis|pavargęs|žiovaujantis veidas|žiovauti
😤;veidas su iš nosies einančiais garais;laimėjo|triumfas|veidas|veidas su iš nosies einančiais garais
😡;susiraukęs veidas;įniršis|įsiutęs|piktas|raudonas|susiraukęs|veidas
😠;piktas veidas;piktas|pyktis|veidas
🤬;veidas su simboliais ant burnos;besikeikiantis|veidas su simboliais ant burnos
😈;besišypsantis veidas su ragais;besišypsantis veidas su ragais|fantazija|pasaka|ragai|šypsena|veidas
👿;velniūkštis;fantazija|pasaka|veidas|velnias|velniūkštis
💀;kaukolė;kaukolė|mirtis|monstras|pasaka|veidas
☠️;kaukolė ir sukryžiuoti kaulai;kaukolė|kaukolė ir sukryžiuoti kaulai|mirtis|monstras|sukryžiuoti kaulai|veidas
💩;išmatų krūvelė;išmatos|išmatų krūvelė|kakoti|komiksas|mėšlas|monstras|veidas
🤡;klouno veidas;klounas|klouno veidas|veidas
👹;pabaisa;fantazija|monstras|pabaisa|padaras|pasaka|veidas
👺;demonas;demonas|fantazija|monstras|padaras|pasaka|veidas
👻;vaiduoklis;fantazija|monstras|padaras|pasaka|vaiduoklis|veidas
👽;ateivis;ateivis|fantazija|kūrinys|nežemiška būtybė|veidas
👾;monstras ateivis;ateivis|fantazija|kūrinys|monstras ateivis|nežemiška būtybė|pabaisa|veidas
🤖;roboto veidas;monstras|robotas|roboto veidas|veidas
😺;besišypsančios katės snukutis;besišypsančios katės snukutis|burna|išsižiojęs|katė|šypsena|veidas
😸;išsišiepusios katės snukutis su besišypsančiomis akimis;akys|išsišiepusios katės snukutis su besišypsančiomis akimis|katė|šypsena|vaipytis|veidas
😹;katės snukutis su džiaugsmo ašaromis;ašara|džiaugsmas|katė|katės snukutis su džiaugsmo ašaromis|veidas
😻;besišypsančios katės snukutis su širdelės formos akimis;akis|besišypsančios katės snukutis su širdelės formos akimis|katė|meilė|šypsena|veidas
😼;nuvargusios besišypsančios katės snukutis;ironija|katė|nuvargęs|nuvargusios besišypsančios katės snukutis|šypsena|veidas
😽;bučiuojančios katės snukutis;akys|bučinys|bučiuojančios katės snukutis|katė|veidas
🙀;nustebusios katės snukutis;katė|nustebęs|nustebusios katės snukutis|oi|veidas
😿;verkiančios katės snukutis;ašara|katė|liūdesys|veidas|verkiančios katės snukutis|verkti
😾;susiraukusios katės snukutis;katė|susiraukęs|susiraukusios katės snukutis|veidas
🙈;užsidengusi akis beždžionė;beždžionė|blogis|draudžiama|matyti|uždrausta|užsidengusi akis beždžionė|veidas
🙉;užsidengusi ausis beždžionė;beždžionė|blogis|draudžiama|klausyti|uždrausta|užsidengusi ausis beždžionė|veidas
🙊;užsidengusi burną beždžionė;beždžionė|blogis|uždrausta|užsidengusi burną beždžionė|veidas
💌;meilės laiškas;laiškas|meilė|meilės laiškas|paštas|širdis
💘;širdelė su strėle;bučinys|lūpos|širdelė su strėle
💝;širdelė su kaspinu;kaspinas|širdelė su kaspinu|valentino diena
💖;žėrinti širdelė;susijaudinimas|žėrėti|žėrinti širdelė
💗;auganti širdelė;auganti širdelė|didėjimas|pulsas|susijaudinimas|susinervinęs
💓;plakanti širdelė;plakanti|plakanti širdelė|pulsavimas|širdies plakimas|širdis
💞;besisukančios širdelės;besisukančios širdelės|suktis
💕;dvi širdelės;dvi širdelės|meilė
💟;širdelės dekoracija;širdelės dekoracija|širdis
❣️;storas širdelės formos šauktukas;šauktukas|širdis|skyryba|storas širdelės formos šauktukas|ženklas
💔;sudaužyta širdelė;sudaužyta|sudaužyta širdelė|sudaužyti
❤️‍🔥;deganti širdis;deganti širdis
❤️‍🩹;gydytina širdis;atsigauna|atsigaunanti|gerai|gydytina širdis|sveikesnis|taisymas|tobulinti
❤️;raudona širdelė;raudona širdelė|širdis
🩷;rožinė širdelė;meilė|miela|patinka|rožinė|rožinė širdelė|širdis
🧡;oranžinė širdelė;oranžinė|oranžinė širdelė
💛;geltona širdelė;geltona|geltona širdelė
💚;žalia širdelė;žalia|žalia širdelė
💙;mėlyna širdelė;mėlyna|mėlyna širdelė
🩵;šviesiai mėlyna širdelė;širdis|šviesiai mėlyna|šviesiai mėlyna širdelė|žalsvai mėlyna
💜;purpurinė širdelė;purpurinė|purpurinė širdelė
🤎;ruda širdelė;ruda|širdelė
🖤;juoda širdis;blogis|juoda|širdis
🩶;pilka širdelė;granitas|pilka|pilka širdelė|sidabras|širdis
🤍;balta širdelė;balta|širdelė
💋;bučinio žymė;bučinio žymė|bučinys|lūpos
💯;šimtas taškų;100|pilnas|rezultatas|šimtas|šimtas taškų
💢;pykčio simbolis;komiksas|piktas|pykčio simbolis|supykęs
💥;susidūrimas;bum|komiksas|susidūrimas
💫;apsvaigęs;apsvaigęs|komiksas|žvaigždė
💦;prakaito lašeliai;komiksas|prakaitas|prakaito lašeliai|taškymas
💨;sukeltos dulkės;bėgimas|dulkės|komiksas|sukeltos dulkės
🕳️;duobė;duobė
💬;kalbos debesėlis;balionas|debesėlis|dialogas|kalba|kalbos debesėlis|komiksas
👁️‍🗨️;akis kalbėjimo burbule;akis|akis kalbėjimo burbule|kalbėjimo burbulas|liudjimas
🗨️;kairysis kalbos debesėlis;dialogas|kairysis kalbos debesėlis|kalba
🗯️;dešinysis pykčio debesėlis;balionas|debesėlis|dešinysis pykčio debesėlis|įsiutęs|piktas
💭;minties debesėlis;balionas|debesėlis|komiksas|minties debesėlis|mintis
💤;miego simbolis;komiksas|miegas|miego simbolis

[people_body]
👋;mojuojanti ranka;mojuoja|mojuojanti ranka|mojuoti|ranka
	👋🏻;mojuojanti ranka: šviesios odos;mojuoja|mojuojanti ranka|mojuojanti ranka: šviesios odos|mojuoti|ranka|šviesios odos
	👋🏼;mojuojanti ranka: vidutinio gymio;mojuoja|mojuojanti ranka|mojuojanti ranka: vidutinio gymio|mojuoti|ranka|vidutinio gymio
	👋🏽;mojuojanti ranka: rusvos odos;mojuoja|mojuojanti ranka|mojuojanti ranka: rusvos odos|mojuoti|ranka|rusvos odos
	👋🏾;mojuojanti ranka: tamsios odos;mojuoja|mojuojanti ranka|mojuojanti ranka: tamsios odos|mojuoti|ranka|tamsios odos
	👋🏿;mojuojanti ranka: itin tamsios odos;itin tamsios odos|mojuoja|mojuojanti ranka|mojuojanti ranka: itin tamsios odos|mojuoti|ranka
🤚;pakelta viršutinė plaštakos pusė;pakelta|pakelta viršutinė plaštakos pusė|plaštaka
	🤚🏻;pakelta viršutinė plaštakos pusė: šviesios odos;pakelta|pakelta viršutinė plaštakos pusė|pakelta viršutinė plaštakos pusė: šviesios odos|plaštaka|šviesios odos
	🤚🏼;pakelta viršutinė plaštakos pusė: vidutinio gymio;pakelta|pakelta viršutinė plaštakos pusė|pakelta viršutinė plaštakos pusė: vidutinio gymio|plaštaka|vidutinio gymio
	🤚🏽;pakelta viršutinė plaštakos pusė: rusvos odos;pakelta|pakelta viršutinė plaštakos pusė|pakelta viršutinė plaštakos pusė: rusvos odos|plaštaka|rusvos odos
	🤚🏾;pakelta viršutinė plaštakos pusė: tamsios odos;pakelta|pakelta viršutinė plaštakos pusė|pakelta viršutinė plaštakos pusė: tamsios odos|plaštaka|tamsios odos
	🤚🏿;pakelta viršutinė plaštakos pusė: itin tamsios odos;itin tamsios odos|pakelta|pakelta viršutinė plaštakos pusė|pakelta viršutinė plaštakos pusė: itin tamsios odos|plaštaka
🖐️;iškelta ranka su išskėstais pirštais;iškelta ranka su išskėstais pirštais|išskėsta|pirštas|ranka
	🖐🏻;iškelta ranka su išskėstais pirštais: šviesios odos;iškelta ranka su išskėstais pirštais|iškelta ranka su išskėstais pirštais: šviesios odos|išskėsta|pirštas|ranka|šviesios odos
	🖐🏼;iškelta ranka su išskėstais pirštais: vidutinio gymio;iškelta ranka su išskėstais pirštais|iškelta ranka su išskėstais pirštais: vidutinio gymio|išskėsta|pirštas|ranka|vidutinio gymio
	🖐🏽;iškelta ranka su išskėstais pirštais: rusvos odos;iškelta ranka su išskėstais pirštais|iškelta ranka su išskėstais pirštais: rusvos odos|išskėsta|pirštas|ranka|rusvos odos
	🖐🏾;iškelta ranka su išskėstais pirštais: tamsios odos;iškelta ranka su išskėstais pirštais|iškelta ranka su išskėstais pirštais: tamsios odos|išskėsta|pirštas|ranka|tamsios odos
	🖐🏿;iškelta ranka su išskėstais pirštais: itin tamsios odos;iškelta ranka su išskėstais pirštais|iškelta ranka su išskėstais pirštais: itin tamsios odos|išskėsta|itin tamsios odos|pirštas|ranka
✋;iškelta ranka;iškelta ranka|ranka
	✋🏻;iškelta ranka: šviesios odos;iškelta ranka|iškelta ranka: šviesios odos|ranka|šviesios odos
	✋🏼;iškelta ranka: vidutinio gymio;iškelta ranka|iškelta ranka: vidutinio gymio|ranka|vidutinio gymio
	✋🏽;iškelta ranka: rusvos odos;iškelta ranka|iškelta ranka: rusvos odos|ranka|rusvos odos
	✋🏾;iškelta ranka: tamsios odos;iškelta ranka|iškelta ranka: tamsios odos|ranka|tamsios odos
	✋🏿;iškelta ranka: itin tamsios odos;iškelta ranka|iškelta ranka: itin tamsios odos|itin tamsios odos|ranka
🖖;vulkanų rasės pasisveikinimo ženklas;kūnas|pirštas|ranka|vulkanai|vulkanų rasės pasisveikinimo ženklas
	🖖🏻;vulkanų rasės pasisveikinimo ženklas: šviesios odos;kūnas|pirštas|ranka|šviesios odos|vulkanai|vulkanų rasės pasisveikinimo ženklas|vulkanų rasės pasisveikinimo ženklas: šviesios odos
	🖖🏼;vulkanų rasės pasisveikinimo ženklas: vidutinio gymio;kūnas|pirštas|ranka|vidutinio gymio|vulkanai|vulkanų rasės pasisveikinimo ženklas|vulkanų rasės pasisveikinimo ženklas: vidutinio gymio
	🖖🏽;vulkanų rasės pasisveikinimo ženklas: rusvos odos;kūnas|pirštas|ranka|rusvos odos|vulkanai|vulkanų rasės pasisveikinimo ženklas|vulkanų rasės pasisveikinimo ženklas: rusvos odos
	🖖🏾;vulkanų rasės pasisveikinimo ženklas: tamsios odos;kūnas|pirštas|ranka|tamsios odos|vulkanai|vulkanų rasės pasisveikinimo ženklas|vulkanų rasės pasisveikinimo ženklas: tamsios odos
	🖖🏿;vulkanų rasės pasisveikinimo ženklas: itin tamsios odos;itin tamsios odos|kūnas|pirštas|ranka|vulkanai|vulkanų rasės pasisveikinimo ženklas|vulkanų rasės pasisveikinimo ženklas: itin tamsios odos
🫱;į dešinę rodanti ranka;dešinė|į dešinę|į dešinę rodanti ranka|ranka
	🫱🏻;į dešinę rodanti ranka: šviesios odos;dešinė|į dešinę|į dešinę rodanti ranka|į dešinę rodanti ranka: šviesios odos|ranka|šviesios odos
	🫱🏼;į dešinę rodanti ranka: vidutinio gymio;dešinė|į dešinę|į dešinę rodanti ranka|į dešinę rodanti ranka: vidutinio gymio|ranka|vidutinio gymio
	🫱🏽;į dešinę rodanti ranka: rusvos odos;dešinė|į dešinę|į dešinę rodanti ranka|į dešinę rodanti ranka: rusvos odos|ranka|rusvos odos
	🫱🏾;į dešinę rodanti ranka: tamsios odos;dešinė|į dešinę|į dešinę rodanti ranka|į dešinę rodanti ranka: tamsios odos|ranka|tamsios odos
	🫱🏿;į dešinę rodanti ranka: itin tamsios odos;dešinė|į dešinę|į dešinę rodanti ranka|į dešinę rodanti ranka: itin tamsios odos|itin tamsios odos|ranka
🫲;į kairę rodanti ranka;į kairę|į kairę rodanti ranka|kairė|ranka
	🫲🏻;į kairę rodanti ranka: šviesios odos;į kairę|į kairę rodanti ranka|į kairę rodanti ranka: šviesios odos|kairė|ranka|šviesios odos
	🫲🏼;į kairę rodanti ranka: vidutinio gymio;į kairę|į kairę rodanti ranka|į kairę rodanti ranka: vidutinio gymio|kairė|ranka|vidutinio gymio
	🫲🏽;į kairę rodanti ranka: rusvos odos;į kairę|į kairę rodanti ranka|į kairę rodanti ranka: rusvos odos|kairė|ranka|rusvos odos
	🫲🏾;į kairę rodanti ranka: tamsios odos;į kairę|į kairę rodanti ranka|į kairę rodanti ranka: tamsios odos|kairė|ranka|tamsios odos
	🫲🏿;į kairę rodanti ranka: itin tamsios odos;į kairę|į kairę rodanti ranka|į kairę rodanti ranka: itin tamsios odos|itin tamsios odos|kairė|ranka
🫳;ranka delnu žemyn;nekreipti dėmesio|numesti|ranka delnu žemyn|štiš
	🫳🏻;ranka delnu žemyn: šviesios odos;nekreipti dėmesio|numesti|ranka delnu žemyn|ranka delnu žemyn: šviesios odos|štiš|šviesios odos
	🫳🏼;ranka delnu žemyn: vidutinio gymio;nekreipti dėmesio|numesti|ranka delnu žemyn|ranka delnu žemyn: vidutinio gymio|štiš|vidutinio gymio
	🫳🏽;ranka delnu žemyn: rusvos odos;nekreipti dėmesio|numesti|ranka delnu žemyn|ranka delnu žemyn: rusvos odos|rusvos odos|štiš
	🫳🏾;ranka delnu žemyn: tamsios odos;nekreipti dėmesio|numesti|ranka delnu žemyn|ranka delnu žemyn: tamsios odos|štiš|tamsios odos
	🫳🏿;ranka delnu žemyn: itin tamsios odos;itin tamsios odos|nekreipti dėmesio|numesti|ranka delnu žemyn|ranka delnu žemyn: itin tamsios odos|štiš
🫴;ranka delnu į viršų;ateik|gaudyti|kviesti|ranka delnu į viršų|siūlymas
	🫴🏻;ranka delnu į viršų: šviesios odos;ateik|gaudyti|kviesti|ranka delnu į viršų|ranka delnu į viršų: šviesios odos|siūlymas|šviesios odos
	🫴🏼;ranka delnu į viršų: vidutinio gymio;ateik|gaudyti|kviesti|ranka delnu į viršų|ranka delnu į viršų: vidutinio gymio|siūlymas|vidutinio gymio
	🫴🏽;ranka delnu į viršų: rusvos odos;ateik|gaudyti|kviesti|ranka delnu į viršų|ranka delnu į viršų: rusvos odos|rusvos odos|siūlymas
	🫴🏾;ranka delnu į viršų: tamsios odos;ateik|gaudyti|kviesti|ranka delnu į viršų|ranka delnu į viršų: tamsios odos|siūlymas|tamsios odos
	🫴🏿;ranka delnu į viršų: itin tamsios odos;ateik|gaudyti|itin tamsios odos|kviesti|ranka delnu į viršų|ranka delnu į viršų: itin tamsios odos|siūlymas
🫷;į kairę stumianti ranka;atsisakyti|duok penkis|į kairę|į kairę stumianti ranka|laukti|stumti|sustoti
	🫷🏻;į kairę stumianti ranka: šviesios odos;atsisakyti|duok penkis|į kairę|į kairę stumianti ranka|į kairę stumianti ranka: šviesios odos|laukti|stumti|sustoti|šviesios odos
	🫷🏼;į kairę stumianti ranka: vidutinio gymio;atsisakyti|duok penkis|į kairę|į kairę stumianti ranka|į kairę stumianti ranka: vidutinio gymio|laukti|stumti|sustoti|vidutinio gymio
	🫷🏽;į kairę stumianti ranka: rusvos odos;atsisakyti|duok penkis|į kairę|į kairę stumianti ranka|į kairę stumianti ranka: rusvos odos|laukti|rusvos odos|stumti|sustoti
	🫷🏾;į kairę stumianti ranka: tamsios odos;atsisakyti|duok penkis|į kairę|į kairę stumianti ranka|į kairę stumianti ranka: tamsios odos|laukti|stumti|sustoti|tamsios odos
	🫷🏿;į kairę stumianti ranka: itin tamsios odos;atsisakyti|duok penkis|į kairę|į kairę stumianti ranka|į kairę stumianti ranka: itin tamsios odos|itin tamsios odos|laukti|stumti|sustoti
🫸;į dešinę stumianti ranka;atsisakyti|duok penkis|į dešinę|į dešinę stumianti ranka|laukti|stumti|sustoti
	🫸🏻;į dešinę stumianti ranka: šviesios odos;atsisakyti|duok penkis|į dešinę|į dešinę stumianti ranka|į dešinę stumianti ranka: šviesios odos|laukti|stumti|sustoti|šviesios odos
	🫸🏼;į dešinę stumianti ranka: vidutinio gymio;atsisakyti|duok penkis|į dešinę|į dešinę stumianti ranka|į dešinę stumianti ranka: vidutinio gymio|laukti|stumti|sustoti|vidutinio gymio
	🫸🏽;į dešinę stumianti ranka: rusvos odos;atsisakyti|duok penkis|į dešinę|į dešinę stumianti ranka|į dešinę stumianti ranka: rusvos odos|laukti|rusvos odos|stumti|sustoti
	🫸🏾;į dešinę stumianti ranka: tamsios odos;atsisakyti|duok penkis|į dešinę|į dešinę stumianti ranka|į dešinę stumianti ranka: tamsios odos|laukti|stumti|sustoti|tamsios odos
	🫸🏿;į dešinę stumianti ranka: itin tamsios odos;atsisakyti|duok penkis|į dešinę|į dešinę stumianti ranka|į dešinę stumianti ranka: itin tamsios odos|itin tamsios odos|laukti|stumti|sustoti
👌;GERAI ženklas rankomis;gerai|GERAI ženklas rankomis|ranka
	👌🏻;GERAI ženklas rankomis: šviesios odos;gerai|GERAI ženklas rankomis|GERAI ženklas rankomis: šviesios odos|ranka|šviesios odos
	👌🏼;GERAI ženklas rankomis: vidutinio gymio;gerai|GERAI ženklas rankomis|GERAI ženklas rankomis: vidutinio gymio|ranka|vidutinio gymio
	👌🏽;GERAI ženklas rankomis: rusvos odos;gerai|GERAI ženklas rankomis|GERAI ženklas rankomis: rusvos odos|ranka|rusvos odos
	👌🏾;GERAI ženklas rankomis: tamsios odos;gerai|GERAI ženklas rankomis|GERAI ženklas rankomis: tamsios odos|ranka|tamsios odos
	👌🏿;GERAI ženklas rankomis: itin tamsios odos;gerai|GERAI ženklas rankomis|GERAI ženklas rankomis: itin tamsios odos|itin tamsios odos|ranka
🤌;suspausti pirštai;pirštai|rankos gestas|sarkastiškas|suspausti
	🤌🏻;suspausti pirštai: šviesios odos;pirštai|rankos gestas|sarkastiškas|suspausti|suspausti pirštai: šviesios odos|šviesios odos
	🤌🏼;suspausti pirštai: vidutinio gymio;pirštai|rankos gestas|sarkastiškas|suspausti|suspausti pirštai: vidutinio gymio|vidutinio gymio
	🤌🏽;suspausti pirštai: rusvos odos;pirštai|rankos gestas|rusvos odos|sarkastiškas|suspausti|suspausti pirštai: rusvos odos
	🤌🏾;suspausti pirštai: tamsios odos;pirštai|rankos gestas|sarkastiškas|suspausti|suspausti pirštai: tamsios odos|tamsios odos
	🤌🏿;suspausti pirštai: itin tamsios odos;itin tamsios odos|pirštai|rankos gestas|sarkastiškas|suspausti|suspausti pirštai: itin tamsios odos
🤏;žnybianti ranka;mažas kiekis|žnybianti ranka
	🤏🏻;žnybianti ranka: šviesios odos;mažas kiekis|šviesios odos|žnybianti ranka|žnybianti ranka: šviesios odos
	🤏🏼;žnybianti ranka: vidutinio gymio;mažas kiekis|vidutinio gymio|žnybianti ranka|žnybianti ranka: vidutinio gymio
	🤏🏽;žnybianti ranka: rusvos odos;mažas kiekis|rusvos odos|žnybianti ranka|žnybianti ranka: rusvos odos
