[smileys_emotion]
😀;wobličo ze šibałym posměwkom;wobličo|wobličo ze šibałym posměwkom|wočinjena huba|žortne
🫢;wobličo z wočinjenymaj wočomaj a ruku na hubje;bojazliwosć|česćownosć|njewěra|překwapjenje|stróžele|wobličo z wočinjenymaj wočomaj a ruku na hubje|zadźiwanje
🫣;wobličo z kukacym wóčkom;kukać|putany|wobličo z kukacym wóčkom|wudźěrać
🤫;napominace wobličo;mjelčo|napominace wobličo|pst
🤔;wobličo, kiž rozmysluje;kiž rozmysluje|rozmyslować|wobličo|wobličo, kiž rozmysluje
🫡;salutěrowace wobličo;haj|jednotki|salutěrować|salutěrowace wobličo|słónčne|w porjadku
🤐;wobličo ze zasmykom na hubje;wobličo|wobličo ze zasmykom na hubje|zasmyk
🤨;wobličo z horje sćehnjenej brjowku;njedowěrliwy|skeptiski|wobličo z horje sćehnjenej brjowku
😐;neutralne wobličo;bjez komentara|neutralne wobličo|wobličo
😑;wobličo bjez wuraza;bjez komentara|wobličo|wobličo bjez wuraza
😶;wobličo bjez huby;bjez huby|bjez słowow|ćicho|mjelčo|wobličo|wobličo bjez huby
🫥;wobličo z dypkowanej smužku;depresiwny|introwertěrowany|njewidźomny|so schować|so zhubić|wobličo z dypkowanej smužku
😶‍🌫️;wobličo w mróčelach;hłowa w mróčelach|kaž njepřitomny|wobličo w mlě|wobličo w mróčelach
😏;wobličo, kiž so samospodobnje směje;kiž so samospodobnje směje|wobličo|wobličo, kiž so samospodobnje směje
😒;hněwne wobličo;hněwne wobličo|njespokojom|wobličo
🙄;wobličo, kiž wjerći z wočomaj;kiž wjerći z wočomaj|wobličo|wobličo, kiž wjerći z wočomaj|woči wjerćeć
😬;wobličo z grimasu;grimasa|wobličo|wobličo z grimasu|zuby
😮‍💨;wobličo, kiž wudycha;hwizdać|kiž wudycha|šeptać|stonać|wobličo|wobličo, kiž wudycha|wolóženje|wudychać
🤥;wobličo, kiž łži;kiž łži|łža|nós Pinocchija|wobličo|wobličo, kiž łži
🫨;třepotate mjezwočo;mjezwočo|šok|třasć so|třepotać|třepotate mjezwočo|zemjerženje
🙂‍↔️;wobličo, kiž z hłowu wije;kiž z hłowu wije|ně|wobličo|wobličo, kiž z hłowu wije|z hłowu wić
🙂‍↕️;wobličo, kiž nyga;haj|kiž nyga|nygać|wobličo|wobličo, kiž nyga
😌;wolóžene wobličo;wobličo|wolóžene wobličo|wolóženy|zawrjenej woči
😔;zamyslene wobličo;wobličo|zamyslene wobličo|zamysleny
😪;sparne wobličo;mučny|sparne wobličo|wobličo
🤤;wobličo, kotremuž sliny zběža;kotremuž sliny zběža|sliny|wobličo|wobličo, kotremuž sliny zběža
😴;wobličo, kotrež spi;kotrež spi|smorčeć|spać|wobličo|wobličo, kotrež spi|zzz
😷;wobličo z nahubnikom;chorosć|lěkar|wobličo|wobličo z nahubnikom
🤒;wobličo ze zymicowym termometrom;chory|wobličo|wobličo ze zymicowym termometrom|zymicowy termometer
🤕;wobličo z wobwjazom wokoło hłowy;bolosće|wobličo|wobličo z wobwjazom wokoło hłowy|wobwjaz|zranjenje
🤢;wobličo, kotremuž je špatne;bluwanje|kotremuž je špatne|mi je špatne|wobličo|wobličo, kotremuž je špatne
🤮;bluwace wobličo;bluwać|bluwace wobličo|chory|jokać
🤧;wobličo, kiž třichnje;kiž třichnje|třichać|třichnyć|wobličo|wobličo, kiž třichnje
🥵;wobličo, kiž so poći;horco|kiž so poći|słónco je mje zežahało|so poćić|wobličo|wobličo, kiž so poći|wopar|zymica
🥶;wobličo, kiž zymu mrěje;kiž zymu mrěje|módre wobličo|wobličo|wobličo, kiž zymu mrěje|wozabina|wozybaty|zyma|zymu mrěć
🥴;zawjerćane wobličo;natutkany|pjany|wopity|zawjerćane wobličo|zawjerćany
😵;wobličo, kotremuž so we hłowje wjerći;hłowywjerćenje|kotremuž so we hłowje wjerći|wobličo|wobličo, kotremuž so we hłowje wjerći
😵‍💫;wobličo ze spiralojtymaj wočomaj;hłowywjerćenje|hypnotizowany|spiralojty|wobličo ze spiralojtymaj wočomaj|woči
🤯;hłowa, kotraž rozbuchnje;hłowa|hłowa, kotraž rozbuchnje|kotraž rozbuchnje|někomu so zecnje|šokowany
🤠;wobličo z cowboyjowym kłobukom;cowboy|kłobuk|wobličo|wobličo z cowboyjowym kłobukom
🥳;wobličo, kiž swjeći;kiž swjeći|party|swjećić|wobličo|wobličo, kiž swjeći
🥸;předrasćene wobličo;inkognito|nawoči z nosom|nós|předrasćene wobličo|předrasćeny
😎;wobličo z posměwkom a słónčnymi nawočemi;cool|słónčne nawoči|wobličo|wobličo z posměwkom a słónčnymi nawočemi
🤓;wobličo prócowaka;prócowak|wobličo|wobličo prócowaka
🧐;wobličo z monoklom;monokl|wobličo z monoklom
😕;bjezradne wobličo;bjezradne wobličo|bjezradny|wobličo
🫤;wobličo z diagonalnej hubu;mórkotacy|njewěsty|přesłapjeny|skeptiski|wobličo z diagonalnej hubu
😟;starosćiwe wobličo;so starosćić|starosćiwe wobličo|starosćiwy|wobličo
🙁;zrudźene wobličo;wobličo|zrudny|zrudźene wobličo|zrudźeny
☹️;wobličo, kiž zmoršći tróšku čoło;kiž zmoršći tróšku čoło|wobličo|wobličo, kiž zmoršći tróšku čoło|zrudne
😮;wobličo z wočinjenej hubu;wobličo|wobličo z wočinjenej hubu|wočinjena huba
😯;překwapjene wobličo;bjez słowow|překwapjene wobličo|překwapjeny|wobličo
😲;zadźiwane wobličo;wobličo|zadźiwane wobličo|zadźiwany
😳;wobličo, kiž je so začerwjeniło a ma wulkej woči;čerwjenej ličce|kiž je so začerwjeniło|kiž je so začerwjeniło a ma wulkej woči|překwapjeny|wobličo|wobličo, kiž je so začerwjeniło a ma wulkej woči
🥺;prošace wobličo;hnada|prošace wobličo|prosyć|smilnosć|woči šćenjeća
🥹;wobličo, kiž dźerži sylzy wróćo;hordy|kiž dźerži sylzy wróćo|płakać|so spjećować|so złobić|wobličo|wobličo, kiž dźerži sylzy wróćo|zrudny
😦;wobličo, kotremuž so zecnje;kotremuž so zecnje|wobličo|wobličo, kotremuž so zecnje|wočinjena huba|zadźiwany
😧;čwělowane wobličo;čwěle|čwělowane wobličo|wobličo
😨;bojazliwe wobličo;bojazliwe wobličo|bojazliwy|strach|wobličo
😰;starosćiwe wobličo z kapku pota;starosćiwe wobličo z kapku pota|wobličo|wočinjena huba|zymny pót
😥;zrudne abo wolóžene wobličo;pót|překwapjeny|přesłapjeny|wobličo|zrudne abo wolóžene wobličo
😢;płakace wobličo;płakace wobličo|sylza|wobličo|zrudny
😭;wobličo, kiž bječi;kiž bječi|sylzy|wobličo|wobličo, kiž bječi|zrudny
😱;wobličo, kiž ze strachom rjeji;kiž ze strachom rjeji|rjejić|strach|wobličo|wobličo, kiž ze strachom rjeji
😖;dospołnje bjezradne wobličo;dospołnje bjezradne wobličo|dospołnje bjezradny|wobličo
😣;zasakłe wobličo;wobličo|wutrajnosć|zasakłe wobličo|zasakłosć
😞;přesłapjene wobličo;přesłapjene wobličo|wobličo|zrudne
😓;poražene wobličo z kapku pota;deprimowany|poražene wobličo z kapku pota|poraženy|wobličo|zymny pót
😩;wučerpane wobličo;mučny|wobličo|wučerpane wobličo|wučerpany
😫;mučne wobličo;mučne wobličo|mučny|wobličo
🥱;zywace wobličo;mučny|so wostudźić|wostudu pasć|zywać|zywace wobličo
😤;wobličo, kotremuž para z nosa stupa;dobyćer|kotremuž para z nosa stupa|triumf|wobličo|wobličo, kotremuž para z nosa stupa|wolóženy
😡;wobličo, kiž kózlika wjaza;čerwjeny|hněwać so|kiž kózlika wjaza|mjerzać so|wobličo|wobličo, kiž kózlika wjaza
😠;rozhněwane wobličo;hněwać so|mjerzać so|rozhněwane wobličo|wobličo
🤬;wobličo ze symbolemi nad hubu;sakrować|wobličo ze symbolemi nad hubu
😈;so šćěrjace wobličo z rohomaj;čert|djaboł|djas|so šćěrjace wobličo z rohomaj
👿;hněwne wobličo z rohomaj;čerćik|fantasy|hněwne wobličo z rohomaj|wobličo
💀;nop;mortwy|nop|smjerć|wobličo
☠️;nop ze skřižowanymaj kosćomaj;mortwy|nop|nop ze skřižowanymaj kosćomaj|piratowska chorhoj|smjerć|wobličo
💩;hromadka howna;ekskrementy|howno|hromadka howna|sranty
🤡;wobličo clowna;clown|wobličo clowna
👹;potwora;bajka|Japanska|monster|potwora|wobličo
👺;maska kubołta;bajka|Japanska|kubołt|maska kubołta|monster|wobličo
👻;duch;bajka|duch|fantasy|wobličo
👽;alien;alien|wobličo|zwonkazemske stworjenje|zwonkazemski
👾;monster z kompjuteroweje hry;alien|kompjuterowa hra|monster|monster z kompjuteroweje hry
🤖;roboter;monster|roboter|wobličo
😺;kóčka ze šibałym posměwkom;kóčka|kóčka ze šibałym posměwkom|posměwk|wobličo|žortne
😸;kóčka ze šibałym posměwkom a so smějacymaj wočomaj;kóčka|kóčka ze šibałym posměwkom a so smějacymaj wočomaj|wobličo|woči
😹;kóčka ze sylzami radosće;kóčka|kóčka ze sylzami radosće|so smjeć|sylzy|wobličo
😻;kóčka ze šibałym posměwkom a wutrobičkojtymaj wočomaj;kóčka|kóčka ze šibałym posměwkom a wutrobičkojtymaj wočomaj|lubosć|wobličo|zalubowany
😼;kóčka z kisałym posměwkom;ironiski|kóčka z kisałym posměwkom|wobličo
😽;hubkowaca kóčka;čerwjenej ličce|hubkowaca kóčka|kóčka|wobličo
🙀;wučerpana kóčka;kóčka|rjejić|strach|wobličo|wučerpana kóčka
😿;płakaca kóčka;kóčka|płakaca kóčka|sylza|wobličo|zrudny
😾;kóčka, kiž kózlika wjaza;hněwny|kiž kózlika wjaza|kóčka|kóčka, kiž kózlika wjaza|wobličo
🙈;wopica, kiž sej woči zadźerži;kiž sej woči zadźerži|ničo njewidźeć|wopica|wopica, kiž sej woči zadźerži|zakazane
🙉;wopica, kiž sej wuši zadźerži;kiž sej wuši zadźerži|ničo njesłyšeć|wopica|wopica, kiž sej wuši zadźerži|zakazane
🙊;wopica, kiž sej hubu zadźerži;kiž sej hubu zadźerži|nječo njeprajić|wopica|wopica, kiž sej hubu zadźerži|zakazane
💌;lubosćinski list;list|lubosć|lubosćinski list|wutrobička
💘;wutrobička z kłokom;kłok|lubosć|wutroba|wutrobička|wutrobička z kłokom
💝;wutrobička ze seklu;dźeń swjateho Walentina|sekla|Walentinowy dźeń|wutroba|wutrobička|wutrobička ze seklu
💖;so zybolaca wutrobička;lubosć|rozbudźeny|so zybolaca wutrobička|wutroba
💗;rosćaca wutrobička;lubosć|rosćaca wutrobička|rozbudźeny|wutroba
💓;pukotaca wutrobička;lubosć|pukotaca wutroba|pukotaca wutrobička|wutroba|wutrobička
💞;kružacej wutrobičce;kiž kružitej|kružacej wutrobičce|lubosć|wutroba|wutrobičce|wutrobička
💕;dwě wutrobičce;dwě wutrobičce|lubosć|wutroba|wutrobička
💟;dekoracija z wutrobičku;dekoracija z wutrobičku|dekoracija z wutrobu|wutroba|wutrobička
❣️;wutrobička jako wuwołak;interpunkcija|wutroba|wutrobička|wutrobička jako wuwołak|wuwołak
💔;złamana wutrobička;bolosć|dźělenje|horjo|wutroba|złamana wutrobička
❤️‍🔥;wutrobička so pali;lubosć|so palić|swjata wutroba|wutroba|wutrobička|wutrobička so pali
❤️‍🩹;wutrobu hojić;hojić|lěkować|so wustrowić|so zhrabać|wotchorić|wutrobu hojić
❤️;čerwjena wutrobička;čerwjena wutrobička|čerwjeny|wutroba|wutrobička
🩷;róžojta wutroba;lubosć|rady měć|róžojta|šikwana|wutroba
🧡;oranžojta wutrobička;oranžojta wutrobička|oranžojty|wutroba|wutrobička
💛;žołta wutrobička;wutroba|wutrobička|žołta wutrobička|žołty
💚;zelena wutrobička;wutroba|wutrobička|zelena wutrobička|zeleny
💙;módra wutrobička;módra wutrobička|módry|wutroba|wutrobička
🩵;swětłomódra wutroba;cyan|módrozelena|swětłomódra|wutroba
💜;fijałkojta wutrobička;fijałkojta wutrobička|fijałkojty|wutroba|wutrobička
🤎;bruna wutrobička;bruna wutrobička|bruny|wutroba|wutrobička
🖤;čorna wutrobička;čorna wutrobička|čorny|lózy|wutroba|zły
🩶;šěra wutroba;šćěpjel|šěra|slěbro|wutroba
🤍;běła wutrobička;běła wutrobička|běły|wutroba|wutrobička
💋;wotćišć hubki;hubje|hubka|wotćišć hubki|wotćišć hubow
💯;sto dypkow;dypki|połna ličba dypkow|sto|sto dypkow
💢;symbol hněwanja;comic|hněw|hněwny|symbol hněwanja
💥;zražka;comic|do so zrazyć|eksplozija|hromadźe zrazyć|zražka
💫;wjerćenje we hłowje;comic|hwězda|hwězdy widźeć|wjerćenje we hłowje
💦;kapki pota;comic|kapki pota|pancać|pót
💨;so z procha měć;běžeć|ćěkać|ćeknyć|comic|mróčel procha|so z procha měć|so zminyć
🕳️;dźěra;čorny|dźěra
💬;rěčny pucher z třomi dypkami;dialog|rěčny pucher|rěčny pucher z třomi dypkami|rozmołwa
👁️‍🗨️;wóčko w rěčnym pucherju;dialog|rěčeć|so rozmołwjeć|wóčko|wóčko w rěčnym pucherju
🗨️;rěčny pucher nalěwo;dialog|rěčeć|rěčny pucher nalěwo|rozmołwa|so rozmołwjeć
🗯️;rěčny pucher za hněwne wuprajenje naprawo;hněwny|rěčny pucher|rěčny pucher za hněwne wuprajenje naprawo
💭;myslowy pucher;comic|myslowy pucher|rozmyslować
💤;spać;comic|smorčeć|spać|spar|zzz

[people_body]
👋;kiwaca ruka;kiwać|kiwaca ruka|ruka
	👋🏻;kiwaca ruka: swětła barba kože;kiwać|kiwaca ruka|kiwaca ruka: swětła barba kože|ruka|swětła barba kože
	👋🏼;kiwaca ruka: srěnjoswětła barba kože;kiwać|kiwaca ruka|kiwaca ruka: srěnjoswětła barba kože|ruka|srěnjoswětła barba kože
	👋🏽;kiwaca ruka: srěnja barba kože;kiwać|kiwaca ruka|kiwaca ruka: srěnja barba kože|ruka|srěnja barba kože
	👋🏾;kiwaca ruka: srěnjoćmowa barba kože;kiwać|kiwaca ruka|kiwaca ruka: srěnjoćmowa barba kože|ruka|srěnjoćmowa barba kože
	👋🏿;kiwaca ruka: ćmowa barba kože;ćmowa barba kože|kiwać|kiwaca ruka|kiwaca ruka: ćmowa barba kože|ruka
🤚;zběhnjena ruka wotzady;ruka|zběhnjena ruka wotzady|zběhnjena zadłóń|zběhnjeny
	🤚🏻;zběhnjena ruka wotzady: swětła barba kože;ruka|swětła barba kože|zběhnjena ruka wotzady|zběhnjena ruka wotzady: swětła barba kože|zběhnjena zadłóń|zběhnjeny
	🤚🏼;zběhnjena ruka wotzady: srěnjoswětła barba kože;ruka|srěnjoswětła barba kože|zběhnjena ruka wotzady|zběhnjena ruka wotzady: srěnjoswětła barba kože|zběhnjena zadłóń|zběhnjeny
	🤚🏽;zběhnjena ruka wotzady: srěnja barba kože;ruka|srěnja barba kože|zběhnjena ruka wotzady|zběhnjena ruka wotzady: srěnja barba kože|zběhnjena zadłóń|zběhnjeny
	🤚🏾;zběhnjena ruka wotzady: srěnjoćmowa barba kože;ruka|srěnjoćmowa barba kože|zběhnjena ruka wotzady|zběhnjena ruka wotzady: srěnjoćmowa barba kože|zběhnjena zadłóń|zběhnjeny
	🤚🏿;zběhnjena ruka wotzady: ćmowa barba kože;ćmowa barba kože|ruka|zběhnjena ruka wotzady|zběhnjena ruka wotzady: ćmowa barba kože|zběhnjena zadłóń|zběhnjeny
🖐️;ruka z rozšěrjenymi porstami;pjeć|pjeć porstow|porsty|rozšěrjeny|ruka|ruka z rozšěrjenymi porstami
	🖐🏻;ruka z rozšěrjenymi porstami: swětła barba kože;pjeć|pjeć porstow|porsty|rozšěrjeny|ruka|ruka z rozšěrjenymi porstami|ruka z rozšěrjenymi porstami: swětła barba kože|swětła barba kože
	🖐🏼;ruka z rozšěrjenymi porstami: srěnjoswětła barba kože;pjeć|pjeć porstow|porsty|rozšěrjeny|ruka|ruka z rozšěrjenymi porstami|ruka z rozšěrjenymi porstami: srěnjoswětła barba kože|srěnjoswětła barba kože
	🖐🏽;ruka z rozšěrjenymi porstami: srěnja barba kože;pjeć|pjeć porstow|porsty|rozšěrjeny|ruka|ruka z rozšěrjenymi porstami|ruka z rozšěrjenymi porstami: srěnja barba kože|srěnja barba kože
	🖐🏾;ruka z rozšěrjenymi porstami: srěnjoćmowa barba kože;pjeć|pjeć porstow|porsty|rozšěrjeny|ruka|ruka z rozšěrjenymi porstami|ruka z rozšěrjenymi porstami: srěnjoćmowa barba kože|srěnjoćmowa barba kože
	🖐🏿;ruka z rozšěrjenymi porstami: ćmowa barba kože;ćmowa barba kože|pjeć|pjeć porstow|porsty|rozšěrjeny|ruka|ruka z rozšěrjenymi porstami|ruka z rozšěrjenymi porstami: ćmowa barba kože
✋;zběhnjena ruka;ruka|zběhnjena ruka
	✋🏻;zběhnjena ruka: swětła barba kože;ruka|swětła barba kože|zběhnjena ruka|zběhnjena ruka: swětła barba kože
	✋🏼;zběhnjena ruka: srěnjoswětła barba kože;ruka|srěnjoswětła barba kože|zběhnjena ruka|zběhnjena ruka: srěnjoswětła barba kože
	✋🏽;zběhnjena ruka: srěnja barba kože;ruka|srěnja barba kože|zběhnjena ruka|zběhnjena ruka: srěnja barba kože
	✋🏾;zběhnjena ruka: srěnjoćmowa barba kože;ruka|srěnjoćmowa barba kože|zběhnjena ruka|zběhnjena ruka: srěnjoćmowa barba kože
	✋🏿;zběhnjena ruka: ćmowa barba kože;ćmowa barba kože|ruka|zběhnjena ruka|zběhnjena ruka: ćmowa barba kože
🖖;wulkaniski postrow;měr|porsty|ruka|Star Trek|wulkaniski|wulkaniski postrow
	🖖🏻;wulkaniski postrow: swětła barba kože;měr|porsty|ruka|Star Trek|swětła barba kože|wulkaniski|wulkaniski postrow|wulkaniski postrow: swětła barba kože
	🖖🏼;wulkaniski postrow: srěnjoswětła barba kože;měr|porsty|ruka|srěnjoswětła barba kože|Star Trek|wulkaniski|wulkaniski postrow|wulkaniski postrow: srěnjoswětła barba kože
	🖖🏽;wulkaniski postrow: srěnja barba kože;měr|porsty|ruka|srěnja barba kože|Star Trek|wulkaniski|wulkaniski postrow|wulkaniski postrow: srěnja barba kože
	🖖🏾;wulkaniski postrow: srěnjoćmowa barba kože;měr|porsty|ruka|srěnjoćmowa barba kože|Star Trek|wulkaniski|wulkaniski postrow|wulkaniski postrow: srěnjoćmowa barba kože
	🖖🏿;wulkaniski postrow: ćmowa barba kože;ćmowa barba kože|měr|porsty|ruka|Star Trek|wulkaniski|wulkaniski postrow|wulkaniski postrow: ćmowa barba kože
🫱;ruka doprawa;doprawa|naprawo|ruka
	🫱🏻;ruka doprawa: swětła barba kože;doprawa|naprawo|ruka|ruka doprawa: swětła barba kože|swětła barba kože
	🫱🏼;ruka doprawa: srěnjoswětła barba kože;doprawa|naprawo|ruka|ruka doprawa: srěnjoswětła barba kože|srěnjoswětła barba kože
	🫱🏽;ruka doprawa: srěnja barba kože;doprawa|naprawo|ruka|ruka doprawa: srěnja barba kože|srěnja barba kože
	🫱🏾;ruka doprawa: srěnjoćmowa barba kože;doprawa|naprawo|ruka|ruka doprawa: srěnjoćmowa barba kože|srěnjoćmowa barba kože
	🫱🏿;ruka doprawa: ćmowa barba kože;ćmowa barba kože|doprawa|naprawo|ruka|ruka doprawa: ćmowa barba kože
🫲;ruka dolěwa;dolěwa|nalěwo|ruka
	🫲🏻;ruka dolěwa: swětła barba kože;dolěwa|nalěwo|ruka|ruka dolěwa: swětła barba kože|swětła barba kože
	🫲🏼;ruka dolěwa: srěnjoswětła barba kože;dolěwa|nalěwo|ruka|ruka dolěwa: srěnjoswětła barba kože|srěnjoswětła barba kože
	🫲🏽;ruka dolěwa: srěnja barba kože;dolěwa|nalěwo|ruka|ruka dolěwa: srěnja barba kože|srěnja barba kože
	🫲🏾;ruka dolěwa: srěnjoćmowa barba kože;dolěwa|nalěwo|ruka|ruka dolěwa: srěnjoćmowa barba kože|srěnjoćmowa barba kože
	🫲🏿;ruka dolěwa: ćmowa barba kože;ćmowa barba kože|dolěwa|nalěwo|ruka|ruka dolěwa: ćmowa barba kože
🫳;dłóń pokazuje dele;dłóń pokazuje dele|pušćić|rozehnać|z ruki pušćić
	🫳🏻;dłóń pokazuje dele: swětła barba kože;dłóń pokazuje dele|dłóń pokazuje dele: swětła barba kože|pušćić|rozehnać|swětła barba kože|z ruki pušćić
	🫳🏼;dłóń pokazuje dele: srěnjoswětła barba kože;dłóń pokazuje dele|dłóń pokazuje dele: srěnjoswětła barba kože|pušćić|rozehnać|srěnjoswětła barba kože|z ruki pušćić
	🫳🏽;dłóń pokazuje dele: srěnja barba kože;dłóń pokazuje dele|dłóń pokazuje dele: srěnja barba kože|pušćić|rozehnać|srěnja barba kože|z ruki pušćić
	🫳🏾;dłóń pokazuje dele: srěnjoćmowa barba kože;dłóń pokazuje dele|dłóń pokazuje dele: srěnjoćmowa barba kože|pušćić|rozehnać|srěnjoćmowa barba kože|z ruki pušćić
	🫳🏿;dłóń pokazuje dele: ćmowa barba kože;ćmowa barba kože|dłóń pokazuje dele|dłóń pokazuje dele: ćmowa barba kože|pušćić|rozehnać|z ruki pušćić
🫴;dłóń pokazuje horje;dłóń pokazuje horje|kiwać|popadnyć|poskićeć|přińć
	🫴🏻;dłóń pokazuje horje: swětła barba kože;dłóń pokazuje horje|dłóń pokazuje horje: swětła barba kože|kiwać|popadnyć|poskićeć|přińć|swětła barba kože
	🫴🏼;dłóń pokazuje horje: srěnjoswětła barba kože;dłóń pokazuje horje|dłóń pokazuje horje: srěnjoswětła barba kože|kiwać|popadnyć|poskićeć|přińć|srěnjoswětła barba kože
	🫴🏽;dłóń pokazuje horje: srěnja barba kože;dłóń pokazuje horje|dłóń pokazuje horje: srěnja barba kože|kiwać|popadnyć|poskićeć|přińć|srěnja barba kože
	🫴🏾;dłóń pokazuje horje: srěnjoćmowa barba kože;dłóń pokazuje horje|dłóń pokazuje horje: srěnjoćmowa barba kože|kiwać|popadnyć|poskićeć|přińć|srěnjoćmowa barba kože
	🫴🏿;dłóń pokazuje horje: ćmowa barba kože;ćmowa barba kože|dłóń pokazuje horje|dłóń pokazuje horje: ćmowa barba kože|kiwać|popadnyć|poskićeć|přińć
🫷;ruka, kiž tłóči dolěwa;čakać|dolěwa|high five|kiž tłóči dolěwa|ruka|ruka, kiž tłóči dolěwa|tłóčić|wotpokazać|wróćo hić|zadźeržeć
	🫷🏻;ruka, kiž tłóči dolěwa: swětła barba kože;čakać|dolěwa|high five|kiž tłóči dolěwa|ruka|ruka, kiž tłóči dolěwa|ruka, kiž tłóči dolěwa: swětła barba kože|swětła barba kože|tłóčić|wotpokazać|wróćo hić|zadźeržeć
	🫷🏼;ruka, kiž tłóči dolěwa: srěnjoswětła barba kože;čakać|dolěwa|high five|kiž tłóči dolěwa|ruka|ruka, kiž tłóči dolěwa|ruka, kiž tłóči dolěwa: srěnjoswětła barba kože|srěnjoswětła barba kože|tłóčić|wotpokazać|wróćo hić|zadźeržeć
	🫷🏽;ruka, kiž tłóči dolěwa: srěnja barba kože;čakać|dolěwa|high five|kiž tłóči dolěwa|ruka|ruka, kiž tłóči dolěwa|ruka, kiž tłóči dolěwa: srěnja barba kože|srěnja barba kože|tłóčić|wotpokazać|wróćo hić|zadźeržeć
	🫷🏾;ruka, kiž tłóči dolěwa: srěnjoćmowa barba kože;čakać|dolěwa|high five|kiž tłóči dolěwa|ruka|ruka, kiž tłóči dolěwa|ruka, kiž tłóči dolěwa: srěnjoćmowa barba kože|srěnjoćmowa barba kože|tłóčić|wotpokazać|wróćo hić|zadźeržeć
	🫷🏿;ruka, kiž tłóči dolěwa: ćmowa barba kože;čakać|ćmowa barba kože|dolěwa|high five|kiž tłóči dolěwa|ruka|ruka, kiž tłóči dolěwa|ruka, kiž tłóči dolěwa: ćmowa barba kože|tłóčić|wotpokazać|wróćo hić|zadźeržeć
