[smileys_emotion]
😀;инээсэн царай;инээсэн царай|инээх|царай
😘;үнсэлт илгээж байгаа царай;зүрх|үнсэлт|үнсэлт илгээж байгаа царай|царай
😗;үнсэж байгаа царай;үнсэж байгаа царай|үнсэх|царай
☺️;ичингүйрсэн инээмсэглэл;ичингүйрсэн инээмсэглэл|ичингүйрэн инээмсэглэж байгаа царай
😚;ичингүйрэн үнсэж байгаа царай;ичингүйрэн үнсэж байгаа царай|ичингүйрэх|үнсэх|царай
😙;нүдээ аниад үнсэж байгаа царай;нүд|нүдээ аниад үнсэж байгаа царай|үнсэх|царай
🥲;нулимстай инээсэн царай;бахархсан|инээмсэглэсэн|нулимс|нулимстай инээсэн царай|сэтгэл догдолсон|талархсан|уужирсан
😋;амттай хоол илэрхийлсэн царай;амттай|амттай хоол илэрхийлсэн царай|хоол|царай
😛;хэлээ гаргаж буй царай;гаргах|хэл|хэлээ гаргаж буй царай|царай
😜;хэлээ гаргаад, нүдээ ирмэж буй царай;ирмэх|нүд|нүдээ ирмэж буй царай|хэл|хэлээ гаргаад|хэлээ гаргаад, нүдээ ирмэж буй царай|царай
🤪;галзуу царай;галзуу царай|жижиг|нүд|том
😝;хэлээ гаргаад, нүдээ тас аньсан царай;гаргах|нүд|нүдээ тас аньсан царай|тас аних|хэл|хэлээ гаргаад|хэлээ гаргаад, нүдээ тас аньсан царай|царай
🤑;амандаа мөнгөтэй царай;ам|амандаа мөнгөтэй царай|мөнгөтэй|царай
🤗;тэвэрч байгаа царай;тэврэх|тэвэрч байгаа царай|царай
🤭;амаа гараараа тагласан царай;амаа гараараа тагласан царай|дуу алдах
🫢;нүдээ томруулж, гараараа амаа дарсан байдалтай царай;айх|гайхах|гараараа амаа дарсан байдалтай царай|гэнэтийн|итгэхгүй байх|ичих|нүдээ томруулж|нүдээ томруулж, гараараа амаа дарсан байдалтай царай|сандрах
🫣;нүдээрээ сэм харсан царай;нүдээрээ сэм харсан царай|сонирхол татах|сэм харах|ширтэх
🤫;чишш гэсэн царай;чимээгүй|чишш|чишш гэсэн царай
🤔;бодож байгаа царай;бодож байгаа царай|бодох|царай
🫡;ёслон мэндчилж буй царай;гүйцэтгэе|ёслон мэндчилж буй царай|ёслох|нартай|ок|цэргүүд
🤐;амаа үдсэн царай;амаа үдсэн|амаа үдсэн царай|царай
🤨;хөмсгөө өргөсөн царай;үл итгэх|хөмсгөө өргөсөн царай|эргэлзээ
😐;төвийг сахисан царай;төвийг сахисан царай|төвийг сахих|царай
😑;сэтгэл хөдлөлийн илрэлгүй царай;илрэлгүй|сэтгэл хөдлөл|сэтгэл хөдлөлийн илрэлгүй царай|царай
😶;амгүй царай;амгүй|царай
🫥;цэгэн хүрээтэй царай;гутарсан|дотогшоо|нуугдах|нуугдсан|үл үзэгдэх|цэгэн хүрээтэй царай
😶‍🌫️;алмайрсан царай;алмайрсан|алмайрсан царай|манантай царай|үүлтэй царай|үүлэн дундах толгой
😏;ёжтой царай;ёжтой|царай
😒;үл тоосон царай;үл тоосон|үл тоосон царай|царай
🙄;нүдээ эргэлдүүлэх царай;нүд|нүдээ эргэлдүүлэх царай|царай|эргэлдсэн
😬;ярвалзсан царай;царай|ярвалзсан
😮‍💨;амьсгалж буй царай;аахилах|амьсгаа гаргах|амьсгалж буй царай|исгэрэх|санаа алдах|санаа амрах|шүгэлдэх
🤥;худалч царай;пиноккио|худалч|царай
🫨;чичирч буй царай;газар хөдлөлт|царай|цочирдох|чичиргээ|чичирч буй царай|чичрэх
🙂‍↔️;толгойгоо дээш доош дохих;дохих|толгойгоо дээш доош дохих|үгүй
🙂‍↕️;толгойгоо хоёр тийш дохих;дохих|тийм|толгойгоо хоёр тийш дохих
😌;тайвширсан царай;тайвширсан|царай
😔;гомдсон царай;гомдсон|царай
😪;нойрмоглож буй царай;нойрмоглож буй царай|нойрмоглох|царай
🤤;унжгар царай;унжгар|царай
😴;унтаж буй царай;унтаж буй царай|унтах|царай
😷;маск зүүсэн царай;зүүсэн|маск|царай
🤒;халуунтай байгаа царай;халуунтай|халуунтай байгаа царай|царай
🤕;толгойндоо шархны боолт зүүсэн царай;зүүсэн|толгой|толгойндоо шархны боолт зүүсэн царай|царай|шархны боолт
🤢;дурамжхан царай;дурамжхан|царай
🤮;бөөлжсөн царай;бөөлжих|бөөлжсөн царай|өвчтэй
🤧;найтаах царай;найтаах|царай
🥵;халууцсан царай;наранд цохиулсан|улайсан царай|халуун|халуунтай|халууцсан царай
🥶;даарсан царай;даарсан|даарсан царай|унжсан мөс|хөлдсөн|хөхөрсөн царай|хүйтэн
🥴;толгой эргэсэн царай;толгой эргэсэн царай|толгой эргэх|том жижиг нүд|халамцуу|хордоогүй|хэл яриа ороолдсон
😵;толгой нь эргэсэн царай;толгой нь эргэсэн|толгой нь эргэсэн царай|царай
😵‍💫;нүд нь эрчлээтэй царай;асуудалтай|нүд нь эрчлээтэй царай|паах|спираль|толгой нь эргэсэн|ховсдуулсан
🤯;толгой дэлбэрэх;толгой дэлбэрэх|цочирдсон
🤠;ковбой малгайтай царай;ковбой|ковбой малгайтай царай|малгай|охин|царай
🥳;үдэшлэг дээр баярлаж буй царай;баяр тэмдэглэх|малгай|үдэшлэг|үдэшлэг дээр баярлаж буй царай|үлээх
🥸;өнгөлөн далдалсан царай;зүсээ хувиргасан|зүсээ хувиргах|өнгөлөн далдалсан царай|үл танигдах|хамар|царай|шилтэй
😎;нарны шил зүүж инээмсэглэсэн царай;зүүх|инээмсэглэх|нарны шил|нарны шил зүүж инээмсэглэсэн царай|царай
🤓;ухаантай царай;ухаантай|царай
🧐;нэг нүдний нүдний шил зүүсэн царай;бүгчим|нэг нүдний нүдний шил зүүсэн царай
😕;эргэлзсэн царай;царай|эргэлзсэн
🫤;муруй амтай царай;гонсойсон|итгэлгүй|муруй амтай царай|эргэлзсэн
😟;санаа зовсон царай;санаа зовсон|санаа зовсон царай|царай
🙁;бага зэрэг барайсан царай;бага зэрэг|бага зэрэг барайсан царай|барайсан|царай
☹️;баргар царай;баргар|царай
😮;цочирдсон царай;царай|цочирдох|цочирдсон царай
😯;гайхширсан царай;гайхширсан|царай
😲;мэл гайхсан царай;мэл гайхсан|мэл гайхсан царай|царай
😳;ичсэн царай;ичсэн|царай|ягаарсан
🥺;ямар нэг юм хүсч буй царай;гуйх|өрөвдөлтэй нүд|өршөөх|ямар нэг юм хүсч буй царай
🥹;нулимсаа барьж буй царай;бахархах|гунигтай|нулимсаа барьж буй царай|тэвчих|уйлах|ууртай
😦;гайхсан дурамжхан царай;гайхсан|дурамжхан|царай
😧;шаналсан царай;царай|шаналсан
😨;айсан царай;айсан|царай
😰;амаа ангайж, хүйтэн хөлс чахарсан царай;амаа ангайж|амаа ангайж, хүйтэн хөлс чахарсан царай|амаа ангайх|хөлс чахрах|хүйтэн|хүйтэн хөлс чахарсан царай|царай
😥;урам хугарсан ч тайвширсан царай;тайвширсан|урам хугарсан|урам хугарсан ч тайвширсан царай|царай
😢;уйлж байгаа царай;уйлж байгаа|уйлж байгаа царай|царай
😭;цурхиран уйлж байгаа царай;уйлaх|царай|цурхиран уйлж байгаа царай|цурхирах
😱;айгаад орилж байгаа царай;айгаад орилж байгаа царай|айх|орилох|царай
😖;будилсан царай;будилсан|царай
😣;цөхрөлтгүй царай;царай|цөхрөлтгүй
😞;урам хугарсан царай;урам хугарсан|урам хугарсан царай|царай
😓;хүйтэн хөлс даасан царай;хөлс даах|хүйтэн|хүйтэн хөлс даасан царай|царай
😩;залхсан царай;залхсан|царай
😫;ядарсан царай;царай|ядарсан
🥱;эвшээж буй царай;уйдсан|эвшээж буй царай|эвшээх|ядарсан
😤;их уурласан царай;их|уурласан|царай
😡;маш их уурласан царай;маш их уурласан царай|улайсан|уурласан|царай
😠;ууртай царай;ууртай|уцаартай|царай
🤬;тэмдэгтүүд амандаа зуусан царай;тэмдэгтүүд амандаа зуусан царай|хөлөрч байна
😈;хорноор инээж байгаа царай;хорноор инээж байгаа царай|хорноор инээх|царай
👿;чөтгөр;ууртай|царай|чөтгөр
💀;гавал;аймшиг|гавал|үхэл
☠️;гавлын яс;аюул|гавал|гавлын яс|үхэл|яс
💩;овоолсон баас;баас|овоолсон
🤡;алиалагчийн царай;алиалагч|алиалагчийн царай|царай
👹;аварга махчин;аварга|махчин
👺;шүтээн, онгод;мангас|онгод|төсөөлөл|шүтээн|шүтээн, онгод|япон
👻;сүнс;аймшиг|сүнс|үхэл
👽;харь гаригийн амьтан;амьтан|дам яриа|сансар|төсөөлөл|үлгэр домог|харь гариг|харь гаригийн амьтан
👾;харь гаригийн мангас;мангас|сансар|төсөөлөл|үлгэр|харийн хүн|харь гариг|харь гаригийн мангас
🤖;робот царай;робот|царай
😺;амаа ангайгаад инээж байгаа муур;ам|амаа ангайгаад инээж байгаа|амаа ангайгаад инээж байгаа муур|ангайх|инээсэн|муур|царай
😸;нүдээрээ инээж байгаа муур;инээх|муур|нүд|нүдээрээ инээж байгаа ︱царай|нүдээрээ инээж байгаа муур
😹;нулимсаа гартал инээж байгаа муур;баярлах|муур|нулимс|нулимсаа гартал инээж байгаа муур|царай
😻;зүрхэн нүдтэй инээж байгаа муур;дурлал|зүрх|зүрхэн нүдтэй инээж байгаа муур|инээх|муур|нүд|царай
😼;жоготой инээмсэглэж байгаа муур;ёжтой|жоготой|жоготой инээмсэглэж байгаа муур|инээх|муур|царай
😽;нүдээ аниад үнсэж байгаа муур;муур|нүд|нүдээ аниад үнсэж байгаа муур|үнсэх|царай
🙀;гайхшралд орсон муур;гайхшралд орох|гайхшралд орсон муур|муур
😿;уйлж байгаа муур;гунигтай|муур|нулимс|уйлах|уйлж байгаа муур
😾;урвагар царайлсан муур;муур|урвагар|урвагар царайлсан муур|царайлах
🙈;муу үйлийг харахгүй;дарах|дохио зангаа|итгэл үнэмшил|муу|муу үйлийг харахгүй|нуугдах|нүд|сармагчин|үйл|харахгүй
🙉;муу үйлийг сонсохгүй;дарах|итгэл үнэмшил|муу|муу үйлийг сонсохгүй|сармагчин|сонсохгүй|үйл|чих
🙊;муу үйлийг хэлэхгүй;ам|дарах|итгэл үнэмшил|муу|муу үйлийг хэлэхгүй|сармагчин|үйл|хэлэхгүй
💌;хайрын захиа;дугтуй|захиа|хайр|хайрын захиа
💘;сумаар харвасан зүрх;зүрх|сум|сумаар харвасан зүрх|харвах
💝;туузтай зүрх;зүрх|тууз|туузтай зүрх
💖;гялалзаж байгаа зүрх;гялалзаж байгаа зүрх|гялалзах|дурлал|зүрх
💗;лавширч буй зүрх;лавширч буй|лавширч буй зүрх|сандарсан|хөөрсөн|цохилт
💓;цохилж буй зүрх;зүрх|зүрхний цохилт|цохилж буй зүрх|цохилох|ягаан
💞;эргэлдэж буй зүрх;зүрх|эргэлдэж буй зүрх|эргэлдэх
💕;хоёр зүрх;зүрх|хайр дурлал|хоёр|хос
💟;зүрхэн чимэглэл;зүрх|зүрхэн чимэглэл|чимэглэл
❣️;зүрхэн хэлбэртэй анхааруулгын тэмдэг;анхааруулга|зүрх|зүрхэн хэлбэртэй анхааруулгын тэмдэг|тэмдэг|хэлбэр
💔;шархалсан зүрх;зүрх|шархалсан зүрх|шархлах
❤️‍🔥;шатаж буй зүрх;ариун зүрх|зүрх|тачаал|хайр|шатаж буй зүрх|шатах
❤️‍🩹;засарч буй;засарч буй|сайжирч буй|сайн|сэргэж буй|эдгэж буй|эрүүл
❤️;улаан зүрх;зүрх|улаан|хайр
🩷;ягаан зүрх;дуртай|зүрх|хайр|эгдүүтэй|ягаан
🧡;улбар шар зүрх;улбар шар|улбар шар зүрх
💛;шар зүрх;зүрх|шар
💚;ногоон зүрх;зүрх|ногоон
💙;цэнхэр зүрх;зүрх|цэнхэр
🩵;цайвар цэнхэр зүрх;зүрх|номин ногоон|цайвар хөх|цайвар цэнхэр|цайвар цэнхэр зүрх
💜;нил ягаан зүрх;зүрх|нил ягаан|нил ягаан зүрх
🤎;хүрэн зүрх;зүрх|хүрэн
🖤;хар зүрх;зүрх|хар
🩶;саарал зүрх;зүрх|мөнгөлөг|саарал|хавтан
🤍;цагаан зүрх;зүрх|цагаан
💋;үнсэлтийн мөр;уруул|үнсэлтийн мөр|үнсэх|хайр дурлал|ягаан
💯;зуун оноо;дээд|зуу|зуун оноо|оноо
💢;уурлаж байгаа дүрслэл;дүрслэл|уурлаж байгаа дүрслэл|уурлах
💥;мөргөлдөөн;зурагт ном|мөргөлдөөн|тэсрэлт
💫;төөрөгдүүлсэн;од|төөрөгдүүлсэн|төөрөгдүүлэх
💦;хөлсний дусал;дусал|хөлс|хөлсний дусал
💨;эрч хүчтэй;гүйж байгаа|эрч хүч|эрч хүчтэй
🕳️;нүх;нүх
💬;ярианы хэсэг;төсөөлөл|шаар|яриа|ярианы хэсэг
👁️‍🗨️;ярианы хөөсөн доторх нүд;гэрч|нүд|ярианы хөөс|ярианы хөөсөн доторх нүд
🗨️;зүүн талын ярианы хэсэг;зүүн|зүүн талын ярианы хэсэг|тал|хэсэг|яриа
🗯️;баруун талын ууртай ярианы хэсэг;баруун|баруун талын ууртай ярианы хэсэг|бөмбөлөг|уурны хөөс|ууртай|уцаартай|хөөс
💭;бодож байгаа бөмбөлөг;бодож байгаа бөмбөлөг|бодох|бөмбөлөг
💤;унтаж байгаа;төсөөлөл|унтаж байгаа|унтах

[people_body]
👋;мэндчилж байгаа гар;гар|даллах|мэндчилж байгаа гар
	👋🏻;мэндчилж байгаа гар: цайвар;гар|даллах|мэндчилж байгаа гар|мэндчилж байгаа гар: цайвар|цайвар
	👋🏼;мэндчилж байгаа гар: бага зэргийн цайвар;бага зэргийн цайвар|гар|даллах|мэндчилж байгаа гар|мэндчилж байгаа гар: бага зэргийн цайвар
	👋🏽;мэндчилж байгаа гар: дунд зэргийн;гар|даллах|дунд зэргийн|мэндчилж байгаа гар|мэндчилж байгаа гар: дунд зэргийн
	👋🏾;мэндчилж байгаа гар: бордуу;бордуу|гар|даллах|мэндчилж байгаа гар|мэндчилж байгаа гар: бордуу
	👋🏿;мэндчилж байгаа гар: бор;бор|гар|даллах|мэндчилж байгаа гар|мэндчилж байгаа гар: бор
🤚;өргөсөн гарын ар;гарын ар|өргөсөн|өргөсөн гарын ар
	🤚🏻;өргөсөн гарын ар: цайвар;гарын ар|өргөсөн|өргөсөн гарын ар|өргөсөн гарын ар: цайвар|цайвар
	🤚🏼;өргөсөн гарын ар: бага зэргийн цайвар;бага зэргийн цайвар|гарын ар|өргөсөн|өргөсөн гарын ар|өргөсөн гарын ар: бага зэргийн цайвар
	🤚🏽;өргөсөн гарын ар: дунд зэргийн;гарын ар|дунд зэргийн|өргөсөн|өргөсөн гарын ар|өргөсөн гарын ар: дунд зэргийн
	🤚🏾;өргөсөн гарын ар: бордуу;бордуу|гарын ар|өргөсөн|өргөсөн гарын ар|өргөсөн гарын ар: бордуу
	🤚🏿;өргөсөн гарын ар: бор;бор|гарын ар|өргөсөн|өргөсөн гарын ар|өргөсөн гарын ар: бор
🖐️;хуруунуудаа салгасан гарын алга;гар|салгасан|хуруу|хуруунуудаа салгасан гарын алга|хуруунуудыг салгасан гар
	🖐🏻;хуруунуудаа салгасан гарын алга: цайвар;гар|салгасан|хуруу|хуруунуудаа салгасан гарын алга|хуруунуудаа салгасан гарын алга: цайвар|хуруунуудыг салгасан гар|цайвар
	🖐🏼;хуруунуудаа салгасан гарын алга: бага зэргийн цайвар;бага зэргийн цайвар|гар|салгасан|хуруу|хуруунуудаа салгасан гарын алга|хуруунуудаа салгасан гарын алга: бага зэргийн цайвар|хуруунуудыг салгасан гар
	🖐🏽;хуруунуудаа салгасан гарын алга: дунд зэргийн;гар|дунд зэргийн|салгасан|хуруу|хуруунуудаа салгасан гарын алга|хуруунуудаа салгасан гарын алга: дунд зэргийн|хуруунуудыг салгасан гар
	🖐🏾;хуруунуудаа салгасан гарын алга: бордуу;бордуу|гар|салгасан|хуруу|хуруунуудаа салгасан гарын алга|хуруунуудаа салгасан гарын алга: бордуу|хуруунуудыг салгасан гар
	🖐🏿;хуруунуудаа салгасан гарын алга: бор;бор|гар|салгасан|хуруу|хуруунуудаа салгасан гарын алга|хуруунуудаа салгасан гарын алга: бор|хуруунуудыг салгасан гар
✋;өргөсөн гар;гар|өргөсөн гар
	✋🏻;өргөсөн гар: цайвар;гар|өргөсөн гар|өргөсөн гар: цайвар|цайвар
	✋🏼;өргөсөн гар: бага зэргийн цайвар;бага зэргийн цайвар|гар|өргөсөн гар|өргөсөн гар: бага зэргийн цайвар
	✋🏽;өргөсөн гар: дунд зэргийн;гар|дунд зэргийн|өргөсөн гар|өргөсөн гар: дунд зэргийн
	✋🏾;өргөсөн гар: бордуу;бордуу|гар|өргөсөн гар|өргөсөн гар: бордуу
	✋🏿;өргөсөн гар: бор;бор|гар|өргөсөн гар|өргөсөн гар: бор
🖖;вулкан мэндчилгээ;вулкан|гар|дохио зангаа|мэндчилгээ
	🖖🏻;вулкан мэндчилгээ: цайвар;вулкан|вулкан мэндчилгээ: цайвар|гар|дохио зангаа|мэндчилгээ|цайвар
	🖖🏼;вулкан мэндчилгээ: бага зэргийн цайвар;бага зэргийн цайвар|вулкан|вулкан мэндчилгээ: бага зэргийн цайвар|гар|дохио зангаа|мэндчилгээ
	🖖🏽;вулкан мэндчилгээ: дунд зэргийн;вулкан|вулкан мэндчилгээ: дунд зэргийн|гар|дохио зангаа|дунд зэргийн|мэндчилгээ
	🖖🏾;вулкан мэндчилгээ: бордуу;бордуу|вулкан|вулкан мэндчилгээ: бордуу|гар|дохио зангаа|мэндчилгээ
	🖖🏿;вулкан мэндчилгээ: бор;бор|вулкан|вулкан мэндчилгээ: бор|гар|дохио зангаа|мэндчилгээ
🫱;баруун тийш чиглэсэн гар;баруун|баруун тийш|баруун тийш чиглэсэн гар|гар
	🫱🏻;баруун тийш чиглэсэн гар: цайвар;баруун|баруун тийш|баруун тийш чиглэсэн гар|баруун тийш чиглэсэн гар: цайвар|гар|цайвар
	🫱🏼;баруун тийш чиглэсэн гар: бага зэргийн цайвар;бага зэргийн цайвар|баруун|баруун тийш|баруун тийш чиглэсэн гар|баруун тийш чиглэсэн гар: бага зэргийн цайвар|гар
	🫱🏽;баруун тийш чиглэсэн гар: дунд зэргийн;баруун|баруун тийш|баруун тийш чиглэсэн гар|баруун тийш чиглэсэн гар: дунд зэргийн|гар|дунд зэргийн
	🫱🏾;баруун тийш чиглэсэн гар: бордуу;баруун|баруун тийш|баруун тийш чиглэсэн гар|баруун тийш чиглэсэн гар: бордуу|бордуу|гар
	🫱🏿;баруун тийш чиглэсэн гар: бор;баруун|баруун тийш|баруун тийш чиглэсэн гар|баруун тийш чиглэсэн гар: бор|бор|гар
🫲;зүүн тийш чиглэсэн гар;гар|зүүн|зүүн тийш|зүүн тийш чиглэсэн гар
	🫲🏻;зүүн тийш чиглэсэн гар: цайвар;гар|зүүн|зүүн тийш|зүүн тийш чиглэсэн гар|зүүн тийш чиглэсэн гар: цайвар|цайвар
	🫲🏼;зүүн тийш чиглэсэн гар: бага зэргийн цайвар;бага зэргийн цайвар|гар|зүүн|зүүн тийш|зүүн тийш чиглэсэн гар|зүүн тийш чиглэсэн гар: бага зэргийн цайвар
	🫲🏽;зүүн тийш чиглэсэн гар: дунд зэргийн;гар|дунд зэргийн|зүүн|зүүн тийш|зүүн тийш чиглэсэн гар|зүүн тийш чиглэсэн гар: дунд зэргийн
	🫲🏾;зүүн тийш чиглэсэн гар: бордуу;бордуу|гар|зүүн|зүүн тийш|зүүн тийш чиглэсэн гар|зүүн тийш чиглэсэн гар: бордуу
	🫲🏿;зүүн тийш чиглэсэн гар: бор;бор|гар|зүүн|зүүн тийш|зүүн тийш чиглэсэн гар|зүүн тийш чиглэсэн гар: бор
🫳;алга нь доошоо харсан гар;алга нь доошоо харсан гар|орхих|унагах|явуулах
	🫳🏻;алга нь доошоо харсан гар: цайвар;алга нь доошоо харсан гар|алга нь доошоо харсан гар: цайвар|орхих|унагах|цайвар|явуулах
	🫳🏼;алга нь доошоо харсан гар: бага зэргийн цайвар;алга нь доошоо харсан гар|алга нь доошоо харсан гар: бага зэргийн цайвар|бага зэргийн цайвар|орхих|унагах|явуулах
	🫳🏽;алга нь доошоо харсан гар: дунд зэргийн;алга нь доошоо харсан гар|алга нь доошоо харсан гар: дунд зэргийн|дунд зэргийн|орхих|унагах|явуулах
	🫳🏾;алга нь доошоо харсан гар: бордуу;алга нь доошоо харсан гар|алга нь доошоо харсан гар: бордуу|бордуу|орхих|унагах|явуулах
	🫳🏿;алга нь доошоо харсан гар: бор;алга нь доошоо харсан гар|алга нь доошоо харсан гар: бор|бор|орхих|унагах|явуулах
🫴;алга нь дээшээ харсан гар;алга нь дээшээ харсан гар|барих|даллах|дуудах|өгөх
	🫴🏻;алга нь дээшээ харсан гар: цайвар;алга нь дээшээ харсан гар|алга нь дээшээ харсан гар: цайвар|барих|даллах|дуудах|өгөх|цайвар
	🫴🏼;алга нь дээшээ харсан гар: бага зэргийн цайвар;алга нь дээшээ харсан гар|алга нь дээшээ харсан гар: бага зэргийн цайвар|бага зэргийн цайвар|барих|даллах|дуудах|өгөх
	🫴🏽;алга нь дээшээ харсан гар: дунд зэргийн;алга нь дээшээ харсан гар|алга нь дээшээ харсан гар: дунд зэргийн|барих|даллах|дунд зэргийн|дуудах|өгөх
	🫴🏾;алга нь дээшээ харсан гар: бордуу;алга нь дээшээ харсан гар|алга нь дээшээ харсан гар: бордуу|барих|бордуу|даллах|дуудах|өгөх
	🫴🏿;алга нь дээшээ харсан гар: бор;алга нь дээшээ харсан гар|алга нь дээшээ харсан гар: бор|барих|бор|даллах|дуудах|өгөх
🫷;зүүн тийш түлхсэн гар;алгаа цохих|зогсоох|зүүн тийш|зүүн тийш түлхсэн гар|татгалзах|түлхэх|хүлээх
	🫷🏻;зүүн тийш түлхсэн гар: цайвар;алгаа цохих|зогсоох|зүүн тийш|зүүн тийш түлхсэн гар|зүүн тийш түлхсэн гар: цайвар|татгалзах|түлхэх|хүлээх|цайвар
	🫷🏼;зүүн тийш түлхсэн гар: бага зэргийн цайвар;алгаа цохих|бага зэргийн цайвар|зогсоох|зүүн тийш|зүүн тийш түлхсэн гар|зүүн тийш түлхсэн гар: бага зэргийн цайвар|татгалзах|түлхэх|хүлээх
	🫷🏽;зүүн тийш түлхсэн гар: дунд зэргийн;алгаа цохих|дунд зэргийн|зогсоох|зүүн тийш|зүүн тийш түлхсэн гар|зүүн тийш түлхсэн гар: дунд зэргийн|татгалзах|түлхэх|хүлээх
	🫷🏾;зүүн тийш түлхсэн гар: бордуу;алгаа цохих|бордуу|зогсоох|зүүн тийш|зүүн тийш түлхсэн гар|зүүн тийш түлхсэн гар: бордуу|татгалзах|түлхэх|хүлээх
	🫷🏿;зүүн тийш түлхсэн гар: бор;алгаа цохих|бор|зогсоох|зүүн тийш|зүүн тийш түлхсэн гар|зүүн тийш түлхсэн гар: бор|татгалзах|түлхэх|хүлээх
🫸;баруун тийш түлхсэн гар;алгаа цохих|баруун тийш|баруун тийш түлхсэн гар|зогсоох|татгалзах|түлхэх|хүлээх
	🫸🏻;баруун тийш түлхсэн гар: цайвар;алгаа цохих|баруун тийш|баруун тийш түлхсэн гар|баруун тийш түлхсэн гар: цайвар|зогсоох|татгалзах|түлхэх|хүлээх|цайвар
	🫸🏼;баруун тийш түлхсэн гар: бага зэргийн цайвар;алгаа цохих|бага зэргийн цайвар|баруун тийш|баруун тийш түлхсэн гар|баруун тийш түлхсэн гар: бага зэргийн цайвар|зогсоох|татгалзах|түлхэх|хүлээх
	🫸🏽;баруун тийш түлхсэн гар: дунд зэргийн;алгаа цохих|баруун тийш|баруун тийш түлхсэн гар|баруун тийш түлхсэн гар: дунд зэргийн|дунд зэргийн|зогсоох|татгалзах|түлхэх|хүлээх
	🫸🏾;баруун тийш түлхсэн гар: бордуу;алгаа цохих|баруун тийш|баруун тийш түлхсэн гар|баруун тийш түлхсэн гар: бордуу|бордуу|зогсоох|татгалзах|түлхэх|хүлээх
	🫸🏿;баруун тийш түлхсэн гар: бор;алгаа цохих|баруун тийш|баруун тийш түлхсэн гар|баруун тийш түлхсэн гар: бор|бор|зогсоох|татгалзах|түлхэх|хүлээх
👌;ок;гар|дохио зангаа|ок
	👌🏻;ок: цайвар;гар|дохио зангаа|ок|ок: цайвар|цайвар
	👌🏼;ок: бага зэргийн цайвар;бага зэргийн цайвар|гар|дохио зангаа|ок|ок: бага зэргийн цайвар
	👌🏽;ок: дунд зэргийн;гар|дохио зангаа|дунд зэргийн|ок|ок: дунд зэргийн
	👌🏾;ок: бордуу;бордуу|гар|дохио зангаа|ок|ок: бордуу
	👌🏿;ок: бор;бор|гар|дохио зангаа|ок|ок: бор
🤌;гарын хуруунуудаа нийлүүлж чимхэх;байцаалт|гарын зангаа|гарын хуруунуудаа нийлүүлж чимхэх|ёжтой|хуруунууд|чимхэх
	🤌🏻;гарын хуруунуудаа нийлүүлж чимхэх: цайвар;байцаалт|гарын зангаа|гарын хуруунуудаа нийлүүлж чимхэх|гарын хуруунуудаа нийлүүлж чимхэх: цайвар|ёжтой|хуруунууд|цайвар|чимхэх
	🤌🏼;гарын хуруунуудаа нийлүүлж чимхэх: бага зэргийн цайвар;бага зэргийн цайвар|байцаалт|гарын зангаа|гарын хуруунуудаа нийлүүлж чимхэх|гарын хуруунуудаа нийлүүлж чимхэх: бага зэргийн цайвар|ёжтой|хуруунууд|чимхэх
