[smileys_emotion]
😀;Grinsgesiicht;Gesiicht|Grinsen|Grinsgesiicht
😋;gutt Iesse genéissend;genéissen|Gesiicht|gutt|gutt Iesse genéissend|Laachen|mmh
😛;d’Zong erausstreckend;d’Zong erausstreckend|Gesiicht|Zong
😜;d’Zong erausstreckend mat zougedrécktem A;A|A zoudrécken|d’Zong erausstreckend mat zougedrécktem A|Gesiicht|Witz|Zong
🤪;verréckt Gesiicht;A|grouss|kleng|verréckt Gesiicht
😝;d’Zong erausstreckend mat zouen Aen;A|d’Zong erausstreckend mat zouen Aen|Gesiicht|Goût|schrecklech|Zong
🤑;geldgiereg;geldgiereg|Gesiicht|Mond|Suen
🤗;Ëmaarmung;ëmaarmen|Ëmaarmung|Gesiicht
🤭;Gesiicht mat Hand virum Mond;Gesiicht mat Hand virum Mond|Oups|Uups
🫢;;
🫣;;
🤫;Gesiicht mam Fanger virum Mond;Gesiicht mam Fanger virum Mond|pscht|roueg
🤔;nodenklech;Gesiicht|nodenklech
🫡;;
🤐;verschlossene Mond;Gesiicht|Mond|Tirett|verschlossene Mond
🤨;Gesiicht mat gehuewenem Aperhoer;Gesiicht mat gehuewenem Aperhoer|mësstrauesch|skeptesch
😐;neutraalt Gesiicht;Gesiicht|neutraalt Gesiicht|neutral|ouni Ausdrock
😑;Gesiicht ouni Ausdrock;Gesiicht|Gesiicht ouni Ausdrock|inexpressiv|onexpressiv|ouni Ausdrock
😶;Gesiicht ouni Mond;Gesiicht|Gesiicht ouni Mond|Mond|roueg
🫥;;
😶‍🌫️;;
😏;schmunzelend;Gesiicht|schmunzelen|schmunzelend
😒;onzefridden;Gesiicht|onglécklech|onzefridden
🙄;Ae verdréinend;Ae verdréinend|Aen|Gesiicht|verdréinen
😬;Grimass schneidend Gesiicht;Gesiicht|Grimass|Grimass schneidend Gesiicht
😮‍💨;;
🤥;Ligenergesiicht;Gesiicht|léien|Ligenergesiicht|Pinocchio
🫨;;
🙂‍↔️;;
🙂‍↕️;;
😌;erliichtert;erliichtert|Gesiicht
😔;besuergt;bedréckt|besuergt|Gesiicht
😪;schléifreg;Gesiicht|schléifreg|Schlof
🤤;sabbelend Gesiicht;Gesiicht|sabbelend
😴;ageschlof;ageschlof|Gesiicht|Schlof|zzz
😷;Gesiicht mat Doktersmask;Dokter|Gesiicht|Gesiicht mat Doktersmask|kal|krank|Mask|Medezin
🤒;Gesiicht mat Thermometer;Gesiicht|Gesiicht mat Thermometer|krank|Thermometer
🤕;Gesiicht mat Kappverband;Gesiicht|Gesiicht mat Kappverband|Verband|verletzt|Verletzung
🤢;iwwelt Gesiicht;Gesiicht|iwwel|iwwelt Gesiicht|sech iwwerginn
🤮;Gesiicht wat sech iwwergëtt;Gesiicht wat sech iwwergëtt|iwwerginn|krank
🤧;néitsend Gesiicht;Gesiicht|Gesondheet|néitsen|néitsend Gesiicht
🥵;;
🥶;;
🥴;;
😵;schwindelegt Gesiicht;Gesiicht|schwindeleg|schwindelegt Gesiicht
😵‍💫;;
🤯;explodéierende Kapp;explodéierende Kapp|schockéiert
🤠;Gesiicht mat Cowboyshutt;Cowboy|Cowgirl|Gesiicht|Gesiicht mat Cowboyshutt|Hutt
🥳;;
🥸;;
😎;laachend Gesiicht mat Sonnebrëll;A|Brëll|cool|Gesiicht|hell|Laachen|laachend Gesiicht mat Sonnebrëll|Sonn|Sonnebrëll
🤓;Nerd;Geek|Gesiicht|Nerd
🧐;Gesiicht mat Monokel;Gesiicht mat Monokel|langweileg
😕;konfus;Gesiicht|konfus
🫤;;
😟;beonrouegt;beonrouegt|Gesiicht
🙁;d’Stir liicht fronzend;d’Stir liicht fronzend|Gesiicht|Stir fronzen
☹️;d’Stir fronzend;d’Stir fronzend|Gesiicht|Stir fronzen
😮;Gesiicht mat oppenem Mond;Gesiicht|Gesiicht mat oppenem Mond|Matgefill|Mond|oppen
😯;flüsterend;erstaunt|flüsterend|Gesiicht|iwwerrascht
😲;erstaunt;absolut|erstaunt|Gesiicht|schockéiert
😳;rout ugelafent Gesiicht;beniwwelt|Gesiicht|rout ugelaf|rout ugelafent Gesiicht
🥺;;
🥹;;
😦;d’Stir fronzend Gesiicht mat oppenem Mond;d’Stir fronzend Gesiicht mat oppenem Mond|Gesiicht|Mond|oppen|Stir fronzen
😧;gequäält Gesiicht;gequäält|Gesiicht
😨;verängschtegt Gesiicht;Angscht|baang|Gesiicht|verängschtegt
😰;Gesiicht mat oppenem Mond a kalem Schweess;blo|Gesiicht|Gesiicht mat oppenem Mond a kalem Schweess|kal|Mond|oppen|presséiert|Schweess
😥;enttäuscht mä erliichtert;enttäuscht|enttäuscht mä erliichtert|erliichtert|Gesiicht|ouf
😢;kräischend;Gesiicht|kräischen|kräischend|traureg|Tréin
😭;haart kräischend Gesiicht;Gesiicht|haart kräischend Gesiicht|kräischen|schluchzen|traureg|Tréin
😱;vun Angscht jäizend Gesiicht;Angscht|baang|Gesiicht|jäizen|verängschtegt|verschléngen|vun Angscht jäizend Gesiicht
😖;frustréiert;frustréiert|Gesiicht
😣;duerhalend;duerhalen|duerhalend|Gesiicht
😞;enttäuscht;enttäuscht|Gesiicht
😓;mat kalem Schweess eroflafend;Gesiicht|kal|mat kalem Schweess eroflafend|Schweess
😩;erschëpft Gesiicht;erschëpft|Gesiicht|midd
😫;midd;Gesiicht|midd
🥱;;
😤;mat Damp aus der Nues;Gesiicht|gewonnen|mat Damp aus der Nues|Triumph
😡;motzend Gesiicht;Gesiicht|motzen|motzend Gesiicht|queesch|rosen|Roserei|rout
😠;rosent Gesiicht;Gesiicht|queesch|rosen|rosent Gesiicht
🤬;Gesiicht mat Zeeche virum Mond;fluchend|Gesiicht mat Zeeche virum Mond
😈;laachend Gesiicht mat Haren;Fantasie|Gesiicht|Haren|Laachen|laachend Gesiicht mat Haren|Mäerchen
👿;rosent Gesiicht mat Haren;Däiwel|Dämon|Fantasie|Gesiicht|Kobold|Mäerchen|rosent Gesiicht mat Haren
💀;Doudekapp;Doud|Doudekapp|Gesiicht|Mäerchen|Monster
☠️;Doudekapp a gekräizt Schanken;Doud|Doudekapp|Doudekapp a gekräizt Schanken|gekräizt Schanken|Gesiicht|Monster
💩;Koup Schäiss;Gesiicht|Kaka|Koup Schäiss|Mëscht|Monster|Schäiss|witzeg
🤡;Clownegesiicht;Clown|Clownegesiicht|Gesiicht
👹;Ongeheier;Fantasie|Gesiicht|Kreatur|Mäerchen|Monster|Ongeheier
👺;Kobold;Fantasie|Gesiicht|Kobold|Kreatur|Mäerchen|Monster
👻;Geescht;Fantasie|Geescht|Gesiicht|Kreatur|Mäerchen|Monster
👽;Alien;Alien|ausserierdesch|Fantasie|Gesiicht|Kreatur|Mäerchen|Monster|Ufo
👾;Alienmonster;Alien|Alienmonster|ausserierdesch|Fantasie|Gesiicht|Kreatur|Mäerchen|Monster|Ufo
🤖;Roboter;Gesiicht|Monster|Roboter
😺;laachend Kazegesiicht mat oppenem Mond;Gesiicht|Kaz|Laachen|laachend Kazegesiicht mat oppenem Mond|Mond|oppen
😸;grinsend Kazegesiicht mat laachenden Aen;A|Gesiicht|Grinsen|grinsend Kazegesiicht mat laachenden Aen|Kaz|Laachen
😹;Kazegesiicht mat Freedtréinen;Freed|Gesiicht|Kaz|Kazegesiicht mat Freedtréinen|Tréin
😻;laachend Kazegesiicht mat Häerzeraen;A|Gesiicht|Kaz|Laachen|laachend Kazegesiicht mat Häerzeraen|Léift
😼;Kazegesiicht mat dreckegem Grinsen;dreckeg|Gesiicht|Grinsen|ironesch|Kaz|Kazegesiicht mat dreckegem Grinsen
😽;kussend Kazegesiicht mat zouen Aen;A|Gesiicht|Kaz|Kuss|kussend Kazegesiicht mat zouen Aen
🙀;erschëpft Kazegesiicht;erschëpft|erschëpft Kazegesiicht|Gesiicht|iwwerrascht|Kaz|oh
😿;kräischend Kazegesiicht;Gesiicht|Kaz|kräischen|kräischend Kazegesiicht|traureg|Tréin
😾;motzend Kazegesiicht;Gesiicht|Kaz|motzend|motzend Kazegesiicht
🙈;Aen zouhalenden Af;Aen|Aen zouhalenden Af|Af|béis|Gesiicht|gesinn|Geste|net|verbueden|zouhalen
🙉;Oueren zouhalenden Af;Af|béis|Gesiicht|Geste|héieren|net|Oueren|Oueren zouhalenden Af|verbueden|zouhalen
🙊;Mond zouhalenden Af;Af|béis|Gesiicht|Geste|Mond|Mond zouhalenden Af|net|schwätzen|verbueden|zouhalen
💌;Libesbréif;Bréif|Häerz|Léift|Libesbréif|Post
💘;Häerz mat Feil;Cupidon|Feil|Häerz mat Feil
💝;Häerz mat Putsch;Häerz mat Putsch|Putsch|Valentin
💖;glënnerend Häerz;glënneren|glënnerend Häerz|opgereegt
💗;wuessend Häerz;nervös|opgereegt|Schlag|wuessend|wuessend Häerz
💓;klappend Häerz;Häerzklappen|klappend|klappend Häerz|Schlag|schloend
💞;dréiend Häerzer;dréiend|dréiend Häerzer
💕;zwee Häerzer;Léift|zwee Häerzer
💟;Häerzdekoratioun;Häerz|Häerzdekoratioun
❣️;fettgedréckt Häerzausruffzeechen;Ausruff|fettgedréckt Häerzausruffzeechen|Interpunktioun|Zeechen
💔;gebrachent Häerz;briechen|gebrach|gebrachent Häerz
❤️‍🔥;;
❤️‍🩹;;
❤️;rout Häerz;Häerz|rout Häerz
🩷;;
🧡;oranget Häerz;orange|oranget Häerz
💛;gielt Häerz;giel|gielt Häerz
💚;gréngt Häerz;gréng|gréngt Häerz
💙;blot Häerz;blo|blot Häerz
🩵;;
💜;mooft Häerz;mof|mooft Häerz
🤎;;
🖤;schwaarzt Häerz;béis|schlecht|schwaarz|schwaarzt Häerz
🩶;;
🤍;;
💋;Kussmond;Kuss|Kussmond|Lëpsen
💯;honnert Punkten;100|honnert|honnert Punkten|Score|voll
💢;Rosereiszeechen;béis|Comic|rosen|Rosereiszeechen
💥;Kollisioun;Boom|Comic|Kollisioun
💫;Schwindel;Comic|Schwindel|Stär
💦;Schweessdrëpsen;Comic|platschen|Schweess|Schweessdrëpsen
💨;séier fort;Comic|jauwen|lafen|séier fort
🕳️;Lach;Lach
💬;Spriechblos;Ball|Blos|Comic|Dialog|schwätzen|Spriechblos
👁️‍🗨️;A an enger Spriechblos;A|A an enger Spriechblos|erkennen|gesinn|Spriechblos
🗨️;lénks Spriechblos;Dialog|lénks Spriechblos|schwätzen
🗯️;riets Rosereispriechblos;Ball|béis|Blos|riets Rosereispriechblos|rosen
💭;Denkblos;Ball|Blos|Comic|Denkblos|Gedanken
💤;zzz;Comic|Schlof|zzz

[people_body]
👋;wénkend Hand;Hand|wénken|wénkend
	👋🏻;wénkend Hand: hell Hautfaarf;Hand|hell Hautfaarf|wénken|wénkend|wénkend Hand: hell Hautfaarf
	👋🏼;wénkend Hand: mëttelhell Hautfaarf;Hand|mëttelhell Hautfaarf|wénken|wénkend|wénkend Hand: mëttelhell Hautfaarf
	👋🏽;wénkend Hand: mëttel Hautfaarf;Hand|mëttel Hautfaarf|wénken|wénkend|wénkend Hand: mëttel Hautfaarf
	👋🏾;wénkend Hand: mëtteldäischter Hautfaarf;Hand|mëtteldäischter Hautfaarf|wénken|wénkend|wénkend Hand: mëtteldäischter Hautfaarf
	👋🏿;wénkend Hand: däischter Hautfaarf;däischter Hautfaarf|Hand|wénken|wénkend|wénkend Hand: däischter Hautfaarf
🤚;héichgehalenen Handréck;Handréck|héichgehalen|héichgehalenen Handréck
	🤚🏻;héichgehalenen Handréck: hell Hautfaarf;Handréck|héichgehalen|héichgehalenen Handréck|héichgehalenen Handréck: hell Hautfaarf|hell Hautfaarf
	🤚🏼;héichgehalenen Handréck: mëttelhell Hautfaarf;Handréck|héichgehalen|héichgehalenen Handréck|héichgehalenen Handréck: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🤚🏽;héichgehalenen Handréck: mëttel Hautfaarf;Handréck|héichgehalen|héichgehalenen Handréck|héichgehalenen Handréck: mëttel Hautfaarf|mëttel Hautfaarf
	🤚🏾;héichgehalenen Handréck: mëtteldäischter Hautfaarf;Handréck|héichgehalen|héichgehalenen Handréck|héichgehalenen Handréck: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🤚🏿;héichgehalenen Handréck: däischter Hautfaarf;däischter Hautfaarf|Handréck|héichgehalen|héichgehalenen Handréck|héichgehalenen Handréck: däischter Hautfaarf
🖐️;gehuewen Hand mat ausgestreckte Fanger;ausgestreckt|Fanger|gehuewen Hand mat ausgestreckte Fanger|Hand
	🖐🏻;gehuewen Hand mat ausgestreckte Fanger: hell Hautfaarf;ausgestreckt|Fanger|gehuewen Hand mat ausgestreckte Fanger|gehuewen Hand mat ausgestreckte Fanger: hell Hautfaarf|Hand|hell Hautfaarf
	🖐🏼;gehuewen Hand mat ausgestreckte Fanger: mëttelhell Hautfaarf;ausgestreckt|Fanger|gehuewen Hand mat ausgestreckte Fanger|gehuewen Hand mat ausgestreckte Fanger: mëttelhell Hautfaarf|Hand|mëttelhell Hautfaarf
	🖐🏽;gehuewen Hand mat ausgestreckte Fanger: mëttel Hautfaarf;ausgestreckt|Fanger|gehuewen Hand mat ausgestreckte Fanger|gehuewen Hand mat ausgestreckte Fanger: mëttel Hautfaarf|Hand|mëttel Hautfaarf
	🖐🏾;gehuewen Hand mat ausgestreckte Fanger: mëtteldäischter Hautfaarf;ausgestreckt|Fanger|gehuewen Hand mat ausgestreckte Fanger|gehuewen Hand mat ausgestreckte Fanger: mëtteldäischter Hautfaarf|Hand|mëtteldäischter Hautfaarf
	🖐🏿;gehuewen Hand mat ausgestreckte Fanger: däischter Hautfaarf;ausgestreckt|däischter Hautfaarf|Fanger|gehuewen Hand mat ausgestreckte Fanger|gehuewen Hand mat ausgestreckte Fanger: däischter Hautfaarf|Hand
✋;héichgehalen Hand;Hand|héichgehalen Hand
	✋🏻;héichgehalen Hand: hell Hautfaarf;Hand|héichgehalen Hand|héichgehalen Hand: hell Hautfaarf|hell Hautfaarf
	✋🏼;héichgehalen Hand: mëttelhell Hautfaarf;Hand|héichgehalen Hand|héichgehalen Hand: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	✋🏽;héichgehalen Hand: mëttel Hautfaarf;Hand|héichgehalen Hand|héichgehalen Hand: mëttel Hautfaarf|mëttel Hautfaarf
	✋🏾;héichgehalen Hand: mëtteldäischter Hautfaarf;Hand|héichgehalen Hand|héichgehalen Hand: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	✋🏿;héichgehalen Hand: däischter Hautfaarf;däischter Hautfaarf|Hand|héichgehalen Hand|héichgehalen Hand: däischter Hautfaarf
🖖;Vulcan-Grouss;Fanger|Hand|Spock|Vulcan|Vulcan-Grouss
	🖖🏻;Vulcan-Grouss: hell Hautfaarf;Fanger|Hand|hell Hautfaarf|Spock|Vulcan|Vulcan-Grouss|Vulcan-Grouss: hell Hautfaarf
	🖖🏼;Vulcan-Grouss: mëttelhell Hautfaarf;Fanger|Hand|mëttelhell Hautfaarf|Spock|Vulcan|Vulcan-Grouss|Vulcan-Grouss: mëttelhell Hautfaarf
	🖖🏽;Vulcan-Grouss: mëttel Hautfaarf;Fanger|Hand|mëttel Hautfaarf|Spock|Vulcan|Vulcan-Grouss|Vulcan-Grouss: mëttel Hautfaarf
	🖖🏾;Vulcan-Grouss: mëtteldäischter Hautfaarf;Fanger|Hand|mëtteldäischter Hautfaarf|Spock|Vulcan|Vulcan-Grouss|Vulcan-Grouss: mëtteldäischter Hautfaarf
	🖖🏿;Vulcan-Grouss: däischter Hautfaarf;däischter Hautfaarf|Fanger|Hand|Spock|Vulcan|Vulcan-Grouss|Vulcan-Grouss: däischter Hautfaarf
🫱;;
	🫱🏻;;
	🫱🏼;;
	🫱🏽;;
	🫱🏾;;
	🫱🏿;;
🫲;;
	🫲🏻;;
	🫲🏼;;
	🫲🏽;;
	🫲🏾;;
	🫲🏿;;
🫳;;
	🫳🏻;;
	🫳🏼;;
	🫳🏽;;
	🫳🏾;;
	🫳🏿;;
🫴;;
	🫴🏻;;
	🫴🏼;;
	🫴🏽;;
	🫴🏾;;
	🫴🏿;;
🫷;;
	🫷🏻;;
	🫷🏼;;
	🫷🏽;;
	🫷🏾;;
	🫷🏿;;
🫸;;
	🫸🏻;;
	🫸🏼;;
	🫸🏽;;
	🫸🏾;;
	🫸🏿;;
👌;OK-Handzeechen;Hand|OK|OK-Handzeechen|Zeechen
	👌🏻;OK-Handzeechen: hell Hautfaarf;Hand|hell Hautfaarf|OK|OK-Handzeechen|OK-Handzeechen: hell Hautfaarf|Zeechen
	👌🏼;OK-Handzeechen: mëttelhell Hautfaarf;Hand|mëttelhell Hautfaarf|OK|OK-Handzeechen|OK-Handzeechen: mëttelhell Hautfaarf|Zeechen
	👌🏽;OK-Handzeechen: mëttel Hautfaarf;Hand|mëttel Hautfaarf|OK|OK-Handzeechen|OK-Handzeechen: mëttel Hautfaarf|Zeechen
	👌🏾;OK-Handzeechen: mëtteldäischter Hautfaarf;Hand|mëtteldäischter Hautfaarf|OK|OK-Handzeechen|OK-Handzeechen: mëtteldäischter Hautfaarf|Zeechen
	👌🏿;OK-Handzeechen: däischter Hautfaarf;däischter Hautfaarf|Hand|OK|OK-Handzeechen|OK-Handzeechen: däischter Hautfaarf|Zeechen
🤌;;
	🤌🏻;;
	🤌🏼;;
	🤌🏽;;
	🤌🏾;;
	🤌🏿;;
🤏;;
	🤏🏻;;
	🤏🏼;;
	🤏🏽;;
	🤏🏾;;
	🤏🏿;;
✌️;Victoire-Handzeechen;Hand|V|Victoire|Victoire-Handzeechen
	✌🏻;Victoire-Handzeechen: hell Hautfaarf;Hand|hell Hautfaarf|V|Victoire|Victoire-Handzeechen|Victoire-Handzeechen: hell Hautfaarf
	✌🏼;Victoire-Handzeechen: mëttelhell Hautfaarf;Hand|mëttelhell Hautfaarf|V|Victoire|Victoire-Handzeechen|Victoire-Handzeechen: mëttelhell Hautfaarf
	✌🏽;Victoire-Handzeechen: mëttel Hautfaarf;Hand|mëttel Hautfaarf|V|Victoire|Victoire-Handzeechen|Victoire-Handzeechen: mëttel Hautfaarf
	✌🏾;Victoire-Handzeechen: mëtteldäischter Hautfaarf;Hand|mëtteldäischter Hautfaarf|V|Victoire|Victoire-Handzeechen|Victoire-Handzeechen: mëtteldäischter Hautfaarf
	✌🏿;Victoire-Handzeechen: däischter Hautfaarf;däischter Hautfaarf|Hand|V|Victoire|Victoire-Handzeechen|Victoire-Handzeechen: däischter Hautfaarf
🤞;gekräizt Fanger;Fanger|gekräizt Fanger|Gléck|Hand|kräizen
	🤞🏻;gekräizt Fanger: hell Hautfaarf;Fanger|gekräizt Fanger|gekräizt Fanger: hell Hautfaarf|Gléck|Hand|hell Hautfaarf|kräizen
	🤞🏼;gekräizt Fanger: mëttelhell Hautfaarf;Fanger|gekräizt Fanger|gekräizt Fanger: mëttelhell Hautfaarf|Gléck|Hand|kräizen|mëttelhell Hautfaarf
	🤞🏽;gekräizt Fanger: mëttel Hautfaarf;Fanger|gekräizt Fanger|gekräizt Fanger: mëttel Hautfaarf|Gléck|Hand|kräizen|mëttel Hautfaarf
	🤞🏾;gekräizt Fanger: mëtteldäischter Hautfaarf;Fanger|gekräizt Fanger|gekräizt Fanger: mëtteldäischter Hautfaarf|Gléck|Hand|kräizen|mëtteldäischter Hautfaarf
	🤞🏿;gekräizt Fanger: däischter Hautfaarf;däischter Hautfaarf|Fanger|gekräizt Fanger|gekräizt Fanger: däischter Hautfaarf|Gléck|Hand|kräizen
🫰;;
	🫰🏻;;
	🫰🏼;;
	🫰🏽;;
	🫰🏾;;
	🫰🏿;;
🤟;Léift-Geste;Hand|ILY|Léift-Geste
	🤟🏻;Léift-Geste: hell Hautfaarf;Hand|hell Hautfaarf|ILY|Léift-Geste|Léift-Geste: hell Hautfaarf
	🤟🏼;Léift-Geste: mëttelhell Hautfaarf;Hand|ILY|Léift-Geste|Léift-Geste: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🤟🏽;Léift-Geste: mëttel Hautfaarf;Hand|ILY|Léift-Geste|Léift-Geste: mëttel Hautfaarf|mëttel Hautfaarf
	🤟🏾;Léift-Geste: mëtteldäischter Hautfaarf;Hand|ILY|Léift-Geste|Léift-Geste: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🤟🏿;Léift-Geste: däischter Hautfaarf;däischter Hautfaarf|Hand|ILY|Léift-Geste|Léift-Geste: däischter Hautfaarf
🤘;Mano cornuta, Harenzeechen;Fanger|Hand|Haren|Harenzeechen|Mano cornuta|Mano cornuta, Harenzeechen|rocken
	🤘🏻;Mano cornuta, Harenzeechen: hell Hautfaarf;Fanger|Hand|Haren|Harenzeechen|hell Hautfaarf|Mano cornuta|Mano cornuta, Harenzeechen|Mano cornuta, Harenzeechen: hell Hautfaarf|rocken
	🤘🏼;Mano cornuta, Harenzeechen: mëttelhell Hautfaarf;Fanger|Hand|Haren|Harenzeechen|Mano cornuta|Mano cornuta, Harenzeechen|Mano cornuta, Harenzeechen: mëttelhell Hautfaarf|mëttelhell Hautfaarf|rocken
	🤘🏽;Mano cornuta, Harenzeechen: mëttel Hautfaarf;Fanger|Hand|Haren|Harenzeechen|Mano cornuta|Mano cornuta, Harenzeechen|Mano cornuta, Harenzeechen: mëttel Hautfaarf|mëttel Hautfaarf|rocken
	🤘🏾;Mano cornuta, Harenzeechen: mëtteldäischter Hautfaarf;Fanger|Hand|Haren|Harenzeechen|Mano cornuta|Mano cornuta, Harenzeechen|Mano cornuta, Harenzeechen: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|rocken
	🤘🏿;Mano cornuta, Harenzeechen: däischter Hautfaarf;däischter Hautfaarf|Fanger|Hand|Haren|Harenzeechen|Mano cornuta|Mano cornuta, Harenzeechen|Mano cornuta, Harenzeechen: däischter Hautfaarf|rocken
🤙;Telefon-Handzeechen;Hand|Telefon-Handzeechen|uruffen
	🤙🏻;Telefon-Handzeechen: hell Hautfaarf;Hand|hell Hautfaarf|Telefon-Handzeechen|Telefon-Handzeechen: hell Hautfaarf|uruffen
	🤙🏼;Telefon-Handzeechen: mëttelhell Hautfaarf;Hand|mëttelhell Hautfaarf|Telefon-Handzeechen|Telefon-Handzeechen: mëttelhell Hautfaarf|uruffen
	🤙🏽;Telefon-Handzeechen: mëttel Hautfaarf;Hand|mëttel Hautfaarf|Telefon-Handzeechen|Telefon-Handzeechen: mëttel Hautfaarf|uruffen
	🤙🏾;Telefon-Handzeechen: mëtteldäischter Hautfaarf;Hand|mëtteldäischter Hautfaarf|Telefon-Handzeechen|Telefon-Handzeechen: mëtteldäischter Hautfaarf|uruffen
	🤙🏿;Telefon-Handzeechen: däischter Hautfaarf;däischter Hautfaarf|Hand|Telefon-Handzeechen|Telefon-Handzeechen: däischter Hautfaarf|uruffen
👈;no lénks weisende Fanger vun hanne gesinn;Fanger|Hand|no lénks weisende Fanger vun hanne gesinn|Réckhand|weisen|Zeigefanger
	👈🏻;no lénks weisende Fanger vun hanne gesinn: hell Hautfaarf;Fanger|Hand|hell Hautfaarf|no lénks weisende Fanger vun hanne gesinn|no lénks weisende Fanger vun hanne gesinn: hell Hautfaarf|Réckhand|weisen|Zeigefanger
	👈🏼;no lénks weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf;Fanger|Hand|mëttelhell Hautfaarf|no lénks weisende Fanger vun hanne gesinn|no lénks weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf|Réckhand|weisen|Zeigefanger
	👈🏽;no lénks weisende Fanger vun hanne gesinn: mëttel Hautfaarf;Fanger|Hand|mëttel Hautfaarf|no lénks weisende Fanger vun hanne gesinn|no lénks weisende Fanger vun hanne gesinn: mëttel Hautfaarf|Réckhand|weisen|Zeigefanger
	👈🏾;no lénks weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf;Fanger|Hand|mëtteldäischter Hautfaarf|no lénks weisende Fanger vun hanne gesinn|no lénks weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf|Réckhand|weisen|Zeigefanger
	👈🏿;no lénks weisende Fanger vun hanne gesinn: däischter Hautfaarf;däischter Hautfaarf|Fanger|Hand|no lénks weisende Fanger vun hanne gesinn|no lénks weisende Fanger vun hanne gesinn: däischter Hautfaarf|Réckhand|weisen|Zeigefanger
👉;no riets weisende Fanger vun hanne gesinn;Fanger|Hand|no riets weisende Fanger vun hanne gesinn|Réckhand|weisen|Zeigefanger
	👉🏻;no riets weisende Fanger vun hanne gesinn: hell Hautfaarf;Fanger|Hand|hell Hautfaarf|no riets weisende Fanger vun hanne gesinn|no riets weisende Fanger vun hanne gesinn: hell Hautfaarf|Réckhand|weisen|Zeigefanger
	👉🏼;no riets weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf;Fanger|Hand|mëttelhell Hautfaarf|no riets weisende Fanger vun hanne gesinn|no riets weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf|Réckhand|weisen|Zeigefanger
	👉🏽;no riets weisende Fanger vun hanne gesinn: mëttel Hautfaarf;Fanger|Hand|mëttel Hautfaarf|no riets weisende Fanger vun hanne gesinn|no riets weisende Fanger vun hanne gesinn: mëttel Hautfaarf|Réckhand|weisen|Zeigefanger
	👉🏾;no riets weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf;Fanger|Hand|mëtteldäischter Hautfaarf|no riets weisende Fanger vun hanne gesinn|no riets weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf|Réckhand|weisen|Zeigefanger
